onset	duration	trial_type	identifier	response
4.000008	9.973516	experimental_trial	27.mov	n/a
16.00032	9.969993	experimental_trial	1.mov	n/a
30.00061	9.973471	attention_check	f2.mov	Friendly
46.02551	9.972487	experimental_trial	47.mov	n/a
58.02584	9.972127	experimental_trial	16.mov	n/a
70.02611	9.967493	experimental_trial	3.mov	n/a
82.02628	9.96523	experimental_trial	36.mov	n/a
94.02649	9.969279	experimental_trial	25.mov	n/a
108.0268	9.969873	experimental_trial	34.mov	n/a
120.0271	9.969007	experimental_trial	23.mov	n/a
134.0274	9.967936	experimental_trial	29.mov	n/a
146.0277	9.966333	experimental_trial	28.mov	n/a
158.0281	9.9672	experimental_trial	11.mov	n/a
170.0284	9.968754	experimental_trial	46.mov	n/a
182.0287	9.966718	attention_check	f3.mov	Friendly
198.0528	9.970902	experimental_trial	21.mov	n/a
212.0531	9.96791	experimental_trial	32.mov	n/a
224.0534	9.967333	experimental_trial	38.mov	n/a
236.0537	9.970172	experimental_trial	18.mov	n/a
248.0539	9.96698	experimental_trial	8.mov	n/a
262.0542	9.971714	experimental_trial	5.mov	n/a
274.0545	9.965291	experimental_trial	35.mov	n/a
286.0547	9.965945	experimental_trial	41.mov	n/a
298.055	9.967235	experimental_trial	33.mov	n/a
310.0553	9.966858	experimental_trial	12.mov	n/a
322.0556	9.96526	attention_check	a2.mov	Adversarial
338.0791	9.984543	experimental_trial	44.mov	n/a
350.0793	9.967875	experimental_trial	43.mov	n/a
