onset	duration	trial_type	identifier	correct_response
26.04	26	social	["fischer_videos/social.nobarriers.c.7.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	false & false
52.07	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & false
78.11	26	social	["fischer_videos/social.nobarriers.c.5.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	false & false
104.16	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.barriers.c.6.mp4"]	false & false
130.21	26	physics	["fischer_videos/physics.nobarriers.i.6.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	false & false
156.26	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.nobarriers.i.10.mp4"]	false & false
182.29	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	false & false
208.34	26	physics	["fischer_videos/physics.barriers.c.2.mp4"] & ["fischer_videos/physics.barriers.i.7.mp4"]	false & false
260.39	26	physics	["fischer_videos/physics.barriers.i.9.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	false & false
286.42	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	false & false
312.46	26	physics	["fischer_videos/physics.barriers.c.4.mp4"] & ["fischer_videos/physics.barriers.i.3.mp4"]	false & false
338.5	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	false & false
364.54	26	social	["fischer_videos/social.barriers.i.3.mp4"] & ["fischer_videos/social.barriers.i.1.mp4"]	false & false
390.59	26	social	["fischer_videos/social.nobarriers.i.6.mp4"] & ["fischer_videos/social.nobarriers.c.1.mp4"]	false & false
416.63	26	physics	["fischer_videos/physics.barriers.c.10.mp4"] & ["fischer_videos/physics.nobarriers.c.1.mp4"]	false & false
442.66	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.barriers.c.10.mp4"]	false & false
