onset	duration	trial_type	identifier	response
4.00013	9.970364	experimental_trial	13.mov	n/a
16.00069	9.975589	experimental_trial	16.mov	n/a
28.001	9.976099	experimental_trial	19.mov	n/a
40.00129	9.974123	experimental_trial	24.mov	n/a
52.00161	9.972547	experimental_trial	5.mov	n/a
66.00191	9.970666	attention_check	f1.mov	Friendly
82.02407	9.971924	experimental_trial	32.mov	n/a
94.02439	9.965276	experimental_trial	41.mov	n/a
106.0247	9.966612	experimental_trial	48.mov	n/a
118.025	9.966971	experimental_trial	17.mov	n/a
130.0254	9.970286	experimental_trial	33.mov	n/a
144.0257	9.97304	experimental_trial	45.mov	n/a
156.026	9.972369	experimental_trial	39.mov	n/a
168.0264	9.969463	experimental_trial	7.mov	n/a
180.0267	9.968479	experimental_trial	20.mov	n/a
192.0269	9.969952	experimental_trial	31.mov	n/a
204.0271	9.968236	experimental_trial	6.mov	n/a
216.0274	9.968699	experimental_trial	36.mov	n/a
230.0277	9.970239	experimental_trial	9.mov	n/a
244.028	9.969374	experimental_trial	37.mov	n/a
256.0283	9.969056	experimental_trial	49.mov	n/a
268.0287	9.969776	experimental_trial	34.mov	n/a
282.0291	9.972221	experimental_trial	12.mov	n/a
294.0294	9.966231	experimental_trial	21.mov	n/a
306.0298	9.969647	experimental_trial	43.mov	n/a
318.03	9.96637	attention_check	f3.mov	Neutral
334.0488	9.975987	experimental_trial	29.mov	n/a
346.0491	9.967915	attention_check	f2.mov	Friendly
