onset	duration	trial_type	identifier	response
4.00009	9.969316	experimental_trial	30.mov	n/a
16.00029	9.97258	experimental_trial	39.mov	n/a
28.00056	9.974995	experimental_trial	37.mov	n/a
40.00073	9.97153	experimental_trial	21.mov	n/a
52.00102	9.969727	experimental_trial	40.mov	n/a
64.0013	9.968306	attention_check	a1.mov	Adversarial
80.02991	9.971289	experimental_trial	27.mov	n/a
92.03019	9.975321	experimental_trial	34.mov	n/a
104.0305	9.969736	experimental_trial	49.mov	n/a
116.0308	9.970808	experimental_trial	24.mov	n/a
128.0311	9.969927	experimental_trial	33.mov	n/a
140.0314	9.972869	experimental_trial	23.mov	n/a
152.0317	9.969843	experimental_trial	22.mov	n/a
166.032	9.96916	experimental_trial	41.mov	n/a
178.0323	9.967591	experimental_trial	9.mov	n/a
190.0326	9.967699	experimental_trial	6.mov	n/a
202.0329	9.97161	experimental_trial	42.mov	n/a
214.0331	9.969942	experimental_trial	20.mov	n/a
226.0333	9.971334	experimental_trial	10.mov	n/a
238.0336	9.96501	experimental_trial	36.mov	n/a
250.0339	9.969247	experimental_trial	18.mov	n/a
262.0341	9.971773	experimental_trial	29.mov	n/a
276.0344	9.969344	attention_check	f1.mov	Friendly
294.061	9.975219	attention_check	n3.mov	Neutral
312.092	9.971701	experimental_trial	32.mov	n/a
324.0923	9.970358	experimental_trial	14.mov	n/a
336.0926	9.967612	experimental_trial	16.mov	n/a
350.0928	9.971994	experimental_trial	44.mov	n/a
