onset	duration	trial_type	identifier	response
4.000005	9.968986	experimental_trial	48.mov	n/a
18.00036	9.969822	experimental_trial	19.mov	n/a
30.00066	9.975802	experimental_trial	2.mov	n/a
42.00097	9.96719	experimental_trial	47.mov	n/a
54.00126	9.967151	experimental_trial	28.mov	n/a
66.00156	9.96847	experimental_trial	35.mov	n/a
78.00185	9.968204	experimental_trial	12.mov	n/a
90.00213	9.966296	experimental_trial	42.mov	n/a
102.0024	9.966439	experimental_trial	41.mov	n/a
116.0027	9.96587	experimental_trial	3.mov	n/a
130.0029	9.964775	attention_check	a1.mov	NoResponse
146.0316	9.972741	experimental_trial	24.mov	n/a
158.0319	9.967574	experimental_trial	13.mov	n/a
170.0322	9.967564	experimental_trial	37.mov	n/a
184.0325	9.971107	experimental_trial	7.mov	n/a
196.0328	9.969961	experimental_trial	27.mov	n/a
208.033	9.968827	experimental_trial	16.mov	n/a
222.0333	9.968457	experimental_trial	20.mov	n/a
234.0336	9.970924	experimental_trial	25.mov	n/a
246.0339	9.96508	experimental_trial	50.mov	n/a
258.0342	9.967527	experimental_trial	45.mov	n/a
270.0345	9.972443	experimental_trial	15.mov	n/a
282.0348	9.968434	experimental_trial	5.mov	n/a
294.035	9.96643	attention_check	a3.mov	Friendly
310.0591	9.968982	experimental_trial	11.mov	n/a
322.0594	9.973154	experimental_trial	46.mov	n/a
334.0598	9.967692	attention_check	n2.mov	Neutral
350.0812	9.974012	experimental_trial	21.mov	n/a
