global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27
45670.15594345709	n/a	2085763143.8996887	n/a	77730.09408233802	n/a	6041967526.049121	n/a	43253.36590465928	n/a	n/a	1870853662.082342	54047.40964413354	44692.59553251425	n/a	n/a	n/a	n/a	-0.0420419032	-0.0303183581	-0.0208209899	-0.0552802083	-0.0279386968	0.0113593723	-0.1396549402	0.0006127139	-0.0247720592	0.0334406719	-0.1076277737	-0.0118566201	-0.0176952474	0.0635722835	-0.0690777992	0.0814562233	-0.0282395208	0.1244342734	-0.0270744351	0.0089003691	-0.0796670442	0.0508797485	-0.0338816583	0.1238943481	-0.0063594607	0.0876139689	-0.0313494051	0.022275029	-0.0257722698	-0.0171387704	0.0253694628	-0.019221365	0.0930548274	-0.0546969354	0.0557386668	-0.0553094436	-0.0525087592	0.0017706067	-0.0863949458	0.0485970764	-0.0363561889	0.1115045755	-0.1061791561	0.0371311026	-0.0521783128	0.096953573	-0.0494645501	0.0173046107	-0.0620202456	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0179391	n/a	0.00032181130881	n/a	-0.0658622	n/a	0.00433782938884	n/a	0.110397	n/a	0.0121874976089999	n/a	0.000990875	n/a	9.81833265625e-07	n/a	-0.000817496	n/a	n/a	6.682997100160001e-07	-0.000446797	n/a	1.9962755920900001e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45686.26788769245	16.11194423535926	2087235073.505998	259.5947470433265	77693.24310270778	-36.850979630238726	6036240023.816451	1357.9946997082695	43323.16739788588	69.80149322660145	4872.248456663288	1876896833.3852425	53976.80570628487	44487.26219191348	0.67474	16.505791	0.0583209	0.0293898	-0.0418462932	-0.02990408	-0.0340098052	-0.0388421707	-0.0354283023	0.0156314577	-0.1090500451	0.0008407772	-0.0308186302	0.024861706	-0.0643436704	0.0094228548	-0.0381674027	0.0502684189	-0.0321569172	0.0530390415	0.0187647795	0.0299465328	-0.1185384957	0.0228666612	-0.0808567019	0.0444212024	-0.0036945881	0.1126468565	-0.0355924257	0.2195937977	0.0390911261	0.0745708275	0.0604361776	-0.0151876632	0.1397997225	0.0200563488	-0.0727521198	0.0577904318	-0.0257061793	-0.0457954361	-0.036722004	-0.014388665	-0.0589660122	0.0644531594	-0.0434974153	0.1062261628	-0.0450409119	0.010654773	-0.0652330848	0.0708777796	-0.0658272976	0.0649555835	0.0203960161	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0179691	-2.9999999999998778e-05	0.0003228885548099	8.999999999999266e-10	-0.0726856	-0.0068234	0.00528319644736	4.65587875600001e-05	0.0876891999999999	-0.0227078	0.0076893957966399	0.00051564418084	0.000693351	-0.0002975239999999	4.807356092010001e-07	8.852053057599998e-08	-0.000539826	0.00027767	7.710062890000003e-08	2.91412110276e-07	-0.000446797	0.0	1.9962755920900001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45731.73834106144	45.47045336899464	2091391891.6953087	2067.562129581916	77988.25144439218	295.00834168439906	6082167363.35374	87029.92166337914	43457.15061832923	133.98322044334782	17951.503360370738	1888523939.8641524	54121.82029070781	44719.34236435529	0.730299	17.864899	0.12547908	0.0562144	-0.0368382785	-0.017186706	-0.028009801	-0.0793520444	0.0266949837	0.0330775868	-0.1327399133	-0.0528077564	-0.0032743628	0.0885165378	-0.0184719224	0.0716176072	0.0508026315	-0.0296016884	0.0640330678	0.0339933161	0.1372395795	-0.0293079156	-0.077006828	-0.0300272876	-0.0560996997	0.0993616583	0.123120305	0.0361890248	0.0216954484	-0.0287376386	0.0988978104	-0.0752517553	-0.1251344202	0.0395898876	0.1098299651	-0.0059753049	0.0096438456	-0.050819036	-0.0713257076	-0.0556942176	0.0521007922	-0.0339894817	-0.0100380847	0.07576083	-0.1004930964	0.0882035752	0.008075712	-0.003380216	0.1151276027	0.0334847345	-0.0715852104	-0.0278900501	0.0733167716	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.00795698	0.0259260799999999	6.331353072040001e-05	0.0006721616241663	-0.0523478	0.0203378	0.00274029216484	0.00041362610884	0.127524	0.0398348000000001	0.016262370576	0.00158681129104	0.000765175	7.182399999999995e-05	5.85492780625e-07	5.1586869759999935e-09	-0.000171988	0.000367838	1.35304794244e-07	2.9579872144e-08	-0.000794743	-0.0003479459999999	6.316164360489999e-07	1.2106641891599997e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45617.55040987962	-114.1879311818193	2080960905.3979084	13038.883627583898	77726.88876390707	-261.3626804851083	6041469236.916784	68310.4507503608	43462.32660483375	5.1759865045169136	26.79083629494122	1888973833.9052396	54098.85120701491	44157.16032750946	0.796004	19.472212	0.03933172	0.0180515	-0.0484542402	-0.0282544663	-0.0415791774	-0.044411037	-0.0210873164	-0.0138011508	-0.0625348824	-0.0701026019	-0.0409923967	0.0274829987	0.0018703722	0.0603621559	-0.0090186029	0.0467330169	0.0447478724	0.0404299322	0.0644941317	-0.0955845357	0.0230130612	-0.1189305552	-0.1306022778	0.045826351	0.0177106018	-0.0006113725	0.0117287534	-0.0199390671	0.2165653741	0.0117456099	0.0593290553	-0.0406865479	-0.0582464312	-0.057966881	0.033980649	-0.0150321717	-0.0254931896	-0.0351662111	0.0466805691	-0.0159849988	-0.0614489208	0.0621247442	-0.0619813656	0.0424431986	0.0108508603	-0.0436562184	0.0849382269	-0.0501560303	-0.0653022143	0.0404382579	0.0937091863	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0120754	0.0041184199999999	0.00014581528516	1.6961383296399996e-05	-0.0576613	-0.0053134999999999	0.00332482551769	2.8233282249999982e-05	0.129946	0.002422	0.016885962916	5.8660840000000364e-06	0.000583541	-0.0001816339999999	3.405200986810001e-07	3.2990909955999985e-08	-0.000409503	-0.000237515	5.6413375225000016e-08	1.6769270700900006e-07	-0.00092515	-0.000130407	8.559025225e-07	1.7005985649000008e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45717.333613167415	99.78320328779228	2090074592.697647	9956.68765837288	77676.35480407396	-50.5339598331193	6033616095.648383	2553.681096415314	43599.81721443965	137.49060960590575	18903.66772980359	1900944061.1325483	54275.844875021794	44773.961132338656	1.004434	24.57093	0.2151063	0.119735	-0.0218590631	-0.0217465044	0.001161973	0.0048693829	0.007897806	0.0027162652	-0.003184543	-0.0421240375	-0.0254841393	-0.0977430659	0.0882068704	0.0251765451	-0.0565344782	0.2011806231	-0.0308983233	-0.0702092566	0.0426419027	-0.1221638025	0.1000986509	-0.0576309385	-0.0109597033	-0.0610683398	-0.0297263072	-0.0991906558	0.0692769477	-0.0033480803	0.0461348737	0.0751247841	0.0398265781	-0.0461177494	0.0803088632	-0.1196333275	-0.118223992	-0.0575492175	-0.0450328363	0.042173257	0.0675812126	-0.0155259896	-0.1143811742	-0.0991974959	0.006788315	0.0026531595	0.0645548062	-0.1713040314	-0.0321613925	-0.1661102713	-0.0024066289	0.1784928756	0.0103885172	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.02558	-0.0376554	0.0006543364	0.00141792914916	-0.0809706	-0.0233093	0.00655623806436	0.00054332346649	0.0672981	-0.0626479	0.00452903426361	0.00392475937441	0.00215306	0.001569519	4.6356673636e-06	2.463389891361e-06	-0.000669858	-0.0002603549999999	6.778472602499997e-08	4.4870974016399993e-07	-0.00092515	0.0	8.559025225e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45721.68177680807	4.348163640657731	2090472184.4997036	18.90652704593789	78054.09344578288	377.7386417089292	6092441503.643006	142686.4814401068	43540.63634031199	-59.18087412766181	3502.375862514151	1895787012.9192967	54302.49533783342	44967.386467840224	0.965882	23.627844	0.16244173	0.0789205999999999	-0.0275878561	-0.0244088717	0.032125858	-0.0342246316	0.0714772317	0.0317562602	-0.0270837008	0.0044731322	0.0346311098	-0.022355709	0.0357967214	0.0458251175	-0.0262183529	0.0620901783	-0.0428089492	-0.0277615102	0.1046232285	-0.1036024939	-0.0117847624	-0.0272892639	-0.0347340803	-0.0285015622	-0.0651574231	-0.1056534112	-0.1523370327	0.0437694118	0.0174394478	-0.0809318883	-0.0784961945	-0.0303929887	0.0455880233	0.0289462327	0.0748421907	0.0477847577	-0.0945506723	0.0038253551	0.0642521326	-0.0570301258	-0.0549775758	-0.0855506548	-0.0106455858	0.0172487108	-0.0037804834	-0.0557068024	0.0081332873	-0.1023769444	-0.0478738946	0.0260284231	0.1063477868	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.00308508	0.02866508	9.5177186064e-06	0.0008216868114063	-0.0568306	0.02414	0.00322971709636	0.0005827396	0.124003	0.0567049	0.015376744009	0.00321544568401	0.00172033	-0.00043273	2.9595353089e-06	1.872552529000001e-07	-0.000363223	0.000306635	9.402502322499998e-08	1.31930947729e-07	-0.00060588	0.0003192699999999	3.6709057440000004e-07	1.0193333290000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45602.6828495768	-118.99892723127414	2079604683.0790856	14160.744682194078	77852.26874130809	-201.82470447479864	6060975748.168856	40733.2113363398	43402.08483425698	-138.55150605500967	19196.51983011138	1883740967.96004	54116.2431640625	44231.9708605077	0.7508519999999999	18.367685	0.0908743599999999	0.0375757	-0.0480417067	-0.02898939	0.01474675	-0.0529128886	0.0795502649	-0.0123277004	-0.0305173932	0.0231591332	-0.0353842378	-0.0037537464	-0.0143888993	0.0233225821	0.0063577861	0.014582781	-0.0551984432	0.0382076789	0.0983802436	-0.1583327139	-0.0755277223	0.0338441098	0.0038645698	0.0641613902	-0.0631454994	-0.0644329399	-0.0318806783	-0.0770611085	0.0828661949	-0.0612187434	-0.0198507039	0.0025343835	-0.0113069396	-0.073769985	0.1622636599	-0.0039572247	0.067208943	-0.0273544271	0.0327569904	-0.0540910949	-0.0218717735	-0.1052039953	-0.076430831	0.017997637	-0.0209062276	-0.0395893516	-0.015090291	-0.0653081198	-0.0283591936	-0.0192666727	0.1102945135	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.014467	0.01138192	0.000209294089	0.0001295481028864	-0.064054	-0.0072233999999999	0.004102914916	5.217750755999997e-05	0.139996	0.015993	0.019598880016	0.000255776049	0.00224729	0.0005269599999999	5.0503123441e-06	2.776868416e-07	-8.393219999999998e-05	0.0002792908	7.800335096464003e-08	7.044614196839997e-09	-0.00092515	-0.0003192699999999	8.559025225e-07	1.0193333290000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45557.188802958895	-45.49404661790322	2075457451.6284432	2069.708277671952	77747.46895195926	-104.79978934882092	6044668928.43587	10982.99584755724	43384.134050441295	-17.95078381568601	322.2306395974948	1882183087.30666	54068.47415446304	44185.424633766495	0.793608	19.413603	0.07176939	0.0380964	-0.0400853436	-0.0319268602	-0.0127580238	-0.0227896253	0.0415762414	-0.0200693717	-0.01101389	0.0675579583	-0.0490439679	-0.0338565384	-0.0102399387	-0.0557529621	0.0572362482	-0.0998544043	-0.0987846266	0.0658976053	0.1449231222	-0.0413309525	0.0813537358	0.0151261375	-0.0394202149	-0.0522546953	-0.0874519718	-0.1027126103	-0.2585736405	0.0726225585	-0.1211690771	0.0028571652	0.0819494213	-0.1183666341	-0.0166645055	-0.0773498881	-0.0024464043	0.1196203728	-0.0395800135	-0.0123811493	-0.0129071226	-0.0289081262	0.0441108528	-0.1337416986	-0.0550136494	0.0758121008	-0.0360586483	-0.0032101728	0.0400831006	-0.0712568354	0.0269764139	-0.0628518733	0.1455307163	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0159578	0.0014908	0.00025465138084	2.2224846400000014e-06	-0.0808728999999999	-0.0168188999999999	0.0065404259544099	0.0002828753972099	0.115765	-0.024231	0.013401535225	0.000587141361	0.00235622	0.00010893	5.5517726884e-06	1.1865744900000031e-08	-0.00013859	-5.465780000000003e-05	2.9874751008400034e-09	1.9207188100000003e-08	-0.000504164	0.000420986	2.54181338896e-07	1.7722921219600004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45648.3780082343	91.18920527540467	2083774414.7826488	8315.471158759892	78119.22775636044	371.7588044011791	6102613745.250116	138204.60864979413	43441.76620548543	57.63215504413529	3321.4652950312484	1887187051.052056	54086.01816787614	44301.32641770791	0.792073	19.376057	0.100232545	0.0472122	-0.0306560117	-0.0262134829	-0.0129598778	-0.0419664377	0.0011962323	0.0396395555	0.0325250231	0.1495214614	-0.0697570482	0.0358286834	-0.0137319024	-0.0245584863	0.0725883431	-0.0564274374	-0.1323471476	0.044272766	0.074693944	0.0357359808	-0.0125734876	-0.0896655715	0.0024053273	-0.076242349	0.0071121278	0.0597771189	-0.1306020853	0.0836544736	-0.1392560783	-0.1040552067	0.0008545624	0.0627522791	0.0270375399	0.0358489564	-0.0313084798	-0.0063716616	0.0221743813	-0.029041332	0.0103280247	0.0029682137	0.06978185	-0.1090756374	-0.0182760049	0.1048662537	-0.0571721016	0.0461077264	0.0323915175	-0.0327480037	0.0096169836	-0.0214045534	0.0393317825	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0207943	0.0048365	0.00043240291249	2.3391732250000005e-05	-0.0601673	0.0207055999999999	0.00362010398929	0.0004287218713599	0.132911	0.0171459999999999	0.017665333921	0.0002939853159999	0.00180923	-0.00054699	3.2733131929e-06	2.991980601e-07	4.43229e-05	0.0001829129	3.345712898641e-08	1.9645194644100003e-09	-0.00092515	-0.000420986	8.559025225e-07	1.7722921219600004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45638.34843139465	-10.0295768396536	2082858847.5453825	100.59241158251592	77726.25332849313	-392.974427867317	6041370456.485089	154428.90095764512	43394.79488659688	-46.97131888855074	2206.304798129924	1883108223.2498147	54078.96052072437	43995.03763578912	0.8632419999999998	21.117033	0.038766505	0.023164	-0.0425736208	-0.0265508635	-0.0174650984	-0.0409364828	-0.0066898283	-0.0138868876	0.0171004243	0.0535368822	-0.0395989498	0.0883678554	-0.0367852644	0.0053607275	0.0820635233	-0.1425841597	0.0005688178	0.0158346439	0.1290675822	0.0259506994	-0.0130597328	-0.0778204899	-0.0211879679	0.0110604114	-0.012509157	-0.0653230605	0.0607771468	-0.0764593793	-0.0480905922	0.0582198121	0.019935468	0.0288883723	-0.1147267782	0.0028001541	0.0076388285	-0.0067270381	-0.1251262122	-0.0415656938	0.0065704068	0.0037176044	0.0924699977	-0.0030180197	-0.0688837896	0.0779210526	0.0040509065	0.0405165643	0.0635259808	-0.1050792095	-0.0175405699	-0.0800691626	0.014525159	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.0207668	-2.7500000000003216e-05	0.0004312599822399	7.562500000001769e-10	-0.0625629	-0.0023956	0.00391411645641	5.738899360000023e-06	0.153141	0.0202299999999999	0.023452165881	0.0004092528999999	0.00191015	0.00010092	3.6486730225e-06	1.01848464e-08	0.000265671	0.0002213481	4.899498137361e-08	7.0581080241e-08	-0.00092515	0.0	8.559025225e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
