onset	duration	trial_type	identifier	correct_response
26.02	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.barriers.c.4.mp4"]	true & true
52.06	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.barriers.c.2.mp4"]	true & false
78.1	26	social	["fischer_videos/social.barriers.c.2.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	false & true
104.15	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	false & false
130.18	26	physics	["fischer_videos/physics.nobarriers.i.10.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	true & false
156.24	26	physics	["fischer_videos/physics.barriers.c.10.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	false & true
182.28	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.barriers.i.1.mp4"]	true & false
208.32	26	physics	["fischer_videos/physics.nobarriers.c.1.mp4"] & ["fischer_videos/physics.nobarriers.c.7.mp4"]	true & false
260.36	26	physics	["fischer_videos/physics.nobarriers.c.9.mp4"] & ["fischer_videos/physics.nobarriers.c.5.mp4"]	true & true
286.4	26	social	["fischer_videos/social.nobarriers.c.9.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	false & false
312.45	26	physics	["fischer_videos/physics.barriers.c.6.mp4"] & ["fischer_videos/physics.barriers.c.4.mp4"]	true & false
338.49	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	true & true
364.53	26	social	["fischer_videos/social.nobarriers.c.7.mp4"] & ["fischer_videos/social.barriers.c.6.mp4"]	true & false
390.59	26	social	["fischer_videos/social.barriers.i.9.mp4"] & ["fischer_videos/social.barriers.i.7.mp4"]	true & false
416.61	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.nobarriers.i.6.mp4"]	false & true
442.66	26	social	["fischer_videos/social.nobarriers.c.1.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	false & false
