onset	duration	trial_type	identifier	correct_response
26.02	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	true & true
52.04	26	physics	["fischer_videos/physics.nobarriers.c.9.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & true
78.06	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & true
104.08	26	social	["fischer_videos/social.nobarriers.c.7.mp4"] & ["fischer_videos/social.barriers.i.7.mp4"]	true & true
130.12	26	physics	["fischer_videos/physics.barriers.c.10.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	true & true
156.15	26	physics	["fischer_videos/physics.nobarriers.c.1.mp4"] & ["fischer_videos/physics.nobarriers.c.5.mp4"]	false & false
182.2	26	social	["fischer_videos/social.nobarriers.c.1.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	false & true
208.24	26	physics	["fischer_videos/physics.nobarriers.i.8.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	false & false
260.28	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.nobarriers.c.7.mp4"]	false & true
286.31	26	social	["fischer_videos/social.nobarriers.i.8.mp4"] & ["fischer_videos/social.barriers.c.10.mp4"]	true & true
312.36	26	physics	["fischer_videos/physics.barriers.c.4.mp4"] & ["fischer_videos/physics.nobarriers.i.10.mp4"]	true & false
338.41	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.nobarriers.i.6.mp4"]	true & false
364.46	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	true & false
390.5	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.barriers.c.6.mp4"]	false & true
416.54	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.barriers.c.2.mp4"]	true & true
442.58	26	social	["fischer_videos/social.barriers.i.3.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	false & true
