onset	duration	trial_type	identifier	response
4.000004	9.968175	experimental_trial	48.mov	n/a
18.0003	9.968996	experimental_trial	39.mov	n/a
30.00052	9.97047	experimental_trial	45.mov	n/a
42.00082	9.971971	experimental_trial	34.mov	n/a
54.00099	9.970496	experimental_trial	5.mov	n/a
66.0013	9.973644	experimental_trial	10.mov	n/a
80.0016	9.971925	experimental_trial	8.mov	n/a
92.00189	9.96831	experimental_trial	9.mov	n/a
104.0022	9.96653	experimental_trial	36.mov	n/a
116.0025	9.966626	attention_check	n2.mov	Neutral
134.0242	9.97511	experimental_trial	23.mov	n/a
146.0244	9.971678	experimental_trial	30.mov	n/a
158.0248	9.968021	experimental_trial	37.mov	n/a
170.0251	9.968683	attention_check	f3.mov	Friendly
188.0486	9.975458	experimental_trial	38.mov	n/a
200.0488	9.966046	experimental_trial	4.mov	n/a
212.049	9.967031	experimental_trial	7.mov	n/a
224.0493	9.963708	experimental_trial	50.mov	n/a
236.0495	9.96769	experimental_trial	15.mov	n/a
250.0498	9.966991	experimental_trial	22.mov	n/a
262.0501	9.966893	experimental_trial	13.mov	n/a
274.0504	9.96762	attention_check	n1.mov	Neutral
290.0811	9.9694	experimental_trial	28.mov	n/a
302.0815	9.966065	experimental_trial	6.mov	n/a
314.0818	9.971791	experimental_trial	3.mov	n/a
326.082	9.970428	experimental_trial	16.mov	n/a
338.0823	9.966254	experimental_trial	35.mov	n/a
350.0826	9.967073	experimental_trial	12.mov	n/a
