onset	duration	trial_type	identifier	response
4.000288	9.968232	experimental_trial	34.mov	n/a
16.00056	9.970819	experimental_trial	7.mov	n/a
28.00089	9.970234	experimental_trial	48.mov	n/a
40.00117	9.977168	experimental_trial	18.mov	n/a
52.00147	9.972592	experimental_trial	39.mov	n/a
66.00177	9.967696	experimental_trial	12.mov	n/a
78.0021	9.970387	experimental_trial	20.mov	n/a
90.00241	9.972624	experimental_trial	16.mov	n/a
102.0027	9.96859	experimental_trial	9.mov	n/a
114.003	9.968349	experimental_trial	23.mov	n/a
126.0032	9.971643	experimental_trial	40.mov	n/a
140.0034	9.968113	experimental_trial	3.mov	n/a
152.0038	9.965644	experimental_trial	6.mov	n/a
164.004	9.97582	experimental_trial	29.mov	n/a
176.0043	9.965894	experimental_trial	50.mov	n/a
188.0046	9.971047	experimental_trial	36.mov	n/a
200.0049	9.97498	experimental_trial	37.mov	n/a
214.0052	9.966363	experimental_trial	14.mov	n/a
226.0055	9.965795	experimental_trial	35.mov	n/a
238.0058	9.973601	experimental_trial	47.mov	n/a
250.0061	9.972225	experimental_trial	8.mov	n/a
262.0064	9.970118	experimental_trial	33.mov	n/a
274.0067	9.968445	attention_check	a1.mov	Friendly
290.0315	9.973629	attention_check	n2.mov	Neutral
306.0621	9.977126	experimental_trial	1.mov	n/a
318.0624	9.968329	experimental_trial	13.mov	n/a
332.0627	9.972301	experimental_trial	28.mov	n/a
346.063	9.965585	attention_check	n1.mov	Neutral
