onset	duration	trial_type	identifier	correct_response
26.02	26	social	["fischer_videos/social.barriers.c.2.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	true & true
52.07	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.barriers.c.10.mp4"]	true & true
78.11	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.barriers.c.4.mp4"]	true & false
104.15	26	social	["fischer_videos/social.nobarriers.c.1.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	true & false
130.18	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.barriers.c.2.mp4"]	false & true
156.22	26	physics	["fischer_videos/physics.nobarriers.i.6.mp4"] & ["fischer_videos/physics.nobarriers.c.5.mp4"]	true & false
182.26	26	social	["fischer_videos/social.barriers.i.3.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	true & false
208.3	26	physics	["fischer_videos/physics.nobarriers.i.10.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	true & true
260.34	26	physics	["fischer_videos/physics.barriers.c.6.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	true & true
286.38	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	true & false
312.41	26	physics	["fischer_videos/physics.nobarriers.c.9.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	true & true
338.46	26	physics	["fischer_videos/physics.barriers.c.4.mp4"] & ["fischer_videos/physics.barriers.i.7.mp4"]	false & true
364.5	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	true & false
390.54	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.nobarriers.i.2.mp4"]	true & true
416.59	26	physics	["fischer_videos/physics.nobarriers.c.1.mp4"] & ["fischer_videos/physics.barriers.i.1.mp4"]	true & true
442.63	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	false & true
