onset	duration	trial_type	identifier	response
4.000005	9.972383	experimental_trial	43.mov	n/a
16.00026	9.975731	experimental_trial	34.mov	n/a
28.00051	9.969906	experimental_trial	2.mov	n/a
40.00082	9.971137	experimental_trial	48.mov	n/a
52.00109	9.968883	experimental_trial	37.mov	n/a
64.00135	9.968098	experimental_trial	10.mov	n/a
76.00161	9.970124	experimental_trial	7.mov	n/a
88.00188	9.970942	experimental_trial	42.mov	n/a
100.0021	9.966418	experimental_trial	21.mov	n/a
112.0023	9.966811	experimental_trial	20.mov	n/a
126.0025	9.96752	experimental_trial	35.mov	n/a
138.0028	9.968611	experimental_trial	33.mov	n/a
150.003	9.968691	experimental_trial	24.mov	n/a
162.0033	9.972195	experimental_trial	5.mov	n/a
176.0036	9.968757	experimental_trial	17.mov	n/a
190.004	9.977568	experimental_trial	27.mov	n/a
202.0043	9.970542	attention_check	f3.mov	Neutral
218.0124	9.987672	experimental_trial	50.mov	n/a
230.0128	9.96596	experimental_trial	40.mov	n/a
242.0131	9.968749	experimental_trial	18.mov	n/a
254.0133	9.966106	attention_check	a1.mov	Adversarial
270.0197	9.969951	experimental_trial	8.mov	n/a
282.02	9.969865	experimental_trial	30.mov	n/a
296.0202	9.971917	experimental_trial	47.mov	n/a
308.0205	9.974791	experimental_trial	26.mov	n/a
320.0208	9.969694	experimental_trial	13.mov	n/a
332.021	9.968933	experimental_trial	16.mov	n/a
346.0213	9.967891	attention_check	a2.mov	Friendly
