onset	duration	trial_type	identifier	response
4.000309	9.970039	experimental_trial	2.mov	n/a
16.00062	9.969418	experimental_trial	17.mov	n/a
28.00092	9.970724	experimental_trial	32.mov	n/a
40.00124	9.974464	experimental_trial	13.mov	n/a
52.00154	9.969124	experimental_trial	1.mov	n/a
66.00184	9.970159	experimental_trial	35.mov	n/a
78.00214	9.968796	experimental_trial	19.mov	n/a
90.0026	9.971033	experimental_trial	25.mov	n/a
102.0029	9.967816	experimental_trial	49.mov	n/a
114.0032	9.965936	experimental_trial	40.mov	n/a
126.0035	9.966722	experimental_trial	39.mov	n/a
140.0038	9.96745	experimental_trial	46.mov	n/a
152.0041	9.966503	experimental_trial	48.mov	n/a
164.0044	9.966096	experimental_trial	47.mov	n/a
176.0047	9.967906	experimental_trial	3.mov	n/a
188.0049	9.970463	experimental_trial	14.mov	n/a
200.0052	9.967878	experimental_trial	18.mov	n/a
214.0056	9.968493	experimental_trial	31.mov	n/a
226.0058	9.96498	experimental_trial	36.mov	n/a
238.006	9.971058	experimental_trial	38.mov	n/a
250.0063	9.96885	experimental_trial	30.mov	n/a
262.0066	9.970721	experimental_trial	15.mov	n/a
274.0069	9.966248	attention_check	a1.mov	Adversarial
290.0323	9.975877	attention_check	n2.mov	Neutral
306.0628	9.970622	experimental_trial	8.mov	n/a
318.0631	9.966759	experimental_trial	6.mov	n/a
332.0634	9.968788	experimental_trial	37.mov	n/a
346.0639	9.972565	attention_check	n1.mov	Neutral
