onset	duration	trial_type	identifier	response
4.000004	9.97207	experimental_trial	6.mov	n/a
16.0003	9.970152	experimental_trial	38.mov	n/a
30.00047	9.974911	experimental_trial	50.mov	n/a
44.00078	9.976487	experimental_trial	27.mov	n/a
58.00107	9.968149	experimental_trial	14.mov	n/a
70.00135	9.966982	experimental_trial	26.mov	n/a
82.00166	9.972998	experimental_trial	17.mov	n/a
94.00193	9.967416	experimental_trial	18.mov	n/a
106.0022	9.968356	experimental_trial	28.mov	n/a
118.0025	9.968781	experimental_trial	29.mov	n/a
130.0028	9.970234	experimental_trial	39.mov	n/a
142.0031	9.972902	experimental_trial	33.mov	n/a
154.0034	9.967178	experimental_trial	44.mov	n/a
166.0037	9.968762	experimental_trial	15.mov	n/a
178.004	9.965376	experimental_trial	23.mov	n/a
190.0043	9.969538	experimental_trial	30.mov	n/a
204.0046	9.966158	experimental_trial	4.mov	n/a
216.0049	9.967216	attention_check	a1.mov	Neutral
232.0292	9.973421	experimental_trial	40.mov	n/a
244.0295	9.970279	experimental_trial	5.mov	n/a
256.0298	9.967509	attention_check	f2.mov	Friendly
272.0493	9.980884	experimental_trial	46.mov	n/a
286.0496	9.967045	experimental_trial	7.mov	n/a
298.0499	9.969257	experimental_trial	21.mov	n/a
310.0502	9.966606	experimental_trial	10.mov	n/a
322.0505	9.971857	experimental_trial	41.mov	n/a
334.0508	9.967366	experimental_trial	48.mov	n/a
346.0511	9.971948	attention_check	a3.mov	Adversarial
