onset	duration	trial_type	identifier	response
4.000006	9.969441	experimental_trial	44.mov	n/a
16.0003	9.967391	experimental_trial	16.mov	n/a
28.00064	9.971872	experimental_trial	32.mov	n/a
40.00093	9.968672	experimental_trial	1.mov	n/a
52.0013	9.967563	experimental_trial	33.mov	n/a
64.0016	9.967693	experimental_trial	48.mov	n/a
76.00182	9.96839	experimental_trial	7.mov	n/a
88.00211	9.966415	experimental_trial	27.mov	n/a
100.0025	9.968968	experimental_trial	18.mov	n/a
112.0028	9.966921	experimental_trial	13.mov	n/a
126.0031	9.966663	experimental_trial	42.mov	n/a
138.0034	9.968469	experimental_trial	22.mov	n/a
150.0038	9.966791	experimental_trial	24.mov	n/a
162.0041	9.965558	experimental_trial	36.mov	n/a
176.0044	9.966605	experimental_trial	43.mov	n/a
190.0047	9.976907	experimental_trial	10.mov	n/a
202.0049	9.966153	attention_check	f3.mov	Neutral
218.0228	9.971607	experimental_trial	5.mov	n/a
230.0231	9.966821	experimental_trial	46.mov	n/a
242.0233	9.966441	experimental_trial	20.mov	n/a
254.0236	9.967109	attention_check	a1.mov	Adversarial
270.0472	9.968813	experimental_trial	31.mov	n/a
282.0475	9.966592	experimental_trial	35.mov	n/a
296.0478	9.967356	experimental_trial	28.mov	n/a
308.048	9.968075	experimental_trial	17.mov	n/a
320.0483	9.965367	experimental_trial	4.mov	n/a
332.0486	9.972355	experimental_trial	14.mov	n/a
346.0489	9.967766	attention_check	a2.mov	Adversarial
