onset	duration	trial_type	identifier	correct_response
26.03	26	social	["fischer_videos/social.nobarriers.c.7.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	true & true
52.07	26	physics	["fischer_videos/physics.nobarriers.i.10.mp4"] & ["fischer_videos/physics.nobarriers.i.6.mp4"]	false & true
78.1	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.barriers.c.10.mp4"]	true & false
104.13	26	social	["fischer_videos/social.barriers.i.9.mp4"] & ["fischer_videos/social.barriers.i.7.mp4"]	true & false
130.16	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.barriers.c.10.mp4"]	false & true
156.19	26	physics	["fischer_videos/physics.nobarriers.i.8.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & true
182.23	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.nobarriers.i.10.mp4"]	false & true
208.25	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	false & true
260.29	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	false & true
286.33	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	true & true
312.36	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.barriers.c.2.mp4"]	false & true
338.4	26	physics	["fischer_videos/physics.barriers.c.4.mp4"] & ["fischer_videos/physics.nobarriers.c.1.mp4"]	true & false
364.42	26	social	["fischer_videos/social.barriers.i.3.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & true
390.46	26	social	["fischer_videos/social.nobarriers.c.5.mp4"] & ["fischer_videos/social.barriers.i.1.mp4"]	false & true
416.49	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	false & true
442.52	26	social	["fischer_videos/social.nobarriers.c.1.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	false & false
