onset	duration	trial_type	identifier	correct_response
26.03	26	social	["fischer_videos/social.nobarriers.c.9.mp4"] & ["fischer_videos/social.barriers.c.10.mp4"]	true & true
52.07	26	physics	["fischer_videos/physics.nobarriers.i.8.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	true & false
78.11	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	true & true
104.15	26	social	["fischer_videos/social.barriers.i.3.mp4"] & ["fischer_videos/social.barriers.c.4.mp4"]	true & false
130.18	26	physics	["fischer_videos/physics.nobarriers.i.6.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	true & true
156.23	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.barriers.i.7.mp4"]	false & true
182.26	26	social	["fischer_videos/social.nobarriers.i.6.mp4"] & ["fischer_videos/social.nobarriers.c.1.mp4"]	true & true
208.32	26	physics	["fischer_videos/physics.nobarriers.c.9.mp4"] & ["fischer_videos/physics.barriers.i.3.mp4"]	false & true
260.36	26	physics	["fischer_videos/physics.nobarriers.i.10.mp4"] & ["fischer_videos/physics.barriers.c.10.mp4"]	true & true
286.39	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	true & true
312.44	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.nobarriers.c.5.mp4"]	true & true
338.48	26	physics	["fischer_videos/physics.barriers.c.4.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & true
364.5	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.barriers.i.7.mp4"]	true & true
390.53	26	social	["fischer_videos/social.barriers.c.2.mp4"] & ["fischer_videos/social.nobarriers.i.2.mp4"]	false & true
416.56	26	physics	["fischer_videos/physics.barriers.c.2.mp4"] & ["fischer_videos/physics.nobarriers.c.1.mp4"]	true & true
442.6	26	social	["fischer_videos/social.nobarriers.i.8.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	true & true
