onset	duration	trial_type	identifier	correct_response
26.03	26	social	["fischer_videos/social.nobarriers.c.7.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	false & true
52.09	26	physics	["fischer_videos/physics.nobarriers.c.9.mp4"] & ["fischer_videos/physics.barriers.i.3.mp4"]	false & true
78.12	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	false & true
104.15	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	true & true
130.19	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.barriers.i.1.mp4"]	true & false
156.23	26	physics	["fischer_videos/physics.nobarriers.i.6.mp4"] & ["fischer_videos/physics.nobarriers.i.10.mp4"]	false & true
182.28	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	true & true
208.33	26	physics	["fischer_videos/physics.barriers.i.9.mp4"] & ["fischer_videos/physics.nobarriers.c.5.mp4"]	false & true
260.37	26	physics	["fischer_videos/physics.nobarriers.i.2.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & true
286.4	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	false & false
312.43	26	physics	["fischer_videos/physics.barriers.c.2.mp4"] & ["fischer_videos/physics.nobarriers.c.1.mp4"]	true & true
338.5	26	physics	["fischer_videos/physics.barriers.c.10.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	false & true
364.53	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.nobarriers.c.1.mp4"]	false & false
390.56	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	false & false
416.62	26	physics	["fischer_videos/physics.barriers.c.4.mp4"] & ["fischer_videos/physics.nobarriers.c.7.mp4"]	false & false
442.67	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	false & false
