global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28
57854.61992393704	n/a	n/a	3347157046.543213	89314.10238241254	n/a	7977008884.37607	n/a	56647.82787298387	n/a	n/a	3208976402.7272086	65328.22529544734	59210.60201318359	n/a	n/a	n/a	n/a	-0.0351495902	0.2275501835	-0.2031980835	-0.1851252635	0.0097670617	-0.0390586122	0.1295401429	-0.1733324311	0.3789072016	-0.1889311493	0.0644922829	-0.0279658451	0.1174421059	-0.1118069009	0.1927361072	-0.2937677041	0.1184407731	-0.1295324419	0.0355133893	-0.0518329032	0.0578230483	0.0329537991	-0.0317023048	0.04041525	-0.1834740622	0.1078663905	-0.0847097241	0.0507918085	-0.0876889386	0.018792934	-0.105396809	0.0006188672	-0.1451120378	0.0566863596	-0.1637086487	-0.0306842512	0.0240710665	-0.1214963515	0.0596750236	-0.2922133645	0.3822900271	0.0949352295	-0.1206498549	0.1192688918	-0.0090331554	0.1519073227	-0.1637964372	0.0749708342	-0.1318802322	0.1620679968	-0.1238993991	0.0722637972	0.1203780544	0.1203546593	0.1203156708	0.0285297	n/a	n/a	0.00081394378209	0.0574911	n/a	0.00330522657921	n/a	-0.627531	n/a	n/a	0.3937951559609999	0.0074298899999999	n/a	n/a	5.520326541209852e-05	-0.00297911	n/a	n/a	8.875096392100001e-06	-0.00101764	n/a	n/a	1.0355911696e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57868.47278162775	13.852857690711971	191.9016661991178	3348760142.077992	89097.54231548635	-216.5600669261912	7938372046.659882	46898.26258707642	56487.20416456653	-160.62370841734082	25799.975705738925	3190804234.3294225	65048.80804449556	60956.696563476566	1.964979	40.536083	0.2296457999999999	0.176552	-0.0704391439	0.0353679224	-0.0487434364	-0.1246715141	0.0267351519	-0.0111348665	-0.0031627204	-0.1749127836	0.1364813773	-0.1509297007	-0.0284006627	-0.226256171	0.0323857796	-0.2220102622	0.0689357967	-0.1168220559	-0.0056368017	-0.0687533577	0.0051031377	0.0505096891	-9.35364e-05	-0.0270746774	-0.0884201312	-0.0246718251	-0.0447906017	-0.0153626	-0.0276785923	0.0386471215	0.0997307108	0.0060699781	-0.0136793536	-0.0074022699	-0.0306570957	0.0621082848	-0.1129136169	0.0230247392	-0.1726863286	-0.1268471969	-0.0891863215	-0.1345233111	0.1607060601	-0.1017288846	-0.0554094393	0.1213819545	-0.1033304673	0.0015251439	0.1680503283	0.1727975621	-0.1400025009	-0.000617398	-0.0952541115	-0.0062638503	0.1203156708	0.1201052059	0.1197547036	0.0354805	0.0069507999999999	4.8313620639999954e-05	0.00125886588025	0.0664426	0.0089515	0.00441461909476	8.012935225000002e-05	-0.46218	0.1653509999999999	0.0273409532009999	0.2136103523999999	0.00686983	-0.0005600599999998	3.136672035998876e-07	4.719456422890001e-05	-0.00258072	0.00039839	1.5871459210000018e-07	6.660115718399999e-06	-0.00102704	-9.399999999999903e-06	8.835999999999817e-11	1.0548111615999998e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57559.26209612136	-309.2106855063903	95611.2480313318	3313068653.049993	89038.90273704138	-58.63957844497054	7927926200.616316	3438.6001602038536	56486.356626449095	-0.8475381174357608	0.7183208605065534	3190708484.9303894	64965.33228703997	58952.32228759766	1.396081	28.800121	0.09304345	0.0455441	-0.0615177954	0.0074333194	-0.0845734116	-0.0732185957	-0.072960468	-0.0675667752	0.0679239626	-0.242223856	0.048021112	-0.1502303663	-0.17636175	-0.0777812219	-0.1228066166	-0.1054463791	0.1417597936	-0.111473828	-0.0186881323	0.0922376134	-0.0990819705	0.0215109929	0.0073212878	0.0454844811	0.0113082596	-0.0551435286	-0.1119373674	0.0107631146	-0.1510420268	0.1269299943	0.0197526772	-0.1322527232	0.0739111986	0.041510674	-0.1485912877	0.0199998748	-0.076971994	0.0998794042	-0.1124117782	-0.1916043831	0.1232444561	-0.1082355169	0.126209205	-0.0768439613	-0.1361295916	0.0205995226	-0.0503590523	0.019230432	0.0806680132	-0.0967208362	-0.1287758341	-0.0084964477	0.0523052246	0.1273584271	0.120190936	0.1196068161	0.1186353847	0.0387683	0.0032878	1.0809628840000004e-05	0.00150298108489	0.0461269	-0.0203157	0.00212769090361	0.00041272766649	-0.476602	-0.014422	0.000207994084	0.227149466404	0.00722537	0.0003555399999999	1.2640869159999978e-07	5.22059716369e-05	-0.00198423	0.0005964899999999	3.5580032009999986e-07	3.9371686929e-06	-0.000878711	0.0001483289999999	2.200149224099997e-08	7.72133021521e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57843.15292307047	283.8908269491076	80594.00162584815	3345830340.081716	89124.72665915635	85.82392211497063	7943216902.069335	7365.745607196544	56423.46390656502	-62.89271988407563	3955.494214416802	3183607279.215445	64897.44083220971	59432.87768444824	1.127073	23.250685	0.320387765	0.172533	-0.0877460622	0.0097840953	0.0192326111	-0.0748438521	-0.1722239265	-0.1608827749	-0.0333984586	-0.0540335551	0.0138634615	-0.1445809402	-0.2802018233	-0.0694400692	-0.1578691427	-0.0957708223	0.1113778227	-0.168337658	-0.0316906006	0.0476761911	0.0091382939	-0.0951909737	-0.1075367872	0.1324999223	0.1428291303	0.1226385446	0.0710912596	0.0673252414	-0.059477353	-0.0275498617	0.1692963463	0.1546880507	0.0312684708	0.0375567739	0.2210857138	-0.0946992321	-0.0686528898	0.145007588	-0.1373433855	-0.1991867052	0.0956174483	0.0862909357	0.2508543802	0.0549377844	0.0096046106	-0.1516297723	0.0923295563	-0.0973230994	0.0805458051	-0.1127822613	-0.0366208773	0.1064191081	0.1111879784	-0.1346901319	0.1200039147	0.1188605229	0.1169629329	0.0110735	-0.0276948	0.0007670019470399	0.00012262240225	0.0522178	0.0060909	0.00272669863684	3.709906281000004e-05	-0.446438	0.030164	0.000909866896	0.199306887844	0.00481646	-0.00240891	5.802847388100001e-06	2.31982869316e-05	-0.000121228	0.001863002	3.4707764520040005e-06	1.4696227984e-08	-2.18617e-05	0.0008568493	7.3419072291049e-07	4.779339268900001e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58100.57457034445	257.42164727397903	66265.90448524887	3375676765.404156	89432.1592096843	307.4325505279412	7998111100.90632	94514.77312411512	56594.41479492188	170.9508883568633	29224.20623000073	3202927785.979673	65058.89891933693	59286.81297860718	1.323509	27.303026	0.253657015	0.147902	-0.0470415212	-0.0007638592	0.0538895662	-0.0058767366	-0.0803340376	0.0151806492	-0.0369169187	-0.1898999906	0.0053225283	-0.0008867938	-0.1417397154	0.0555242677	-0.0951909079	0.1355590814	0.0432876958	0.0272763833	-0.1311649808	0.130669436	0.062164181	0.0185459657	-0.021810221	-0.0322642984	0.1154542175	0.0624521524	-0.0030508249	0.078308435	0.1331853212	-0.226067622	-0.1620396937	-0.020297296	-0.0097947001	0.0863967343	-0.0658874901	-0.0573127401	-0.0022236019	0.112087618	-0.0511409879	-0.065132511	0.0433380092	0.0077078337	-0.0268436786	0.0023669226	-0.0131772722	-0.1061867543	0.2778263676	-0.1412442298	-0.0382053017	-0.0715686908	0.0024884766	-0.0145466741	0.0289057685	0.0765686593	0.1197547036	0.1178678731	0.1147451459	0.00156795	-0.00950555	9.03554808025e-05	2.4584672025e-06	0.0441741	-0.0080437	0.00195135111081	6.470110969000002e-05	-0.328598	0.11784	0.0138862656	0.107976645604	0.00400871	-0.0008077499999999	6.524600624999991e-07	1.6069755864100004e-05	-0.00129728	-0.001176052	1.3830983067040004e-06	1.6829353984000002e-06	-0.000403415	-0.0003815533	1.4558292074089002e-07	1.6274366222500004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58056.23940186411	-44.33516848033469	1965.6071641796625	3370526933.4865594	89151.95583804394	-280.203371640353	7948071229.748537	78513.92947862178	56748.8775437878	154.4627488659171	23858.74078721537	3220435102.479823	65044.993567576144	60008.30478564453	1.156155	23.850626	0.22748753	0.14505	-0.0725121374	-0.0747046271	-0.073084226	-0.0443992677	0.0489763688	-0.0889011424	0.0018668665	-0.0758682885	-0.0100542731	-0.0502760795	0.1218657907	-0.0319619338	-0.01341268	-0.0086763429	0.1139024343	0.1696579165	0.0268474309	0.1228296085	0.0129986712	-0.1148737614	0.1780151462	0.1203355063	-0.0840285276	-0.0352929657	-0.0235325412	0.050299552	-0.013449638	-0.1199785202	0.0751693141	-0.0506301745	-0.0067914766	0.0171958236	-0.0178213383	0.1027054703	0.007720905	-0.0506999354	0.0513574271	-0.0987537332	-0.0628213334	-0.0740921887	-0.0388157625	0.0094670079	0.1181998839	0.1595878095	-0.0888920183	-0.1279125363	0.0237842351	-0.2041851244	0.0342507527	0.0051394881	-0.0651269834	0.065738004	0.1194434321	0.1166309242	0.111992364	0.00499328	0.00342533	1.17328856089e-05	2.49328451584e-05	0.0617159	0.0175417999999999	0.00380885231281	0.0003077147472399	-0.253315	0.0752829999999999	0.0056675300889999	0.064168489225	0.00204132	-0.00196739	3.870623412100001e-06	4.1669873424e-06	-0.00078392	0.00051336	2.6353848960000004e-07	6.145305664e-07	-0.000547413	-0.0001439979999999	2.0735424003999984e-08	2.99660992569e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57860.308436365725	-195.9309654983881	38388.94324113055	3347815292.3513746	89323.73019544582	171.7743574018823	7978728776.0288	29506.4298608296	56648.84964875252	-100.02789503528038	10005.57978518907	3209092166.5269685	65203.33753271732	59063.16186135864	1.134165	23.396984	0.07729908	0.0378866	-0.0104368424	0.0337449009	-0.1221153715	-0.0586275266	0.1587584329	-0.0097318535	0.0880599098	0.0014861912	-0.019337435	-0.0396411291	0.0716920247	-0.0281770556	-0.1550792782	0.0452561338	0.1667687102	0.0450139778	0.1005087663	0.0436963531	-0.007402162	0.0470427415	-0.0368795956	-0.105506936	-0.0058998305	-0.1277038458	0.0948284273	-0.1035078948	-0.0719973527	-0.0083799048	0.0720321002	0.0273467956	0.1182430636	0.1104280617	-0.0895370246	-0.0160416679	-0.0367335922	-0.1544182974	0.0478851174	-0.0422623193	0.0341768986	-0.0715847165	-0.0516453482	-0.0868281215	0.0236451589	-0.0235325654	0.0160037725	-0.0640933013	0.1825719265	-0.0142497205	0.094512953	0.000999435	0.139047729	0.0500623531	0.1190702613	0.1151522399	0.1087174221	-0.00367765	-0.00867093	7.518502706490001e-05	1.3525109522500002e-05	0.0764587999999999	0.0147428999999999	0.0058459480974399	0.0002173531004099	-0.224605	0.02871	0.0008242641	0.050447406025	0.00211964	7.831999999999978e-05	6.134022399999965e-09	4.4928737296e-06	-0.000653841	0.000130079	1.6920546241000022e-08	4.275080532809999e-07	-0.000842519	-0.000295106	8.708755123600003e-08	7.09838265361e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57947.117223467234	86.80878710150864	7535.765518035053	3357868394.510253	89953.75637931954	630.0261838737206	8091678286.749971	396932.9923664832	56636.485698084674	-12.36395066784462	152.86727611689545	3207691512.22935	65382.69778315356	58669.94367773437	1.099617	22.684298	0.1125743399999999	0.0532273	0.0200192512	-0.0134010138	0.0030454128	-0.0040504727	-0.0439429813	0.0159821674	0.0646812411	-0.0163357616	-0.122581571	-0.0214943433	-0.0336871646	-0.0378723544	-0.0499567954	0.0405760853	0.0178558656	-0.0549385681	-0.0681826147	0.037566619	0.0609087073	0.1110529254	0.0677546145	-0.0513934129	-0.0343947587	-0.0501352045	0.0591606231	-0.172911887	0.1817503102	0.1904807096	0.0850194697	0.0160372454	-0.1030480488	-0.1292547021	-0.0605020523	-0.0066691808	-0.0310472868	0.0172275147	-0.0472309754	0.0231193023	0.0722230278	0.0635084686	-0.0032181273	-0.1426661315	-0.0565811664	-0.0064805681	-0.0075134768	-0.0975203771	0.0078450795	0.0688461728	0.0079571965	-0.0470345173	-0.0672593918	-0.0072243217	0.1186353847	0.1134348849	0.1049355893	-0.00616439	-0.0024867399999999	6.183875827599997e-06	3.799970407209999e-05	0.035681	-0.0407777999999999	0.0012731337609999	0.0016628289728399	-0.203774	0.0208309999999999	0.0004339305609999	0.041523843076	0.00250616	0.00038652	1.493977104e-07	6.280837945599999e-06	-0.000255306	0.0003985349999999	1.5883014622499998e-07	6.5181153636e-08	-0.00102704	-0.0001845209999999	3.4047999440999966e-08	1.0548111615999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58043.9266984508	96.80947498356544	9372.074446593584	3369097426.575129	89770.76980455418	-182.98657476536755	8058791111.302256	33484.086544361446	56542.48962008568	-93.9960779989924	8835.262679192663	3197053132.437497	65248.6734315514	58122.31197583008	1.005114	20.734768	0.10118891	0.0453541	0.0078745035	-0.0687609964	0.0537465699	0.0386581913	-0.1476880354	-0.0411411079	0.0336515837	0.0623011931	-0.1596401759	0.0080768699	-0.1541506429	0.0969431759	0.0371823744	0.1142018092	-0.0104677565	0.0387619256	-0.003398787	0.0649132749	-0.0775486466	0.0198276894	0.1210096489	-0.0400119733	0.1442863111	-0.0519978821	0.0823659377	0.0024131378	0.0288337661	-0.0366784312	-0.1206261762	-0.1288891509	0.1086025829	0.055683456	0.0051000941	0.1692653747	-0.0063373368	0.0838989661	-0.041660473	0.0407531937	0.2007330747	0.1302473721	-0.0262839021	-0.0547348626	0.152416913	0.0710495037	0.0353865124	-0.0093428869	0.0102183929	0.0135452216	0.0055475062	0.0104034426	0.0693541755	0.0307645381	0.1181390277	0.1114824189	0.1006644984	-0.0301369	-0.02397251	0.0005746812357001	0.00090823274161	0.0357867	0.0001057	0.0012806878968899	1.1172490000000053e-08	-0.21801	-0.0142359999999999	0.0002026636959999	0.0475283601	0.00211932	-0.0003868399999999	1.496451855999999e-07	4.4915172624000006e-06	-0.000418998	-0.000163692	2.6795070864000002e-08	1.75559324004e-07	-0.000320078	0.0007069619999999	4.997952694439998e-07	1.0244992608400001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58239.66456867463	195.73787022382749	38313.31383975993	3391858529.071735	89821.07327551728	50.30347096310288	8067825204.365845	2530.4391909357346	56674.87566154234	132.38604145665886	17526.0639725642	3212041531.2512846	65112.13207189879	59350.05734375	1.105448	22.804573	0.07568949	0.0407415	-0.0606261103	-0.0771085527	0.0430629036	0.0419814958	-0.2160824126	-0.0359780784	0.0044912112	0.0680393563	-0.0003049446	0.0293229582	-0.0557730441	0.1069024375	-0.0746581922	-0.0139578598	0.0293381306	0.1460432279	-0.0307488348	0.0442536938	0.0971349045	-0.0213670584	0.2018994098	0.0473860287	0.0819076357	-0.1207000027	0.0222161373	0.0598756195	-0.0560365023	0.1125583975	-0.111177517	0.0362266786	0.0714203101	0.136232872	0.0580732893	0.0792141741	0.0668125285	0.1277414682	0.1040579416	-0.0519403462	0.0503915684	0.0702720981	-0.0332528064	-0.043022659	0.1421174901	0.0123744678	-0.0209109779	-0.0504896647	0.0327684387	-0.0235784413	0.0544534003	-0.0332776182	-0.0605405135	0.151370906	0.1175814474	0.1092988885	0.0959240631	-0.0455027	-0.0153657999999999	0.0002361078096399	0.00207049570729	0.00570651	-0.03008019	3.25642563801e-05	0.0009048178304361	-0.228714	-0.0107039999999999	0.0001145756159999	0.052310093796	0.00218867	6.935000000000014e-05	4.809422500000019e-09	4.790276368900001e-06	-0.000413767	5.231000000000018e-06	2.7363361000000192e-11	1.71203130289e-07	-0.000636287	-0.000316209	9.998813168100003e-08	4.04861146369e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
