global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
79396.59120651946	n/a	6303818695.215163	n/a	132624.41929124217	n/a	n/a	17589236592.339207	77453.06293585527	n/a	n/a	5998976958.145557	88151.89022415043	85008.95204885698	n/a	n/a	n/a	n/a	-0.049035467	-0.0446364567	0.0344872825	0.0630912013	-0.0667663884	0.0605756966	0.0708400699	0.0104040652	-0.0233467847	-0.0261450657	-0.0383015581	0.0245650546	-0.1117052144	-0.0185055645	0.0334897785	-0.0799188144	0.0228370113	-0.0529007896	0.0453062279	-0.0714594858	0.0150767553	-0.0556083848	0.0837414233	-0.1806239985	0.0024815445	0.0536538373	-0.0846351468	-0.0163801424	0.084948146	-0.0370998348	0.0502614256	-0.0957102691	0.0864990503	-0.0415621435	0.0619011696	-0.0646273523	0.0740881745	-0.0932755781	0.0005878035	-0.0309590191	0.0724542907	-0.0181881738	0.0858408715	-0.0330197499	0.001899677	0.0162080633	-0.0319723403	0.0289144382	-0.0270807334	-0.0113995138	0.0848459671	-0.0711792313	-0.0847640216	0.0761645682	-0.0026966174	-0.0253955315	0.0047804566	-0.0475247104	0.0342342009	-0.0377317895	0.0217952525	-0.1230059956	0.063709304	-0.1020939767	0.0351799865	-0.1269555443	0.0443607892	-0.0215946128	0.0117601252	-0.0772823801	-0.0064262595	0.1217744138	-0.0747702394	0.0006291135	-0.0229186448	0.101010596	-0.0504589618	0.0928644121	-0.0411454846	0.0777113225	-0.0422079053	0.1575097945	-0.0045061405	0.0250671336	-0.0317783015	0.1250587058	-0.0562161678	0.0912628811	-0.0417800459	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.00909896	n/a	8.279107308159999e-05	n/a	-0.0473873	n/a	0.00224555620129	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0
79092.4275193486	-304.1636871708615	6255612090.903411	92515.5485933737	133292.45274539577	668.0334541535995	446268.6958683893	17766877958.883564	77457.86923725328	4.806301398013602	23.100533128547504	5999721506.775429	88122.37333037441	84104.73655494727	1.296031	22.37821	0.07743989	0.0410148	-0.042156341	0.0023081727	0.1331116477	0.0778106617	-0.0386605175	0.0193686452	0.0258508179	-0.0480032608	-0.0311631147	-0.0459821586	-0.0621806666	-0.0546228896	-0.0515810041	-0.015313443	0.0615435013	-0.0842420201	-0.0825560081	0.0006256937	0.0367861738	0.0327442551	0.0719660576	-0.0330447785	0.0847461814	0.0380934989	0.0585867501	0.0045945286	-0.0027925363	0.0130540121	0.0885764025	-0.0834100007	-0.090413083	-0.0193765325	-0.0199545839	0.0390690744	0.091683812	-0.0788821167	0.0370264978	-0.1795495768	-0.0202643253	0.1174853934	-0.0662559083	-0.025551156	-0.2485469206	-0.0333353769	0.1319404388	-0.0014833853	-0.0618865095	-0.0883027259	-0.0563039494	0.054543938	0.0045086744	0.033943119	-0.0842336447	0.0199297897	-0.01970206	-0.0262502395	-0.0072055164	0.0431628971	0.0962664789	-0.1894089816	-0.0026603143	-0.016431942	0.0255608502	-0.0134251516	0.0452596598	0.0537455554	0.0406739868	-0.0712982776	0.0016229505	-0.0906855376	-0.024126502	0.0081013695	-0.1142713305	-0.0849761465	-0.101329098	-0.0305392869	-0.1235591519	0.0011087416	0.1324112842	0.038280871	0.0755597877	0.0005996758	-0.142192801	-0.0462296345	0.0666420939	0.1627765293	0.0326499961	-0.1504785766	-0.1572954501	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0243329	0.01523394	0.00059209002241	0.0002320729279236	-0.047368	1.9299999999999876e-05	0.002243727424	3.7248999999999506e-10	0.0162995	0.0162995	0.00026567370025	0.00026567370025	0.000688329	0.000688329	4.73796812241e-07	4.73796812241e-07	-0.000229414	-0.000229414	5.2630783396e-08	5.2630783396e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79177.38520339716	84.9576840485679	6269058327.647136	7217.808078896288	132514.5183679467	-777.9343774490699	605181.8956170719	17560097578.288883	77398.10454564144	-59.764691611839226	3571.818363458246	5990466587.258042	88004.18905576107	84209.47244049223	1.080644	18.659197	0.0760626406	0.0350389	-0.0227238777	0.0511474455	0.1317886402	0.0205185048	-0.015309456	-0.0241237096	-0.0225809006	-0.0993158257	-0.0062718052	0.0079333743	-0.0121207376	-0.0266733281	0.1147908967	0.0379140705	0.1227493049	-0.0436969039	0.0422745286	-0.1054677102	0.0537794042	-0.0400194562	0.0670452847	0.0775005578	0.1096723656	0.0688764844	0.1176131102	0.110518299	-0.0070448381	0.0591007276	-0.0569763051	0.0203404659	-0.0291912658	-0.0204351333	0.0298493131	0.0234035877	-0.0458390069	0.1252241719	0.1020914715	-0.0195089424	-0.0984477238	-0.0376562897	-0.012407309	0.0427191941	-0.1032853202	0.0256095925	-0.0161394218	-0.1380313993	0.0898021534	-0.0072388221	0.0726208696	-0.0287186445	0.0261634256	-0.0054502153	-0.0276192267	0.0016116669	-0.0462480994	-0.0293151899	-0.0199378067	0.0922347848	0.1055916382	0.0332503991	-0.0396186982	0.0981724153	0.0073842997	0.0225355385	-0.0836455859	-0.0729768933	-0.0478553376	0.0303854398	0.0516432205	-0.1597441075	-0.0108608086	-0.0591075983	-0.0694162357	-0.0958371175	0.0286415304	0.0293130891	-0.0355977727	-0.0082413801	-0.0952565753	0.1132533562	-0.0180948559	-0.0457072737	0.0929275401	-0.0524970417	-0.0937313686	0.0061162163	-0.0287209811	-0.1125869803	0.106794516	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0103719	-0.013961	0.0001075763096099	0.000194909521	-0.0473644	3.599999999999437e-06	0.00224338638736	1.2959999999995946e-11	5.19594e-05	-0.0162475406	2.69977924836e-09	0.0002639825755486	0.000368409	-0.00031992	1.35725191281e-07	1.023488064e-07	-0.0	0.000229414	5.2630783396e-08	0.0	-0.000367676	-0.000367676	1.35185640976e-07	1.35185640976e-07	0.0	0.0	0.0	0.0
79106.6327201117	-70.75248328546877	6257859340.314646	5005.913891060538	132551.0559487657	36.53758081898559	1334.9948121039035	17569782433.132812	77346.39127878289	-51.71326685855456	2674.2619691840778	5982464243.850582	87989.75211346483	84403.5385908155	0.958035	16.542133	0.0531371006	0.0324233	-0.0349616349	0.0214418789	0.1424133959	0.0523613259	-0.0479148451	-0.0536609622	-0.0165053623	-0.088855141	0.0072410342	0.0240097731	-0.0326241878	-0.0083809026	0.0178345031	-0.2847509398	0.0461425614	-0.1251348564	0.0480741645	-0.0051337499	0.0165386893	0.1062512662	0.1550907772	0.0381561697	-0.0050316358	0.0542146499	0.027921376	-0.0356180389	-0.1065074704	0.1141912449	0.0541602625	-0.037117756	-0.0317433385	-0.0533749526	-0.0376039658	-0.0594476766	0.058591119	0.0035578798	-0.020416617	0.0843098194	-0.0660616676	0.1070310336	0.0257843008	-0.0273252087	0.0446222097	-0.0935499178	-0.1081579658	0.0010681425	0.0837591051	-0.0911699591	-0.08564878	0.014937719	0.0048231792	0.0092769379	-0.042518604	0.0456763477	-0.0641055105	-0.0310176723	-0.04084027	0.114224863	0.0448992832	-0.2174943286	0.0979108052	0.1066439844	0.0057359394	0.0221462188	-0.0087140828	0.0169283041	-0.0147318761	0.16778264	-0.0004392218	-0.0286740837	-0.113834397	0.1126362854	-0.0002980897	0.01482348	-0.0345370936	0.1314222799	-0.0912280096	-0.0328215717	0.0123240495	-0.0176966666	-0.0178282655	0.0052401067	-0.0312665797	0.0831110288	0.1278513491	-0.1510125592	0.1323346568	0.0396352171	0.0363656582	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0179662	0.0075943	0.00032278434244	5.767339249000003e-05	-0.0171785	0.0301859	0.00029510086225	0.00091118855881	0.00441551	0.0043635506	1.94967285601e-05	1.904057383876036e-05	0.000538588	0.000170179	2.90077033744e-07	2.8960892041000004e-08	-0.0	0.0	0.0	0.0	-0.000417364	-4.968799999999999e-05	2.468897343999999e-09	1.74192708496e-07	0.0	0.0	0.0	0.0
78998.37313190867	-108.25958820302912	6240742957.488269	11720.138437889444	132222.29195239028	-328.76399637540453	108085.765312727	17482734489.14313	77327.24250822369	-19.148770559200784	366.67541392891474	5979502433.925636	87948.86340673335	83376.2062813895	1.053852	18.196583	0.0522773592	0.0233874	-0.0620429009	-0.054178894	0.1343063812	0.0633205256	-0.11024396	0.0153700015	-0.0017305648	-0.1016499475	-0.0209306628	0.0426632707	-0.0157050534	-0.0589879508	-0.0237880247	-0.075104235	0.0855779301	-0.1240627243	0.0145962309	-0.1499046078	-0.1379326923	-0.0724348926	0.0140104339	-0.0339711505	0.0042547221	-0.0573012429	0.0278562324	0.0108281728	0.1038276132	0.0392702252	0.0303729052	-0.0233292778	-0.0304995295	-0.0704791085	0.070334032	-0.0904695781	0.1491207747	0.0902656399	-0.0936370614	0.101684854	0.1640772217	0.0584041898	-0.0110254733	0.0104221829	-0.0721204496	0.1002820267	-0.0220200782	-0.1690483451	-0.0311795467	0.0895389067	0.0615444942	0.0647379386	0.1366501656	-0.018159525	-0.0713066625	0.0658869602	-0.0838783294	-0.0202238614	0.0300714731	-0.019325367	0.0292566787	-0.0920397265	0.0733158857	0.0187962708	0.1624678988	-0.054924881	-0.0165928513	-0.011953133	-0.0143589219	0.047091278	-0.1516947848	-0.0487779719	-0.0776312783	-0.101122762	-0.0194236331	-0.1173201963	0.0113016313	0.1476667255	0.0342121617	0.0398778579	-0.0440147521	-0.0394478632	-0.0515469449	-0.014250241	-0.0747630268	0.1508044068	-0.0596084217	-0.0857945703	0.116195927	-0.0653225269	-0.0918706394	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0105762	-0.00739	0.0001118560064399	5.461210000000004e-05	-0.0333147	-0.0161362	0.00110986923609	0.00026037695044	5.26258e-05	-0.0043628842	2.76947482564e-09	1.903475854260964e-05	0.000368409	-0.000170179	1.35725191281e-07	2.8960892041000004e-08	5.54435e-05	5.54435e-05	3.07398169225e-09	3.07398169225e-09	-0.000155221	0.0002621429999999	6.871895244899998e-08	2.4093558841000003e-08	0.0	0.0	0.0	0.0
79137.91896824642	139.54583633775474	6262810218.624737	19473.04043920343	131921.2307442692	-301.0612081210711	90637.85103531888	17403211121.08272	77274.95149876644	-52.29100945724349	2734.3496700575283	5971418129.136706	87944.98231033425	83376.22077781038	0.924196	15.957838	0.0705923508	0.0380654	-0.0560185053	-0.07599566	0.095732944	-0.0328267771	-0.1187781428	-0.0428162757	-0.0582409178	-0.0643362223	-0.0756655052	0.0951475462	-0.017154769	0.0416077474	-0.1006878253	0.0164224441	0.0394294823	-0.0778424117	0.1636538293	0.1130640533	-0.0856811335	-0.0890593233	-0.0119350002	0.0176456101	-0.0970746898	-0.0028466953	0.100685964	-0.0154980578	-0.0108169835	0.0349894641	-0.0586869872	-0.1131673656	-0.0437151052	-0.031082738	-0.0237326389	-0.1375227228	-0.0551605528	-0.0428828059	0.0300656529	-0.0288576341	0.0253206281	-0.1365163053	-0.0791776452	-0.053555794	0.0956443504	0.0414389779	0.0160966573	-0.227518002	0.0700108123	0.008568747	0.1165853594	-0.1636718012	-0.0311957342	-0.0396204622	0.0451473494	0.0961340151	-0.1032227478	0.0213109598	0.0494935284	0.0198968648	-0.0249473234	-0.0654760181	-0.078016517	-0.0395170277	0.129552393	-0.1365341543	-0.0541703004	0.0322203581	-0.0114242697	0.1014932876	0.0833734575	0.0501512866	-0.000159917	0.0280463697	0.0775832115	0.0115699681	-0.1096691551	0.0502971849	0.0100704637	-0.0432414591	-0.0268589196	-0.0105252843	-0.1740719529	-0.1441173911	-0.0208983485	-0.0137563892	-0.0524201272	-0.0018478982	-0.0979444951	0.0238345749	0.0557914105	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0130061	0.0024299	0.00016915863721	5.904414010000002e-06	-0.0139482	0.0193665	0.0001945522832399	0.00037506132225	-0.0123842	-0.0124368258	0.0001533684096399	0.0001546746359795	0.0008849269999999	0.0005165179999999	7.83095795328823e-07	2.667908443238968e-07	-0.0	-5.54435e-05	3.07398169225e-09	0.0	0.0	0.000155221	2.4093558841000003e-08	0.0	0.0	0.0	0.0	0.0
79390.09598158527	252.17701333884904	6302787339.965322	63593.24605650206	131852.75397972178	-68.47676454743487	4689.067282884833	17385148732.037037	77404.4489555921	129.49745682565845	16769.591324313275	5991448718.118863	88024.7502439954	83961.12589117342	0.964875	16.66024	0.06999375	0.0464328	-0.0532791023	-0.1079572488	0.006072618	-0.1169472582	-0.0945303029	-0.0233559224	-0.0917721593	-0.0510693893	-0.0307062867	0.0149279886	-0.026381915	0.1309567886	-0.0559173435	0.1053700576	-0.0419108357	-0.0444834892	0.017425486	-0.0225987401	0.0636636035	0.0173001228	-0.1380954254	0.0446311639	0.0306159042	0.0642540171	0.0042869903	-0.0539904323	0.0037627944	0.0982534721	0.0974392242	0.0207122955	-0.1042883036	0.0532927045	0.0582734552	0.0149666874	-0.0277646921	-0.0340456093	-0.0564741138	-0.0040403809	0.0898731295	-0.0053249404	-0.019537788	-0.0174568423	-0.0447098408	-0.1579258701	0.0677632721	0.0629471307	-0.0255639557	-0.0426585416	-0.1227202083	-0.0040484582	-0.1227029904	-0.0103086489	0.083396511	0.0760384222	-0.015509339	0.0804749932	0.1159039389	-0.0204923362	0.0546103157	0.0137044229	-0.1132554249	-0.0974332854	0.0053200307	-0.0034364708	-0.0798571396	-0.0463968471	0.0976236624	0.0042791655	0.0504887528	-0.0290681955	0.0180965851	-0.0484687081	-0.0524939411	0.0728447077	0.0180804284	0.0338174835	-0.0931400398	0.0555573634	0.1115754167	0.0181562647	0.1046962251	-0.137096954	-0.0835794718	0.0454985272	0.0666215533	0.0391112119	-0.0766507124	-0.0391849818	0.0289667948	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0073488299999999	-0.0056572700000001	5.400530236889853e-05	3.200470385290113e-05	-0.0345598	-0.0206116	0.00119437977604	0.00042483805456	-0.0157105	-0.0033262999999999	0.0002468198102499	1.1064271689999994e-05	7.69554e-05	-0.0008079715999999	5.9221335891599995e-09	6.528181064063984e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79640.11767948807	250.0216979028046	6342548344.002708	62510.84942220128	131888.31349186914	35.55951214735978	1264.478904158228	17394527235.72955	77514.94797080592	110.4990152138198	12210.03236322398	6008567158.916749	88049.29761744311	84572.14044363839	0.912266	15.751851	0.04831536	0.0329409	-0.031878952	-0.0856296079	-0.0644387119	-0.1191259799	-0.0464075106	-0.020729856	-0.0515898052	0.0225313748	0.0400892885	-0.0614121113	-0.0597085687	0.0252268662	-0.1532690579	0.0978714212	-0.0629060617	0.0868593679	0.0257656823	-0.0451204525	-0.055580234	0.065673795	-0.1376668069	-0.0130466938	0.0748663682	-0.0763900534	-0.0417635103	-0.0165486246	-0.0839083235	-0.0160985316	-0.0251671149	0.00160454	0.0118110079	0.0521568404	-0.0472684274	-0.1009408663	-0.1228115399	-0.036127297	-0.1714151908	-0.1112980925	-0.0107327343	0.1363783709	-0.0318211624	-0.0566051744	0.1071488221	0.0580089459	-0.0425272663	0.1732075031	-0.0507416706	-0.0109850018	0.0639717651	-0.0270092851	-0.0653476597	-0.0971852352	0.0626543144	0.0635478668	0.0672869238	0.0739196846	0.0941902974	0.0568168832	-0.0375285105	0.0083860489	-0.0271925643	-0.1541929952	0.1164321212	0.0247262159	-0.0153476645	-0.1426041031	0.0062124468	-0.0697685417	-0.0060407245	-0.0005273542	-0.0135720725	0.0958771535	-0.0450174615	0.0389901089	0.0493120349	-0.1623773962	0.0535423416	-0.0105493718	-0.0016763981	-0.0739187485	0.0513769746	-0.0215544003	0.0378047308	-0.0467047259	0.0993956036	-0.1480322989	-0.0782821236	-0.0237209558	-0.0915286053	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.00678711	-0.0005617199999999	4.60648621521e-05	3.155293583998879e-07	-0.0312846	0.0032751999999999	0.00097872619716	1.0726935039999994e-05	-0.039529	-0.0238185	0.001562541841	0.00056732094225	0.000433932	0.0003569766	1.88296980624e-07	1.2743229294756e-07	5.62222e-05	5.62222e-05	3.1609357728399998e-09	3.1609357728399998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79685.26092413605	45.14324464797392	6349740808.547644	2037.9125373468253	132068.85861579154	180.54512392240576	32596.541772156856	17442183416.077934	77528.75482730263	13.80685649671068	190.6292863207619	6010707825.072001	88032.3038358399	84722.02644415795	0.848348	14.648202	0.069692905	0.0417618	-0.0378005819	-0.0789582878	-0.1086723934	-0.112130629	-0.0392365326	0.0318499566	-0.0418388302	0.0569743722	0.0123195178	-0.0678801827	-0.0571896426	0.023927205	-0.0487252725	-0.0017045622	0.0058031625	-0.0129195676	0.0136560106	0.0600591631	-0.0200387055	0.038646614	-0.0689102563	0.057071976	0.1348634402	-0.0855728285	-0.0117829857	0.0077568146	-0.0457181637	0.1074924006	-0.2242720696	0.0646107427	0.0499043713	0.0133562944	-0.019156881	0.0888525344	-0.036375165	-0.0578076545	-0.0624616595	0.1125564092	-0.1228174066	0.0501040521	-0.0337586889	0.0368553408	0.0549380265	0.0980342663	0.0922025239	-0.0436823292	0.0001907094	0.1236695473	0.0688093736	-0.0838302436	0.0971556448	0.1088294817	0.0538505348	0.0459150554	0.1062668032	0.0289518128	0.0639636451	0.0271597259	-0.0456107461	0.0059135052	-0.0194936348	-0.0240592116	-0.0079141637	0.0873821538	-0.0884223555	-0.1504805116	-0.0734964323	-0.0403901212	0.0125478699	0.1475179	-0.0572974682	0.00964342	0.0424032022	0.0080325962	0.0191986294	0.0281597767	0.0809341929	-0.0142783303	-0.1894931516	-0.0473442176	0.0203109786	0.0186639461	0.0315760558	-0.0863696552	0.0255822054	-0.0267562298	0.0200972717	-0.1017636592	0.0605582737	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.00676687	-2.023999999999949e-05	4.5790529596900006e-05	4.096575999999796e-10	-0.0115859	0.0196987	0.00013423307881	0.00038803878169	-0.0145665	0.0249625	0.00021218292225	0.00062312640625	-1.00751e-05	-0.0004440071	1.0150764001e-10	1.9714230485041e-07	-0.0	-5.62222e-05	3.1609357728399998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79669.46676224846	-15.794161887592054	6347223934.181011	249.4555497314654	131943.92063822492	-124.9379775666166	15609.498238436396	17409198193.386196	77519.14041118421	-9.614416118420197	92.43699729813804	6009217130.088893	88113.92095711258	85191.98132119766	0.899899	15.538312	0.07041067	0.0370006	-0.0296079809	-0.0412609622	-0.1088746847	-0.0768358828	-0.0265183528	0.0234779153	0.0538865937	0.0838222814	0.0652032618	-0.0747711982	-0.0852679765	0.0167015756	0.0345763587	0.0300758329	-0.0672927929	0.048987021	-0.0258830336	0.1355728531	0.0644482264	0.1562672302	0.0089662495	-0.0811513115	-0.1160389792	0.0587363206	0.0690965498	-0.0568164343	0.0778585608	0.016810765	-0.0617071581	-0.1108904938	-0.0684296232	0.0774070918	-0.0813494894	0.0438908548	0.108979666	-0.0094351348	0.0257483066	-0.0040080819	-0.0145482742	0.0169976935	-0.0399854817	0.0116274287	-0.034247726	0.0911380094	-0.0193556691	-0.0425564159	-0.1486565926	0.0174415764	-0.0006256747	0.0568271429	-0.0194393997	0.0271920971	0.058527058	0.0367648889	0.1300196439	-0.0130848838	0.0002720918	0.0800137049	-0.0387079663	0.0008773974	0.0168759145	0.0761023949	-0.0864780796	0.0152405545	0.0453099241	0.0067713929	0.0370897556	0.0084302297	-0.0815825847	0.1216799315	0.0214029751	0.0538540017	0.1299782822	0.0222715813	-0.088264316	-0.1198608472	-0.0636383671	-0.0163306463	-0.0113112106	-0.017828769	0.0081962354	-0.0916982295	-0.0660596565	-0.0882439042	0.0616746532	0.0416204059	0.0385570748	0.0315581355	-0.0783289646	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.0077177499999999	0.0009508799999998	5.956366506249846e-05	9.041727743998092e-07	0.00113813	0.0127240299999999	1.2953398969e-06	0.0001619009394408	-0.0301187	-0.0155522	0.00090713608969	0.00024187092484	0.000482114	0.0004921891	2.32433908996e-07	2.4225011015881e-07	-0.0002595	-0.0002595	6.734025000000001e-08	6.734025000000001e-08	-7.19821e-05	-7.19821e-05	5.181422720409999e-09	5.181422720409999e-09	0.0	0.0	0.0	0.0
