global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29
77772.48441265574	n/a	6048559331.716781	n/a	128728.65652032872	n/a	n/a	16571067009.528769	76185.38673892691	n/a	n/a	5804213152.559861	86213.52037825102	82014.93939377314	n/a	n/a	n/a	n/a	-0.0075918787	-0.0168543113	-0.0751009479	-0.1415929668	0.0618410388	0.042825143	-0.1003326264	0.0948544669	-0.0363488571	0.0176523297	-0.04484981	0.0172892526	-0.0433355818	0.0123811577	-0.0806167617	0.1629680467	-0.0867944218	0.1446842182	-0.080740808	0.0571279863	-0.112043541	0.0391984144	-0.1151832285	0.0549306522	-0.1112727929	0.0208179747	-0.0919056981	0.0876561692	-0.0662012613	-0.0743480321	0.0016937324	-0.1346675018	0.0356148536	-0.0500576071	0.1085470059	-0.0671248906	0.0048844295	-0.0611178901	0.051919958	-0.1256839599	0.0749852456	-0.0787443799	0.2220279446	-0.0517343264	-0.0477593443	-0.0881352503	-0.0086742122	0.0681170894	-0.0483866438	0.1321280227	-0.1425637788	0.0553570492	-0.084733277	0.0968047323	-0.1579195337	0.0594896543	-0.0820150208	0.1198943892	-0.1004228127	0.0647800133	-0.0306767156	0.0807219296	-0.0090048292	0.0440486974	-0.1118282146	0.130876566	-0.0242880587	-0.1605030873	0.1065213588	-0.1106789887	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0691397	n/a	0.00478029811609	n/a	-0.0403907	n/a	0.00163140864649	n/a	-0.00100718	n/a	1.0144115524000005e-06	n/a	-0.00365609	n/a	1.33669940881e-05	n/a	-8.47032e-22	n/a	n/a	7.1746320902399996e-43	-0.00161143	n/a	n/a	2.5967066449e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77513.45728460782	-259.027128047921	6008336060.212722	67095.05306475406	125130.39072637328	-3598.2657939554338	12947516.723949729	15657614683.334845	76118.24466522469	-67.14207370222721	4508.05806103531	5793987170.915007	85948.16095074153	82872.58558438138	1.191229	29.251198	0.38048787	0.225601	-0.0144358095	0.0386856844	-0.037095025	0.1085693021	-0.0182745645	-0.0296280433	-0.0012881251	-0.0419945259	-0.0419316961	0.0711711716	-0.0524303532	0.0738437565	-0.0717208953	-0.1057675265	-0.0330658809	0.0595847133	0.1620611285	0.0950490946	-0.0648286359	-0.1310257676	-0.0172638414	0.1336358306	-0.022515978	-0.0107871089	-0.0260388008	0.081348809	0.1245000827	-0.012535174	0.1128618013	0.0414649315	-0.0041984543	-0.0673309852	0.0067329142	-0.0392710933	0.0379439398	-0.0193550637	0.0002903317	0.0054926763	0.2298580413	0.0028881917	-0.1032301109	0.0355709303	-0.0041895873	-0.1484617035	-0.0315961009	0.060888502	-0.0531128797	-0.0418876165	-0.0813962417	-0.0520620336	0.0242102656	0.139582191	0.0083338964	-0.0630886547	-0.1174605298	-0.0304915875	-0.1221901554	-0.0327146751	0.0133612645	0.0317716819	-0.1101349087	0.1263664323	-0.0591565428	0.0570922143	-0.0111131953	-0.1563245786	-0.0643068242	0.0599668905	0.0241341427	-0.0806131206	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0577575	0.0113821999999999	0.00333592880625	0.0001295544768399	0.120493	0.1608837	0.014518563049	0.02588356492569	-0.147934	-0.14692682	0.021884468356	0.0215874904353124	-0.00335743	0.00029866	1.1272336204899998e-05	8.919779560000005e-08	-0.000844433	-0.000844433	7.13067091489e-07	7.13067091489e-07	-0.00152862	8.281e-05	6.8574961e-09	2.3366791044000003e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77577.52609918796	64.06881458013959	6018272555.67019	4104.813001704307	126895.03014841049	1764.6394220372022	3113952.289807791	16102348676.366009	76208.88324025052	90.63857502583414	8215.351282713766	5807793884.726137	86086.54903702148	82616.97918694938	0.8601459999999999	21.12129	0.1066491	0.0660949	-0.0148420213	0.0085867662	-0.0465502404	-0.0305321101	0.0565461362	0.0132853991	0.0559424086	0.0312808422	-0.0549415239	0.0328711419	-0.030126039	0.027590791	-0.0554558589	-0.0346378368	0.2167568952	0.0536062457	0.085027211	0.0600006958	-0.1791928625	-0.1960663069	-0.0014145626	0.0251868255	0.0567981538	-0.0218830346	-0.0503907585	0.0327032122	-0.0877751077	-0.0319309537	-0.1035675925	-0.0370400722	-0.1251272906	-0.0572800362	0.0389497385	0.0483169408	0.0334667515	0.0361098102	0.0451969221	0.1687892207	-0.0357008075	0.026196963	-0.0164187081	-0.0657009928	-0.0636435785	0.0252919707	-0.0428645224	-0.0349132488	-0.0224390945	0.02554187	-0.0922229399	0.0069094348	-0.0513171802	-0.0182070752	0.080865963	-0.1495277246	-0.0718024356	0.0776749213	-0.021980788	-0.1894683018	-0.0821471343	0.0250762064	-0.0819088955	0.0647383161	-0.0058035135	0.1026087834	-0.0850318958	-0.0501296583	-0.0224545972	-0.0152018364	-0.0204874431	0.0412347462	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0644377	-0.0066801999999999	0.00415221718129	4.462507203999996e-05	0.122922	0.002429	0.015109818084	5.900041000000003e-06	-0.0902563	0.0576777	0.00814619968969	0.00332671707729	-0.00390341	-0.00054598	1.52366096281e-05	2.980941604000002e-07	-0.000677609	0.000166824	2.7830246975999997e-08	4.59153956881e-07	-0.00161306	-8.443999999999986e-05	7.1301135999999775e-09	2.6019625636e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77269.09328686797	-308.4328123199957	5970512777.374704	95130.7997156217	125401.7541360294	-1493.2760123810876	2229873.2491527623	15725599940.393166	76190.97723640883	-17.906003841693746	320.6249735787512	5805065012.238968	85852.95585777689	81940.92125355113	0.8662609999999998	21.271454	0.0929124999999999	0.046547	-0.011985517	0.0065743127	-0.0421143405	0.0864806275	-0.0143451714	-0.0294510053	0.109223587	-0.0106368634	-0.0180837115	0.0158223838	-0.0127775437	0.0554599034	-0.0695873119	-0.059076164	-0.0078440834	0.0199721008	0.03755329	-0.047742097	-0.0748665551	0.0165974608	0.051609556	-0.0379303468	0.0587129613	-0.0737932656	0.0844509421	-0.0886565257	-0.1173877921	0.0613880977	-0.0333790122	0.0828243212	0.1133023341	-0.0047010351	0.0498966549	0.051517676	0.0192973786	0.0717347658	0.0595909498	0.0977488539	-0.005482491	0.0616012623	-0.0542154325	0.0171592323	0.154838424	-0.0144878666	-0.0215497109	0.006302025	-0.0456220984	-0.0553472619	-0.0131142757	-0.0559255394	0.1002466982	0.053397897	0.0200367183	-0.0464424321	-0.0293798272	-0.063583958	-0.0391587079	-0.0894949032	-0.0215256042	0.0309618664	0.0252225234	0.0933686934	0.1021653654	0.039886524	0.0804046254	0.0748752324	-0.0444107278	-0.0216545975	-0.0313247537	0.0348065915	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0690144	-0.0045767	0.00476298740736	2.094618289000003e-05	0.0861842	-0.0367378	0.00742771632964	0.00134966594884	-0.0939776	-0.0037212999999999	0.0088317893017599	1.3848073689999976e-05	-0.00330595	0.0005974599999999	1.09293054025e-05	3.569584515999997e-07	-0.000559825	0.000117784	1.3873070656000002e-08	3.134040306250001e-07	-0.00137077	0.0002422899999999	5.870444409999991e-08	1.8790103929000004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77442.70902643236	173.6157395643968	5997373181.352669	30142.42502449245	125730.09317555148	328.33903952207766	107806.52487428048	15808056329.932856	76237.61946345557	46.642227046744665	2175.49734388008	5812174621.454659	85970.7571686879	81960.52585646226	0.788941	19.372816	0.0505859	0.0251065	-0.0183431329	0.0010405187	-0.0387435236	0.0367138576	0.0149323524	-0.0478957396	0.086966523	-0.0016124969	0.0157100487	-0.0028535386	-0.0408752174	0.0046714718	-0.0034446726	-0.0396415599	-0.0322236824	-0.0299840252	-0.0740671073	-0.0033996049	0.007414469	-0.0625773585	0.0295180772	-0.0574616952	-0.0354446561	-0.0756711549	0.1303750611	-0.0066033083	-0.0273525937	0.0369560869	0.0434965111	0.0703596594	-0.0507322928	-0.1602986488	0.0815843577	0.0184869728	-0.1577008754	0.0189750798	-0.0793138946	0.0995866258	0.0650096328	-0.0121048301	0.0291839516	0.0677787992	0.1525374199	0.0106821183	-0.0227487712	-0.0203328543	-0.0068913369	-0.0094440812	-0.020375606	-0.0599046944	0.0682372927	-0.039877272	0.0028746527	-0.0167474777	-0.0410727264	-0.0718504205	0.0174375614	0.0278512288	-0.0836719538	0.0562053992	0.0371270215	0.0274984493	0.0521303202	-0.0026128646	-0.0178209127	-0.0098597924	-0.001703122	0.0332304458	0.1172044421	0.1371196922	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0641061	0.0049083	0.00410959205721	2.409140889000004e-05	0.0900268	0.0038426	0.00810482471824	1.4765574760000012e-05	-0.110945	-0.0169674	0.012308793025	0.00028789266276	-0.00315115	0.0001548	9.9297463225e-06	2.3963040000000024e-08	-0.000613447	-5.362200000000002e-05	2.875318884000002e-09	3.763172218090001e-07	-0.0016597	-0.0002889299999999	8.348054489999997e-08	2.75460409e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77369.11146760391	-73.59755882844911	5985979409.286519	5416.600665507028	126719.66802281576	989.574847264288	979258.3783381392	16057874263.812635	76258.39413174716	20.77466829158948	431.5868426255733	5815342675.55289	86053.71938696303	81931.19664367738	0.81298	19.9631	0.18269736	0.096098	-0.0121691746	0.0069786803	-0.0436368228	0.0071467086	-0.037169482	-0.0157079543	0.0964339119	-0.0127072943	-0.0455858922	0.0047960284	0.0006669373	0.0664370472	-0.0360143514	-0.0485694749	0.023364546	-0.0388920055	-0.0109713551	-0.0046456208	-0.1306866597	0.0413939578	0.0176529019	0.0950179861	0.0302432047	-0.1297157139	-0.1170783858	-0.1008891974	0.0285295473	-0.0713166827	0.0315941152	0.0329425689	0.0496940933	0.0273199076	0.160224232	-0.0375745494	0.0051656713	-0.041192893	-0.0085752758	-0.0678839625	0.0111333286	-0.0678560194	0.0018577626	-0.059429226	0.0709260187	0.0516808419	-0.0067514939	-0.0195140189	-0.0344144902	-0.0206758047	0.0546223567	-0.0061039227	0.0906471236	0.0410391288	-0.0071510916	-0.0457795006	0.0126439057	0.0202249832	-0.0474990145	-0.1010778177	-0.0351999294	0.0522362189	-0.0472146769	0.0445675165	0.0185795734	0.0267186949	0.0191649647	-0.0034147024	-0.0123437894	-0.1358258927	0.0826733318	-0.0374075062	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0720718	-0.0079657	0.00519434435524	6.34523764900001e-05	0.0895820999999999	-0.0004447000000001	0.0080249526404099	1.9775809000009198e-07	-0.0500254	0.0609196	0.00250254064516	0.00371119766416	-0.00428391	-0.00113276	1.83518848881e-05	1.2831452176e-06	6.16102e-05	0.0006750572	4.5570222327184003e-07	3.79581674404e-09	-0.00120017	0.00045953	2.111678209000001e-07	1.4404080289e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77378.97830916817	9.86684156426054	5987506284.170719	97.35456245421938	127376.94062229672	657.2725994809589	432007.270028457	16224885002.296104	76332.56337567794	74.1692439307808	5501.076745263664	5826660231.501889	86175.75293824883	82108.4705420271	0.891788	21.89827	0.15135109	0.0835667999999999	-0.0133400352	-0.0124636634	-0.0421032154	-0.0464426012	0.0060336119	-0.0281786194	0.0143090601	-0.0250248905	-0.0720231747	-0.0271805594	-0.0225413091	0.0508312084	-0.075858092	-0.0166883533	0.0836751871	-0.012963081	0.0718940359	-0.0843861745	-0.0583431406	-0.0551288906	0.1507361503	-0.0966165687	0.0392627645	-0.0510234744	0.0693140062	-0.0864688156	-0.14248673	0.0243660463	-0.0294354595	-0.1221420508	0.0366715317	-0.0191434368	-0.0001261527	0.1232796341	0.065060152	-0.1121276326	0.0264240674	0.0271903547	0.001709135	0.0677110732	-0.0251018011	0.0065469958	-0.0395726643	-0.0687582587	-0.0074339974	-0.0532074168	-0.0044177126	0.0064830598	-0.0059667909	-0.0221537471	0.0009444444	0.0706606318	0.0599428129	-0.0506889479	-0.0035739432	0.127553426	-0.0398142255	-0.1104288107	-0.0174439024	-0.0833474256	0.0929761317	-0.0542146503	0.0300810282	0.0579209331	-0.0725641138	0.0904799519	0.0301583365	0.0679036278	0.0678352208	0.2404136686	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0892393999999999	-0.0171675999999998	0.0079636705123599	0.0002947264897599	0.0768945999999999	-0.0126875	0.0059127795091599	0.00016097265625	-0.0287328	0.0212926	0.0008255737958399	0.0004533748147599	-0.00277715	0.00150676	7.7125621225e-06	2.2703256976000005e-06	0.000450558	0.0003889478	1.5128039112484e-07	2.03002511364e-07	-0.00109181	0.00010836	1.1741889600000013e-08	1.1920490760999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77656.66576764309	277.68745847491664	6030557738.14743	77110.32459425855	128492.6086248378	1115.668002541075	1244715.0918939924	16510350471.21574	76423.85845493285	91.29507925490908	8334.79149616013	5840606141.139611	86325.52302883913	81094.2093010845	0.947029	23.254749	0.32854545	0.154161	-0.0052323225	-0.0097888407	-0.0215844061	-0.1491013622	0.0234064744	-0.0570898914	0.058876678	0.0145428248	0.068658465	-0.0414090698	-0.1178776912	0.0802229128	-0.0928265213	0.0943952513	0.009428812	-0.0725565118	-0.0995154117	0.0356725061	0.0109731173	-0.0570269297	0.1715797391	0.0482335116	0.0158783446	0.0193550362	-0.0129746154	0.0062081257	0.0123771913	-0.1221745089	0.0019990811	-0.1127198913	-0.0280586149	0.0081035879	-0.0695184424	0.2124367705	-0.0508447878	0.0373947729	0.096850785	0.0700904111	0.043717366	-0.1578802315	-0.1025068671	-0.1635278351	-0.1520708538	0.0752817936	-0.0109472803	-0.1251996613	0.0595574362	0.0629384385	-0.023466705	0.0861309574	0.0945353455	0.0004826982	-0.0095370019	0.0050857963	0.0095454722	0.0501338441	-0.0382562483	-0.0052370061	0.0003146341	-0.0780395378	0.0619076767	-0.1065220808	-0.0830758372	0.0571215327	-0.1971837116	-0.0587302406	-0.0227555054	-0.1248573736	0.1329543272	0.0603709994	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.106747	-0.0175076	0.0113949220089999	0.00030651605776	-0.0118864	-0.0887809999999999	0.00014128650496	0.0078820659609999	0.0190299	0.0477627	0.0003621370940099	0.0022812755112899	-0.000540101	0.002237049	2.91709090201e-07	5.004388228401001e-06	0.000489618	3.906000000000005e-05	1.5256836000000039e-09	2.39725785924e-07	0.000121964	0.001213774	1.4732473230759998e-06	1.4875217296e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77530.34928797792	-126.31647966516904	6010955060.715858	15955.85303500106	126180.75967776816	-2311.848947069637	5344645.554066989	15921584112.858685	76349.43411027892	-74.42434465393308	5538.983077167417	5829236088.959822	86009.82900168031	80552.12127828939	0.9317	22.878326	0.142087145	0.0757061	-0.0078015945	-0.023058631	-0.0146138136	0.0252585013	0.0636310863	-0.0875691886	0.0081054334	-0.0003608154	0.007303714	-0.0550308979	0.0043707427	0.0099179114	0.0416193517	-0.039861947	-0.0134271341	-0.0543152246	-0.0499437761	-0.0363332761	0.0075209585	-0.0067611014	-0.0282936307	-0.161240064	-0.1289412857	-0.0624689897	0.0880558493	-0.0076990564	0.0720712447	0.1133946652	0.0502570678	0.0133370973	-0.1051404104	-0.1108792982	-0.1170165238	-0.0391169975	-0.1024344718	-0.0765741106	-0.0235950961	0.0331384829	0.0414213755	-0.0211873685	0.0225434514	0.0162594801	-0.0715822848	-0.0142834321	-0.009611741	-0.056131256	0.0367597552	-0.0481249737	-0.0219440658	-0.0822647551	-0.0120726689	-0.0354536598	-0.0010342405	0.0135312495	0.023578595	0.0139621797	0.0219162585	0.1146553107	-0.0440621287	0.055556136	0.061050186	-0.0008324868	0.0567250784	-0.0531796209	0.0171592414	-0.0106144969	-0.0098657203	0.1116787683	0.140011995	0.1615608337	0.1015862008	0.0985712473	0.0936124309	0.0868075413	-0.0578801	0.0488669	0.0033501059760099	0.00238797391561	0.0389008	0.0507872	0.0015132722406399	0.0025793396838399	0.0124813	-0.0065485999999999	0.00015578284969	4.2884161959999975e-05	-0.000783232	-0.000243131	6.13452365824e-07	5.9112683161000035e-08	7.781279999999998e-05	-0.0004118052	1.6958352274704005e-07	6.054831843839997e-09	5.92113e-05	-6.27527e-05	3.937901357290001e-09	3.50597804769e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77580.92258516491	50.57329718698748	6018799549.165351	2557.6583883633552	126642.38186634947	461.6221885813138	213095.04499060207	16038292884.782282	76475.03417565212	125.60006537320442	15775.376421753224	5848430852.16716	86575.81332873685	81418.47164776718	1.114977	27.378782	0.18248824	0.0970605	-0.0056867927	0.038460101	-0.0042820907	0.0434670204	-0.0969241086	-0.1116719073	-0.1126176303	0.0004751494	0.0195409319	-0.1137787881	-0.0042662682	-0.0349571602	0.0354744091	0.0771627735	0.0818933429	-0.034112552	0.114356204	-0.0518766468	0.176963639	0.1004774964	0.1805201734	0.0782639806	-0.0826419264	0.183822191	0.02311435	-0.1548025477	0.0159672184	-0.0403385996	-0.1433161046	0.1512002594	-0.0030444805	-0.0452496409	-0.0570418567	-0.0320038129	0.0353663986	-0.1210095981	-0.0295404962	-0.1021940587	-0.1038584446	0.0168194795	-0.019757589	0.0022190867	0.0272892901	-0.0360653085	0.1294041338	0.0239993131	0.0697309381	-0.0773708195	-0.0862670844	-0.043640079	0.019914066	0.0386589745	0.0113238247	-0.0187762902	0.2478279588	-0.076153266	-0.011715398	0.0875715838	0.2499761376	-0.021095936	0.1313083992	-0.0367272325	-0.0268844977	0.1042353322	0.0011490978	-0.0380910588	-0.0643852841	-0.1111611267	-0.1374197747	0.0525614248	0.1013346856	0.0975763397	0.0914153405	0.0830033923	-0.0349587	0.0229213999999999	0.00122211070569	0.0005253905779599	0.0951416	0.0562408	0.00905192405056	0.00316302758464	-0.0489074	-0.0613887	0.00239193377476	0.0037685724876899	-0.000139394	0.000643838	1.9430687235999995e-08	4.145273702440001e-07	-8.94507e-05	-0.0001672634999999	2.7977078432249993e-08	8.00142773049e-09	3.1566e-05	-2.76453e-05	7.642626120899999e-10	9.96412356e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
