onset	duration	trial_type	identifier	response
4.000326	9.968466	experimental_trial	47.mov	n/a
16.00064	9.967445	attention_check	f3.mov	Friendly
32.02516	9.982358	experimental_trial	16.mov	n/a
46.02546	9.980397	experimental_trial	41.mov	n/a
58.02585	9.970111	experimental_trial	42.mov	n/a
70.02615	9.9675	attention_check	a1.mov	Adversarial
86.04823	9.976261	experimental_trial	9.mov	n/a
98.04855	9.967907	experimental_trial	7.mov	n/a
110.0489	9.968119	experimental_trial	18.mov	n/a
122.0492	9.969867	experimental_trial	28.mov	n/a
134.0495	9.96819	experimental_trial	40.mov	n/a
146.0498	9.970456	experimental_trial	45.mov	n/a
158.0501	9.965583	experimental_trial	27.mov	n/a
172.0504	9.969685	experimental_trial	15.mov	n/a
184.0507	9.966436	experimental_trial	39.mov	n/a
196.051	9.968397	experimental_trial	19.mov	n/a
208.0513	9.969544	experimental_trial	30.mov	n/a
220.0517	9.966081	experimental_trial	48.mov	n/a
232.0519	9.967675	experimental_trial	5.mov	n/a
244.0522	9.971579	experimental_trial	46.mov	n/a
256.0525	9.969779	experimental_trial	38.mov	n/a
270.0529	9.969261	experimental_trial	14.mov	n/a
282.0532	9.973715	experimental_trial	50.mov	n/a
294.0535	9.973786	experimental_trial	3.mov	n/a
306.0537	9.973328	experimental_trial	1.mov	n/a
320.054	9.967463	attention_check	f1.mov	Friendly
338.0781	9.977127	experimental_trial	35.mov	n/a
350.0784	9.967646	experimental_trial	29.mov	n/a
