onset	duration	trial_type	identifier	response
4.000006	9.974769	experimental_trial	43.mov	n/a
16.00025	9.97253	experimental_trial	24.mov	n/a
28.00055	9.977112	attention_check	n3.mov	Neutral
44.0224	9.976298	experimental_trial	16.mov	n/a
58.02265	9.973191	experimental_trial	27.mov	n/a
70.02294	9.972795	experimental_trial	47.mov	n/a
82.02325	9.969582	experimental_trial	26.mov	n/a
96.02355	9.96888	experimental_trial	39.mov	n/a
108.0239	9.970857	attention_check	a3.mov	Adversarial
124.0437	9.982192	experimental_trial	10.mov	n/a
136.044	9.965692	experimental_trial	28.mov	n/a
148.0443	9.968563	experimental_trial	3.mov	n/a
162.0447	9.973679	experimental_trial	31.mov	n/a
174.0452	9.971939	experimental_trial	23.mov	n/a
188.0455	9.966454	experimental_trial	4.mov	n/a
200.0458	9.970231	experimental_trial	29.mov	n/a
212.0461	9.968366	experimental_trial	22.mov	n/a
224.0463	9.965138	experimental_trial	6.mov	n/a
236.0466	9.971762	experimental_trial	45.mov	n/a
248.0469	9.971179	experimental_trial	48.mov	n/a
260.0471	9.968817	experimental_trial	36.mov	n/a
272.0475	9.972529	experimental_trial	13.mov	n/a
286.0479	9.969138	experimental_trial	34.mov	n/a
298.0482	9.970865	experimental_trial	46.mov	n/a
310.0485	9.969248	attention_check	n1.mov	NoResponse
326.075	9.975203	experimental_trial	19.mov	n/a
338.0753	9.969201	experimental_trial	50.mov	n/a
350.0756	9.974278	experimental_trial	49.mov	n/a
