onset	duration	trial_type	identifier	response
4.000144	9.973139	experimental_trial	13.mov	n/a
16.00067	9.970824	experimental_trial	3.mov	n/a
28.00111	9.96742	attention_check	f3.mov	Friendly
44.0309	9.974158	experimental_trial	23.mov	n/a
56.03162	9.968679	experimental_trial	38.mov	n/a
70.0323	9.974826	experimental_trial	31.mov	n/a
82.0325	9.969699	experimental_trial	33.mov	n/a
96.0328	9.9663	attention_check	a1.mov	Adversarial
112.0528	9.977731	experimental_trial	40.mov	n/a
126.0532	9.977813	experimental_trial	19.mov	n/a
138.0534	9.970264	experimental_trial	2.mov	n/a
150.0537	9.971437	experimental_trial	37.mov	n/a
162.054	9.965709	experimental_trial	48.mov	n/a
174.0543	9.972111	experimental_trial	7.mov	n/a
186.0546	9.970145	experimental_trial	18.mov	n/a
198.0548	9.968245	experimental_trial	27.mov	n/a
210.0551	9.967818	experimental_trial	15.mov	n/a
222.0555	9.970856	experimental_trial	26.mov	n/a
234.0558	9.971584	experimental_trial	35.mov	n/a
246.0561	9.987787	experimental_trial	11.mov	n/a
258.0563	9.973603	experimental_trial	5.mov	n/a
270.0566	9.969961	experimental_trial	50.mov	n/a
282.0569	9.969407	experimental_trial	12.mov	n/a
296.0573	9.968603	experimental_trial	25.mov	n/a
308.0576	9.967842	attention_check	f1.mov	Friendly
324.084	9.970333	experimental_trial	32.mov	n/a
338.0843	9.966801	experimental_trial	6.mov	n/a
350.0846	9.966493	experimental_trial	1.mov	n/a
