onset	duration	trial_type	identifier	response
4.000442	9.968295	experimental_trial	35.mov	n/a
16.00076	9.967927	experimental_trial	3.mov	n/a
28.00107	9.969561	experimental_trial	13.mov	n/a
40.00146	9.971937	experimental_trial	10.mov	n/a
52.00178	9.970683	experimental_trial	45.mov	n/a
66.00206	9.975845	experimental_trial	32.mov	n/a
78.00233	9.968297	attention_check	f1.mov	Friendly
96.03542	9.971901	experimental_trial	5.mov	n/a
108.0357	9.971369	experimental_trial	27.mov	n/a
120.036	9.967344	experimental_trial	20.mov	n/a
132.0363	9.972085	attention_check	n2.mov	Neutral
148.0603	9.970043	experimental_trial	33.mov	n/a
160.0606	9.970031	experimental_trial	31.mov	n/a
172.0608	9.968751	experimental_trial	14.mov	n/a
184.0612	9.967783	experimental_trial	28.mov	n/a
196.0615	9.967124	experimental_trial	42.mov	n/a
208.0617	9.964827	experimental_trial	12.mov	n/a
220.062	9.968366	experimental_trial	2.mov	n/a
232.0623	9.967998	experimental_trial	18.mov	n/a
246.0627	9.966949	experimental_trial	30.mov	n/a
260.063	9.968879	experimental_trial	9.mov	n/a
272.0633	9.965507	experimental_trial	21.mov	n/a
284.0635	9.966611	experimental_trial	29.mov	n/a
296.0639	9.969028	experimental_trial	4.mov	n/a
310.0642	9.97011	attention_check	a2.mov	Adversarial
326.0981	9.990135	experimental_trial	41.mov	n/a
338.0984	9.966075	experimental_trial	36.mov	n/a
350.0987	9.968218	experimental_trial	16.mov	n/a
