onset	duration	trial_type	identifier	response
4.000004	9.970329	experimental_trial	44.mov	n/a
18.00029	9.97109	experimental_trial	29.mov	n/a
30.00058	9.971225	experimental_trial	13.mov	n/a
42.00087	9.973245	experimental_trial	23.mov	n/a
54.00125	9.968261	experimental_trial	2.mov	n/a
66.00153	9.973477	experimental_trial	28.mov	n/a
80.00182	9.971629	experimental_trial	32.mov	n/a
92.00211	9.968852	experimental_trial	31.mov	n/a
104.0024	9.969457	experimental_trial	18.mov	n/a
116.0027	9.970414	attention_check	n2.mov	Neutral
134.0227	9.973969	experimental_trial	8.mov	n/a
146.023	9.968522	experimental_trial	49.mov	n/a
158.0233	9.974926	experimental_trial	19.mov	n/a
170.0236	9.967703	attention_check	f3.mov	Neutral
188.047	9.971609	experimental_trial	24.mov	n/a
200.0473	9.969087	experimental_trial	27.mov	n/a
212.0476	9.965968	experimental_trial	21.mov	n/a
224.0478	9.97246	experimental_trial	5.mov	n/a
236.048	9.972577	experimental_trial	25.mov	n/a
250.0483	9.970208	experimental_trial	37.mov	n/a
262.0486	9.968463	experimental_trial	50.mov	n/a
274.0489	9.970426	attention_check	n1.mov	NoResponse
290.0802	9.971602	experimental_trial	11.mov	n/a
302.0805	9.973977	experimental_trial	45.mov	n/a
314.0808	9.967255	experimental_trial	4.mov	n/a
326.0812	9.966985	experimental_trial	42.mov	n/a
338.0815	9.967233	experimental_trial	26.mov	n/a
350.0818	9.970065	experimental_trial	35.mov	n/a
