onset	duration	trial_type	identifier	response
4.000006	9.968019	experimental_trial	41.mov	n/a
18.00032	9.971036	experimental_trial	43.mov	n/a
30.00065	9.965865	experimental_trial	14.mov	n/a
42.00094	9.976796	experimental_trial	1.mov	n/a
54.00123	9.969635	experimental_trial	38.mov	n/a
66.0015	9.970711	experimental_trial	9.mov	n/a
78.00175	9.968891	experimental_trial	10.mov	n/a
90.00206	9.97066	experimental_trial	17.mov	n/a
102.0023	9.970265	experimental_trial	36.mov	n/a
114.0026	9.973115	experimental_trial	39.mov	n/a
126.0029	9.966584	experimental_trial	33.mov	n/a
138.0031	9.973072	experimental_trial	22.mov	n/a
150.0033	9.974123	experimental_trial	47.mov	n/a
162.0036	9.968714	experimental_trial	15.mov	n/a
174.004	9.97463	experimental_trial	34.mov	n/a
186.0043	9.96911	attention_check	n1.mov	Neutral
202.0323	9.974537	experimental_trial	46.mov	n/a
214.0326	9.967901	experimental_trial	16.mov	n/a
228.033	9.966468	experimental_trial	40.mov	n/a
242.0332	9.969376	experimental_trial	7.mov	n/a
254.0335	9.973973	experimental_trial	3.mov	n/a
266.0338	9.965799	experimental_trial	6.mov	n/a
278.0341	9.967992	attention_check	a1.mov	Neutral
294.0666	9.970698	experimental_trial	48.mov	n/a
308.0669	9.970805	experimental_trial	30.mov	n/a
320.0671	9.966937	attention_check	f3.mov	Friendly
336.0936	9.973511	experimental_trial	12.mov	n/a
350.0938	9.96701	experimental_trial	20.mov	n/a
