onset	duration	trial_type	identifier	correct_response
26.03	26	social	["fischer_videos/social.nobarriers.c.9.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & true
52.08	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.nobarriers.i.10.mp4"]	true & true
78.12	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	true & true
104.16	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	true & true
130.2	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.barriers.c.4.mp4"]	false & true
156.22	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.nobarriers.c.1.mp4"]	false & true
182.27	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	false & true
208.33	26	physics	["fischer_videos/physics.nobarriers.c.9.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	false & true
260.39	26	physics	["fischer_videos/physics.nobarriers.i.8.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	true & true
286.44	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.nobarriers.i.10.mp4"]	false & true
312.48	26	physics	["fischer_videos/physics.barriers.c.10.mp4"] & ["fischer_videos/physics.barriers.i.7.mp4"]	true & true
338.54	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.nobarriers.i.6.mp4"]	true & true
364.59	26	social	["fischer_videos/social.nobarriers.c.1.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	false & true
390.64	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	true & true
416.68	26	physics	["fischer_videos/physics.barriers.c.2.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & true
442.71	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	false & true
