onset	duration	trial_type	identifier	response
4.000432	9.970195	experimental_trial	1.mov	n/a
16.00075	9.967398	experimental_trial	42.mov	n/a
28.00108	9.975674	experimental_trial	35.mov	n/a
40.00138	9.969876	experimental_trial	11.mov	n/a
52.0017	9.976091	experimental_trial	26.mov	n/a
66.00201	9.965796	experimental_trial	30.mov	n/a
78.0023	9.969753	attention_check	f1.mov	Friendly
96.02072	9.977587	experimental_trial	9.mov	n/a
108.021	9.971835	experimental_trial	20.mov	n/a
120.0214	9.968383	experimental_trial	40.mov	n/a
132.0217	9.967889	attention_check	n2.mov	Neutral
148.0486	9.976538	experimental_trial	3.mov	n/a
160.0488	9.967482	experimental_trial	36.mov	n/a
172.0491	9.967198	experimental_trial	13.mov	n/a
184.0494	9.968837	experimental_trial	18.mov	n/a
196.0497	9.970473	experimental_trial	23.mov	n/a
208.0501	9.970949	experimental_trial	16.mov	n/a
220.0504	9.968107	experimental_trial	45.mov	n/a
232.0507	9.968057	experimental_trial	48.mov	n/a
246.051	9.968974	experimental_trial	31.mov	n/a
260.0512	9.96695	experimental_trial	50.mov	n/a
272.0515	9.969369	experimental_trial	8.mov	n/a
284.0517	9.966316	experimental_trial	34.mov	n/a
296.052	9.967675	experimental_trial	4.mov	n/a
310.0522	9.968307	attention_check	a2.mov	Adversarial
326.0706	9.970223	experimental_trial	27.mov	n/a
338.0709	9.969741	experimental_trial	5.mov	n/a
350.0711	9.968064	experimental_trial	7.mov	n/a
