onset	duration	trial_type	identifier	correct_response
26.02	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	false & false
52.07	26	physics	["fischer_videos/physics.nobarriers.i.2.mp4"] & ["fischer_videos/physics.barriers.i.3.mp4"]	true & false
78.11	26	social	["fischer_videos/social.nobarriers.c.9.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	true & true
104.14	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	true & true
130.19	26	physics	["fischer_videos/physics.barriers.i.9.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	false & true
156.25	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	true & true
182.29	26	social	["fischer_videos/social.nobarriers.i.8.mp4"] & ["fischer_videos/social.nobarriers.i.2.mp4"]	true & true
208.32	26	physics	["fischer_videos/physics.barriers.c.10.mp4"] & ["fischer_videos/physics.nobarriers.c.7.mp4"]	true & false
260.35	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.nobarriers.i.10.mp4"]	false & false
286.37	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	true & true
312.42	26	physics	["fischer_videos/physics.barriers.c.2.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	true & true
338.45	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.nobarriers.i.6.mp4"]	false & true
364.49	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.nobarriers.i.10.mp4"]	false & true
390.55	26	social	["fischer_videos/social.barriers.i.9.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & false
416.59	26	physics	["fischer_videos/physics.nobarriers.c.1.mp4"] & ["fischer_videos/physics.barriers.c.4.mp4"]	true & false
442.64	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.nobarriers.c.1.mp4"]	true & true
