global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
59729.51384345264	n/a	n/a	3567614823.9752	88274.01222937091	n/a	7792301235.071126	n/a	55909.10940744394	n/a	n/a	3125828514.733536	63805.66296465329	60817.78026907395	n/a	n/a	n/a	n/a	-0.0120535638	-0.1037332439	0.0521240071	0.002386034	-0.1351410453	-0.0374246037	-0.1406920399	-0.0298540392	0.0950879351	0.1169790712	-0.0820483796	0.0609999142	-0.0837003546	0.1461150073	-0.1597793182	-0.004255553	0.0368853671	-0.023142739	-0.0149706397	0.0025622932	-0.0726364991	0.0163385583	-0.0026143269	0.0104764497	-0.1746761471	0.0877519115	-0.0350390501	0.0870060399	-0.1276680545	0.0334151812	0.0770815482	0.0055529598	-0.0738110552	0.0729076677	-0.008504745	0.1100150746	-0.0329226922	0.0223239667	-0.030486264	0.014036428	-0.0655021416	0.074353575	-0.1624957372	0.046832378	-0.1111334087	0.0633895877	-0.045354067	0.0828047676	-0.0346883096	0.106768362	-0.1053285649	0.0184383992	0.0896871064	-0.0121843713	-0.1293750185	-0.0927648788	-0.0593529417	-0.1305102447	0.0967100618	-0.0101084257	0.042420191	-0.0547901888	0.0402841033	0.0706962592	-0.1067427686	0.1174532904	-0.1643278719	0.0592098747	-0.014905133	0.0920508382	-0.0337780524	0.0579728911	-0.0947057373	0.0780639865	-0.0203975536	0.0279911504	-0.0059959537	0.010796828	-0.079343602	0.111289603	-0.0636722876	0.132827019	-0.0142133726	0.0411278419	-0.0046582887	0.0400888589	-0.0836696534	0.0508705136	-0.0275721685	0.0373386012	-0.1146319446	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0518716	n/a	0.00269066288656	n/a	-0.0197932	n/a	0.00039177076624	n/a	-0.100745	n/a	0.010149555025	n/a	-0.000938274	n/a	n/a	8.80358099076e-07	-0.000263882	n/a	6.9633709924e-08	n/a	-0.000419829	n/a	n/a	1.76256389241e-07
59574.06713259504	-155.4467108575991	24163.679916446017	3549069474.7189403	87726.36823427287	-547.6439950980421	7695915683.57524	299913.9453669443	55969.20449413414	60.095086690198514	3611.4194443024735	3132551851.706205	63998.11507625633	60088.190731426985	1.10153	19.030437	0.03381875	0.0192165	0.009243617	0.0537399402	0.0494603772	0.0514702577	-0.1678015145	0.0954617662	0.0165591856	-0.0926144036	0.2029337224	0.0496766391	0.0235715139	-0.0411467041	-0.0336591886	-0.0200300712	-0.0289539843	-0.0303353675	0.1905766674	0.0474340767	-0.01522658	0.0594066506	0.002643495	-0.0140374318	0.061391452	-0.0442129803	-0.0910347231	0.018884882	-0.1295761776	-0.0150963709	0.02093735	-0.0592809867	-0.0308515497	0.0340320641	0.0154985524	-0.096943923	0.0886919701	-0.0145107369	0.0587112997	0.1674118725	-0.0042101463	0.056793632	-0.0327280856	-0.0059509524	0.0125765557	-0.0596897088	-0.0448426666	-0.0161339682	0.0402532443	0.0339630478	-0.1195273414	-0.1101547587	-0.083521049	0.0718122209	-0.0079158416	0.1081141426	-0.1157951112	0.1566393109	-0.0978005326	-0.0604045985	0.1307051104	-0.0148655529	0.1037218511	-0.0860863823	-0.0269220921	0.037716602	-0.1652379911	0.0649982317	-0.0444174716	0.0520969342	-0.0397625519	0.0496017371	-0.0059717954	-0.0136841665	0.1906559972	0.068846888	-0.02709789	0.0098462836	0.0160233265	-0.0852761049	0.0633438703	0.0321176364	0.1216583797	0.1099743063	0.1024247387	-0.0100437193	-0.0609908545	0.1331479118	0.0517918792	-0.0784634434	0.0572388372	0.0841675336	-0.0279011842	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0444961	0.0073755	0.0019799029152099	5.439800025e-05	-0.0198027	-9.499999999999093e-06	0.00039214692729	9.024999999998276e-11	-0.115247	-0.014502	0.013281871009	0.000210308004	-0.000824697	0.000113577	1.2899734929000004e-08	6.80125141809e-07	-0.00038894	-0.000125058	1.512743236e-07	1.5639503363999998e-08	-0.000419829	0.0	0.0	1.76256389241e-07
59516.25371854812	-57.813414046919206	3342.390843760515	3542184456.690593	88256.27693525326	529.9087009803916	7789170418.472117	280803.23137472605	55970.54400046719	1.3395063330535777	1.7942772162906422	3132701795.708234	63910.23684201069	59993.76892820738	1.146538	19.808018	0.145030675	0.0718104	0.0172062237	-0.098963494	0.1075463062	0.1076322069	-0.1166859198	0.0294152455	-0.0878655394	-0.1369096953	-0.027726315	0.1034559202	0.0853885961	0.0752034957	-0.1146754339	0.0383971302	-0.0979798718	-0.0557197296	-0.1214153855	-0.010035401	0.1250821806	0.0910494927	-0.0382514388	0.0654345368	0.0356506628	0.1156793596	0.0853583961	0.009512139	0.0128275911	0.0187581401	-0.080397909	0.0436423008	-0.1380529527	-0.0295691082	0.0053714185	0.0297009535	0.1272361218	-0.018662924	0.1192627398	-0.0461333069	0.0555548387	-0.0193310972	-0.0063441974	-0.0103029266	-0.0478048752	0.0586504335	-0.0644665786	-0.0470566941	-0.0300599901	-0.0729579665	0.0069835177	-0.0503815269	0.0462750541	0.1436272033	0.0582300687	0.0913358702	-0.0341558846	0.007144594	0.0090546978	-0.2020011053	0.0287228584	0.0057060901	-0.0626598905	0.0400780773	0.0470982742	0.1639929238	-0.1139922941	-0.1046461161	-0.0537674724	-0.0295089315	-0.0659387159	-0.0796219979	0.0553310021	-0.0059530971	0.0239049556	0.0628594192	-0.0112173432	0.0250201103	0.019034019	0.1304433085	-0.0346345169	-0.0494700837	0.0811291366	0.0016469652	0.0480935121	0.057448433	-0.0434949557	0.1907620682	-0.0488380908	0.0311625661	0.0137941098	0.0068683582	-0.0115023446	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0209767	0.0235193999999999	0.00044002194289	0.0005531621763599	-0.0378839	-0.0180812	0.0014351898792099	0.0003269297934399	-0.065303	0.049944	0.004264481809	0.002494403136	-0.00138463	-0.000559933	3.13524964489e-07	1.9172002369e-06	-0.000231464	0.000157476	5.3575583296e-08	2.4798690576000003e-08	-6.75165e-05	0.0003523125	1.2412409765625e-07	4.558477772250001e-09
59635.95355984143	119.69984129330987	14328.05200564357	3556446956.991564	88449.73782807394	193.4608928206726	7823356121.855013	37427.11705097177	56035.45573998131	64.91173951412202	4213.53392674923	3139972299.987405	64019.30218455324	59748.6382315928	1.32818	22.946136	0.159342535	0.0788965999999999	0.0826622226	0.1073311527	0.0981748516	0.0227057354	-0.1364396487	0.0819213703	0.0839538365	-0.0622279419	-0.0766517647	0.0413049245	-0.0766776197	-0.0234903895	-0.0584882278	-0.0912479006	-0.0326074693	0.0226176978	-0.0162178685	0.0747739157	0.1269061804	-0.0001493825	-0.0602069507	0.0410643273	0.0481372585	-0.0121583945	0.0662181683	0.0348904876	-0.0753451251	-0.0366278546	0.0499162704	0.0581844678	0.0898764365	-0.0358174666	-0.0242306992	0.038444912	-0.0190733474	0.0459305408	-0.1058474432	-0.0310984189	0.0170910524	-0.1495959186	0.1528782666	-0.0509858407	-0.1164155279	0.0913962325	-0.0678777072	-0.0017627223	0.0043660724	0.0155604062	0.153162077	-0.0297283409	0.0107427069	0.059892372	0.0695038385	0.0304301554	-0.0107004943	0.0714904101	0.0770817771	-0.0343471426	-0.0062283382	-0.0886177381	0.0399687778	0.0492271874	0.1674439962	-0.0328681758	0.0452800524	0.0071840429	0.0319167955	0.0232813806	-0.0468208135	0.0084616377	0.0958094244	0.0302624323	0.0853401984	-0.0437093761	-0.0108671265	-0.2043471541	0.0771576772	-0.0401123306	-0.0491581994	-0.0211569823	-0.0460935647	-0.1404917695	-0.0988239672	-0.0044233312	-0.0403959871	0.1512398229	-0.1620680946	-0.0802180627	-0.0987886287	-0.0140125004	-0.0276240258	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0274872	-0.0065104999999999	0.00075554616384	4.2386610249999984e-05	-0.0745725	-0.0366886	0.00556105775625	0.00134605336996	-0.0130904	0.0522126	0.00017135857216	0.00272615559876	-0.000288192	0.001096438	1.202176287844e-06	8.3054628864e-08	-0.000317657	-8.6193e-05	1.00905969649e-07	7.429233249000001e-09	2.84692e-05	9.59857e-05	9.21325460449e-09	8.104953486399998e-10
59679.06870445952	43.11514461808838	1858.9156954386756	3561591241.4316	87678.96656709559	-770.7712609783484	7687601178.273866	594088.3367501533	56040.72565406977	5.269914088457881	27.77199449972686	3140562931.834714	63961.85924922378	59551.568855074285	1.322939	22.855591	0.168184825	0.0926291	0.0725389111	-0.015929408	-0.0208403193	-0.0876405462	-0.0277705024	-0.1077695025	0.021844894	-0.0322980091	0.1133169899	0.0993602493	-0.0039071915	0.0925851089	0.0422372905	0.0136748877	0.0577399637	-0.0854015249	0.0777779701	0.0012102677	0.0673288659	-0.0559230595	-0.0371321985	-0.0471865239	-0.1030181162	0.0335453659	0.0095439355	-0.0143089082	-0.0466012086	-0.0209312727	-0.0620025282	-0.0538120944	-0.0561693832	0.1571097241	-0.081079871	0.1706470365	-0.0420609817	0.0631387164	-0.0821285159	0.0117572259	0.0258851183	-0.0820406477	0.0392756966	-0.073458137	-0.0736962208	0.0545591423	0.0174076817	0.0481715949	-0.0056271073	0.0633307079	-0.0135345876	-0.0365129976	0.11525761	0.0929374606	-0.1525758218	-0.0082435777	0.0088794662	0.0157193132	-0.1465335949	-0.0134902303	0.0194741893	0.0378378484	-0.0856423571	0.0740352252	0.0559269159	0.0396296793	-0.0525267896	-0.0999191281	-0.1680212901	0.0404260513	0.1018269859	-0.0081701964	0.0330761701	-0.0650645695	-0.1166058784	0.0465379734	-0.0978759078	-0.0042755781	0.1795042737	-4.36293e-05	0.0635130419	0.0359784468	-0.0827533411	0.0301723935	-0.0579242497	0.0983806605	0.1389545339	0.0722399743	0.0600774632	-0.0057481774	0.0124366518	0.0770216981	0.0034181446	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0069096	0.0205776	4.774257216e-05	0.00042343762176	-0.00817321	0.06639929	6.680136170410001e-05	0.0044088657125041	-0.0703856	-0.0572952	0.00495413268736	0.00328273994304	-0.000108895	0.000179297	3.2147414209e-08	1.1858121025e-08	-0.000545384	-0.000227727	2.97443707456e-07	5.1859586529e-08	-4.27615e-05	-7.12307e-05	5.0738126224900006e-09	1.82854588225e-09
59647.7823130562	-31.286391403315065	978.8382870414268	3557857934.8657403	88317.03744766135	638.0708805657632	7799899103.531617	407134.4486259685	56088.87154796512	48.14589389535104	2318.0270989824003	3145961511.524132	63917.59381827852	60669.93033548718	1.147151	19.818613	0.027401935	0.0160739	-0.0047386898	0.0236065707	0.0560130642	0.0074882993	-0.0105006991	0.0590397056	0.0271861608	0.0211161126	0.0581437514	0.0686522491	0.0008055013	0.0969836885	0.0191452758	0.0498288139	0.0177349017	0.0527179024	0.0120151082	0.0207940746	0.0966634363	0.0787466004	0.0179783639	-0.0475400638	-0.0351769615	0.1123429893	-0.064177567	0.0450745651	-0.0444061149	-0.1481762036	0.080920508	0.0823558183	0.0041031265	-0.0381465775	-0.0943760723	0.0135214261	0.1098548546	0.0134373083	0.0579439512	-0.0411573001	0.0002829183	0.0435578477	-0.0340422016	-0.014566044	0.0549477099	-0.0467280336	0.0013955658	-0.0309964507	0.074976991	-0.0126753928	-0.0144372226	0.0368533332	0.0053944609	0.0693179498	0.0336746833	-0.1201756724	0.1155248106	0.0378606588	0.0383863666	0.0052021307	0.0679621503	0.0100944159	-0.0091289247	-0.0481372401	0.1244708324	0.1133825966	0.043594259	-0.1050462105	0.0321864648	-0.0511705135	0.1666520754	0.0586294784	0.0287732838	0.0814681053	0.0418169641	0.0239989801	-0.0199418512	0.0243984168	0.0468064919	0.0076492333	-0.09353714	-0.0803870605	0.0556150364	0.115195694	0.0953223298	-0.1068235437	-0.0207795699	0.0445071104	0.0450566893	0.0471823163	0.0944182592	0.0241539937	-0.0266911749	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0106466	-0.003737	0.00011335009156	1.3965169000000003e-05	-0.00814333	2.987999999999949e-05	6.631382348890001e-05	8.928143999999694e-10	-0.0678848	0.0025008	0.0046083460710399	6.254000640000057e-06	-0.000390072	-0.0002811769999999	7.906050532899998e-08	1.5215616518399998e-07	-0.000607558	-6.217400000000002e-05	3.69126723364e-07	3.865606276000002e-09	3.65726e-05	7.93341e-05	6.29389942281e-09	1.33755507076e-09
59593.84120447397	-53.94110858223576	2909.643195080548	3551425909.50406	87990.80456622754	-326.2328814338107	7742381688.2120495	106427.8929286068	55883.243005087206	-205.6285428779156	42283.09764609478	3122936848.7656283	63793.70941560775	59568.96019198748	1.152889	19.917738	0.04518573	0.022002	0.0671701675	-0.0987333663	-0.0709615445	0.0410278849	-0.0057693178	-0.0940572979	-0.0263768428	-0.1004106167	0.0232981788	0.0727584829	0.1385658813	0.0165224543	-0.0214060925	0.1320556296	-0.1338368534	-0.0280376692	-0.0284113577	0.0012200985	-0.0335245854	0.1517569677	0.0223386613	9.31029e-05	0.0415807409	0.1162677465	0.0281616774	0.0354382348	-0.014647579	-0.0605033148	-0.0330627531	0.062284171	0.0514716235	0.0545764292	-0.1132423587	-0.0437503243	-0.1778584915	-0.1128891206	-0.1464986341	-0.06657152	0.1359394631	0.049428824	0.0138639036	0.0580439698	0.1261232163	-0.0443044171	-0.0987867888	0.0897770932	-0.0663822589	0.0423150695	-0.0447158587	-0.08433304	-0.000603007	-0.0494969379	-0.1298022043	-0.134287256	0.1056459612	-0.0521386636	-0.0856808251	-0.1193766246	0.0763076767	-0.0390304723	-0.0502012583	-0.0699804935	-0.0505792296	0.1159935006	0.0300575161	-0.0707498882	0.0794024055	0.069032975	-0.0101744717	0.1056791864	-0.005478301	-0.0706971202	-0.0111185741	-0.0212209943	0.1125895617	-0.1293414168	0.0245231277	0.089453033	-0.1186761498	0.0121030383	-0.0097106378	-0.0937416813	0.0125299552	-0.0528437204	0.172717605	-0.0714583772	-0.1716932228	-0.0746254265	0.1251591008	-0.0449591567	0.0470241008	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.00126731	0.01191391	1.6060746361e-06	0.0001419412514881	0.00588776	0.01403109	3.46657178176e-05	0.0001968714865881	-0.0780576999999999	-0.0101728999999999	0.0060930045292899	0.0001034878944099	-0.000347145	4.2927e-05	1.8427273290000003e-09	1.2050965102499998e-07	-0.000607558	0.0	3.69126723364e-07	0.0	-0.000101857	-0.0001384296	1.9162754156160005e-08	1.0374848449e-08
59767.62485155402	173.78364708005392	30200.75599244473	3572168980.3960977	88280.57055504493	289.7659888173948	7793459137.524267	83964.32827532258	56038.25403602575	155.0110309385418	24028.41971262957	3140285915.406156	63863.35948101139	60884.0565553176	1.332705	23.024317	0.09922316	0.0553258	-0.002420925	0.0735427596	0.0759236132	-0.1107279673	0.0307859335	0.0319760569	0.0867516203	0.0844531847	-0.007446495	0.0844941485	-0.071724068	0.020511923	0.007926985	-0.0337876773	-0.0473859736	0.0699755031	-0.0196954035	0.0890532489	0.0098525986	0.0404327675	0.0844478536	0.0016132038	0.0133052074	0.0228721902	-0.0838312295	-0.0119983512	-0.0068260617	0.1453811457	-0.098194777	-0.0230296951	0.0004911002	0.0323345529	0.0238401794	0.2846347831	0.027750425	-0.0530828518	0.0428429203	-0.0072274503	0.1123676686	0.0278070012	0.0527810839	0.0311935237	0.0018698143	0.0135427847	0.1280649462	-0.2078336226	-0.0069244656	0.0671890917	0.0050741905	0.0554406744	-0.1055945231	-0.0519219479	-0.0901463234	-0.0166583672	0.0768382943	-0.0356888913	0.0957513425	0.0220748375	0.0652335895	-0.0565630964	0.0291025663	-0.0108356954	0.095513481	0.0612004049	-0.0140587252	0.0363819152	0.0386462144	0.1169633245	0.0588290082	0.0581003428	0.0327422139	0.1050185197	-0.0875604033	-0.0853541983	0.0463071953	-0.007069002	0.0267174244	0.1414487664	-0.0045511866	0.0823146367	-0.1084673439	0.0487864941	-0.0047393219	0.1308783572	0.0548656708	-0.0167688734	-0.0134149723	0.2014560301	-0.1406342498	0.0839859519	-0.0462595713	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.00380561	-0.00507292	1.44826674721e-05	2.57345173264e-05	-0.0296157	-0.03550346	0.0008770896864899	0.0012604956719716	-0.0382622	0.0397954999999998	0.00146399594884	0.0015836818202499	-0.000419262	-7.211700000000001e-05	5.200861689000002e-09	1.75780624644e-07	-0.000441079	0.000166479	1.94550684241e-07	2.771525744100001e-08	3.65726e-05	0.0001384296	1.9162754156160005e-08	1.33755507076e-09
59789.6115749766	21.986723422582145	483.4160068611223	3574797652.2865763	87762.16074984681	-518.4098051981273	7702196859.481952	268748.7261255603	56038.97356468023	0.7195286544811097	0.5177214846193962	3140366558.182929	63973.88033650529	59782.31589789642	1.312324	22.672197	0.12219946	0.0718445	0.0527196512	-0.0355982929	-0.1261137551	-0.064684632	-0.0229429448	-0.0990057924	0.0296892745	-0.0526272183	0.1054700425	0.0250525185	-0.0071208068	-0.0539757838	0.0736557341	0.0548128918	0.070316824	-0.074455451	0.0936190352	-0.0670148154	-0.1620524647	0.1500662202	0.0867531842	0.0245240811	0.0137057747	-0.0746082233	-0.0128510807	-0.1085362233	0.0828045564	-0.0379868746	0.0072088851	0.1188898397	0.164131848	0.0482313813	0.0169400985	-0.0867734131	-0.1253727579	0.1273890651	0.0121684843	-0.0202555458	-0.0932355258	-0.0187539717	-0.0676871881	0.0614756255	0.0987978897	0.0644919393	0.0334660972	0.037172469	0.0584131054	0.0816081267	-0.017458528	-0.0122576109	-0.0402757536	-0.0191720962	-0.0061658453	0.0958523651	0.0434093664	0.0299713061	-0.1415638965	0.0441463195	0.0313931817	0.0214752709	-0.0869716349	-0.0803480806	-0.1424349398	0.0442204158	-0.0213061446	-0.0034521511	0.009428851	0.1343560336	-0.0279335323	-0.0559444332	0.0409607057	0.0463101542	-0.1107903985	-0.1110026052	0.1575150098	-0.0274588035	0.010834511	-0.1243269522	0.0514543656	0.0879716263	-0.0048513804	-0.044286909	-0.0192768485	-0.1712022235	0.0367132017	0.0084177449	0.1001771682	-0.1246023454	0.0512196972	-0.0413445659	-0.1481486034	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0012569	0.00506251	1.57979761e-06	2.5629007500100003e-05	0.0210543	0.05067	0.00044328354849	0.0025674489	-0.0839245	-0.0456622999999999	0.0070433217002499	0.0020850456412899	-0.000169648	0.000249614	6.2307148996e-08	2.8780443904e-08	-0.000607558	-0.000166479	3.69126723364e-07	2.771525744100001e-08	3.65726e-05	0.0	0.0	1.33755507076e-09
59908.09477549622	118.48320051961493	14038.268805371275	3588979819.629837	88602.21684155433	840.05609170752	7850352829.237813	705694.2372149131	56094.26827242525	55.294707745022606	3057.504704607463	3146566933.018814	63954.3363956848	61839.38446344916	1.367124	23.618944	0.09740225	0.0478971	-0.0784744097	-0.088471063	0.0348639341	-0.0082255889	-0.0064963108	-0.0117439397	-0.1200299755	0.0212459595	-0.0108740325	0.0180941682	-0.0388327514	-0.0207984907	-0.1122814758	0.0778251125	0.0055292649	-0.0188343156	-0.0674140345	-0.0393135228	-0.0573279072	-0.0202903255	0.0083025478	-0.0019883224	0.0570610451	0.1115672696	-0.1372092467	-0.0173613456	-0.0998314555	0.0484127457	0.0573107946	-0.0060625755	0.0427697793	-0.0777050899	0.0489191307	-0.0735722968	0.0419661479	-0.110592163	-0.0545593672	-0.0125725424	-0.0414254458	0.0986192413	-0.0870060543	0.0529656201	-0.0464921925	-0.002640006	0.0011084463	0.0901582782	-0.000144993	-0.0398219131	-0.0650301969	-0.0227734207	0.0547376671	0.1439228046	-0.1120573131	-0.0021527526	-0.1344690991	-0.0588275907	0.0099710434	-0.0435899418	-0.0258097028	0.0884372316	-0.052877577	-0.0700439604	-0.0305840264	0.0104003923	-0.0972369482	0.0316920812	-0.0735499755	-0.0078078489	0.0195023045	0.0841633273	-0.0673276235	0.0795962902	0.0258602768	-0.0190321466	-0.1091649795	0.0123131207	-0.0769576801	-0.0732882287	-0.0693636056	0.0153000308	0.0606621385	0.0075466135	0.1579324808	0.0097978372	-0.0230831578	-0.064527579	0.0644138879	0.0135740729	-0.0613301485	0.0040857313	0.1215780047	0.1013346856	0.0975763397	0.0914153405	0.0830033923	-0.00294422	-0.00420112	8.6684314084e-06	1.7649409254400002e-05	-0.0114115	-0.0324658	0.00013022233225	0.00105402816964	-0.0631042	0.0208203	0.00398214005764	0.00043348489209	-0.000513111	-0.000343463	1.1796683236900003e-07	2.63282898321e-07	-0.000313202	0.000294356	9.8095492804e-08	8.6645454736e-08	-0.000123909	-0.0001604816	2.5754343938560006e-08	1.5353440281000004e-08
