global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
59178.5936882469	n/a	n/a	3502105950.9186163	87491.40972222222	n/a	7654746775.181761	n/a	55813.73691342631	n/a	n/a	3115173228.241167	64098.79478375737	58706.6976099091	n/a	n/a	n/a	n/a	-0.199443116	-0.0661700047	-0.0322210584	0.1946796871	0.0197863855	-0.1652018446	0.2660167463	0.1466573782	0.0009370519	-0.0615566721	0.1418389108	-0.1088885065	0.0377994368	-0.1625069777	0.1857000011	-0.0837271529	-0.1084093684	0.0662883919	-0.1514610981	0.0498376025	-0.0139026732	0.0487855737	-0.0930684027	0.06485573	-0.0305495945	0.0121668378	-0.0495032433	0.0129406804	-0.2036652941	0.0620251781	-0.108057525	0.0105201532	0.0129550252	-0.0944852512	0.0248195741	-0.0691638541	0.1696324524	-0.0148685313	0.0447975705	-0.0603995339	0.0060108923	-0.0109903669	0.0151958768	-0.0079156416	0.0572976729	-0.0059749319	0.007038416	-0.0431503087	0.0073214242	0.119120027	-0.0390988637	0.0163413507	-0.0326805944	0.0100417424	-0.189007647	-0.0252440372	-0.0219518481	-0.1142682859	0.1026572835	-0.2209316698	0.1547902013	-0.1381661079	-0.1026893116	0.0413147154	-0.0952173105	0.0815960347	-0.0699372563	0.1132469824	-0.0065671624	0.0119861035	-0.0210610896	0.0430672359	-0.0593948443	0.01136236	0.0027193963	-0.0698574619	0.0469588326	-0.0072953298	0.0724597233	-0.1246897453	0.004158355	-0.1296747406	0.2008073135	-0.0761667779	0.0195208519	-0.0880385973	0.0223457513	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.136807	n/a	0.018716155249	n/a	0.0854853	n/a	0.00730773651609	n/a	-0.271139	n/a	0.073516357321	n/a	0.00114072	n/a	n/a	1.3012421184e-06	-0.00182359	n/a	3.3254804881e-06	n/a	0.000741102	n/a	n/a	5.49232174404e-07	0.0	0.0	0.0	0.0
59304.58901786484	125.9953296179374	15874.82308553269	3517034278.577855	88136.87639782476	645.4666756025399	7768108981.165439	416627.22931339446	56108.01283845684	294.2759250305244	86598.32005257081	3148109104.6804376	64511.84370750227	57947.67556961782	1.558629	28.601227	0.30693795	0.185721	-0.0661706628	0.1296602282	0.0547700372	0.0664165764	-0.0724464683	-0.1590478715	0.0050530016	0.2037208064	0.1499926678	-0.0904463978	-0.0898592438	-0.074713602	0.155988369	-0.0655923056	0.0165915961	0.0892792134	0.0706722787	-0.0445287906	-0.1594188842	0.0274552228	0.0757795779	-0.0195515408	0.021590358	-0.0992888768	0.093395341	-0.0373309595	-0.0475557442	-0.1355229302	-0.0358887466	0.0108624653	-0.0233661507	-0.0405447244	-0.0969614205	-0.0051335988	-0.0989074573	-0.0494926756	0.0308648588	0.0671118576	0.0692821547	-0.0268734399	-0.0307294605	0.0096975507	0.0075205725	-0.0411805878	0.0924744299	0.1486899868	0.1485864761	-0.0873220686	-0.1977246248	0.1033939814	0.0486718522	0.0834336793	0.0250469823	0.0739656459	0.0280640157	-0.1039621632	-0.0668732604	-0.2238761251	-0.0553211415	-0.0595149019	-0.0090882715	-0.1091112834	0.1839713374	-0.093826939	-0.0316541251	0.0271480018	-0.0200197462	0.1587573203	0.0794260189	-0.0453575737	0.0200320961	-0.1555805695	0.0268801549	-0.099409456	-0.003688919	-0.0690171215	0.0325210764	0.0005944346	-0.0666438937	-0.1211158578	0.1071980262	-0.0660882518	-0.0390611818	-0.0631041051	0.0322622263	0.0052625767	-0.0593517134	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.109631	-0.027176	0.012018956161	0.000738534976	0.0525071	-0.0329782	0.00275699555041	0.00108756167524	-0.10298	0.168159	0.0106048804	0.028277449281	0.000670161	-0.000470559	2.2142577248100005e-07	4.491157659209999e-07	-0.000894941	0.0009286489999999	8.00919393481e-07	8.623889652009998e-07	0.000567815	-0.0001732869999999	3.0028384368999977e-08	3.224138742250001e-07	1.0	0.0	0.0	0.0
59446.38596587426	141.79694800941795	20106.374464785586	3533872804.403692	88800.85499004289	663.9785922181327	7885591846.9626255	440867.5709239733	56092.02483077158	-15.988007685256887	255.6163897438333	3146315249.615896	64424.366603156166	57151.83968098959	1.553219	28.501951	0.4163828600000001	0.193191	0.0713350984	0.1019837771	-0.0211015392	-0.0096388303	-0.1197351109	0.0049978473	-0.2899555947	0.0653918368	0.0064198515	-0.012459038	-0.0021153	-0.0817054061	0.0506695269	0.0052745637	-0.1320981538	0.0596910667	0.1835701024	-0.0959690908	0.1543360035	-0.1464160309	-0.0216875895	0.1390124387	0.147508282	0.0331478683	0.0235673505	-0.0350456319	-0.0498155354	-0.0632745289	0.0126421356	0.0135680687	0.0897114257	-0.0238201222	-0.0599257015	0.0060394521	0.0406932752	0.095130568	-0.0899599106	0.0703954909	0.0278776936	-0.0461625537	0.0326587033	-0.0941066448	-0.1255343367	0.0085536079	-0.0540437045	0.0665852177	-0.0394522924	0.0226459278	0.0760223681	-0.017231809	-0.0007194303	0.1239574024	0.0443016053	0.0067207162	0.2436164104	-0.0075688327	-0.011091173	0.0141333899	0.1344530698	0.0353885329	-0.3153569847	-0.0665066469	0.1915126934	0.1029073422	-0.043225224	0.0605695173	-0.1348423902	-0.0216030698	-0.1736006687	-0.0946419559	0.0353719115	-0.0278442455	0.0097268622	0.1758705855	-0.0707451745	-0.0236682063	-0.0824727836	0.0040528285	-0.137661678	0.0133321768	0.0244552604	-0.0531370372	0.0927855524	-0.0301336955	0.0912295383	-0.1013675993	-0.0309426093	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.00804094	-0.10159006	6.46567160836e-05	0.0103205402908036	-0.0186338	-0.0711409	0.00034721850244	0.00506102765281	0.0287336	0.1317136	0.00082561976896	0.01734847242496	0.00157426	0.000904099	8.173950018010002e-07	2.4782945476000003e-06	-0.00111752	-0.000222579	1.2488509504000005e-06	4.9541411241000046e-08	-0.000544273	-0.001112088	1.236739719744e-06	2.96233098529e-07	0.0	1.0	0.0	0.0
59141.34191905808	-305.044046816176	93051.87049798937	3497698323.9869366	87189.68651386336	-1611.1684761795332	7602041434.385766	2595863.858634679	55915.135210962944	-176.88961980863678	31289.937596044067	3126502345.660268	64274.34285223538	56091.65111366524	2.130006	39.086128	0.50480296	0.25952	0.0135490145	0.0236222716	-0.0178306976	0.1788651997	0.1472364992	-0.0498760777	0.230141802	0.050622145	-0.0675777375	-0.0545895902	-0.0235852755	-0.0916601112	0.2341193503	-0.0032119714	0.0963589914	-0.0233200763	0.0146420122	0.0374179264	-0.2823080537	-0.0692630892	0.1158444478	0.0174519432	0.0135508765	-0.1908680484	-0.0673065838	-0.018072578	-0.1815374328	-0.0002137997	0.040636142	-0.0790312156	-0.170044621	-0.059736066	-0.0179521124	-0.0557706929	0.1585163439	-0.0386738776	0.0456090144	-0.0234811077	0.0490967707	0.0345311552	0.044288618	-0.0833713531	0.0395247072	0.0920309334	-0.1721697284	0.0158932781	-0.0347617157	-0.0706869749	0.0813362673	-0.0752526866	-0.1280307492	-0.0168253055	0.0133478334	-0.0960738379	-0.191851578	-0.050652286	-0.1099865553	-0.1069998194	-0.2376245079	-0.0326181393	0.0465685811	-0.0814381892	-0.0966787319	0.1456667444	-0.2032960981	0.0446232719	0.1225317241	0.1386332022	-0.0734828261	0.0425328836	-0.09681919	-0.1003751816	-0.1152898136	-0.1600817709	-0.0908443755	0.0230477024	-0.039113693	0.0306496928	-0.0730497015	0.1456340756	0.0107620643	0.0577635138	0.0856847191	0.0122020299	-0.0079035267	0.0676083389	0.0323718009	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.091161	0.08312006	0.008310327921	0.0069089443744036	0.0524052	0.0710389999999999	0.00274630498704	0.0050465395209999	-0.19447	-0.2232036	0.0378185809	0.04981984705296	0.000768042	-0.000806218	6.499874635240001e-07	5.89888513764e-07	-0.000795222	0.000322298	6.323780292840001e-07	1.0387600080400004e-07	0.000876017	0.0014202899999999	2.0172236841e-06	7.67405784289e-07	0.0	0.0	1.0	0.0
59143.10089791834	1.7589788602563203	3.094006630828624	3497906383.821349	86854.48006344464	-335.20645041871467	7543700707.091303	112363.3644023142	55913.97555094666	-1.1596600162811228	1.344811353361134	3126372661.9118614	64206.71973453082	57005.58486706493	1.437712	26.382359	0.2223001	0.102076	-0.0558598454	-0.0881020955	-0.0684649632	0.0818471473	0.0630327651	-0.1007955097	0.1758231941	0.0322554441	0.0129023131	0.0523557352	0.0121715379	0.0999125385	0.0508958293	-0.2280480612	0.2321399808	-0.007247772	-0.051467656	0.1053984114	-0.05922872	0.0924814274	0.1011211059	-0.0528060687	0.0010254715	-0.0176511923	0.0444729024	0.0203140446	0.0338927016	0.0921111067	0.1392808024	0.0644854274	-0.0617378896	0.0203073215	-0.0649875258	0.0353981901	0.0872335922	-0.1360269054	0.0104416598	0.0943135724	0.0684793162	-0.0460488115	-0.0182441469	0.0708891348	0.123538277	-0.028426204	0.0037101859	0.0222819225	0.1309373713	-0.0049707622	0.0590664814	-0.0159098515	0.0902847254	0.0264899156	0.1108558009	0.0473406546	-0.1495088937	-0.0731005572	0.0185076342	-0.002948088	0.0519514947	-0.0968837944	0.1188909551	-0.0315063099	-0.0038838595	-0.1533677756	-0.0861232922	0.0683395298	0.1362940562	0.0974603127	0.1732529277	0.1316258757	0.0790268596	-0.1974078908	-0.0535646212	-0.1355763215	-0.0103797804	-0.0590945617	-0.0379944886	0.0034549989	0.0634525552	-0.006783986	-0.0460531823	-0.0017522633	0.0584810282	0.0570067641	-0.1411272506	-0.0352408303	-0.1219380719	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.05817	-0.032991	0.0033837489	0.001088406081	0.0167932	-0.035612	0.00028201156624	0.001268214544	-0.171895	0.022575	0.029547891025	0.000509630625	0.000112215	-0.000655827	4.30109053929e-07	1.2592206225e-08	-0.00141532	-0.000620098	2.0031307024000004e-06	3.84521529604e-07	-0.0004705	-0.001346517	1.813108031289e-06	2.2137025e-07	0.0	0.0	0.0	0.0
59432.64741030694	289.5465123886024	83837.1828364031	3532239578.1978645	88142.48742915136	1288.0073657067114	7769098090.198105	1658962.9741147424	56129.79151185871	215.81596091204847	46576.52898439083	3150553495.1647263	64296.36738582276	57089.65457374225	1.480399	27.165676	0.24187147	0.120782	-0.0244125016	-0.0267713283	0.0045504496	-0.0585747234	0.0232702727	-0.1442171349	-0.08702644	0.024701217	0.0310997398	0.0034975435	0.0349106119	-0.0285221216	0.2324747058	0.2132506011	-0.0658938225	0.1483094554	-0.03691148	-0.0741672001	-0.028067073	0.0678889491	-0.1482783549	-0.057759247	0.0552135672	0.1225590512	0.0733652951	0.0568834505	-0.0992928843	0.1087046491	0.045122328	0.0158457325	-0.0420062161	0.1393119068	0.0145283628	-0.0347172859	-0.0154225627	-0.0866742583	-0.0623100582	0.0926077256	-0.0517232575	-0.0354336976	-0.0259995757	-0.0330248212	-0.0065221206	0.0739007635	0.240457516	-0.016426514	0.1225578502	-0.0047137384	0.1436971755	0.0019842089	0.2268980541	-0.0896331327	0.0401454437	0.0907682088	0.0894473529	-0.056826544	0.1021430603	-0.021186481	-0.0345281747	-0.0841845904	0.0321572104	-0.1264498468	0.0712139029	-0.0588286292	0.0490276622	-0.1450080952	-0.108853458	-0.039660443	-0.1086168889	0.2198384308	0.0295076175	0.1210328068	0.0591386603	0.0209199011	-0.0016076871	-0.1679776215	-0.0552260614	0.071091215	0.1094063017	-0.0600775924	0.0421136342	-0.032825415	-0.0683902484	0.1862039253	-0.0268073638	0.187838681	-0.1649445271	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0169541	-0.0412159	0.00028744150681	0.00169875041281	-0.00679932	-0.02359252	4.62307524624e-05	0.0005566069999504	-0.068139	0.1037559999999999	0.004642923321	0.0107653075359999	0.00103363	0.000921415	8.490056022249999e-07	1.0683909769e-06	-0.000933954	0.000481366	8.72270074116e-07	2.317132259560001e-07	-0.00040714	6.335999999999999e-05	4.0144895999999985e-09	1.657629796e-07	0.0	0.0	0.0	0.0
59139.3890935545	-293.2583167524426	86000.44034447597	3497467342.358833	87365.88759957108	-776.599829580271	7632798316.060888	603107.295304106	55877.832629275246	-251.9588825834653	63483.27851270846	3122332179.3452973	64151.58321233285	57818.93789904665	1.24563	22.857611	0.20159137	0.104925	-0.1083405652	-0.0035512389	0.0322493024	-0.0263637979	0.0373269499	-0.1534023828	0.1169747586	0.0431873381	0.1058221709	-0.0448813934	0.0651636874	0.0464241292	0.0342450303	-0.0463331818	0.0124374063	-0.0873312869	0.0056822226	0.0083063439	-0.0154162242	0.0797186379	0.0975181865	0.0704643172	0.0315623691	-0.0685925739	0.0680333488	-0.0977798468	-0.0614360498	-0.0845208432	-0.0189891502	0.1493482	-0.0646275878	-0.0530867885	-0.1025666529	-0.0543644962	0.0477229871	0.0295022808	0.0835565181	-0.0792283525	-0.077380085	-0.1127057256	-0.0171384821	-0.0292065234	0.0353370549	-0.0561574852	0.1043112276	0.0175260316	0.043569219	0.0443056683	0.0608962191	-0.0074635664	-0.0431520254	0.0904468001	0.0995975938	-0.0064717034	-0.0861200804	0.0447564739	-0.0323289559	-0.0943610308	0.0648487979	-0.0847519815	0.0073841339	0.0677834696	0.0989410652	0.0940216825	-0.1409139559	0.0946575501	-0.0837705671	0.0608048624	0.0005990705	0.0804766796	-0.0361512063	-0.0987225164	-0.0116156037	0.0799757722	0.0656472153	-0.0373357608	0.0102732006	0.0827741898	0.0071109457	0.0584570869	0.0664639099	0.0431501171	0.0049330574	-0.1048220443	0.0200721786	0.0219370816	9.73347e-05	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0271518	0.0101977	0.00073722024324	0.00010399308529	0.0399945	0.04679382	0.00159956003025	0.0021896615901924	-0.146465	-0.078326	0.021451996225	0.006134962276	0.00166195	0.0006283199999999	3.947860223999999e-07	2.7620778025e-06	-0.000470516	0.000463438	2.2138530625600003e-07	2.14774779844e-07	-0.000173421	0.000233719	5.4624570961000016e-08	3.0074843241e-08	0.0	0.0	0.0	0.0
59071.61029420115	-67.77879935334931	4593.965641781585	3489455142.7499714	87455.12050653595	89.23290696486947	7648398102.812725	7962.51168540105	55997.2368052728	119.40417599755165	14257.35724565429	3135690529.8257985	64233.63825575136	56643.5644046896	1.371408	25.165663	0.28072844	0.174659	0.0237196787	0.044323332	-0.1113259215	-0.1569538057	-0.1042931835	-0.0423453386	-0.0854293588	0.0868517649	0.0246551534	0.1414147739	-0.0126772372	0.180995618	0.0862581861	0.0353645717	0.0239133716	0.1024013869	0.0045803154	0.0493775483	-0.0134998709	-0.1481008216	-0.0524644249	-0.0171481693	0.1145695203	0.0032977645	0.1783483301	-0.0210390699	0.00889642	-0.0604204929	-0.1108594167	-0.022646126	0.0624694123	0.014191586	-0.1240449337	-0.1869957796	0.0463299198	-0.0593767015	0.0513191083	0.1070772518	0.0313879237	0.08765552	-0.0947999286	0.177798855	-0.0550273739	0.0286822203	-0.0516358109	0.0184411534	-0.0663115708	0.080159932	-0.0137004109	-0.0006284498	-0.0209610697	0.0283973154	0.0151686565	-0.0534121296	0.1041671606	-0.1185088264	-0.0461264536	0.0022162064	-0.0175717983	0.1231000999	-0.0236196643	-0.0544132293	0.1005553564	0.0606835383	0.2036001836	-0.0443012415	-0.0780198114	0.067778817	-0.0141158794	0.0612394971	-0.0310121938	-0.1479026115	0.0473396251	0.1206399502	0.0203926063	-0.1541283555	-0.0405506014	-0.0136520505	-0.0510103623	-0.1240657753	0.0831821292	0.0695756805	0.0055532075	-0.0346134571	-0.0244810886	-0.0055739742	0.1411508888	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0170419	-0.0101099	0.0002904263556099	0.00010221007801	-0.00567594	-0.04567044	3.22162948836e-05	0.0020857890897936	0.0116149	0.1580799	0.0001349059020099	0.02498925478401	0.00103363	-0.0006283199999999	3.947860223999999e-07	1.0683909769e-06	-0.000109689	0.000360827	1.2031676721e-08	1.30196123929e-07	-0.000521638	-0.000348217	1.2125507908900006e-07	2.7210620304400004e-07	0.0	0.0	0.0	0.0
59123.80861098421	52.19831678306218	2724.664274984911	3495624744.6682906	87261.04702180352	-194.07348473243476	7614490327.341405	37664.51747619058	55995.394486716206	-1.842318556591636	3.3941376639618874	3135484203.722968	64150.81854884407	56042.557428682136	1.299225	23.841091	0.15564254	0.129174	0.0203358364	-0.0741023858	-0.1090691197	-0.0871608501	0.0517183374	-0.0004373936	0.0491901487	-0.093698602	-0.0020199121	0.0955445998	-0.0748542396	-0.0107681126	0.0333330145	-0.124683577	-0.07376382	0.0066764173	0.091271369	0.0478747145	-0.0283229125	0.1173604941	-0.0110188466	0.2322164468	0.1063286175	-0.074997036	0.1353559262	-0.0498692988	0.1668130302	0.0311314274	0.0893527538	-0.0789894598	0.0972112469	-0.1021436803	0.0930191092	0.0682720657	-0.0181742453	-0.1065913522	0.0140151246	-0.0971493256	0.1372162276	0.0338277217	0.0088337443	-0.046241898	0.0069550442	0.0391525338	0.0078541808	0.0195720087	-0.1386468834	-0.0300627885	0.0443925305	0.0220250749	0.0317563179	-0.0427483055	-0.0524647041	-0.0156560791	-0.0689287369	-0.004419511	-0.0625904924	0.1015182595	-0.101237713	-0.0045504665	-0.1545148216	0.071051771	0.061958318	-0.0271029789	0.0746962379	0.2186653634	0.0731465637	-0.0595056668	0.0471759729	0.1309813064	-0.1452121059	-0.0434968052	0.0704521678	0.1722671134	-0.1642625798	0.0639122737	0.0526361556	-0.1619447911	0.0214299013	0.0229116845	0.0244156753	-0.1419361005	-0.1561305353	0.0494535852	-0.0348043972	0.1317789211	-0.021765958	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0169829	-5.9000000000000025e-05	0.0002884188924099	3.4810000000000024e-09	-0.00713913	-0.0014631899999999	5.096717715689999e-05	2.140924976099999e-06	-0.11647	-0.1280849	0.0135652609	0.01640574160801	0.000977972	-5.5658000000000096e-05	3.09781296400001e-09	9.564292327839995e-07	-0.000226523	-0.000116834	5.1312669529000016e-08	1.3650183556000004e-08	-0.000173421	0.000348217	1.2125507908900006e-07	3.0074843241e-08	0.0	0.0	0.0	0.0
59194.34858633298	70.53997534876544	4975.888122204436	3503970904.560301	87541.29409211602	280.2470703125	7663478171.322347	78538.42041873932	55960.4061418465	-34.98834486970736	1224.1842767215774	3131567055.5604115	64247.04880156391	57067.56534239605	1.257178	23.069529	0.0789174299999999	0.0372548	-0.0422882405	-0.0660563767	-0.0084769115	0.1104505728	0.0949095194	-0.055602207	0.0851620102	-0.0849329488	-0.0347567652	0.00238728	0.0187469151	-0.0829420822	0.065664107	-0.12421537	0.0928508652	0.0290913932	-0.0937351237	0.045726396	-0.1397580216	0.0581146462	-0.0858889611	0.0138448607	0.0141689443	0.004542113	-0.1586750936	-0.0001829678	0.0799069592	-0.0263911405	-0.0196842045	0.0196675719	-0.0809858026	0.0072109583	0.0852044184	0.0703382789	-0.0563890237	0.0196744196	-0.0189441997	0.0179178701	0.0131290398	0.0468297033	-0.028213101	-0.0903183711	-0.1292994455	-0.1639581586	0.0070888805	-0.1179569184	-0.001073961	-0.081085154	0.0192775131	-0.0332258693	0.0190831892	-0.0988092347	0.074511854	0.0718501514	-0.1119549634	-0.0128688395	0.0856476051	0.0018504456	-0.1027994808	-0.0291479063	0.0092598703	-0.0699090351	-0.0647419099	-0.0692390903	-0.0647611563	0.0763628855	0.1025045713	-0.0197522601	0.030271597	0.0249753195	0.0417499848	0.2007344293	0.0082924161	0.0046168014	0.1319985551	0.0795699652	-0.0208160258	-0.0999943256	0.0146063186	-0.042423386	-0.0412427414	-0.0559462354	-0.0040281114	-0.0484219297	-0.0442307633	-0.0885485264	0.0781569169	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.0427231	0.0257402	0.00182526327361	0.00066255789604	0.0113053	0.01844443	0.00012780980809	0.0003401969980249	-0.132463	-0.0159929999999999	0.017546446369	0.0002557760489999	0.000671255	-0.0003067169999999	9.407531808899992e-08	4.5058327502500004e-07	-0.000158444	6.807900000000002e-05	2.5104501136e-08	4.634750241000003e-09	-0.000173421	0.0	0.0	3.0074843241e-08	0.0	0.0	0.0	0.0
