onset	duration	trial_type	identifier	response
4.000081	9.967771	experimental_trial	30.mov	n/a
16.00039	9.967473	attention_check	f2.mov	Friendly
32.01733	9.974538	experimental_trial	21.mov	n/a
44.01751	9.969586	experimental_trial	18.mov	n/a
56.01768	9.975831	experimental_trial	44.mov	n/a
68.01788	9.96701	experimental_trial	8.mov	n/a
82.0182	9.966976	experimental_trial	40.mov	n/a
96.01849	9.973211	experimental_trial	4.mov	n/a
108.0188	9.976808	experimental_trial	46.mov	n/a
120.0191	9.966608	experimental_trial	39.mov	n/a
134.0194	9.96541	experimental_trial	27.mov	n/a
146.0197	9.971547	experimental_trial	11.mov	n/a
158.0199	9.973905	experimental_trial	38.mov	n/a
172.0202	9.971789	attention_check	a3.mov	Adversarial
188.0411	9.976469	experimental_trial	6.mov	n/a
200.0414	9.968721	experimental_trial	33.mov	n/a
212.0417	9.969314	attention_check	n3.mov	Neutral
230.0677	9.972171	experimental_trial	47.mov	n/a
242.068	9.969599	experimental_trial	36.mov	n/a
254.0683	9.965936	experimental_trial	48.mov	n/a
266.0686	9.971416	experimental_trial	9.mov	n/a
278.0689	9.966062	experimental_trial	28.mov	n/a
290.0692	9.974583	experimental_trial	16.mov	n/a
302.0695	9.968255	experimental_trial	37.mov	n/a
314.0697	9.968204	experimental_trial	12.mov	n/a
326.07	9.971446	experimental_trial	5.mov	n/a
338.0703	9.965882	experimental_trial	35.mov	n/a
350.0705	9.969863	experimental_trial	31.mov	n/a
