onset	duration	trial_type	identifier	correct_response
26.03	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	false & true
52.08	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.barriers.c.4.mp4"]	false & false
78.12	26	social	["fischer_videos/social.barriers.i.9.mp4"] & ["fischer_videos/social.nobarriers.c.5.mp4"]	false & false
104.17	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	false & false
130.2	26	physics	["fischer_videos/physics.nobarriers.i.2.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	false & false
156.25	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.barriers.c.2.mp4"]	false & false
182.27	26	social	["fischer_videos/social.nobarriers.i.8.mp4"] & ["fischer_videos/social.nobarriers.c.1.mp4"]	false & false
208.31	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & false
260.36	26	physics	["fischer_videos/physics.nobarriers.i.6.mp4"] & ["fischer_videos/physics.barriers.c.10.mp4"]	false & false
286.39	26	social	["fischer_videos/social.nobarriers.i.6.mp4"] & ["fischer_videos/social.nobarriers.i.10.mp4"]	false & false
312.44	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.nobarriers.c.1.mp4"]	false & false
338.49	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	false & false
364.53	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.barriers.i.1.mp4"]	false & false
390.56	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.barriers.c.4.mp4"]	false & false
416.6	26	physics	["fischer_videos/physics.nobarriers.i.10.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	false & false
442.64	26	social	["fischer_videos/social.barriers.c.2.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	false & true
