global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16
80650.04028775268	n/a	6504428998.41613	n/a	112716.32368405418	n/a	12704969624.848473	n/a	79473.21491175049	n/a	n/a	6315991888.40928	86414.9127970417	71365.05219849866	n/a	n/a	n/a	n/a	-0.0146553604	-0.0710546616	-0.0258454829	0.0033116427	-0.0293793318	0.0106351033	-0.0631959037	-0.006635491	0.0169707832	-0.0120093448	0.070497517	-0.0015315598	0.0150621551	0.0493494783	-0.0254240312	0.0619944668	-0.0265868258	0.0535865832	-0.0679678766	0.0462473331	-0.1274226957	0.0382114463	-0.0735523657	0.0043647482	-0.0797610537	0.061859599	-0.1439652048	0.0558846752	-0.0635355632	0.007219426	-0.1191976221	0.0157092411	-0.1005337322	0.0322160788	-0.1600512372	-0.012084842	-0.0203849777	0.000581983	0.0458652845	-0.0034403108	0.0366477402	-0.0851068743	0.0489075725	-0.0259587166	0.0039781626	-0.0207245218	0.0357593391	-0.0327185897	0.0460925004	-0.1420486819	0.0630140863	-0.0829825672	0.0008549703	-0.0745883272	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0663255	n/a	0.0043990719502499	n/a	-0.0118265	n/a	n/a	0.00013986610225	-0.0194155	n/a	n/a	0.00037696164025	0.00396648	n/a	1.5732963590399998e-05	n/a	-0.000943144	n/a	n/a	8.895206047360001e-07	0.000259234	n/a	6.720226675600002e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80609.44245002467	-40.597837728011655	6497882212.103839	1648.1844281899664	112583.53392347907	-132.7897605751059	12675052110.699163	17633.12051359395	79470.07845744681	-3.136454303676146	9.837345599048618	6315493370.032752	86325.7608927922	72007.10523398043	0.914784	18.551872	0.0792796499999999	0.055802	-0.0069954625	-0.0292560534	-0.0154665625	0.0196834502	-0.0402746069	0.022709958	-0.0343660148	-0.0183361813	0.0387160036	-0.0272512026	0.0525009315	-0.0225513042	-0.0220750857	0.0444316335	-0.0472964769	0.0757409177	0.0546280993	-0.0076034554	-0.1066499634	0.0717075096	0.0676369872	0.0301031163	-0.1108692605	-0.0394168073	-0.0015938485	-0.0752147758	-0.0734048237	-0.0185794486	0.0702933662	0.1022876687	0.0088641543	0.0593488366	0.0958238398	0.0007615179	-0.0056407815	0.0016467134	-0.014184883	0.0305647184	0.0329463032	-0.0171389687	-0.0384517212	-0.0597630563	0.0796552355	-0.0620652372	-0.0165103488	-0.0125040229	-0.0133258753	0.0332467979	-0.0099925477	-0.0209335202	-0.0946447756	0.0003668425	0.0503820056	-0.0837405643	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0650371	-0.0012883999999999	0.00422982437641	1.6599745599999871e-06	-0.0287448	-0.0169183	0.00028622887489	0.00082626352704	-0.0193698	4.569999999999921e-05	2.088489999999928e-09	0.00037518915204	0.00303925	-0.0009272299999999	9.2370405625e-06	8.597554728999997e-07	-0.000977225	-3.4080999999999933e-05	1.1615145609999955e-09	9.54968700625e-07	0.0	-0.000259234	0.0	6.720226675600002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80606.28586238061	-3.1565876440581637	6497373320.527821	9.964045554620666	112795.54746910646	212.0135456273856	12722835528.855448	44949.74352949552	79413.72405403772	-56.35440340908826	3175.818783594259	6306539568.13085	86260.05017125364	71862.39592161853	0.8673499999999998	17.589916	0.1719559999999999	0.09945	-0.0148175195	-0.0583978605	-0.0541696051	-0.0085072828	0.0256579083	-0.0072155228	-0.0377800828	-0.0367890981	0.0691629909	-0.0130482907	0.141793258	0.0286360685	0.0866813051	0.0521726874	-0.0538394152	0.0143828911	-0.0257298798	0.0467106654	0.0585651095	0.0355998742	0.0404388095	-0.0435361029	-0.0423861915	0.0004093574	0.027071788	-0.0237715609	-0.1079207852	-0.043692093	-0.0912470736	-0.0320435067	-0.0445897631	0.0552279503	-0.0487677559	-0.0029503615	-0.1240977451	-0.0119445363	-0.0598775443	0.0646134899	0.0677818296	0.002163693	-0.0019556495	-0.0998206	0.0922380989	-0.0552660423	-0.0630703082	-0.0154232195	0.0716457777	0.0906774716	0.0766841585	0.0480217315	0.0691838083	-0.0080681815	-0.1116807134	0.0210806454	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.070177	0.0051399	0.004924811329	2.641857201000003e-05	-0.0290737	-0.0003289	1.0817521000000003e-07	0.00084528003169	0.014739	0.0341088	0.00116341023744	0.000217238121	0.00179813	-0.0012411199999999	3.2332714969e-06	1.5403788543999995e-06	-0.000249729	0.000727496	5.29250430016e-07	6.236457344100003e-08	0.000678952	0.000678952	4.6097581830400003e-07	4.6097581830400003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80701.93116780538	95.6453054247686	6512801694.213197	9148.024449797267	112116.71363325808	-678.8338358483743	12570157475.922	460815.3766926176	79557.79632344052	144.0722694027936	20756.81881087114	6329442955.842046	86382.77617301163	72898.23961354265	0.990523	20.087862	0.2149521	0.122607	0.0029910809	-0.0204366914	0.0095713376	-0.0042791635	0.0357704689	0.0068324596	-0.0023499518	-0.0061000369	0.0270705179	0.0504933672	0.0307703211	-0.0555351409	-0.0793822099	0.0515226279	0.0328967243	-0.0003222421	0.0415556756	0.165814116	0.125909666	0.1305315804	-0.0499850992	-0.0483787145	-0.0259837499	-0.0490322142	0.0125522773	-0.028300008	-0.0108516921	0.0942393072	0.0279617247	-0.0075759455	0.0407328641	-0.0147804029	0.14536099	0.041766922	-0.1226247733	0.0121292409	-0.0119732422	0.0041911524	0.0200700257	0.0261349471	-0.1143108102	0.0085738802	0.0468643872	-0.0373129087	-0.0581643927	-0.0945049865	-0.0253498442	-0.0190149596	-0.0054386377	0.0106381249	0.1348385005	0.112271746	-0.099368119	0.0179190685	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0507626	-0.0194144	0.00257684155876	0.00037691892736	-0.0502532	-0.0211794999999999	0.0004485712202499	0.0025253841102399	-0.0755693999999999	-0.0903083999999999	0.0081556071105599	0.0057107342163599	0.00270353	0.0009054	7.3090744609e-06	8.1974916e-07	-0.000723811	-0.0004740819999999	2.2475374272400003e-07	5.23902363721e-07	0.000377438	-0.000301514	1.42459443844e-07	9.0910692196e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80919.27535858768	217.34419078229985	6547929124.558935	47238.49726681275	112871.27949738593	754.5658641278424	12739925735.377012	569369.6433069975	79572.03486913684	14.238545696323854	202.73618354630256	6331708733.21513	86454.22817273885	72940.2436136265	0.945151	19.167728	0.0644306	0.049117	0.0051919104	-0.0126004063	0.0255851966	-0.0357474606	0.0448610666	0.0077817248	-0.0245163415	0.0207587199	-0.0276892494	0.0021765343	-0.0250251837	0.0424941561	0.0461038798	-0.0253695619	0.0366367009	-0.0344698503	0.1348185467	0.0037972532	0.0147962459	0.0322230478	0.0275497911	-0.1338413639	0.0487708938	0.134658503	-0.0528312395	0.0269501217	-0.0054883603	-0.0005978122	0.0012443361	-0.0128859722	-0.0279972734	0.0478117234	-0.0600957414	-0.1086892127	0.0792652696	-0.0056901351	-0.002619697	-0.0276701572	-0.0118842112	0.0323602638	-0.0241727215	0.0487955849	-0.1206112594	-0.0179533977	-0.0391529707	-0.0366339934	-0.0755400068	0.1007091378	-0.0094697475	0.0699387345	-0.0497164528	0.005026139	0.0523635088	0.074962393	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0445052	-0.0062573999999999	0.00198071282704	3.9155054759999954e-05	-0.03541	0.0148432	0.00022032058624	0.0012538680999999	-0.0755469	2.24999999998976e-05	5.062499999953921e-10	0.00570733409961	0.00354076	0.00083723	1.25369813776e-05	7.009540729e-07	-0.000723811	0.0	0.0	5.23902363721e-07	0.000348518	-2.8919999999999987e-05	1.21464796324e-07	8.363663999999991e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80854.2496820935	-65.02567649417324	6537409691.654318	4228.338603524874	113216.9222388902	345.6427415042708	12818071481.24691	119468.90475458818	79658.35904255319	86.32417341634573	7451.86291601533	6345454165.352315	86312.27048792131	73507.36947107797	1.048653	21.266748	0.12842195	0.0868921	0.0024537202	-0.0206045856	-0.0206528137	-0.0388552114	0.0039347217	0.0414408312	-0.0827462503	0.0571508552	-0.0194669682	-0.010216265	-0.0551416639	0.0597849074	0.0894460631	-0.0085855102	0.0280233045	-0.0427385752	-0.0263957983	-0.0302108985	0.1825107832	-0.026659006	-0.0498353474	0.054215862	0.0468920886	0.079017086	-0.070661798	0.0668544718	-0.0124227665	0.0561958369	0.0889016265	0.1619474757	-0.1268934227	-0.0212944797	-0.0751525588	-0.0434436348	0.030894635	-0.0460037625	-0.0513835197	-0.0330959873	0.0279103504	-0.0204122304	0.0814889096	0.0079378046	-0.0850577122	0.0765747208	0.0091223686	-0.0220998311	-0.035010987	0.0020498722	0.085078471	0.0919356967	0.0516788194	0.0365923947	-0.0386329611	0.1113890569	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0438538	-0.0006514	0.00192315577444	4.243219600000044e-07	-0.0218723	0.0135376999999999	0.0001832693212899	0.00047839750729	-0.0455113	0.0300356	0.00090213726736	0.00207127842769	0.00222641	-0.00131435	4.956901488099999e-06	1.7275159225000003e-06	-0.000432256	0.000291555	8.500431802499999e-08	1.86845249536e-07	0.000270478	-7.804000000000003e-05	7.3158348484e-08	6.090241600000005e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80655.01071942925	-199.2389626642544	6505230754.151247	39696.16424352814	111952.76969462929	-1264.1525442609127	12533422642.298706	1598081.6551613389	79541.91638962766	-116.44265292552882	13558.891420335163	6326916462.934517	86419.33801565532	73719.99645182291	1.05096	21.313538	0.0959434999999999	0.0492777	0.0137845125	0.0036943225	0.0198293409	0.0014986754	0.0195608775	0.0027652753	-0.0139109369	0.0059266553	-0.0054176101	0.0279093896	-0.0004102411	0.0026606071	-0.0648484158	0.0119991427	-0.0487050873	0.0553322085	0.1729088295	-0.0636877894	0.0195561038	0.0351452014	0.0672983543	0.0427027499	-9.95877e-05	-0.1235066841	0.0284807055	0.0924960684	0.0507437373	-0.2396656909	0.11969251	-0.0747419491	-0.0839258002	0.0301467807	0.1253840949	0.0076420727	0.0432461878	0.0063012963	-0.0047486555	-0.0164443888	0.0133290247	-0.0139276312	-0.0822592563	-0.0301323131	0.0609231596	0.0305836242	-0.020752512	-0.0130923362	-0.0414754079	0.1134982747	0.0130025524	-0.0010788978	-0.123908887	0.0888848684	-0.0564687144	-0.0520719475	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0415075	-0.0023462999999999	0.00172287255625	5.505123689999979e-06	-0.0278647	-0.0059923999999999	3.590885775999998e-05	0.00077644150609	-0.0944202	-0.0489089	0.0023920804992099	0.00891517416804	0.00176167	-0.0004647399999999	3.1034811889e-06	2.1598326759999997e-07	-0.000279763	0.000152493	2.3254115049000007e-08	7.8267336169e-08	0.000113793	-0.000156685	1.2948846849e-08	2.4550189225e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80593.99568877927	-61.01503064998542	6495392141.082971	3722.83396521866	112577.38918429182	624.6194896625384	12673668555.551506	390149.5068662899	79515.84438467117	-26.072004956484307	679.7494424509423	6322769508.207242	86388.58320009396	73399.46134810014	0.94534	19.171553	0.1030778	0.0630538	0.0061023618	-0.010777373	0.0087563622	0.01193011	0.0026896972	-0.0192416859	0.0007282321	0.0134718532	-0.0096261792	0.0110731104	-0.102291027	0.0340754533	-0.0131045617	0.0423523798	0.0013785986	0.1074885077	-0.0312433443	0.0248178361	0.0282856173	-0.0129381609	0.016122144	0.1079402545	0.0660771594	-0.1202739128	-0.0173974336	0.0273006981	0.0219456332	-0.0327021667	-0.0802002609	-0.0303048403	0.0258162556	0.0091302122	-0.0612738738	0.0756064548	0.1021696702	-0.0052952713	0.0101602954	-0.0042611459	0.0064975043	-0.031847533	-0.0022840661	0.1092198203	0.0763382537	-0.0089679839	-0.018725912	0.1232502339	-0.021492093	-0.0068333201	-0.0006302024	-0.0203169823	0.0315831623	0.061736412	-0.0908472572	0.0148349845	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0405365	-0.0009709999999999	0.00164320783225	9.428409999999992e-07	-0.022538	0.0053267	2.837373289e-05	0.000507961444	-0.0553132	0.0391069999999999	0.0015293574489999	0.0030595500942399	0.00110947	-0.0006521999999999	1.2309236809e-06	4.2536483999999997e-07	-0.000621006	-0.000341243	1.1644678504900003e-07	3.85648452036e-07	0.000273812	0.000160019	7.4973011344e-08	2.560608036100001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80528.09022126254	-65.9054675167281	6484773314.683799	4343.530648598502	113098.43509758198	521.0459132901597	12791256021.521963	271488.8437563766	79521.93397153047	6.089586859292467	37.08306811686749	6323737982.572452	86583.75702253576	73361.64126420455	0.987785	20.032347	0.08232435	0.036185	0.0136271158	0.0126875003	0.0360935603	0.0331957467	-0.0750973595	-0.0221258435	0.0685639436	0.0030796049	-0.0372977244	-0.0038354588	-0.04762045	-0.0070878477	-0.08953949	-0.1107329889	0.0099370038	-0.0333478426	0.000719988	-0.0540615507	0.0220133766	-0.0138324324	-0.0260171203	-0.1024081519	-0.037181091	-0.1028675561	0.0163925234	0.0177520366	-0.0035830701	0.1090049741	-0.0267130788	0.0341255363	0.027890256	-0.0251732922	0.06532415	-0.0658099782	0.0030777646	0.0183779254	0.0764442324	-0.0372170653	-0.0559690796	-0.015294036	-0.0084632647	0.0635722346	-0.0280099378	-0.0042055155	0.063091021	0.0364383684	0.0223106829	-0.0749215724	-0.0717007906	-0.0097047378	0.0072548495	0.1032046217	0.1396269527	0.0896259674	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0301472	-0.0103893	0.0009088536678399	0.00010793755449	-0.0441461	-0.0216081	0.00046690998561	0.00194887814521	-0.0745466	-0.0192334	0.00036992367556	0.00555719557156	0.000734804	-0.0003746659999999	5.39936918416e-07	1.4037461155599997e-07	-0.000445966	0.00017504	3.06390016e-08	1.98885673156e-07	0.000201647	-7.216500000000001e-05	4.0661512609e-08	5.2077872250000015e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80475.35499125246	-52.73523001007561	6476282760.968102	2781.0044842155794	112900.16087660407	-198.27422097790983	12746446325.96308	39312.66670439703	79650.46513841876	128.53116688829323	16520.260861666284	6344196596.766462	86422.24124977268	72020.52733931108	0.990437	20.086128	0.09642345	0.0434641	0.002557554	0.0043146715	0.0062167198	0.0214937108	-0.0430387543	-0.0233279528	0.038244232	0.061709484	-0.0771340905	-0.0603780524	-0.1088966395	0.0290906059	0.1658169502	0.0514271575	0.0079711735	0.0352269425	-0.0194929718	-0.0053895263	-0.0435337096	-0.0526102477	-0.0777731715	-0.125604944	-0.0329727347	0.1069779484	0.0370606754	-0.055631744	-0.076786808	-0.0993281495	-0.0009000452	-0.1345328372	0.0029542178	-0.0210814349	0.0063629876	0.1676920207	-0.027967422	-0.0365598573	0.0119067655	-0.0361795708	-0.0519002295	-0.0227877396	0.1821511431	0.0304990277	-0.0780790339	0.0644487881	-0.0268014197	0.0066872171	-0.1033743464	0.0538613316	2.78612e-05	-0.0261932005	0.0085730389	-0.0795915022	-0.01794413	0.0428318803	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.0363648	0.0062176	0.00132239867904	3.865854976000005e-05	-0.0250545	0.0190916	0.00036448919056	0.00062772797025	-0.038641	0.0359056	0.00128921211136	0.001493126881	0.00102574	0.000290936	1.0521425476000002e-06	8.4643756096e-08	-0.000190309	0.000255657	6.536050164900002e-08	3.6217515481e-08	0.000359227	0.00015758	1.29044037529e-07	2.48314564e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
