participant_id	age	gender	handedness	included_in_analysis	exclusion_reason	main_runs	sipsts_runs	tom_runs	physics_runs
sub-M02	25	female	right	no	excessive_motion	10	2	2	1
sub-M03	26	male	right	yes	n/a	10	2	2	1
sub-M04	24	male	right	yes	n/a	10	2	2	1
sub-M05	29	male	left	yes	n/a	10	2	2	1
sub-M06	22	female	left	yes	n/a	10	2	2	1
sub-M07	31	male	right	no	task_performance_outlier	10	2	2	1
sub-M08	32	female	right	yes	n/a	10	2	2	1
sub-M09	26	male	right	yes	n/a	10	2	2	1
sub-M10	34	male	right	yes	n/a	10	2	2	1
sub-M11	21	male	right	yes	n/a	10	2	2	1
sub-M12	19	female	right	yes	n/a	10	2	2	1
sub-M13	22	female	right	yes	n/a	10	2	2	1
sub-M14	24	male	right	no	did_not_follow_instructions	10	2	2	1
sub-M15	26	male	right	yes	n/a	8	2	2	1
sub-M16	23	female	right	no	did_not_follow_instructions	10	2	2	1
sub-M17	22	female	right	yes	n/a	10	2	2	1
sub-M18	28	male	right	yes	n/a	10	2	2	1
sub-M19	32	female	right	yes	n/a	8	2	2	1
sub-M20	24	female	right	yes	n/a	10	2	2	1
sub-M21	18	male	right	yes	n/a	10	2	2	1
sub-M22	22	female	right	yes	n/a	8	2	2	1
sub-M23	21	male	right	yes	n/a	10	2	2	0
sub-M24	19	male	right	yes	n/a	10	2	2	1
sub-M25	24	female	right	yes	n/a	10	2	2	1
sub-M26	19	female	right	yes	n/a	10	2	2	1
sub-M27	23	male	right	yes	n/a	10	2	2	1
sub-M28	35	male	right	yes	n/a	10	2	2	1
sub-M29	22	female	right	yes	n/a	10	2	2	1
sub-M30	23	female	right	yes	n/a	10	2	2	1
