onset	duration	trial_type	identifier	response
4.000324	9.969231	experimental_trial	45.mov	n/a
16.00062	9.968229	experimental_trial	3.mov	n/a
28.00093	9.976439	experimental_trial	15.mov	n/a
40.00121	9.970872	experimental_trial	1.mov	n/a
52.00155	9.96864	experimental_trial	10.mov	n/a
66.00189	9.970802	experimental_trial	42.mov	n/a
78.00221	9.965114	experimental_trial	4.mov	n/a
90.00253	9.967831	experimental_trial	19.mov	n/a
102.0028	9.96882	experimental_trial	7.mov	n/a
114.0031	9.970754	experimental_trial	36.mov	n/a
126.0034	9.967168	experimental_trial	20.mov	n/a
140.0036	9.970617	experimental_trial	11.mov	n/a
152.0039	9.966138	experimental_trial	14.mov	n/a
164.0042	9.967197	experimental_trial	43.mov	n/a
176.0045	9.96962	experimental_trial	24.mov	n/a
188.0048	9.966458	experimental_trial	28.mov	n/a
200.005	9.967449	experimental_trial	29.mov	n/a
214.0052	9.966304	experimental_trial	27.mov	n/a
226.0055	9.967132	experimental_trial	12.mov	n/a
238.0058	9.968176	experimental_trial	46.mov	n/a
250.006	9.963887	experimental_trial	38.mov	n/a
262.0063	9.967162	experimental_trial	2.mov	n/a
274.0069	9.965256	attention_check	a1.mov	Adversarial
290.0367	9.971738	attention_check	n2.mov	Neutral
306.0678	9.972904	experimental_trial	22.mov	n/a
318.0681	9.967665	experimental_trial	31.mov	n/a
332.0684	9.971288	experimental_trial	32.mov	n/a
346.0687	9.968759	attention_check	n1.mov	Adversarial
