global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
56939.45783080838	n/a	n/a	3242101858.066406	119922.46054611503	n/a	n/a	14381396543.434517	55953.99530616768	n/a	3130849590.722635	n/a	75251.54673628374	61094.96788882353	n/a	n/a	n/a	n/a	-0.0309355444	-0.0927264764	0.1614137442	-0.0802630058	-0.0687575856	-0.0992476255	0.1710538128	-0.0431792308	0.0499950973	-0.0780662545	0.1321813306	-0.0687283634	0.1674248129	-0.0150402457	0.0156780944	-0.142494365	0.0440533646	0.0732497629	-0.0522797514	0.1016422111	-0.1816941484	0.0342176189	-0.1614150851	0.0362695204	-0.0561154277	0.0088179753	-0.1402646182	0.0466146917	-0.0811117805	0.0770945484	-0.0824552495	0.0332607578	-0.0722794545	0.0869294441	-0.0103221627	0.0812827907	-0.1035878618	0.2949468431	-0.1073392251	0.0654356561	-0.0395876898	-0.018069197	0.2262902311	-0.1048746425	-0.0585916373	0.1217447521	-0.0602900056	-0.0121263415	-0.0258983676	-0.0625686585	0.1000821879	0.0101176518	-0.0215284691	-0.1386338741	-0.1711456306	0.0915881922	-0.1228795383	0.0274079937	-0.0706117289	0.1844259891	-0.0474045169	0.0534876587	-0.1879657985	0.019595667	-0.0370250988	0.0650291273	-0.0077110245	0.0308233591	-0.0046723616	0.1042778054	-0.0539041346	0.02036066	-0.1664646166	0.2276640647	-0.0355390079	0.0132190669	-0.1751942457	0.0369689018	-0.192847454	0.0086001857	0.0098874206	-0.1654684781	0.122560513	-0.0273579195	-0.0631472942	0.1016471179	0.0196596721	0.1203780544	0.1203546593	0.1203156708	-0.0247589	n/a	0.00061300312921	n/a	-3.38325e-05	n/a	1.14463805625e-09	n/a	-0.0631822	n/a	n/a	0.0039919903968399	0.000519275	n/a	2.69646525625e-07	n/a	0.000838044	n/a	n/a	7.02317745936e-07	-0.000256135	n/a	6.5605138225e-08	n/a
56926.062743050265	-13.395087758115553	179.4283760476171	3240576619.4256954	120289.16703778577	366.70649167073134	134473.65103345615	14469483706.644323	55974.31827824215	20.32297207447118	3133124306.713953	413.02319393973545	75101.70095362808	60418.58695986626	1.225361	21.812658	0.1055696125	0.0626938	0.0798378378	0.0853409712	0.211198717	-0.0910017631	-0.0648560155	0.1731767343	0.0444882361	-0.15416508	0.1279842553	0.0432663754	0.1429792289	0.1263200913	0.0390786038	0.0259105587	0.1136134277	0.0724333521	0.1542532466	0.0412691149	-0.1011039296	0.0971640587	0.1647061066	0.1754281961	-0.0261195117	-0.0929990558	0.0522725497	0.0518338588	-0.0562742469	-0.0252343799	0.0923120368	0.008405142	-0.1597458352	0.0995156724	0.1462291294	0.061176564	-0.1262206487	0.1710663696	0.0251623683	0.1332199901	0.0675511258	-0.11262405	0.1178735067	0.0480681536	-0.0281050374	-0.0972147128	-0.0502636974	0.0807358773	0.0099353481	0.1077726833	0.1400025895	0.1044754385	-0.0675493453	-0.08459777	0.008700077	-0.1302273999	0.0407443052	-0.010446839	-0.1789747806	0.1569364391	-0.1262739895	0.0388725919	0.1183783552	0.0959579041	-0.0057576568	0.0411418017	-0.0736005719	-0.0150320371	-0.0154662911	-0.0610483156	0.0475668298	0.0811361643	-0.2320637542	0.2119305686	-0.0658357902	-0.0165314227	-0.2153906331	0.0571383068	-0.0088917666	-0.2437316524	-0.0332453869	-0.0588735023	-0.1458931637	0.0277374796	-0.1281121823	0.1195272719	0.0526042069	-0.1414435711	-0.0916543762	0.1203156708	0.1201052059	0.1197547036	-0.0218257	0.0029332	0.00047636118049	8.603662240000002e-06	0.00436033	0.0043941625	1.90124777089e-05	1.930866407640625e-05	-0.0245664	0.0386157999999999	0.0014911800096399	0.00060350800896	-0.000241153	-0.000760428	5.8154769409e-08	5.782507431840001e-07	0.000451028	-0.000387016	1.49781384256e-07	2.0342625678400002e-07	-0.00030122	-4.508499999999999e-05	9.07334884e-08	2.0326572249999994e-09
57028.49968495036	102.4369419000941	10493.327065843254	3252249776.3163834	119337.34073861565	-951.8262991701196	905973.3037918856	14241400894.564451	56024.414715520514	50.09643727836374	3138735044.2166314	2509.653027985032	75284.43132990057	60721.44153434713	1.266075	22.537407	0.053707948	0.0289984	-0.1191837812	0.0221153853	0.1707254118	-0.0746638638	0.0939092062	-0.1051832967	0.0025035056	-0.0402307153	-0.0430746695	0.0764943544	0.1296593069	-0.0064482913	0.0803191585	0.0003177361	0.0510181081	-0.1558334736	-0.0081797895	0.0868873783	-0.0118011542	-0.1034913615	-0.0998521457	-0.0745342513	0.081753277	0.1654614477	0.071004569	-0.0497553532	0.0777565355	-0.0860982269	-0.0535263765	-0.0468309564	-0.0877225935	0.0583835985	0.1056284694	-0.0059230927	0.0756379807	-0.167062186	0.1194944357	0.0052258812	-0.1992993106	0.0158864965	-0.1152286244	0.0593419262	0.0572347119	-0.080008159	0.1228022787	-0.1371172867	-0.010186292	-0.0750795714	-0.0231866878	-0.1463471218	0.0448125457	-0.0555264286	-0.0397591971	-0.0945003218	-0.2326553374	-0.042584474	-0.0600342551	0.0268022947	-0.0315161919	-0.1657322239	-0.0200303956	-0.0841021687	-0.0190015614	0.0155682867	0.1915336006	0.1795379844	-0.1096025766	0.140820144	0.1148133544	0.0572300028	-0.0670991322	-0.0575817909	-0.0866354015	0.0472848064	0.0839389593	0.0046213569	-0.0403587165	0.0450204632	0.0150765314	0.2349025351	-0.0239343098	0.0119753915	0.1131383447	0.1239229794	0.0603219033	0.0047505171	-0.0826956653	0.120190936	0.1196068161	0.1186353847	-0.0245592	-0.0027335	0.00060315430464	7.472022249999999e-06	-2.5668e-05	-0.004385998	6.588462239999998e-10	1.9236978456004004e-05	-0.0482239	-0.0236575	0.00055967730625	0.00232554453121	-0.000172862	6.8291e-05	2.9881271044e-08	4.663660681e-09	0.000710213	0.000259185	6.7176864225e-08	5.04402505369e-07	-0.000170077	0.000131143	2.8926185929e-08	1.7198486448999998e-08
57104.476946412025	75.97726146166679	5772.544259214477	3260921287.3233023	119996.90789153696	659.5671529213141	435028.8292127282	14399257903.530005	56027.09457715932	2.679861638804141	3139035326.757955	7.1816584031340165	74978.03569909299	60952.97330583062	1.324715	23.581272	0.0661551471	0.0449223	0.0949184567	-0.0093676972	0.1349305745	0.0256139097	-0.0915442668	0.1267638999	-0.0686756732	-0.01769054	-0.0519067052	0.1564182992	-0.064214496	-0.3012757932	-0.170175733	-0.1411820664	0.0567774249	0.0285224908	0.0094870594	0.1278698412	-0.134846765	-0.0833991714	0.2165233611	0.0817251869	0.0647089215	0.1125568194	-0.041454022	0.1400540507	-0.0544587752	-0.0151227755	0.0573045892	-0.1009539895	-0.1012914153	0.0086839712	-0.0294891316	0.0096690513	0.0110215187	-0.0132541844	-0.0582685284	-0.0976265883	-0.0105631828	0.0499358908	-0.092365466	-0.1019702017	-0.1183681901	0.0594257332	0.0284508916	-0.1448559132	0.0982401115	-0.1014196773	0.1552360127	0.204617862	0.0995915359	-0.0027599768	-0.0334747186	-0.0576666675	0.0900648913	0.0460957739	-0.1127823719	0.0586265181	-0.0660539115	-0.0308541946	0.0673374936	-0.1839514776	-0.0991425537	-0.0226831248	0.084206641	-0.0571855843	0.0263912684	0.0379372841	-0.137325754	-0.2345746029	-0.1001881225	0.2025258233	0.1064023464	-0.0889296111	0.0246514489	0.1458807309	0.0151183995	0.013867809	-0.1050666779	0.0123099928	-0.0699268278	0.0309605488	0.0520274656	-0.157210729	0.1264665116	0.0090585382	0.0008247358	0.1200039147	0.1188605229	0.1169629329	-0.0262565	-0.0016972999999999	0.00068940379225	2.880827289999996e-06	-2.95751e-05	-3.907100000000002e-06	8.7468654001e-10	1.5265430410000014e-11	-0.00635131	0.04187259	0.0017533137933081	4.03391387161e-05	-0.000281198	-0.0001083359999999	7.907231520399998e-08	1.1736688895999994e-08	0.000509355	-0.000200858	4.0343936164000024e-08	2.59442516025e-07	-0.00031251	-0.000142433	9.76625001e-08	2.0287159489e-08
57136.72654523889	32.2495988268638	1040.0366244936552	3264605520.3054066	118944.76597458658	-1052.1419169503788	1107002.613404018	14147857352.74917	56022.33172848594	-4.762848673381086	3138501652.296522	22.68472748552797	74797.77286506421	61221.41778980851	1.364718	24.293358	0.0905728501	0.0384945	-0.0788948188	0.1136431525	0.0154628211	-0.028472132	0.1597193736	-0.0830667438	0.0004826737	-0.0533093719	0.0628491474	0.0352754997	-0.0953603252	-0.2318619648	0.0312517733	-0.0157061059	-0.0045894964	-0.0661701612	0.1668533189	-0.0445118171	-0.0234352295	-0.1821787228	0.0319554164	0.0856784074	-0.0504146622	-0.0133153257	-0.0475534397	0.0494802174	-0.0559100256	-0.0135425571	-0.0726536473	0.0703486338	0.1857346706	-0.1874347805	0.0691840525	0.0370462667	-0.0216635466	-0.0213507059	-0.0377100919	-0.0060508552	0.0152219293	0.0232066364	-0.0118922818	0.0720677448	-0.1650353618	0.1997195075	-0.0866202831	0.1163637852	-0.1346109181	-0.1043087588	0.237844781	0.0335353265	0.1807808893	0.0518123982	-0.0985197458	-0.1140519659	-0.0321555628	-0.1026117553	0.105337091	0.0052865847	-0.0957266523	0.1606253065	0.0709221303	-0.0988278556	0.074445361	0.177223602	0.1138390985	-0.1986872434	-0.0171580431	0.094083301	-0.1308464418	0.0420874521	0.060292705	-0.0209727023	0.0070932145	-0.0391597824	0.0064476302	0.0951326395	0.032224048	-0.1177364347	-0.0708968922	-0.1218290337	-0.0348087841	-0.1290714215	0.0738506172	-0.1148207404	0.1424987351	0.1889268463	-0.1214207111	0.1197547036	0.1178678731	0.1147451459	-0.022896	0.0033604999999999	0.000524226816	1.1292960249999991e-05	0.0171478	0.0171773751	0.00029404704484	0.0002950622153261	-0.0276174	-0.02126609	0.0004522465838881	0.00076272078276	-0.000809046	-0.000527848	6.54555430116e-07	2.7862351110400005e-07	0.00029495	-0.0002144049999999	4.5969504025e-08	8.69955025e-08	-7.938529999999998e-05	0.0002331247	6.302025856089997e-09	5.4347125750090014e-08
57076.96657735089	-59.75996788799967	3571.253761974751	3257780113.6720304	119746.68061656432	801.9146419777389	643067.0930182852	14339267518.68546	56088.1230706212	65.79134213526413	3145877549.5851502	4328.500699959382	75038.52200502338	61206.45070989256	1.29615	23.072777	0.077392065	0.0391703	-0.0268673689	-0.0478058574	0.0519828212	-0.1016435225	-0.0134081782	-0.0879938939	0.0968938347	-0.0338436688	-0.0263766552	-0.1905439702	0.0078099396	-0.0788240644	-0.2307280461	-0.0226993981	-0.0584350227	-0.1398092723	-0.0187352161	-0.0531385395	-0.0096072888	-0.0768464532	0.2010070594	-0.1388848586	-0.1254239236	-0.0775768442	-0.0865817836	0.1507921373	0.1008863865	0.0346109763	0.1584971799	-0.0675992875	0.0831540181	-0.0270200781	-0.0646940987	0.0546390185	0.0476556473	-0.0660992376	0.2287852674	-0.0653588469	0.0334758695	-0.0248325026	0.1536170694	-0.0030423102	-0.0168985555	0.0003871645	-0.0128031566	-0.0619717678	-0.0528074945	-0.0917250917	-0.2028413705	0.1041954534	-0.1174181478	0.1182713587	-0.0022469797	-0.1372766009	-0.0769627056	0.0574606557	0.0047451445	-0.0742498083	-0.0734544032	-0.0976655439	-0.0368661434	-0.0663159709	0.2317001283	0.2051865129	-0.1319952122	-0.0081677681	-0.0359136985	0.0268035469	-0.0442644765	0.2046292483	-0.0461966726	0.1399453208	0.0457340577	-0.3051768263	0.1887676977	0.0406379373	0.1717842332	0.0963889604	-0.052541526	-0.0786580485	-0.0371652546	-0.044442431	-0.0836274542	0.2121077338	0.017486696	0.0481100789	0.163630099	0.1194434321	0.1166309242	0.111992364	-0.00528048	0.01761552	2.78834690304e-05	0.0003103065448704	0.00645087	-0.01069693	4.16137237569e-05	0.0001144243114249	-0.0275954	2.2000000000001185e-05	4.840000000000522e-10	0.00076150610116	-0.00038223	0.000426816	1.460997729e-07	1.82171897856e-07	0.000164079	-0.000130871	1.7127218640999996e-08	2.6921918241e-08	0.00034408	0.0004234653	1.1839104640000003e-07	1.7932286030409006e-07
57186.63094151084	109.66436415995122	12026.272766606393	3270310758.440565	119621.75592397252	-124.9246925917978	15606.17881915518	14309364490.334455	56110.40238134816	22.27931072696083	3148377255.396801	496.3676864684719	75016.46233575995	61579.05221475433	1.159296	20.636629	0.11961641	0.0584965	0.0447610177	0.0211199107	0.019816399	-0.1177771353	0.0654847624	0.0655900757	0.0942676593	0.0830600446	0.0897601878	0.0716913489	0.0090201012	-0.1471312575	-0.1507329142	0.0801259538	-0.063740935	0.140084754	0.0448620072	-0.0270062641	0.1130529396	0.0554115514	0.0009577894	-0.0025134586	0.045686412	0.0297307707	-0.1914535052	0.0618586088	0.0406795842	-0.0238053243	-0.0026618662	-0.0313090879	0.1244560167	0.0952588113	0.0060526298	-0.0538728009	0.0695559558	-0.0455378684	0.0614206421	-0.0432129069	0.0619735851	-0.1623655978	-0.1081091759	0.0597346738	-0.0432273209	0.0517281544	0.0806342823	0.173336779	0.1048711275	0.054576464	-0.0765668241	0.0365309138	-0.0402691623	-0.0245567793	-0.0076498408	-0.0299182648	-0.0055237097	-0.0989900072	-0.0874009494	-0.0197909733	0.0765852062	0.0259090526	0.0815615636	0.0921696976	0.0588979446	0.020810628	0.0140948838	-0.1933353176	0.1580701999	-0.0973693809	0.026761279	-0.0943399099	-0.0620743657	0.0430921846	-0.0882181094	-0.0209812997	0.1279175621	-0.090792648	0.0303290792	0.1748036645	0.0675886088	0.0821643667	0.1548891207	0.0642545364	-0.002334389	-0.0154390872	0.0891053587	0.0773431909	0.1092453819	0.1190702613	0.1151522399	0.1087174221	-0.0353939	-0.03011342	0.0012527281572099	0.0009068180640963	0.00599073	-0.00046014	3.5888845932899995e-05	2.1172881960000038e-07	-0.038269	-0.0106735999999999	0.0001139257369599	0.0014645163609999	0.000137328	0.000519558	1.8858979584e-08	2.699405153640001e-07	-0.000274704	-0.000438783	1.92530521089e-07	7.546228761600001e-08	-0.000264964	-0.000609044	7.020592129600002e-08	3.70934593936e-07
57303.74445213029	117.1135106194488	13715.574369611744	3283719128.235053	120188.9811299246	567.2252059520833	321744.43426738336	14445391185.049374	56060.15100011082	-50.2513812373436	3142740530.1552258	2525.201316260848	75176.84381935814	62183.65946031772	1.229674	21.889429	0.05801247811	0.0341831	-0.0549437051	-0.1065558845	-0.0617001398	-0.1003283739	-0.0695636162	-0.1365112464	-0.0517458145	0.027902377	0.0002064317	-0.0930857646	0.0064278744	0.0497154488	0.159200576	0.0028143272	0.0097342742	0.0140581578	-0.077003582	0.0856973353	0.1088410006	0.0093148018	-0.0976487059	-0.0518734556	-0.0140516497	-0.049127045	0.0248582182	-0.0136668975	0.1839530664	-0.0882483	-0.0989694329	-0.1238509013	-0.0753803727	0.1934187408	-0.0772330389	-0.1189690962	0.0132225408	0.0139578127	-0.0392196873	0.0431814264	-0.0032398058	-0.0821135081	0.0455788283	0.0252866596	0.0676549676	-0.0459072423	-0.1622013603	0.0906251515	0.0914105462	-0.0705999607	0.1002039981	0.0901720989	-0.1883738076	0.0919271016	-0.18636631	0.0107626327	-0.0889245385	0.1122568752	0.050437403	0.0375829961	0.0723260134	0.0953894608	0.0187188316	0.2336143189	-0.1142488601	-0.0247447097	0.1561309839	0.0427888443	0.0595052903	0.0354017712	0.096235774	0.1061622603	-0.035346587	-0.0217414362	0.0306864889	0.0071569455	0.00741147	-0.0258561816	-0.2698134852	0.1768397179	-0.0051976888	0.084284259	-0.0421127823	0.0834446082	0.0021661903	-0.045483074	0.0502392631	-0.1299102609	0.1029292633	0.1186353847	0.1134348849	0.1049355893	-0.0353954	-1.5000000000015e-06	0.00125283434116	2.2500000000045005e-12	-5.89811e-06	-0.00599662811	3.47877015721e-11	3.595954868964217e-05	-0.0451156	-0.0068466	4.687593156000002e-05	0.00203541736336	-0.000447114	-0.000584442	1.9991092899600002e-07	3.41572451364e-07	-0.000220755	5.394900000000002e-05	2.910494601000002e-09	4.8732770025e-08	0.0	0.000264964	0.0	7.020592129600002e-08
57202.3500492527	-101.39440287758772	10280.824934902566	3272108851.1572404	120443.9572212427	254.9760913180944	65012.80714385321	14506746831.11254	56073.5664616578	13.415461546981533	3144244855.7299542	179.97460851854012	75023.47717377634	61939.778496898056	1.273296	22.665953	0.10627070311	0.0500784	0.158312576	-0.0315831845	-0.0433822878	-0.0878586471	-0.0813543233	0.1541998854	-0.024007081	0.0500222166	-0.0681981353	0.0175247043	0.0729908726	0.093032311	-0.0760331286	-0.0364660306	-0.0652912717	0.153918992	-0.0238601795	-0.0546645494	-0.1365973641	0.1104492663	0.0325787811	-0.0311214054	0.0072526182	0.1088179213	-0.0702268333	-0.0325571979	-0.0693248652	-0.0599017803	-0.0095109916	-0.0370626185	0.1395741379	0.0006172643	-0.0518073743	-0.0126826413	0.0526899347	0.0280073823	0.1388788572	0.0542617579	0.1285796689	-0.0882167331	0.0152696151	0.0075863877	-0.022534083	-0.0873863861	0.0610893009	-0.1354345874	0.0414054053	0.1395284838	-0.1580615979	-0.0138779419	0.0214549941	0.0077757956	-0.0644115242	0.0295628998	0.1256414151	0.0398832169	-0.0941670793	-0.0003006405	-0.0179245777	0.0151277637	-0.056484551	-0.0411933405	-0.0951130148	-0.0121090836	-0.0453445129	-0.071337899	0.1610761685	-0.1491930156	0.0810506219	0.0323770927	0.0683898521	0.0410145552	-0.0047797705	-0.0924094596	0.0899225567	-0.108776695	-0.1371047388	0.0157754114	0.1566920268	0.1159681321	-0.0175326812	-0.052616918	-0.0983995992	0.082536482	-0.1070793462	-0.0967555051	0.0493369915	0.1181390277	0.1114824189	0.1006644984	-0.0275795	0.0078159	0.00076062882025	6.108829281000001e-05	0.0243323	0.02433819811	0.00059206082329	0.0005923478872416	-0.0223653	0.0227502999999999	0.0005175761500899	0.00050020664409	-1.39359e-05	0.0004331780999999	1.9420930881e-10	1.8764326631961e-07	0.000373393	0.000594148	3.530118459040001e-07	1.3942233244900004e-07	0.0	0.0	0.0	0.0
57134.394263365015	-67.95578588768694	4617.988835613152	3264339007.841637	119926.24486259728	-517.7123586454254	268026.0862942096	14382304206.84364	56002.35231050532	-71.21415115248237	3136263464.3099604	5071.455324368607	74843.60484082771	61401.57416270066	1.062122	18.906847	0.06246093	0.0331371	0.0685146303	0.0611978073	-0.0204277379	-0.0747961491	0.0638100948	0.0548843363	0.0099304033	0.0675571795	0.0499571682	-0.051297908	-0.0346525479	0.0112593478	0.0754196041	0.1566678271	0.0923858234	0.2023850654	-0.0026587814	-0.0006587003	0.0892387212	0.0276227031	-0.1289687464	0.0724416222	0.0355062375	-0.0661968532	-0.0358171479	0.0834462913	-0.0348883366	0.0596065873	-0.1590917698	-0.0439714248	0.1431190515	0.0768200849	-0.1104728526	-0.0889365593	-0.0652050755	0.0076122461	-0.0694048354	-0.0434128091	0.0276492994	0.1097395501	0.0711398639	0.0170303776	-0.0020510629	-0.0563265852	0.1175843451	-0.0539928777	-0.0429407688	-0.0032398972	-0.0368244609	0.0669177084	0.0646403528	-0.1968661519	0.0922404719	0.1334525497	0.0822581016	-0.0847403543	0.0081292485	0.054574095	0.0371641213	0.0418686647	0.0322256295	0.1725748285	-0.0505636741	-0.0605404609	0.0003396289	-0.1307781751	-0.0153881601	-0.0916463347	-0.0815290366	0.1553550098	0.1022081228	-0.0879471946	-0.1055465044	-0.0518428049	-0.0664276868	-0.129967638	0.0643006074	0.1247117051	0.0212303757	0.0571082565	0.000721716	-0.0782890813	-0.0105790907	-0.0748980631	-0.0385465072	-0.1068625197	-0.0181437403	0.1175814474	0.1092988885	0.0959240631	-0.0354041	-0.0078246	0.00125345029681	6.122436516000001e-05	0.0149022	-0.0094301	0.00022207556484	8.892678601e-05	-0.0451236	-0.0227583	0.0005179402188899	0.00203613927696	1.35985e-05	2.75344e-05	1.8491920225e-10	7.581431833599998e-10	-4.80312e-05	-0.0004214242	1.7759835634564005e-07	2.30699617344e-09	0.0	0.0	0.0	0.0
