global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	cosine00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
56538.42055091605	n/a	n/a	3196592998.3922467	116501.7322426207	n/a	n/a	13572653615.531286	55157.96392871888	n/a	3042400984.7618527	n/a	74341.57176469154	59055.37422233452	n/a	n/a	n/a	n/a	-0.0510765626	0.0645339863	-0.2073381089	-0.0739223704	-0.0538903876	-0.0583453753	-0.1003486202	0.060269546	-0.0081508271	0.1069510839	-0.1436432451	0.1153637692	-0.0881580611	0.1939974478	-0.0752208647	0.0528414074	-0.0281078721	0.0003968392	-0.0548744087	0.211150833	-0.0623755294	0.0791763199	-0.0252809991	0.08138477	-0.1074976177	0.0496081993	-0.1133788641	0.2346423127	0.0809490748	-0.0924324478	0.1408813955	-0.0789651278	-0.0563630891	0.1553275909	0.0587426974	-0.1074860781	-0.0392874679	0.1378668178	-0.1010720197	-0.1673024009	-0.1566902024	0.0891373306	-0.0442893736	0.0073341032	-0.1981410437	0.1019524338	-0.008427658	0.0365494178	-0.1001534449	0.0242387049	-0.0657990224	0.1964525771	-0.1266096392	0.0126035454	-0.0940823017	0.0548473684	-0.1556357781	0.0506298517	-0.0058879374	0.1490484942	-0.0797374	n/a	0.00635805295876	n/a	-1.09818e-05	n/a	1.2059993124e-10	n/a	-0.0337272	n/a	n/a	0.0011375240198399	0.000357629	n/a	1.2789850164099998e-07	n/a	0.000634528	n/a	n/a	4.02625782784e-07	0.0	n/a	0.0	n/a
56714.79797767358	176.37742675752816	31108.996669607208	3216568309.648328	116920.98043513982	419.2481925191241	175769.04693055258	13670515665.914349	55254.44874634781	96.4848176289306	3053054106.262777	9309.320032888	74244.1737974317	59903.30876641884	1.18848	21.11422	0.1029826681999999	0.0484814	-0.0467338396	-0.0386664977	-0.1840314411	-0.2562314591	0.0215120576	0.1879606778	0.0874920037	-0.0673251545	-0.0452794722	0.3615164798	-0.1105095885	0.1478349131	0.0166876764	-0.0520057092	-0.100835574	0.0610945378	-0.1125904534	-0.0619358318	-0.1685704022	0.0035384106	-0.0120384909	-0.1340154449	-0.1645181158	0.2380376468	-0.0232371251	-0.239116676	0.0673151113	-0.001273715	0.2571383723	0.0647396774	-0.0524441506	-0.0750714454	-0.108214901	-0.1072018712	0.1891412737	-0.0023998029	0.2298492169	0.1307691678	0.0708790339	0.0558542394	-0.078422447	0.253368278	0.0549185321	-0.0228830029	-0.0215755784	-0.1418065866	0.0493490706	-0.1371245773	-0.1508128081	-0.4223744647	0.0420457896	0.0783609396	0.1479882635	0.0913243345	-0.1912793069	-0.1247505457	0.0247427102	-0.0867769512	0.065514222	0.1488669016	-0.0477761	0.0319613	0.00228255573121	0.00102152469769	-0.0134412	-0.0134302182	0.00018066585744	0.0001803707608996	-0.0306284	0.0030987999999999	9.602561439999992e-06	0.00093809888656	0.000973027	0.000615398	9.46781542729e-07	3.787146984040001e-07	0.000578789	-5.573899999999996e-05	3.1068361209999957e-09	3.34996706521e-07	-0.00041871	-0.00041871	1.7531806409999997e-07	1.7531806409999997e-07
57004.92381568904	290.12583801546134	84173.00188417372	3249561339.232512	116872.4330970662	-48.547338073622086	2356.8440340345564	13659165618.028214	55422.819540380464	168.3707940326567	3071688925.8055787	28348.724283187308	74295.79286097198	60164.6631442952	1.243752	22.096155	0.0536403	0.0363724	-0.048474353	0.031614444	0.0263718521	-0.1997273194	0.0037711086	-0.1045493884	0.1603985076	0.1381846536	0.1117032358	-0.0008628796	0.1088290163	-0.1369368104	0.0373397488	-0.0155629859	0.1099303888	0.158374753	0.0290682149	0.1193984111	-0.1491566117	0.0489389137	-0.1210374349	0.0287344989	-0.114605665	0.1027022811	0.0874769291	0.100727662	-0.1810607695	-0.168221695	0.1046800843	-0.0444108688	-0.0145160954	-0.002884022	-0.1448178518	-0.1774386848	-0.0747942239	-0.2290003462	-0.0354797106	0.0864405418	-0.0383482855	0.0522864172	0.190570269	-0.077691035	-0.1221807106	-0.1609972983	-0.0679528252	-0.0793976984	0.0818778833	0.0893869071	-0.0114419733	0.0329567947	0.0256299984	0.2039035025	-0.1791390397	0.3756284115	0.1057072762	-0.1328078269	-0.0038933276	0.002458279	-0.0670564089	0.1485039376	-0.0492783	-0.0015021999999999	0.0024283508508899	2.256604839999985e-06	-0.0154856	-0.0020444	0.00023980380736	4.17957136e-06	-0.034209	-0.0035806	1.2820696360000022e-05	0.001170255681	0.000312011	-0.000661016	9.7350864121e-08	4.3694215225600006e-07	0.000320772	-0.000258017	6.657277228900002e-08	1.02894675984e-07	-0.000407481	1.122899999999997e-05	1.66040765361e-07	1.2609044099999932e-10
57035.25980800081	30.335992311767768	920.2724295396332	3253020861.366153	116654.28340105162	-218.14969601457412	47589.28987125111	13608221835.812868	55474.609688611534	51.79014823106991	3077432320.1037927	2682.219453796193	74260.33832454865	60772.98196878322	1.198201	21.286921	0.0712107749	0.0363533	0.1413001629	0.0594441457	0.0821787969	-0.0749316867	-0.1405961179	0.055797417	0.0561201127	-0.0515630997	-0.0483587267	-0.0615472213	0.1421481004	-0.1951149331	0.1792048009	-0.0069799201	0.0062194659	0.1392191459	0.0132287568	-0.0472077003	0.0141328832	0.0890707003	0.0769675813	0.1395717089	-0.1225258354	-0.1102231284	-0.132480496	-0.2323961976	-0.0595839812	-0.0161728942	-0.0514015778	-0.0047438649	0.0498402298	-0.1011385876	0.0283457491	-0.0151268291	-0.1685710579	0.062000861	-0.085371373	-0.0604145144	0.0889038685	-0.0842829735	0.0247365199	-0.0235998567	0.2022692856	-0.124907634	-0.0159348503	-0.1033139174	-0.0708754797	0.1030819716	0.147009153	0.1057833698	-0.0505431643	0.093856992	-0.1119239586	0.0218970744	0.0022064357	-0.2048301914	0.083659028	0.1575895965	0.1585759514	0.1479600444	-0.0297042	0.0195740999999999	0.00088233949764	0.0003831453908099	-2.62751e-05	0.0154593249	6.903808800099998e-10	0.0002389907263637	-0.0411386	-0.0069295999999999	4.801935615999992e-05	0.0016923844099599	0.000703946	0.000391935	4.95539970916e-07	1.53613044225e-07	0.000127752	-0.00019302	3.72567204e-08	1.6320573504e-08	-0.000407481	0.0	1.66040765361e-07	0.0
56962.69429385312	-72.5655141476891	5265.753843518467	3244748541.214967	116169.61692608747	-484.66647496414953	234901.59195417457	13495379896.75391	55391.53367552719	-83.07601308434096	3068222002.927063	6901.62394998959	74186.99825305902	60926.26027248454	1.300882	23.111122	0.0292873101	0.0200348	-0.1092175198	0.0781160513	0.1651403851	0.037218954	-0.0671938204	-0.1348611506	-0.295482371	-0.2507047685	-0.0413780139	0.0461133981	0.0951261574	-0.1668103105	0.1989257238	0.2077762776	-0.0386540179	-0.0120969651	-0.0816047662	-0.0201953717	-0.196540898	0.1683929341	0.0438781773	-0.0268267156	-0.1681193095	0.1018228866	0.0317449041	0.0551799302	0.0938880683	0.0638053612	-0.2792239834	-0.0470419625	0.0440827	0.0369202988	0.0823387653	0.1332555055	-0.1085740282	-0.0441393834	-0.0541164028	0.0502881431	-0.050225536	-0.1331868446	-0.0552957618	-0.2926603592	0.1873170512	-0.0948501441	-0.1410269154	0.0978640752	-0.0263172062	-0.125154358	-0.029591292	-0.196919231	0.0089378802	0.1724322986	0.0792293525	0.1088100065	0.0230686248	-0.0589587374	-0.1669539579	0.0477886794	0.0904256606	0.1472358847	-0.0311241	-0.0014198999999999	0.00096870960081	2.016116009999995e-06	0.010326	0.0103522751	0.000106626276	0.000107169599746	-0.0411444	-5.800000000000249e-06	3.3640000000002895e-11	0.0016928616513599	0.000703946	0.0	4.95539970916e-07	0.0	0.000114756	-1.2995999999999996e-05	1.6889601599999988e-10	1.3168939536e-08	-7.02903e-05	0.0003371907	4.94072627409e-09	1.1369756816649005e-07
56754.37073371999	-208.32356013313256	43398.705706542896	3221058597.380532	116397.24852488648	227.63159879900925	51816.1447717931	13548319464.164188	55291.82148358104	-99.71219194614967	3057185522.972194	9942.521222705798	74425.57078766044	60763.231119864526	1.234757	21.936354	0.048333725	0.0230704	-0.0941251012	-0.0999646667	0.0059790087	0.0947992657	0.0350810368	-0.1071225131	-0.2595405975	0.0237422977	-0.1703890977	0.2105827484	0.1388158368	-0.0791362343	-0.1488439676	0.2473292819	-0.0023524761	-0.0451323822	-0.1367236009	-0.1131564949	-0.0071017556	0.0995933203	0.0576826146	0.2109575318	0.0264864563	-0.0103873184	0.2742186797	0.1020796345	-0.0259736645	-0.028045288	0.0933166313	-0.2151982727	0.0254555387	0.067037091	0.0970433975	0.1003057216	0.1514474035	0.0808947723	-0.0899089852	-0.0220105833	-0.2260889107	-0.1159299394	-0.1783852664	-0.0163210387	0.075331807	-0.062607667	-0.1703327586	-0.0588506379	-0.0466988724	0.0046315541	0.2512994549	-0.0506402009	0.2035324104	0.0488518721	0.038403327	-0.21156524	-0.2044079362	-0.0725570636	-0.118296715	0.0468413675	-0.2236523711	0.1463323407	-0.0253769	0.0057471999999999	0.00064398705361	3.303030783999997e-05	0.0179936	0.0076675999999999	0.0003237696409599	5.879208975999997e-05	-0.0305125	0.0106318999999999	0.0001130372976099	0.00093101265625	0.00102746	0.000323514	1.0556740516e-06	1.04661308196e-07	0.000114756	0.0	0.0	1.3168939536e-08	9.19362e-05	0.0001622265	8.45226487044e-09	2.631743730225e-08
56641.56007190803	-112.81066181195638	12726.245418451594	3208266327.379566	116846.50183548935	449.25331060287135	201828.53708764	13653104991.191015	55205.762494839306	-86.05898874173727	3047676212.636606	7406.149543250462	74349.37800513211	59763.60367299407	1.104198	19.61688	0.0785175159999999	0.0432812	-0.0652221727	-0.0997078579	-0.1334633537	-0.0252438646	0.1711562448	-0.0609574647	-0.2023920651	0.2036661642	-0.1633142657	0.1227385465	0.1457586542	0.0186042018	-0.1626044244	0.0803840181	0.1675957836	-0.0509632099	-0.0233972179	-0.0691461244	-0.1492414368	0.1416185783	0.1097159892	0.0298215069	0.2362332136	-0.2449373767	0.0792410251	-0.0746478575	0.001593457	-0.1176482817	-0.0375775191	0.0497068463	0.0198585264	-0.0415715219	-0.0471498282	-0.0601879499	0.0935074456	-0.0497139287	-0.0635678611	0.1621779403	-0.1549492872	0.0838841676	-0.1339811506	-0.0267084059	-0.1592623167	-0.1659688012	-0.2179786783	0.1062736241	-0.0402165566	-0.0144369572	0.1127062967	-0.0493947117	-0.0089311233	-0.0893747645	-0.1880092336	-0.1585470774	-0.047125464	-0.1167174936	0.0181717929	0.0750230488	-0.0222891715	0.1452505133	-0.0331491	-0.0077722	0.00109886283081	6.040709284e-05	-3.688e-06	-0.017997288	1.3601344e-11	0.0003239023753549	0.000380288	0.030892788	0.0009543643504129	1.44618962944e-07	0.000703946	-0.000323514	4.95539970916e-07	1.04661308196e-07	0.000114756	0.0	0.0	1.3168939536e-08	0.000205527	0.0001135908	4.2241347729e-08	1.290286984464e-08
56568.71646759322	-72.84360431481036	5306.190689572659	3200019682.7909527	117343.35286582816	496.85103033880296	246860.9463487301	13769462461.794262	55187.737735407136	-18.02475943216996	3045686396.352081	324.89195258759986	74390.8134798427	59511.51526064689	1.095893	19.469339	0.0301100265	0.0172053	0.0594366208	-0.1143210033	-0.2376752625	-0.0762154369	0.1118912989	0.1176008991	-0.0240990487	0.0417908858	0.1631003721	0.0651850752	-0.1622735749	0.0810395224	-0.1515994749	-0.0988756432	0.0676758941	-0.1345057203	-0.1997391249	-0.0953100849	0.0510226768	0.013043784	-0.2510317196	0.1505071731	0.149164077	-0.0423925984	-0.0295311919	-0.182662904	0.0099428734	-0.0682116969	-0.113815773	0.1442753038	0.2404348862	-0.0128876011	-0.0347577039	-0.0776982313	-0.1252886951	-0.124550737	-0.0496640287	-0.1715433256	-0.0319801211	0.1153949586	-0.1390874292	0.173616625	-0.020003888	0.157018084	-0.0465102015	0.0812304895	0.0168384658	-0.0322010677	0.2523629902	-0.137893506	-0.2052586479	-0.0941858803	-0.3022612345	0.0952664133	-0.0402475306	-0.0923595093	0.0729719939	0.0395177752	0.1794216433	0.1439917206	-0.0229355	0.0102136	0.00052603716025	0.00010431762496	-1.29535e-05	-9.2655e-06	1.6779316225e-10	8.584949025000002e-11	0.000411049	3.076099999999997e-05	9.462391209999983e-10	1.6896128040099997e-07	0.000969405	0.000265459	9.39746054025e-07	7.0468480681e-08	0.000172968	5.821199999999999e-05	3.388636943999999e-09	2.9917929023999994e-08	0.00013207	-7.3457e-05	1.74424849e-08	5.395930849e-09
56581.67541443207	12.95894683885126	167.9343031721731	3201485992.704147	116575.0857862542	-768.2670795739541	590234.3055570923	13589750626.072529	55109.11325544652	-78.62447996061383	3037014363.8016315	6181.808849076965	74088.22252457339	59239.47015014758	1.174546	20.866673	0.0249130457	0.0214614	0.0826582418	0.1247129189	-0.2490784732	-0.0973702326	-0.1328602925	0.1021037238	0.0954866271	0.0706584547	-0.1493287588	0.0853702611	-0.1316607373	0.2563684467	-0.105099557	-0.0653303853	-0.1509402653	-0.0988335215	-0.0597267443	-0.0497877876	-0.1330902234	-0.0158815206	-0.1210529247	0.0872311071	-0.0854776619	-0.1670064335	0.0013322536	-0.0732507588	0.2090602068	0.064223505	-0.0763238024	-0.1044331238	-0.0595738528	0.0470740514	-0.2414613487	-0.0314396921	-0.0668025532	0.1752383814	-0.0710317497	0.029310708	0.1101798211	-0.0854322787	-0.0735491926	0.2738878166	-0.093663827	-0.0159290276	-0.0313390949	0.0767549877	-0.0159694629	-0.0955034132	0.0736245496	-0.0979692643	-0.0426947697	0.0761213192	-0.008192416	0.002854383	0.0203144507	0.231337274	-0.023224168	-0.0108112726	-0.0115022178	0.1425574961	-0.0229495	-1.4000000000000123e-05	0.00052667955025	1.9600000000000343e-10	-3.07292e-05	-1.7775699999999997e-05	9.4428373264e-10	3.159755104899998e-10	0.000345429	-6.561999999999996e-05	4.305984399999995e-09	1.1932119404100002e-07	0.000558437	-0.000410968	3.11851882969e-07	1.6889469702400006e-07	0.000114756	-5.821199999999999e-05	3.388636943999999e-09	1.3168939536e-08	0.000159203	2.7132999999999986e-05	2.5345595209e-08	7.361996889999991e-10
56663.64515397272	81.96973954064742	6719.038200361578	3210768682.1353364	116441.33762921247	-133.74815704172943	17888.569512059115	13558585108.880253	55123.380615234375	14.26735978785291	3038587090.451997	203.55755531604223	73938.08827487704	59232.37791722912	1.235474	21.949095	0.0234911378	0.0192845	-0.1836420476	0.1133476048	-0.184003746	-0.1224251502	-0.0779773235	-0.0830749363	0.0660998724	0.0660782781	0.1486138268	0.0552677855	0.003842452	0.0991379769	-0.1400487527	0.0927930051	-0.1441296919	0.1580789876	0.0773041662	0.2663413829	-0.1014774002	-0.0479722191	-0.3018839831	-0.1998845996	0.003574615	-0.041426921	0.0899474812	-0.0859754642	0.1241336216	0.0348876386	0.0410202893	-0.0347999798	-0.1415248718	0.1345964795	0.03451016	0.0346571773	0.1656324326	-0.1765269312	-0.082587097	-0.2022242002	0.0158135283	-0.0584725167	0.1580500501	0.0430356052	-0.2036104682	0.1506230718	-0.0314822066	-0.0103231268	0.0649268342	-0.3087044268	-0.0719186417	-0.2072139258	0.1038830668	0.2500021508	0.0515248254	-0.0823362946	0.0632131814	0.07540213	0.2674498297	-0.0597209843	-0.0263558923	0.1409495873	-0.0229211	2.840000000000134e-05	0.00052537682521	8.065600000000762e-10	-0.00326183	-0.0032311008	1.06395349489e-05	1.044001237976064e-05	0.000397716	5.228699999999998e-05	2.7339303689999983e-09	1.58178016656e-07	0.000931539	0.000373102	8.67764908521e-07	1.3920510240400005e-07	0.000114756	0.0	0.0	1.3168939536e-08	0.000189688	3.0485000000000017e-05	3.5981537344000004e-08	9.293352250000011e-10
