global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37
54769.43594579957	n/a	n/a	2999691113.8210416	80586.63256199048	n/a	6494205347.681265	n/a	54751.860652901785	n/a	n/a	2997766244.954775	59440.18873558975	50710.91758488109	n/a	n/a	n/a	n/a	-0.0486650516	-0.0806581554	-0.0077618022	0.0128007023	-0.0416248625	0.0116696319	0.1204248776	-0.0313995386	0.0109389654	-0.0144912332	0.0877710156	-0.1211241957	0.140686991	-0.0651005409	0.1094726365	-0.0413054377	0.0566248558	0.1127574724	-0.0773576099	0.0482756372	-0.0035608471	0.0492131613	-0.0046641503	0.1075406959	-0.1093283677	0.0296499668	-0.0299492372	0.0211030496	-0.1079082826	0.0261094002	-0.0092018851	0.0095791101	-0.0240468656	0.0666091142	-0.0385173516	0.0448616067	-0.0529993806	0.1794169534	-0.0499647864	0.0244908306	-0.0422074784	-0.0266462427	0.0218220962	0.0532894964	-0.1126622586	0.1875693217	-0.1595440461	0.0014869532	-0.0700040718	0.044048673	-0.0963369327	0.0405329175	0.0023582613	-0.0917582374	0.0087267817	-0.0567096927	0.0437707391	-0.0345007429	0.0756669537	-0.0639217149	0.0270506681	-0.0561188273	0.1057145074	-0.0060375327	0.1059770792	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.183161	n/a	n/a	0.033547951921	0.0164558	n/a	n/a	0.00027079335364	0.398535	n/a	n/a	0.1588301462249999	0.010094	n/a	n/a	0.000101888836	0.0026265	n/a	n/a	6.89850225e-06	0.000765096	n/a	n/a	5.853718892160001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54773.66953248024	4.2335866806752165	17.9232561827906	3000154874.0533543	80467.59482421874	-119.03773777173774	6475033816.794635	14169.983013812998	54799.67834263393	47.81768973214639	2286.531451319818	3003004746.4561424	59464.990695116	49425.50357076457	1.269855	26.326134	0.1832163	0.0917876	-0.0581961997	-0.1721690182	-0.0858984701	-0.0192835718	0.0033285265	-0.0391850892	0.0720006031	-0.0384019541	-0.007659666	-0.026438557	0.0761091838	-0.1231894136	0.1287872904	0.0277766175	-0.0991550596	0.0074844985	0.1280677973	-0.0225921745	-0.0889810442	0.0060301706	-0.1122640279	0.04042376	0.0494388914	-0.0222885894	0.0274223786	-0.0694138828	-0.0032072824	0.0167629588	0.0253745923	0.0269381577	-0.0487867429	0.0469953442	0.0535517721	-0.0647233074	-0.0326654961	0.0262654857	0.0530433531	-0.0565154964	0.0667392695	0.0160477668	0.010116611	-0.0144929039	0.0256350727	0.0559716308	-0.195250325	0.0451599545	-0.0917911664	-0.0070138763	-0.1274740154	0.0972596082	0.0453442929	-0.0126569069	-0.0348069366	0.0306874423	-0.0635798755	-0.038862149	-0.121173956	-0.0148650073	-0.0217176527	0.0039501649	-0.1026442038	0.0495710346	-0.0471692486	0.0341155657	-0.0446997737	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.175102	0.0080589999999999	6.494748099999972e-05	0.030660710404	0.0390193	0.0225635	0.00050911153225	0.00152250577249	0.367469	-0.0310659999999999	0.0009650963559999	0.135033465961	0.0085247099999999	-0.00156929	2.462671104100313e-06	7.267068058409831e-05	0.00212497	-0.00050153	2.515323409000001e-07	4.5154975009e-06	0.00040536	-0.000359736	1.2940998969600004e-07	1.643167296e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54870.17809367795	96.5085611977047	9313.902384451112	3010736444.031935	80334.03415845789	-133.56066576085868	6453557044.172278	17838.451438483808	54859.728297991074	60.04995535714261	3605.99713839482	3009589788.929403	59430.528711086365	49780.97359954386	0.9934980000000002	20.596807	0.1531744	0.063578	-0.0674673207	-0.0834457123	-0.1276200852	-0.05893188	-0.0527726882	-0.1011026417	0.0467410902	0.0504943951	-0.0496820644	0.0139830804	0.1019200667	-0.1137280164	0.0941564075	0.0131854966	-0.1166143601	0.0553170428	-0.04451553	0.0113434867	-0.1580422362	0.0887647839	0.0461679552	-0.0265193234	0.0265118725	0.0263932946	-0.074819194	-0.1095628962	-0.0073119423	0.0803529959	-0.0942190804	0.1241596028	0.1161820519	0.0953035764	-0.0901290001	-0.1448069476	0.0899532129	0.1014287867	-0.0692238089	-0.0177136142	0.0242848548	0.0197000708	0.0679487338	-0.0458043439	0.0275170116	0.1121988904	-0.1910821511	0.0340661098	-0.0167545522	-0.1042659829	-0.0403781039	0.0483891799	-0.039781144	-0.0657835229	0.0426290079	-0.0315528129	0.0979856517	0.0217819822	-0.1109709702	0.0655538738	0.0322162602	-0.0385560839	-0.0315916199	-0.0220395692	0.0095826027	0.0967435639	0.0907676089	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.194141	-0.019039	0.000362483521	0.037690727881	0.0124994	-0.0265199	0.00070330509601	0.00015623500036	0.397237	0.029768	0.000886133824	0.157797234169	0.00917668	0.00065197	4.2506488090012893e-07	8.421145582239999e-05	0.00236303	0.00023806	5.66725636e-08	5.583910780899999e-06	0.00107228	0.00066692	4.447822864000001e-07	1.1497843984000002e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54948.211910170896	78.03381649294897	6089.276516455235	3019305992.1250467	80960.44904679008	626.4148883321905	6554594309.857892	392395.61232423066	54815.97146763393	-43.7568303571461	1914.6602029040623	3004790727.940457	59454.339956516174	49189.433122630886	1.082987	22.452059	0.2013608499999999	0.0971619	-0.0737363402	-0.1068821455	-0.0682542488	-0.1374611552	-0.0916494914	-0.1254175404	-0.0213625866	0.0468941605	0.0630703114	0.0123821742	0.1176828037	-0.0657733393	0.0494678912	0.0151877941	0.0361044648	-0.1023870478	-0.0578275189	0.114761689	-0.0019134789	0.0972232578	-0.0182278182	-0.044401366	-0.0672991872	-0.085391578	-0.1009625814	0.1202759416	-0.0806750275	-0.0915914488	-0.0227282896	-0.0957007962	0.098123089	0.0232050771	-0.0457038118	0.0589189145	-8.81749e-05	0.0356262094	-0.0448093605	-0.0412227609	-0.0347312754	-0.0578362855	-0.0177105863	-0.0433549815	0.0523675133	0.1009889028	-0.0592316488	0.0501632949	-0.0583607617	-0.1135013313	-0.0255032065	0.0367753057	0.0050900813	0.1601524303	-0.0201946329	-0.0609456654	0.0626907513	-0.0848480788	0.0896788191	-0.060932949	-0.0246645295	-0.0135462734	0.0359616513	-0.218119036	0.0215512887	-0.0595715022	0.1314842312	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.173359	0.0207819999999999	0.0004318915239999	0.030053342881	0.032536	0.0200366	0.00040146533956	0.001058591296	0.358097	-0.03914	0.0015319396	0.128233461409	0.00756663	-0.0016100499999999	2.592261002499997e-06	5.7253889556900006e-05	0.00219708	-0.0001659499999999	2.7539402499999927e-08	4.827160526400001e-06	0.000420235	-0.000652045	4.251626820250003e-07	1.7659745522499997e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55113.11269474716	164.90078457626078	27192.268753866363	3037455190.9039	80836.8170261549	-123.6320206351811	6534590986.920046	15284.876526337846	54892.16860491072	76.19713727679482	5806.003729178715	3013150174.149946	59445.78760658822	50486.78972432199	1.145926	23.756884	0.1266492	0.0615994	-0.0835782117	-0.0214130342	0.0155955858	-0.1099084951	-0.0765854831	-0.0109814497	-0.0588975135	0.0235834078	-0.0017635398	0.0323150485	0.141414162	-0.0601674056	0.0240101736	0.0525401699	-0.0130005055	-0.0325211348	-0.0001478174	0.145173691	0.0713266902	0.0822691584	-0.1300984904	0.1164531417	0.0554104467	-0.1376998228	-0.0239523243	0.0791101077	-0.0007811388	-0.0341189614	-0.0614302166	0.0700526974	0.122946181	0.0584286311	-0.0673664777	0.0861755003	0.0114603469	-0.0361950573	0.0572794381	-0.0917988582	0.000694374	0.0351845431	-0.0321533532	-0.0674867904	0.0316775431	0.1074937926	-0.0405502633	0.0497230868	-0.1002350441	-0.073310769	0.0137208406	0.0300283633	-0.0521808982	-0.0351058098	-0.1027433354	0.0546873066	0.0099272895	-0.05001834	-0.0190783089	0.0491017703	-0.0536618457	0.0470049019	-0.0104576343	-0.1780454857	-0.0011092041	0.1505238589	0.070269076	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.178501	-0.0051419999999999	2.6440163999999796e-05	0.031862607001	0.0159199	-0.0166161	0.00027609477921	0.00025344321601	0.378405	0.0203079999999999	0.0004124148639999	0.143190344025	0.0068619	-0.00070473	4.966443729000009e-07	4.708567161e-05	0.00295928	0.0007621999999999	5.809488399999996e-07	8.757338118399999e-06	0.000644967	0.000224732	5.0504471824e-08	4.1598243108900006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55106.505504713554	-6.607190033602819	43.654960140140425	3036726948.9410253	80655.73015455162	-181.086871603271	6505346806.763848	32792.45506705956	54918.6434375	26.47483258927969	700.9167606303857	3016057397.015262	59281.806727711744	50444.49183395674	1.220726	25.307611	0.1642880499999999	0.0730228	-0.0741341406	-0.0256393596	-0.0159360245	-0.0124224328	-0.0333915288	-0.0385094602	-0.0068545501	-0.1260657669	0.032288125	0.0365305107	0.0024209277	-0.0404131517	0.1635553854	0.0952405241	-0.0196429009	-0.0660034063	0.0110700707	-0.0401793156	-0.0687453985	-0.0711878447	-0.0093661311	0.0309951173	-0.1082843738	-0.0715184575	-0.0844458644	0.0027505545	0.1253668356	0.0299437472	0.0014298029	-0.1283853269	-0.0525900295	-0.0121080097	-0.0018848651	0.1091473137	0.0231870011	-0.0581116785	0.079849731	-0.0291691491	-0.0935453025	-0.0329244647	-0.0443425182	-0.0618549957	0.0507933243	-0.030768207	-0.0579380861	-0.0039890967	-0.1767175611	-0.0737784881	-0.0150203562	-0.0012914403	0.0714943369	-0.0541608128	-0.0133031103	-0.0042185965	0.0049708733	0.0248365315	0.0297608081	-0.0708558604	-0.0431683634	-0.009329283	0.1124167872	0.029613139	0.0367024561	0.0483049208	-0.1038414295	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.159076	0.0194249999999999	0.0003773306249999	0.0253051737759999	0.0342067	0.0182868	0.0003344070542399	0.00117009832489	0.344266	-0.0341389999999999	0.0011654713209999	0.118519078756	0.00642782	-0.0004340799999999	1.884254463999999e-07	4.13168699524e-05	0.00189933	-0.0010599499999999	1.1234940024999995e-06	3.6074544489e-06	0.000290252	-0.0003547149999999	1.25822731225e-07	8.424622350400002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55247.02043248213	140.51492776857776	19744.444925808628	3052233266.667098	80523.68703294836	-132.04312160325935	6484064173.380217	17435.385962733137	54975.785161830354	57.14172433035128	3265.1766594458595	3022336954.1597266	59426.83477411038	50931.04931020037	0.968828	20.085346	0.0626707	0.0401155	-0.0729422959	0.0281725354	-0.0953298973	-0.0004580106	-0.0284907217	-0.0278059254	0.0017491373	-0.0848856971	-0.0379984742	0.0543654912	0.0347476385	-0.0187153048	0.0927445246	0.0752971969	-0.0132794747	0.1165277069	-0.0100474654	0.0386653721	0.0384085722	-0.0131091723	0.1329762987	0.082575669	0.0240988955	0.0690541551	-0.0703123021	0.0736866392	0.0635526052	0.0950811811	-0.099609595	-0.0079379206	0.0500204877	-0.0499279367	0.114623039	-0.0208122622	-0.081968403	0.0166239113	0.0674695504	-0.1779513751	-0.0323090723	-0.0276207797	-0.0690517338	-0.0698161257	0.0102651765	0.003935	-0.0826336086	-0.0614602951	-0.0885359255	-0.006696456	0.0215292546	0.0387274024	-0.0483148759	-0.1220117617	0.0035480818	0.0191203856	-0.0520861776	0.0309756669	0.0012292187	-0.0158445558	-0.0270535089	-0.0153777265	0.0997582608	0.0624116052	-0.1525997429	0.0633300994	-0.0095125777	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.161369	-0.002293	5.257849000000079e-06	0.026039954161	0.0342568	5.009999999999737e-05	2.510009999999736e-09	0.0011735283462399	0.307372	-0.036894	0.001361167236	0.0944775463839999	0.00652406	9.624000000000004e-05	9.262137600000008e-09	4.25633588836e-05	0.00214364	0.0002443099999999	5.968737609999998e-08	4.5951924496000005e-06	0.000418374	0.000128122	1.6415246883999997e-08	1.75036803876e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55157.90111540868	-89.11931707345502	7942.252675639012	3042394055.457202	81081.42243546195	557.7354025135865	6574197064.157832	311068.7792169923	54905.04184151786	-70.74332031249651	5004.617368836481	3014563619.618827	59416.07388231231	51233.60702533842	1.086971	22.534655	0.1291413	0.0753536	-0.0540790379	0.0381397737	-0.0004334875	-0.0306347374	-0.0488148619	-0.0296006595	-0.0490903851	0.0165430258	-0.0325156645	0.0467115475	-0.0412577168	-0.007887976	0.1207807708	0.0664814604	-0.111932932	-0.0065288498	-0.0044681232	0.0327762257	0.0237879018	0.0478186543	0.1180872518	0.0574208387	-0.0342786643	0.0278890692	0.0235307511	-0.0914255914	0.012908873	-0.0838513582	0.0499325868	0.0112368965	0.0171054108	-0.0083315891	-0.0116964436	0.1309470337	0.0522166793	0.0059218863	0.0295958269	0.0147814312	0.050817164	0.0430672445	0.0787423156	-0.0502084548	0.0282489024	-0.045409992	-0.0557239876	-0.0079788998	-0.0298658311	-0.1775679826	0.0129468637	-0.0419027915	0.0006486811	-0.0277875861	0.0137198975	-0.021375378	-0.0589255666	0.0666991847	0.0132176337	0.0399257969	0.0633870762	0.0010999491	0.0219363488	-0.0094487572	-0.0799496043	-0.0546822847	-0.0859136414	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.163417	-0.0020479999999999	4.194303999999976e-06	0.026705115889	0.0241608	-0.0100959999999999	0.0001019292159999	0.00058374425664	0.326626	0.019254	0.000370716516	0.106684543876	0.0052561	-0.00126796	1.6077225616000007e-06	2.7626587209999995e-05	0.00263118	0.0004875399999999	2.3769525159999986e-07	6.923108192399999e-06	0.00061774	0.0001993659999999	3.9746801955999995e-08	3.816027076e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55081.56478943236	-76.33632597631367	5827.2346635620215	3033978779.652435	80962.50779127039	-118.91464419156546	6554927667.851518	14140.692603206611	54824.04813616072	-80.99370535713388	6559.980307478217	3005676254.036068	59461.48234372023	51279.54500450278	1.133764	23.504742	0.2415342500000001	0.125287	-0.0549964024	-0.0372169597	0.0161756115	0.0599906735	-0.0185825257	0.043723485	0.0640502956	-0.0680930538	-0.0166722715	-0.009221281	0.0540669483	-0.0114561058	0.1089813177	-0.0297509134	-0.0663163125	0.0239404759	0.0872748173	-0.1650926152	-0.1594115135	-0.0129394095	-0.0870320589	0.0573274073	0.0736914305	0.0756172302	0.0624648456	0.0699741956	-0.0265814291	0.0931258958	-0.0407028034	-0.0037636705	0.0011452452	-0.0157459306	-0.0229722607	0.0050534226	0.105132519	-0.051741606	0.063257456	0.0069414866	0.0799358154	-0.0886701975	0.0237802129	-0.0353167614	0.0069053726	-0.014692381	-0.0654639348	0.0443034372	-0.0820487287	0.0968221074	-0.0463789013	0.1322764368	0.0464851406	-0.062463903	0.0476187863	0.119581347	0.0171291686	-0.003035194	-0.0367157298	0.098338774	-0.0164124769	-0.1190241147	-0.0079977558	0.0544390393	0.0044000684	-0.0833760492	-0.0667437404	0.1015862008	0.0985712473	0.0936124309	0.0868075413	-0.147588	0.015829	0.000250557241	0.021782217744	0.0418045	0.0176437	0.00031130014969	0.00174761622025	0.236129	-0.090497	0.008189707009	0.055756904641	0.00550753	0.00025143	6.32170449000002e-08	3.03328867009e-05	0.00120116	-0.00143002	2.0449572004e-06	1.4427853456e-06	-5.2101e-05	-0.000669841	4.4868696528100004e-07	2.714514201e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55227.89411619397	146.32932676161	21412.27187050603	3050120288.509533	80640.21632557745	-322.2914656929352	6502844489.035928	103871.7888585004	54998.6783984375	174.6302622767762	30495.728502855643	3024854625.574756	59353.74250086342	49874.2897494494	1.306797	27.09199	0.10864695	0.0663349	-0.0775767911	0.0374780754	-0.1198230015	-0.0702808882	-0.0858388556	-0.088552096	-0.0083402977	0.0488853704	-0.1024619778	0.0827385531	0.0096621993	0.0349446975	0.0667245198	0.0989658431	-0.0971906641	-0.0387314863	0.051368878	-0.0482281765	0.0882754981	0.1766122774	-0.0197008557	0.0359440006	-0.0990314411	-0.0068844511	0.0386733566	-0.1716386632	-0.0006053474	-0.0417095542	0.061544516	-0.0477662971	-0.0967061348	-0.0102319251	0.0524227373	-0.0976113353	-0.0683340517	0.0029574553	-0.0421260211	-0.1929610576	-0.0021517786	-0.0449315911	-0.0099662017	-0.0985207018	0.0321170644	-0.0156012971	-0.0661441599	-0.0872979713	0.0129659923	-0.1375448696	-0.0124510587	-0.0499347824	-0.080774811	0.003150261	0.0743545675	0.0801390794	-0.0118335963	0.1145675007	-0.008519704	-0.0823897711	-0.081490997	0.0170637942	-0.0193994102	0.035906956	-0.0552699245	-0.0532628572	-0.0343040761	0.1013346856	0.0975763397	0.0914153405	0.0830033923	-0.148249	-0.0006609999999999	4.369209999999933e-07	0.0219777660009999	0.024423	-0.0173815	0.00030211654225	0.000596482929	0.295618	0.0594889999999999	0.0035389411209999	0.087390001924	0.00525753	-0.00025	6.250000000000013e-08	2.76416217009e-05	0.00133469	0.0001335299999999	1.7830260899999994e-08	1.7813973960999995e-06	0.000186678	0.000238779	5.7015410841e-08	3.4848675684e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
