global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	cosine00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
54368.030401303295	n/a	n/a	2955882729.717039	80388.03313971186	n/a	6462235872.071412	n/a	54163.16892610628	n/a	n/a	2933648868.1179247	58755.43197425219	50342.68122527885	n/a	n/a	n/a	n/a	-0.0330834463	-0.0221148228	-0.0387185117	-0.0278830975	-0.0835478464	-0.1074416702	-0.0552793497	0.0940120868	-0.0044122591	0.0949979134	-0.0173716836	0.1554260749	-0.0362379003	0.0610213824	-0.0274145018	0.0440184904	-0.070857827	0.0560495628	-0.2014302052	0.1078307748	-0.0717911684	0.1832961189	-0.0493873315	0.0056985156	-0.1907026422	0.0818626298	-0.0349882498	-0.0132180402	0.0865402575	0.0134125335	-0.0586180297	0.1212444534	-0.1444372512	0.1187149657	-0.0551100263	0.1319106949	-0.0212453444	-0.0789937676	0.1425037987	-0.0706108583	0.1463148948	-0.0370518914	0.1490484942	0.133215	n/a	n/a	0.017746236225	-0.000988192	n/a	n/a	9.765234288639998e-07	-0.149242	n/a	n/a	0.022273174564	0.00349879	n/a	n/a	1.2241531464099998e-05	-0.000421868	n/a	n/a	1.7797260942399998e-07	0.00360386	n/a	n/a	1.29878068996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54198.55614313674	-169.47425816655596	28721.524181104454	2937483488.0007453	78896.5103913014	-1491.5227484104544	6224659351.92473	2224640.109025876	54023.33927642776	-139.82964967851876	19552.33092921728	2918521186.576022	58623.67793348736	49051.13593297035	1.016672	22.874233	0.180747358	0.127184	-0.0557888774	-0.0830871078	-0.1614025466	-0.0533250759	0.1127348779	-0.1191173369	-0.1233005855	0.0125664063	0.1478425076	0.1301722249	0.0647238905	0.1210304614	0.0631372997	0.009281297	0.2428412574	0.0416647509	0.0973317334	0.0226010124	-0.1705735	-0.0128889431	0.1446514979	0.1490600927	-0.0143052651	-0.1014572946	-0.0027860275	-0.0088700426	-0.0187738132	0.0837963234	0.194093486	0.1089735596	-0.0221038532	-0.0488250277	0.0433894417	0.2326097869	-0.0524723757	0.0688629061	0.147733208	-0.0293353089	0.1778774782	0.0440189967	0.178720175	-0.0187590073	0.1488669016	0.104896	-0.0283189999999999	0.0008019657609999	0.011003170816	-0.00143415	-0.000445958	1.98878537764e-07	2.0567862225e-06	-0.168329	-0.0190869999999999	0.0003643135689999	0.028334652241	0.00584102	0.00234223	5.486041372899999e-06	3.41175146404e-05	-0.00017119	0.000250678	6.2839459684e-08	2.93060161e-08	0.00366886	6.499999999999995e-05	4.224999999999994e-09	1.34605336996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54295.47307220993	96.91692907318792	9392.89114097734	2947998396.135073	79859.53796333875	963.0275720373464	6377545803.717943	927422.1045041468	54245.74718111762	222.40790468986236	49465.27606853489	2942601087.2377305	58815.79210846304	49705.39900812113	1.137171	25.58534	0.28716915	0.149627	-0.0343251382	-0.0699975774	0.0747317016	-0.0727488094	-0.0416684869	-0.1141120239	0.1393108664	-0.0344316223	-0.0386530116	0.0829688781	-0.0718784666	0.0789308582	0.0400198165	-0.02012497	0.1586015845	0.1177059359	-0.0161847915	0.0487794155	-0.1368772293	-0.2621290345	0.1235591731	0.0998696797	-0.0509575785	-0.0843163635	-0.151366608	-0.0009418838	0.0679105253	-0.0281235867	0.0836092727	-0.1424638502	-0.0443613791	-0.149299298	0.0108059526	0.1193804512	0.0341160043	0.1519650514	-0.0027497242	-0.1406939008	0.1355931914	0.1204589719	-0.0106974806	-0.083394026	0.1485039376	0.0722005	-0.0326955	0.00106899572025	0.00521291220025	-0.012745	-0.0113108499999999	0.0001279353277225	0.0001624350249999	-0.0809108999999999	0.0874181000000001	0.00764192420761	0.0065465737388099	0.00403858	-0.0018024399999999	3.248789953599999e-06	1.63101284164e-05	0.000201134	0.000372324	1.38625160976e-07	4.0454885956e-08	0.00272873	-0.00094013	8.838444168999999e-07	7.4459674129e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54238.61473000477	-56.85834220515972	3232.871078319047	2941827327.8298903	79107.79668264677	-751.7412806919747	6258043495.98298	565114.9530964103	54051.05365922844	-194.69352188918128	37905.56746561311	2921516401.6727924	58604.998054854696	48868.94652942842	1.057957	23.803104	0.1140822999999999	0.0512997	-0.0561258328	-0.080601166	-0.1531989243	-0.0292695573	0.1519589408	-0.0813550603	-0.0700049051	0.034707763	0.1184440354	0.1055876771	0.0813053851	0.0989146974	0.0615452008	0.020629072	-0.0529059315	0.0624779666	-0.0001960487	0.3010240432	-0.0593030567	0.0188268973	-0.0428551719	-0.0538448447	-0.0198341023	0.0888240026	-0.1263758526	-0.0125363366	-0.0491581237	0.0606122682	0.1242276906	0.1583700856	0.0040748305	0.1292542771	0.0203904053	0.0179921549	-0.0865813092	0.1660953947	-0.0447650157	-0.0921641685	0.0714097178	-0.0099456985	-0.0122841701	0.0697225311	0.1479600444	0.0520269	-0.0201736	0.00040697413696	0.00270679832361	-0.0332303	-0.0204852999999999	0.0004196475160899	0.0011042528380899	-0.115238	-0.0343271	0.00117834979441	0.0132797966439999	0.00350146	-0.0005371199999999	2.884978943999999e-07	1.22602221316e-05	0.000148688	-5.244599999999999e-05	2.750582915999999e-09	2.2108121344e-08	0.00253637	-0.0001923599999999	3.7002369599999975e-08	6.4331727769000005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54414.925024790784	176.31029478601704	31085.320047532223	2960984065.4536023	80261.29470415652	1153.4980215097455	6441875427.587463	1330557.685626898	54206.04018532526	154.98652609682176	24020.823271560814	2938294792.573097	58599.30745645367	49630.32075855568	1.020309	22.956059	0.05979025	0.0264397	-0.0247021658	-0.0638665761	-0.0659016522	0.0509894459	0.0409494641	0.0086779309	0.1078822551	0.0094473933	-0.0071946179	0.0005955865	0.0484597703	0.1072483617	0.0752934957	0.1222066478	0.133298837	0.0283745717	0.0505496085	0.0670289067	-0.0704108789	0.0077625762	0.0230905677	-0.0120903862	0.1394230008	0.0824147656	-0.1370785095	-0.132239717	-0.0542167943	-0.0286801641	-0.0096432472	0.0497411204	0.1284081895	-0.1043485214	-0.0320844181	0.1936600085	-0.0102637163	-0.0164900594	-0.0014848899	-0.0427731147	-0.0216101837	0.0407423268	0.0076188435	0.0305801805	0.1472358847	0.0395011	-0.0125258	0.00015689566564	0.0015603369012099	-0.0471937	-0.0139634	0.00019497653956	0.00222724531969	-0.111631	0.0036069999999999	1.3010448999999994e-05	0.0124614801609999	0.00334537	-0.00015609	2.4364088100000072e-08	1.11915004369e-05	0.000375959	0.0002272709999999	5.1652107441e-08	1.41345169681e-07	0.00232585	-0.00021052	4.4318670400000035e-08	5.4095782225e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54429.97693313947	15.051908348686991	226.5599449372732	2962622388.942095	79370.97560707522	-890.3190970813012	6299751768.81893	792668.0946276634	54201.25770612708	-4.782479198183864	22.87210728106138	2937776336.926	58724.56838521401	49879.4930445833	1.010683	22.739487	0.11079985	0.0551697	-0.0156126757	-0.0164401094	0.0653884929	-0.0289882721	0.0687578704	-0.0738471197	0.0713625086	-0.1619247401	0.0558812526	0.0137137689	0.0519083024	0.0995672357	0.1624575143	-0.0667450997	-0.042922397	0.0575753629	0.0098072169	0.0289835297	-0.0516348332	0.0984197123	0.0625374634	0.0199186206	-0.0004395027	-0.0079895064	-0.0952943673	0.0403616953	0.0528099004	0.0488768645	0.0695201881	0.0332515735	-0.0285281646	0.0760647955	0.1755692541	0.1241478878	0.0677608043	0.0789480202	-0.0830586726	0.0055656972	-0.0049277445	0.0096215361	0.0595162879	0.0129566571	0.1463323407	0.0422807	0.0027796	7.72617616e-06	0.0017876575924899	-0.0258571	0.0213365999999999	0.0004552504995599	0.00066858962041	-0.157002	-0.045371	0.002058527641	0.024649628004	0.00286729	-0.0004780799999999	2.285604863999997e-07	8.2213519441e-06	0.000471632	9.5673e-05	9.153322929e-09	2.22436743424e-07	0.00207335	-0.0002525	6.375625000000008e-08	4.298780222499999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54523.87654583701	93.89961269753984	8817.137264747988	2972853113.5856752	80530.04363670184	1159.068029626622	6485087928.129103	1343438.6973025396	54327.432500472765	126.17479434568668	15920.078728176326	2951469922.0934243	58726.30004255837	50035.337544375245	0.966843	21.753105	0.0959154499999999	0.0562923	-0.0200900684	0.0013723381	-0.103035897	0.0985114198	0.0158958698	0.0273883561	-0.070161638	0.0882340416	-0.0856454698	-0.0128633614	0.0068023013	0.1576609855	-0.0589015586	0.1473546807	0.1028984513	0.1236907789	0.1711585635	0.0295343065	-0.009357424	0.1327463747	-0.0969358137	-0.0343624526	0.1181830907	0.0158460484	-0.0640741122	0.0272326979	0.0093805779	-0.0609785031	-0.0300460416	0.0151304469	0.0710737109	0.0176492943	-0.1868864119	0.1385057891	-0.1617491466	0.0893519506	-0.0166054313	0.0442703243	0.0053346764	0.02607341	0.049221613	-0.0135504322	0.1452505133	0.0362525	-0.0060281999999999	3.633919523999997e-05	0.00131424375625	-0.0349626	-0.0091055	8.291013025000004e-05	0.00122238339876	-0.103727	0.053275	0.002838225625	0.010759290529	0.00315504	0.0002877499999999	8.28000624999999e-08	9.9542774016e-06	0.000734017	0.000262385	6.8845888225e-08	5.38780956289e-07	0.00207335	0.0	0.0	4.298780222499999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54516.741829121886	-7.134716715125251	50.90418260508765	2972075139.663128	79687.52426609848	-842.5193706033606	6350101523.660034	709838.8898418829	54198.18632398827	-129.24617648449205	16704.57413586046	2937443400.8097496	58730.69567956591	50365.62104007233	0.951514	21.408228	0.1162861	0.0544289	-0.0019543776	-0.0153678312	0.0617512133	-0.0311911705	0.0586312428	-0.0215283635	0.0621690555	-0.1526157118	0.0440870932	0.0382084327	0.0413591021	0.009152868	0.0464149786	-0.0522410785	0.1109085719	0.1540222399	-0.0504378989	-0.083152533	0.0482752246	0.1801999705	0.0951790306	0.0815372164	0.0017223478	-0.0308344904	0.1092447149	0.0072425041	0.0496047728	0.0421969225	0.047836212	0.0308424509	-0.0013255543	-0.0710442304	0.1650073587	0.1528501331	0.0278085623	-0.0090328733	-0.1044162943	0.0053719262	-0.0582278052	-0.0245977701	0.0432306086	0.0533482081	0.1439917206	0.0225951	-0.0136574	0.00018652457476	0.00051053854401	-0.0211245	0.0138381	0.00019149301161	0.00044624450025	-0.137777	-0.03405	0.0011594025	0.018982501729	0.00275357	-0.00040147	1.611781609000001e-07	7.5821477449e-06	0.000667665	-6.635199999999999e-05	4.402587903999999e-09	4.45776552225e-07	0.00144636	-0.0006269899999999	3.931164600999997e-07	2.0919572496000003e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54735.08665883149	218.3448297096038	47674.46466091588	2995929711.549793	80471.39309599905	783.8688299005735	6475645106.810804	614450.3424896942	54266.39012268344	68.2037986951691	4651.75815645115	2944841096.947275	58623.30989140017	49814.0209332672	1.148942	25.850191	0.24595845	0.112754	-0.0522459776	0.0888031501	-0.1302896822	0.1630899857	0.0879989557	0.0716459969	0.0616011437	0.1369797846	-0.0555451105	0.0457793122	0.1824276969	0.1347039566	-0.0806028833	0.1579013333	-0.0786249926	0.0440310509	-0.075447385	-0.05138202	0.0438396045	-0.1373892771	0.0111134793	0.0769612542	-0.0161635809	0.0622117589	-0.0007180084	-0.0017717915	-0.2534528034	-0.088345557	-0.0468950733	0.1750002728	-0.0304487889	0.0710933697	-0.1591845001	0.053490081	-0.0110313909	0.0045232673	-0.1408228486	-0.024918719	0.0647154831	-0.0105177908	0.0094800197	-0.107779897	0.1425574961	-0.0306556	-0.0532507	0.00283563705049	0.00093976581136	-0.0399253	-0.0188007999999999	0.0003534700806399	0.0015940295800899	-0.0525678	0.0852092	0.00726060776464	0.0027633735968399	0.00329009	0.00053652	2.878537104e-07	1.08246922081e-05	0.00156204	0.000894375	7.99906640625e-07	2.4399689616e-06	0.00178942	0.0003430599999999	1.1769016359999989e-07	3.2020239363999995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54689.00817720384	-46.07848162765004	2123.2264691096816	2990887615.4062686	79863.1460595069	-608.247036492161	6378122098.522131	369964.4574014962	54190.38153011536	-76.00859256808326	5777.306144180881	2936597450.379468	58602.32695198504	50551.88410575435	1.023148	23.019918	0.22687705	0.10561	0.0016060079	0.0568721923	-0.0180164864	0.0021281947	0.0707294114	0.0440536804	0.0370851456	-0.1237352426	0.0512861181	-0.0109556524	0.0548207573	0.0071209302	0.1242714456	0.0538091379	-0.005676058	0.0063841983	-0.0253861145	-0.131065808	0.0293633525	0.0676575766	-0.0426694506	0.0493969782	-0.1261420194	0.1717086551	-0.0070277879	-0.1181165813	0.0011443757	0.0377709122	-0.0130952348	0.0886080074	0.1005085357	-0.0276599234	0.1085370225	0.0919988006	0.0126730164	-0.1255640933	-0.0765918008	0.0414895673	-0.0535028062	0.0094130698	0.0265236003	0.0117562458	0.1409495873	-0.0441307	-0.0134751	0.00018157832001	0.00194751868249	-0.0341484	0.0057768999999999	3.337257360999994e-05	0.00116611322256	-0.112986	-0.0604182	0.00365035889124	0.012765836196	0.00194336	-0.0013467299999999	1.8136816928999996e-06	3.7766480896e-06	0.000857952	-0.000704088	4.95739911744e-07	7.36081634304e-07	0.0008961009999999	-0.000893319	7.980188357611785e-07	8.029970022008207e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
