onset	duration	trial_type	identifier	response
4.000006	9.984461	experimental_trial	26.mov	n/a
16.00022	9.978333	experimental_trial	5.mov	n/a
28.0004	9.974907	experimental_trial	28.mov	n/a
42.00072	9.982713	experimental_trial	44.mov	n/a
56.0009	9.977606	experimental_trial	50.mov	n/a
68.00109	9.973871	experimental_trial	37.mov	n/a
80.00139	9.980989	experimental_trial	13.mov	n/a
92.00167	9.978637	experimental_trial	45.mov	n/a
104.0018	9.970947	attention_check	f3.mov	Friendly
120.0299	9.990863	experimental_trial	11.mov	n/a
132.0302	9.979282	experimental_trial	29.mov	n/a
144.0304	9.976373	experimental_trial	23.mov	n/a
158.0307	9.985524	experimental_trial	20.mov	n/a
170.0311	9.969689	experimental_trial	12.mov	n/a
182.0313	9.976282	attention_check	n2.mov	NoResponse
198.0499	9.989455	experimental_trial	9.mov	n/a
210.0502	9.980238	experimental_trial	34.mov	n/a
222.0505	9.974162	experimental_trial	18.mov	n/a
234.0507	9.969884	experimental_trial	49.mov	n/a
246.0508	9.971377	experimental_trial	32.mov	n/a
258.0511	9.973277	experimental_trial	33.mov	n/a
272.0514	9.974096	attention_check	a3.mov	Adversarial
288.0859	10.00595	experimental_trial	31.mov	n/a
302.0862	9.980503	experimental_trial	8.mov	n/a
314.0864	9.97613	experimental_trial	38.mov	n/a
326.0867	9.973162	experimental_trial	36.mov	n/a
338.087	9.973874	experimental_trial	47.mov	n/a
350.0873	9.976399	experimental_trial	22.mov	n/a
