global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
63827.49398162252	n/a	4073948987.97406	n/a	107577.28662793242	n/a	n/a	11572872598.228329	61259.13136191759	n/a	n/a	3752681175.216676	73497.45775112334	66078.66869004224	n/a	n/a	n/a	n/a	-0.0495672002	-0.0973453656	-0.1458862817	-0.0058612964	0.1086550958	-0.0258355906	-0.0542156393	0.0570485084	0.0210798278	-0.0232596778	0.0849867682	-0.1130838586	0.1270032487	-0.1180121222	0.0174636678	-0.1216142718	-0.0550433705	6.98926e-05	-0.0372530388	0.1410125935	-0.0002468607	0.1105908547	-0.0389615465	0.1800913666	-0.0678366965	0.033397537	-0.1031206315	0.0103118867	-0.0228498529	0.0946122072	-0.0189654705	0.0097215993	0.0106765823	-0.1233181588	0.2281301359	-0.0701940593	0.0433083856	-0.0211016087	0.1632788395	-0.0035630443	0.0464582507	-0.0884971062	0.0827205244	-0.0937831047	0.0692540059	-0.0850771299	0.0514780366	-0.1044107562	0.0082651087	-0.0012227466	0.1170268438	-0.0543216152	-0.0029171615	0.0737188419	-0.0038230262	-0.0959998823	0.0929062026	-0.0360560023	6.24374e-05	-0.0123961414	0.0275168929	0.0162432913	-0.0109832256	0.1097087227	-0.089153385	0.074150864	-0.0506115749	0.2757122081	-0.0124765195	0.1619530391	-0.0839826937	0.0618676122	-0.1380829671	0.1410505825	-0.0019480702	0.0517446287	-0.0443570977	0.0005784566	0.0114927274	-0.0162484719	0.0352713297	0.0472943809	-0.0877010246	0.0178894534	-0.0035954351	0.1597571155	-0.0364007429	0.0111536217	-0.0710346299	0.0118472822	-0.0229994594	0.0729403895	-0.0939422541	0.0026547794	-0.0035262937	0.0661385923	0.0310182628	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0853002999999999	n/a	n/a	0.0072761411800899	-0.0909453	n/a	n/a	0.00827104759209	-0.0877996	n/a	0.00770876976016	n/a	-0.00239047	n/a	5.7143468209e-06	n/a	-0.000682871	n/a	n/a	4.663128026410001e-07	0.00198557	n/a	3.942488224899999e-06	n/a
63749.92148350803	-77.57249811449583	4064052489.153439	6017.492463723459	107600.13985359768	22.85322566525429	522.2699233070372	11577790096.51378	61330.55871870654	71.42735678894678	5101.867297855501	3761437432.748711	73782.2188408578	66705.29444944968	1.269839	20.248674	0.1029388	0.0563575	-0.0075621287	-0.1082187362	-0.1185741195	0.1007258063	-0.119791124	0.0427470226	-0.0812677754	0.12271163	0.1085240415	0.0211297898	0.1381187388	-0.027545099	-0.0156405966	0.0948339057	-0.0146616399	-0.0411524871	0.0436240452	-0.0811928643	0.1204572574	0.0370169734	-0.0629982893	0.0177663336	0.1344025392	0.1587862081	-0.1164885468	-0.0259491961	0.0819833793	-0.0667919098	0.085765684	0.0207504441	-0.0652934502	-0.027170691	-0.0211417569	-0.1019419138	-0.026854566	-0.0931062683	0.0367573576	0.0712647338	0.03350043	0.0209724816	-0.0295215018	0.1093218996	0.0706266416	0.0769902018	0.050987193	-0.0838391576	0.0295588234	-0.0446001025	-0.0131106023	0.0730221879	-0.0236586935	0.0514848234	-0.0021033582	-0.1282119721	-0.0203599202	0.0457387406	0.13243691	-0.0831177983	-0.0040774226	0.1424467927	0.0216406166	0.010509573	0.0978207755	-0.0130724861	-0.079959407	0.0856766742	-0.078289197	0.1000712582	0.1273319821	0.1103993384	-0.1013244185	-0.001277663	-0.1463610542	0.0748819711	-0.0543810065	-0.054892134	0.0220764252	-0.049928881	-0.0045146205	0.0564838154	-0.1200016822	0.0846302944	0.1194865234	-0.1281144121	-0.020231143	0.1169025011	0.06249688	0.0154021035	-0.0565552448	-0.0029033124	0.0502624266	-0.0340150879	-0.0368659127	-0.0475473338	0.1032595822	-0.0027421004	0.0538248974	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0921684	0.0068681	4.717079761000136e-05	0.00849501395856	-0.0645489	0.0263964	0.00069676993296	0.00416656049121	-0.0546688	0.0331308	0.0029886776934399	0.00109764990864	-0.00306247	-0.0006719999999999	9.378722500899998e-06	4.515839999999998e-07	-0.000682871	0.0	0.0	4.663128026410001e-07	0.00204444	5.886999999999993e-05	4.179734913599999e-06	3.465676899999991e-09
63646.31790384485	-103.6035796631768	4050853782.717282	10733.70171902422	107868.52622767857	268.38637408088834	72031.24579228653	11635618950.531378	61324.03481397775	-6.523904728790512	42.56133291033521	3760637245.865955	73839.25882718465	66345.9795415848	1.143111	18.227888	0.1321970499999999	0.0858406	-0.009552587	-0.1253069546	-0.0621324903	0.0847949904	-0.0414923934	0.0474124428	-0.1053588717	0.1664285308	0.0515197663	0.0554938874	0.1305243898	-0.0078751399	0.0617530228	0.0515361965	-0.0038217425	-0.0639440007	0.0901412166	-0.0337076248	0.0655591751	0.0330549495	-0.0091073565	0.0463804636	0.0666398372	0.0645786746	-0.0844941323	-0.008216788	0.0128604367	0.04476088	0.0084764989	0.0743248431	-0.0128925603	-0.0554836768	0.0196910187	-0.1487782007	-0.079428958	0.0309154533	0.0319922552	-0.1372125376	-0.0997587401	0.1102538852	-0.1001642553	0.0232724074	0.1860103784	-0.0542676525	-0.0013052503	-0.0802128933	-0.0702434435	-0.1438873231	0.1622253342	0.1005857614	-0.1350308153	0.007670663	0.0568010436	0.1821809506	0.0006436054	-0.0122820172	-0.027532	0.0818464283	-0.0373643214	0.1577619482	0.0364893591	0.0562423667	0.0416813427	0.012068346	-0.0962886144	0.0935959888	-0.0649817251	0.2040405645	0.0413539633	0.1051900736	0.0224045611	0.0203193998	-0.0385735195	0.0228466378	-0.0202209485	-0.0147980148	-0.0159312367	0.150257686	-0.0778087413	-0.1483858215	-0.0049649483	0.0214719763	0.1578697653	-0.1123027755	0.0277033492	-0.0352703836	0.0013364031	-0.0645875243	-0.0358563988	-0.1181286643	0.0200485368	-0.1909575451	-0.0398762645	0.0341540224	-0.1039506532	-0.1328079527	-0.0203102239	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0878632	-0.0043051999999999	1.853474703999996e-05	0.00771994191424	-0.0664657	-0.0019167999999999	3.674122239999986e-06	0.00441768927649	-0.0877357	-0.0330669	0.00769755305449	0.00109341987561	-0.00161364	0.00144883	2.6038340496e-06	2.0991083689e-06	-0.000471448	0.000211423	4.4699684929000016e-08	2.2226321670400002e-07	0.00184653	-0.0001979099999999	3.4096730409e-06	3.916836809999989e-08
63504.01232916615	-142.3055746786995	4032759581.9028864	20250.87658463492	107371.92833070728	-496.5978969712887	246609.4712763067	11528730993.45454	61219.18812478268	-104.84668919506656	10992.82823516689	3747788994.657533	73597.86051421703	65118.23006035823	1.152787	18.382179	0.1935982	0.114487	-0.0106312706	-0.0813990979	-0.0113067597	0.0403329246	0.0390780738	0.0538545698	-0.032087902	0.1060654714	-0.0837977163	-0.0069766981	0.0255460651	0.0095366581	0.1098312055	0.0026628492	0.0154994995	-0.0355572692	-0.0250497554	-0.0700864526	0.0131520775	0.1304695037	0.1205080988	-0.0373082074	0.0007378748	0.0595460736	-0.0974560871	0.0172272517	0.0315963898	0.028471751	-0.0397664846	-0.028668957	0.0044430251	0.0162552046	0.0112619654	-0.0589563953	-0.0345659335	0.0231803037	-0.0590659263	-0.0779714768	0.035035738	0.0619175976	-0.0347057663	-0.1416557054	-0.0216257028	-0.0700559502	-0.0523855436	0.0428862884	-0.0596616399	-0.1839858937	0.052296928	-0.0824019042	0.0875394853	0.0265814763	-0.0240533354	-0.0258603554	0.0094228178	-0.0430122292	0.0869655671	-0.0364131971	0.0454920294	0.0623532983	0.0203623256	-0.0065386058	-0.0942243956	0.0728288304	-0.1475080028	0.0175945656	-0.0022077703	0.0832779432	-0.0241973982	0.0154832235	-0.069665252	0.0164758999	-0.1217575234	0.0760597683	-0.0464489711	-0.0557408603	0.0073231096	-0.0024005925	-0.0634429571	-0.1699400206	0.0316042859	0.0819856525	-0.0311669658	-0.0669217926	0.0804046813	0.0271805236	-0.0193200975	-0.1279756316	0.0681517741	-0.0337483151	-0.0301706085	-0.0414946801	0.0512344379	0.0254548918	0.0474110201	-0.0195820726	0.0488795314	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0862939999999999	-0.0015692000000001	2.462388640000326e-06	0.0074466544359999	-0.109634	-0.0431682999999999	0.0018635021248899	0.012019613956	-0.0452504	0.0424853	0.00204759870016	0.0018050007160899	-0.00334282	-0.0017291799999999	1.11744455524e-05	2.9900634723999995e-06	-0.00016302	0.000308428	9.512783118400001e-08	2.65755204e-08	0.00175663	-8.990000000000018e-05	3.0857489569e-06	8.082010000000032e-09
63475.262788544336	-28.74954062181496	4029108986.0747614	826.5360859653885	106498.92298012956	-873.0053505777178	762138.3421373239	11342020595.927568	61248.01459275035	28.82646796766494	830.9652554908129	3751319291.55376	73586.25332107494	64686.07972970116	1.133971	18.082144	0.21262005	0.118843	0.0051139434	-0.0643274412	0.0334344449	0.0058933468	0.0351870713	0.0140178928	0.062591262	0.126288229	-0.0317913714	-0.0366229985	0.0549595924	0.0575095185	0.0305379106	-0.0057100464	-0.0205451959	-0.0215103949	0.0067127751	-0.0968574309	-0.0060282167	0.0196184245	0.0440020195	0.0917333713	-0.0336166131	0.1668408938	-0.0244016706	0.1179393954	0.0031294561	0.1131775094	0.0613389698	-0.0359436613	-0.0240100635	-0.0519357283	0.013013632	0.0278976894	-0.0041338153	-0.0447778736	-0.0957533009	-0.0509146654	0.0321178844	-0.204035459	-0.0271895868	-0.0405569861	0.0718586745	0.0006824095	-0.0886492634	-0.0847365572	0.0170701156	0.1113232414	0.0063032002	0.0586553288	-0.0493535367	-0.1363518582	0.1100616428	-0.0172520834	-0.0968043653	-0.011810691	-0.0200831446	-0.0233873346	-0.0158716585	0.1137492644	-0.0435996746	-0.0483131431	-0.0403738989	0.0066119266	-0.0633294163	0.0183130349	0.0073179425	0.0512448266	0.0851659969	-0.0146023408	0.09239713	-0.055161756	-0.0660350191	-0.0081813903	0.0349348917	0.1488625297	-0.0284622376	-0.0143496192	0.0832366773	-0.1191339545	-0.0512839079	0.1037447866	-0.0864179037	-0.0970281005	-0.0260555013	0.0751988798	0.0728406767	0.0627466668	-0.0450519532	0.0225173866	-0.0734135377	0.1059319059	0.1197240451	-0.0399380273	-0.0520256629	0.0979101652	0.0121971558	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0735054	-0.0127885999999999	0.0001635482899599	0.00540304382916	-0.0375261	0.0721079	0.00519954924241	0.00140820818121	-0.073671	-0.0284205999999999	0.005427416241	0.0008077305043599	-0.00178712	0.0015557	3.1937978943999995e-06	2.42020249e-06	0.000180659	0.000343679	1.18115255041e-07	3.2637674281000003e-08	0.00166995	-8.668e-05	2.7887330025e-06	7.5134224e-09
63539.15343101183	63.89064246749331	4037224018.7296624	4082.0141949090594	107309.70536534926	810.7823852197034	657368.0761825516	11515372865.598068	61237.46337686892	-10.551215881430837	111.32815657655829	3750026920.8333616	73479.56890134494	65178.4951387353	1.223633	19.511868	0.1015023499999999	0.0597571	0.0675387556	-0.010547802	-0.0061673115	0.0327087109	-0.0698506593	-0.08319036	-0.022379627	-0.050258054	-0.0607341073	-0.0461898528	0.1457714681	-0.0216650466	-0.0271774791	-0.0316974244	0.0518419309	0.1016311378	-0.0437342008	0.0279079016	-0.0842553927	0.0820214478	0.0704148326	-0.0025705096	0.005173919	0.0978346328	0.0985832378	-0.0862882885	-0.0922310923	0.1604026807	-0.0406159134	0.0383421488	0.0628077014	-0.0006022146	-0.1382092312	-0.0240689277	-0.0873740361	0.0156502066	0.0303237178	0.096377683	0.0532186195	0.0124587558	0.0982085695	0.0831218827	-0.0110774944	0.1088177473	-0.0465951153	0.0691386564	0.1185826819	-0.0867920818	0.0049105953	0.1249314708	0.0029914402	-0.0124493036	0.0369138097	0.0787881941	0.0565956149	0.0075981218	-0.0382008209	-0.1096235615	-0.0347300681	-0.0217300372	0.0424101542	-0.0835135649	-0.0247960511	-0.066539764	-0.02072924	0.0171778929	0.115452092	0.1162729699	0.0888667446	-0.0257189653	-0.1117903143	-0.0082734486	-0.0589591832	0.1812881544	0.0055997511	0.0635659416	0.1088663189	0.1274474089	0.0392816508	-0.1121335697	0.0800844751	0.0315759076	0.1040114892	0.1249356914	0.1499369043	0.0167411999	0.0861431445	-0.007962926	-0.0501452515	0.1294511314	-0.005784697	0.018520031	-0.0012252418	0.0001931285	-0.0141870779	-0.1653905793	0.0009867676	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0737170999999999	0.0002116999999998	4.4816889999956856e-08	0.0054342108324099	-0.0487518	-0.0112256999999999	0.0001260163404899	0.0023767380032399	-0.0208494	0.0528215999999999	0.00043469748036	0.0027901214265599	-0.00169908	8.803999999999995e-05	2.8868728464e-06	7.751041599999991e-09	-0.000311578	-0.000492237	2.42297264169e-07	9.708085008400001e-08	0.00150536	-0.0001645899999999	2.2661087296e-06	2.7089868099999946e-08
63459.73107428076	-79.42235673106916	4027137468.0200353	6307.910748717206	107797.17117471989	487.4658093706239	237622.91530535743	11620230113.27186	61358.14375977921	120.6803829102937	14563.754819375108	3764821805.645733	73715.65026736337	64856.45067241329	1.156871	18.447302	0.13627435	0.0733097999999999	0.0915027719	0.0256058237	0.0479417606	0.046950667	-0.1270603723	-0.064171739	-0.0866458584	-0.0067588236	-0.0039492527	0.1231969226	0.1432029034	0.0265645805	-0.0308258706	-0.1319330329	0.1832171103	0.0437458179	0.0558075225	0.0661187352	-0.0063201708	-0.0040112881	-0.0464362639	0.0231524461	0.0444782684	0.0055046879	-0.0731190623	0.0006808938	0.0215612668	0.081340349	0.0368301071	0.061670899	-0.0414696267	-0.0334734495	0.0175331495	0.0725869543	-0.0012239926	0.0007999763	0.034471593	-0.1112622269	-0.0541893498	0.0838942625	-0.0167131568	-0.0173770082	0.0472347438	0.0551941782	-0.0505759846	-0.0590872401	0.0723677946	-0.0023922346	0.0215651887	-0.1457149856	-0.0509320118	0.1236460725	-0.0081085489	0.0521057331	-0.0776381826	-0.0663774715	0.0710144425	-0.0798697279	0.0707993979	0.0470598414	0.082919399	0.0611670776	-0.0019261291	-0.1506076113	-0.0606607813	0.0317895505	-0.0152202568	0.1104255579	0.0055177536	-0.0466595376	-0.0055168814	-0.0198481533	0.0494227166	0.0458640966	0.0055564602	-0.0875562497	-0.1309902229	0.0237067477	0.0519322428	-0.0254601958	-0.0715170841	0.0858228519	0.1503011812	0.0603579085	-0.0866928111	-0.0222957093	0.0229493789	0.1012586114	0.0793732246	-0.1216937855	-0.0639261552	-0.075882116	-0.0220348495	-0.0285067761	0.0079679707	-0.0524634567	-0.0542526624	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0603761	-0.0133409999999998	0.0001779822809999	0.00364527345121	-0.0188187	0.0299330999999999	0.0008959904756099	0.00035414346969	-0.0604369	-0.0395875	0.00365261888161	0.0015671701562499	-0.000813717	0.0008853629999999	6.621353560890001e-07	7.838676417689998e-07	-0.00032204	-1.0461999999999982e-05	1.0945344399999963e-10	1.037097616e-07	0.00133293	-0.00017243	1.7767023849e-06	2.973210490000004e-08
63424.73337446369	-34.99769981706777	4022696803.621809	1224.838992485585	107037.14036239496	-760.030812324927	577646.8356832883	11456949416.95904	61320.66836535118	-37.475394428031	1404.405187536497	3760224368.7733808	73571.05226928473	63353.36493148613	1.325827	21.141449	0.08383195	0.0391685	0.0639460909	0.1069785611	0.0496441207	-0.0714055063	0.0451813246	0.0300115192	0.0223499899	-0.0194712537	-0.1153189578	0.0768831724	-0.0251420598	0.0626486351	0.0708529819	-0.1222718242	0.0267404079	-0.0570143494	-0.0012321975	0.0773909472	-0.0421750036	-0.1461759597	-0.0213259061	0.0455057074	-0.0449727006	0.0030417692	-0.0322453596	0.0054130036	0.0203486224	0.1104317774	-0.0086276374	0.0148763047	-0.0270714866	0.111900251	0.0251863586	0.1930753631	-0.0640833259	-0.0919343637	0.0180400313	-0.1450244258	0.049586767	-0.0235544343	-0.0851670848	-0.1191788033	-0.0076376254	-0.0401707132	0.0536641377	-0.0593310957	0.038316621	-0.0155329577	0.0005703488	-0.0386955958	0.0192775412	-0.0450391435	-0.0480602422	-0.0349615302	0.012147824	0.0261869229	0.0030553435	0.0058864058	0.0507224943	-0.0364311675	0.0306804546	0.0552557713	-0.1022246104	-0.0879304035	-0.0383178907	-0.0077842335	0.0189140263	0.0644457992	-0.042265276	-0.0493552378	0.1869082505	-0.0578431156	0.0109012997	-0.0544030388	0.0298667555	-0.0141676289	-0.1048570706	-0.0004857052	-0.0021397199	-0.0139429997	0.0269050053	0.1457959528	-0.0836301954	-0.0899417166	-0.0541370444	-0.067675834	-0.0628164903	0.0609537706	0.0187591473	0.0370284822	0.0081491265	0.0665265577	0.010544951	-0.0915136097	-0.0325630273	-0.0813745108	-0.1333916678	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0485085	-0.0118675999999999	0.0001408399297599	0.00235307457225	-0.0398381	-0.0210194	0.00044181517636	0.00158707421161	-0.0496363	0.0108006	0.00246376227769	0.00011665296036	-0.000983334	-0.0001696169999999	9.66945755556e-07	2.8769926688999984e-08	-0.000152523	0.000169517	2.8736013289e-08	2.3263265529e-08	0.0008691769999999	-0.0004637530000001	7.554686573288262e-07	2.150668450090928e-07
63400.86501704564	-23.868357418054075	4019669684.909641	569.698485835977	106622.47119277398	-414.66916962097457	171950.52023414857	11368351363.253918	61261.89334687935	-58.77501847183157	3454.5027963641423	3753019576.44442	73308.35685830249	63609.804797271805	1.40675	22.431829	0.05636855	0.0287839	-0.0617466448	0.1108370249	0.0825509274	0.0415259945	-0.014946274	0.1248385584	0.1012726917	-0.0269631413	-0.0591382916	0.0094495507	-0.0238460837	0.0335607775	0.0323142651	0.1139209399	-0.1222663828	-0.0124563865	-0.0463763371	-0.0188300774	-0.0181147105	0.0134251574	0.0946994958	0.0644128181	-0.02044849	0.0048829656	0.0520674803	-0.000903189	0.055307624	-0.13805889	-0.0454115336	-0.0654452098	-0.1134691889	0.0066489218	0.0490676322	-0.017048892	0.0259318019	0.0406929249	0.0423559333	0.0032002625	0.0123133185	-0.014080518	0.0145832628	-0.0073794873	0.0749859614	0.1017883076	0.0468872917	0.0563763481	-0.1160102495	0.0572895298	0.0346333315	-0.0156818936	-0.0223794337	-0.0327441109	0.1133178827	-0.0586128023	-0.1169761871	-0.0070806322	0.0276200483	0.0424231588	-0.0169693852	-0.079201329	-0.0466770114	-0.0910200426	-0.0405365212	0.028715561	-0.0181795206	0.0756482848	0.0886724304	-0.0064114547	0.095593839	0.1272401388	0.0901925744	-0.0559573642	0.0038567272	0.1035919122	0.0102800686	0.0671481658	-0.0011508773	-0.1599551528	-0.1283009314	0.0104105626	-0.0773750312	-0.0761459922	0.0306857853	0.0002327379	0.060346187	-0.0295400218	0.0203520159	-0.0661280778	0.1486006613	0.1145375922	-0.0606988892	0.0280193162	0.0510969764	0.0391972323	0.0597988742	0.0999683541	0.0193231125	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0525156	0.0040070999999999	1.6056850409999995e-05	0.00275788824336	-0.021188	0.0186501	0.00034782623001	0.0004489313439999	-0.0305179	0.0191184	0.00093134222041	0.00036551321856	-0.000936815	4.6518999999999966e-05	8.77622344225e-07	2.1640173609999972e-09	-0.00032204	-0.000169517	2.8736013289e-08	1.037097616e-07	0.000945	7.58230000001e-05	8.93025e-07	5.749127329015165e-09
63478.2592109172	77.39419387155795	4029489392.448394	5989.861245028297	106284.44461221989	-338.0265805540985	114261.96916109642	11296383166.528036	61236.33481832406	-25.55852855528792	653.2383819114681	3749888701.9818873	73444.48321989874	64116.202408637335	1.200708	19.14632	0.0873956	0.0458705	-0.0803513451	0.0472979676	0.0720147109	-0.0270960676	0.0454421681	-0.0918664333	0.1034831006	0.0119759531	0.0152121626	-0.0530957926	0.0112191889	0.0067342627	-0.0205229103	-0.0954204263	0.0087625261	0.0807640486	-0.089411251	-0.0243406112	-0.0054265193	-0.0176092455	-0.0297764906	-0.0229253444	0.0914466259	-0.0730307527	0.0325279023	0.0273150413	-0.0837169629	-0.0051269842	0.0177774153	0.165686696	-0.0277739846	-0.0115413581	0.0488861173	-0.0107947013	0.0369230853	0.0240968711	-0.0789903264	-0.0464379331	0.0578034884	0.0433575985	0.0523933357	0.0849928976	0.0140990666	0.0435964254	0.0308610988	0.0684282668	-0.0354799816	0.0336952145	-0.0279264951	0.0363914833	-0.0394918507	-0.0541579421	-0.0429218681	-0.0673382983	0.0833587	0.0736203631	-0.0357834792	-0.0094501537	0.0716281166	0.0133825915	-0.112650399	-0.0355201142	-0.0275209101	-0.0421091797	0.0403603637	-0.0024696316	0.0737383259	0.0295886098	0.0392648309	0.0244695568	0.023469091	-0.0220113333	0.0203825562	0.1281108067	-0.0589735939	0.0092457093	0.0036745636	0.0982856508	0.017263855	0.1289340907	0.0790780847	-0.0012745013	-0.1616042815	0.0277712285	-0.1189443676	-0.0570442576	0.0121566328	0.0664139869	-0.0213126552	-0.0354801206	-0.060148567	-0.0680335443	-0.0016884603	0.0579503799	-0.0255430005	0.0602664946	-0.0498173557	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.0380143	-0.0145013	0.00021028770169	0.00144508700449	-0.0211808	7.199999999998874e-06	5.1839999999983785e-11	0.0004486262886399	-0.0470671	-0.0165492	0.00221531190241	0.00027387602064	-0.00128381	-0.000346995	1.6481681161e-06	1.20405530025e-07	0.0003819	0.00070394	4.955315236e-07	1.4584761e-07	0.0008691769999999	-7.58230000001e-05	7.554686573288262e-07	5.749127329015165e-09
