onset	duration	trial_type	identifier	response
4.000005	9.968448	experimental_trial	47.mov	n/a
16.0002	9.966317	experimental_trial	24.mov	n/a
28.00055	9.967895	experimental_trial	30.mov	n/a
40.00084	9.969721	experimental_trial	36.mov	n/a
52.00119	9.972401	experimental_trial	13.mov	n/a
64.0015	9.969066	experimental_trial	17.mov	n/a
76.00182	9.967719	experimental_trial	50.mov	n/a
88.00208	9.966684	experimental_trial	40.mov	n/a
100.0023	9.967701	experimental_trial	45.mov	n/a
112.0026	9.968982	experimental_trial	32.mov	n/a
126.0029	9.967943	experimental_trial	22.mov	n/a
138.0031	9.969111	experimental_trial	7.mov	n/a
150.0033	9.9668	experimental_trial	21.mov	n/a
162.0037	9.971819	experimental_trial	34.mov	n/a
176.004	9.968357	experimental_trial	3.mov	n/a
190.0043	9.974494	experimental_trial	37.mov	n/a
202.0046	9.964815	attention_check	f3.mov	Neutral
218.0239	9.97582	experimental_trial	31.mov	n/a
230.0242	9.970369	experimental_trial	43.mov	n/a
242.0245	9.974094	experimental_trial	1.mov	n/a
254.0248	9.966941	attention_check	a1.mov	Friendly
270.0487	9.970946	experimental_trial	39.mov	n/a
282.0489	9.971957	experimental_trial	23.mov	n/a
296.0492	9.96862	experimental_trial	8.mov	n/a
308.0495	9.968842	experimental_trial	20.mov	n/a
320.0498	9.968034	experimental_trial	16.mov	n/a
332.05	9.964855	experimental_trial	6.mov	n/a
346.0504	9.971595	attention_check	a2.mov	Adversarial
