onset	duration	trial_type	identifier	response
4.00001	9.969668	attention_check	a3.mov	Adversarial
20.01719	9.970934	experimental_trial	6.mov	n/a
32.01737	9.9692	experimental_trial	27.mov	n/a
46.01772	9.970089	experimental_trial	44.mov	n/a
58.01801	9.968868	experimental_trial	17.mov	n/a
72.01833	9.970064	experimental_trial	43.mov	n/a
84.01864	9.967597	experimental_trial	37.mov	n/a
96.01892	9.969448	attention_check	a1.mov	Neutral
112.0363	9.986471	experimental_trial	8.mov	n/a
124.0367	9.96638	experimental_trial	48.mov	n/a
138.037	9.968286	experimental_trial	47.mov	n/a
152.0373	9.978684	experimental_trial	2.mov	n/a
164.0376	9.967897	attention_check	n3.mov	NoResponse
180.0572	9.9778	experimental_trial	12.mov	n/a
192.0575	9.966762	experimental_trial	30.mov	n/a
204.0578	9.966266	experimental_trial	41.mov	n/a
216.058	9.96349	experimental_trial	4.mov	n/a
228.0583	9.96789	experimental_trial	32.mov	n/a
240.0586	9.970256	experimental_trial	1.mov	n/a
252.0589	9.966785	experimental_trial	23.mov	n/a
264.0592	9.968941	experimental_trial	16.mov	n/a
278.0595	9.969779	experimental_trial	29.mov	n/a
290.0597	9.966416	experimental_trial	42.mov	n/a
302.06	9.967485	experimental_trial	3.mov	n/a
314.0604	9.967099	experimental_trial	40.mov	n/a
326.0607	9.965635	experimental_trial	38.mov	n/a
338.061	9.964614	experimental_trial	28.mov	n/a
350.0613	9.967465	experimental_trial	10.mov	n/a
