global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
47580.108994802125	n/a	n/a	2263866771.95725	73376.85804022243	n/a	5384163295.854956	n/a	46592.52575289818	n/a	2170863456.03448	n/a	52579.73493784124	38336.56638516699	n/a	n/a	n/a	n/a	-0.0961078374	0.2354551984	-0.0369480689	0.0903253071	0.2895468302	-0.1851596655	0.1329603151	-0.1739563657	0.14757261	-0.0193235223	0.1061404744	-0.1962235814	0.2230910339	-0.0476527574	0.0201288497	-0.0800253325	0.1768342697	-0.1098231781	0.087288217	-0.1479127525	0.1098895738	-0.01912757	0.036750348	-0.0256385687	0.1119463481	0.0689942115	-0.0970055918	0.102927306	0.0307845121	0.035327376	-0.0579924738	0.0012681204	-0.2232720176	0.0168467408	-0.1699656949	-0.2999066995	0.1402350664	-0.0218856467	0.0409425068	-0.2414447591	0.0250851476	-0.0993632097	0.0796941619	-0.3759703995	-0.008597794	0.081976049	-0.2622361697	0.0391586317	-0.0827035685	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.218348	n/a	0.0476758491039999	n/a	-0.133883	n/a	0.017924657689	n/a	0.344556	n/a	0.1187188371359999	n/a	-0.0079935	n/a	n/a	6.389604225000001e-05	0.0108157	n/a	0.0001169793664899	n/a	-0.00200746	n/a	4.0298956516e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47518.7023951191	-61.40659968302498	3770.770484631284	2258027077.315898	72667.21573715543	-709.6423030669976	5280524242.990291	503592.1983022324	46493.50689894153	-99.01885395665158	2161646183.761924	9804.733438888696	52334.08102312955	38845.84277629852	1.86799	38.920155	0.5246015999999998	0.272915	-0.1139632783	0.1065263287	0.0848386986	-0.1254422345	0.1298057474	0.0687927125	0.1298984101	-0.2236388307	0.0294467109	0.0630954572	0.234810043	-0.1248958188	0.0946456462	-0.0838211639	-0.0841489081	-0.0251954449	0.185544694	-0.0297744459	0.038132345	0.0242227339	0.1825619052	0.0192864963	0.0059309783	0.1108408922	0.0801603121	0.0581002307	0.0030732159	-0.1369466303	0.0141554716	0.0245097297	-0.0968977822	-0.0229126228	-0.2241776103	0.0644364349	-0.1109150329	-0.0804892232	0.1577180544	-0.2431987915	0.1489307649	0.2419473493	0.0874972326	0.0883753491	-0.0040109142	-0.1595804208	0.1074393549	-0.0205398467	-0.1860501799	-0.0563012652	-0.0840686535	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0822183999999999	0.1361296	0.0067598652985599	0.01853126799616	-0.115494	0.018389	0.013338864036	0.000338155321	0.30604	-0.0385159999999999	0.0936604815999999	0.0014834822559999	-0.0113079	-0.0033143999999999	1.098524735999999e-05	0.0001278686024099	0.00754136	-0.0032743399999999	5.68721106496e-05	1.0721302435599992e-05	-0.00196486	4.259999999999984e-05	3.8606748196e-06	1.8147599999999862e-09	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47244.67635484433	-274.02604027477355	75090.27074867181	2232059443.8739867	72372.62436459471	-294.59137256072427	5237796757.418728	86784.07678721145	46323.45220094086	-170.0546980006693	2145862223.8128529	28918.600312098843	52315.45746543191	37349.765278169085	2.578328	53.720245	1.01663865	0.567373	-0.0695811338	0.0428539806	0.0585756381	-0.0727419709	-0.0038003331	0.0179540325	0.0643919619	-0.0651974529	0.0417648958	0.1165602684	-0.0858826661	0.0899633918	0.0303760016	0.1259086844	0.1104151572	-0.1145598762	0.0831199012	0.1444854808	-0.0554085215	-0.0860075079	-0.0107436714	0.0832527158	-0.0491354193	0.0142650931	0.0073593824	-0.0151219626	0.0094372111	0.0155753154	0.094408102	0.0983450619	-0.0370542055	-0.0710623139	-0.0545919464	-0.0138483935	0.005590085	0.0806127972	-0.0709933828	0.0530102109	-0.0153754853	0.0324641314	-0.093897421	-0.1979998921	0.0506186985	-0.1713857557	-0.0988094489	0.2271956559	0.1618013405	0.137215468	-0.0482172007	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0140998	0.0681185999999999	0.0001988043600399	0.0046401436659599	-0.0445467	0.0709472999999999	0.00198440848089	0.0050335193772899	-0.0235552	-0.3295952	0.0005548474470399	0.1086329958630399	-0.00419668	0.0071112199999999	5.056944988839998e-05	1.7612123022400003e-05	0.00482132	-0.00272004	2.32451265424e-05	7.398617601600005e-06	-0.000836569	0.001128291	6.99847691761e-07	1.273040580681e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47107.58919286662	-137.0871619777099	18792.889979102874	2219124959.563884	71111.75166314137	-1260.872701453336	5056881224.60029	1589799.9692702335	46196.63133190524	-126.82086903561868	2134128746.415969	16083.532822949544	52049.349775487724	36703.24444198608	1.397687	29.121235	0.1377336	0.0715852	-0.0608797049	-0.0662662049	0.1840174734	0.0569214998	-0.0033430988	-0.0811981497	-0.0109505818	-0.0479029067	-0.101311785	0.0322772686	0.0614703756	-0.1256508548	0.0238162623	0.0761240457	0.0581105473	-0.01349698	0.119402649	0.0752962412	-0.0901650813	0.0080613504	-0.089283172	0.0410445735	-0.0966163506	-0.0143964669	0.0086561011	-0.131228667	-0.0139120547	0.0555838497	0.0159434506	0.1336592912	0.1149873252	-0.0304868125	-0.028571228	0.0530325015	0.1601892477	0.0108086668	0.0410587292	-0.0752421959	0.1443384889	-0.0006839973	-0.051497943	0.012383376	0.0477132458	-0.0885870194	-0.1166656418	0.0577351255	0.1054691607	0.0739769912	-0.0032985347	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.00504755	0.01914735	2.54777610025e-05	0.0003666210120225	-0.0239797	0.020567	0.00057502601209	0.000423001489	-0.0304637	-0.0069085	0.00092803701769	4.772737225000002e-05	-0.00333385	0.00086283	7.444756089000003e-07	1.11145558225e-05	0.00390333	-0.0009179899999999	1.52359850889e-05	8.427056400999992e-07	-0.0007951739999999	4.139500000010002e-05	6.323016902758409e-07	1.713546025008281e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47165.33602079695	57.74682793033571	3334.6961360158007	2224568921.954686	71725.10143456605	613.3497714246769	5144490175.798789	376197.94210670335	46237.65472740255	41.02339549730823	2137920714.6904917	1682.918978128569	52207.12129384821	36560.61206638813	1.154485	24.054047	0.10239279	0.0533331	-0.0555581097	-0.0915119607	0.1396309763	-0.0260405931	0.0444676858	-0.090539212	0.0114569589	-0.0347517454	-0.0718685391	-0.0287792451	0.140286845	-0.0945888477	-0.0585140308	0.1366636948	-0.063512279	0.0741652722	0.0033696741	0.1111125673	0.033173323	-0.004579268	-0.0171744727	-0.029285827	0.0055295369	0.1006414479	0.0823215865	-0.162073409	-0.0056982375	0.1870154757	-0.0520787852	0.0640147577	0.064876564	0.0731591285	-0.0036258855	0.1231685632	0.1148247633	-0.0382371911	0.0559537638	-0.0247609535	0.094303528	0.0363673578	-0.0753145029	0.1029482185	0.0726088158	0.0066471266	0.0814289356	-0.0257153464	0.1641195663	0.2127275873	-0.0860439591	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.00639484	-0.01144239	4.089397862559999e-05	0.0001309282889121	-0.0417731	-0.0177934	0.00174499188361	0.00031660508356	-0.0571197	-0.026656	0.00326266012809	0.000710542336	-0.00266908	0.00066477	4.419191529000004e-07	7.123988046399999e-06	0.00363808	-0.0002652499999999	1.32356260864e-05	7.035756249999992e-08	-0.0007951739999999	0.0	6.323016902758409e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47392.85122544723	227.5152046502772	51763.16834705749	2246082347.277375	73314.04564683406	1588.9442122680048	5374949289.106068	2524743.70969999	46558.31036836358	320.6556409610276	2167676264.356872	102820.0400801274	52559.48392382535	36532.999548316	1.544723	32.184776	0.24685922	0.119235	-0.0372677253	0.0248386913	-0.1308885982	-0.0352431705	0.0951215205	0.050922841	-0.0393201179	-0.0621352249	0.242191111	-0.1244886447	-0.0829767444	0.0217366716	-0.0376945801	-0.0170833778	-0.0315012149	0.1117008801	0.1004223471	0.040304073	0.1348371825	-0.0214381884	0.0314410103	0.0390592388	0.0476547503	0.0475458247	-0.0633863073	0.0753596811	-0.0307012132	-0.0074116765	0.0586647597	-0.1575331141	0.0524826138	0.1049591993	-0.0392827676	0.0773154612	-0.2176166039	-0.1181480984	-0.0327580755	0.1545440481	0.0904748649	0.1790899683	-0.0671307836	0.1087951796	-0.0970396827	-0.0408033377	0.0454981277	-0.1577424214	0.0383795101	-0.061928691	-0.0281548908	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0732825	-0.06688766	0.00537032480625	0.0044739590602756	-0.00407224	0.03770086	1.6583138617600004e-05	0.0014213548447396	0.0300045	0.0871242	0.00090027002025	0.00759062622564	-0.00177754	0.0008915399999999	7.948435715999999e-07	3.1596484516e-06	0.00342669	-0.00021139	1.17422043561e-05	4.468573210000004e-08	-0.0007951739999999	0.0	6.323016902758409e-07	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47665.46188882771	272.6106633804811	74316.573788746	2271996257.075287	72957.43871110807	-356.606935725984	5322787863.28509	127168.50660787604	46632.54600344422	74.23563508064399	2174594346.763342	5510.92951582654	52803.83438561179	37416.54676519121	1.796783	37.436523	0.65457576	0.338126	-0.0035404683	0.1283211543	-0.1157573102	-0.042776418	-0.1276142879	0.0596966879	0.1232840649	-0.1061268343	0.2051070794	-0.1342423541	0.1288633787	0.1455297402	-0.0691022236	0.0715685205	-0.0082936876	0.0699105219	-0.0265801196	0.0476588592	-0.1421569955	-0.0249556098	0.1127657912	-0.2411803875	-0.0336389281	0.0026940949	-0.00103343	-0.0639437722	-0.1116979853	0.0551724594	-0.0756515028	0.0423620761	0.1355563875	0.0058546478	-0.0309519192	0.0767966563	-0.1804939356	0.1533259402	0.1980593346	0.1878995406	0.0582733393	0.121960456	-0.1003164704	0.0746895365	-0.1488117926	0.2700612273	-0.1502585892	0.1608658623	-0.1261794548	0.0956631566	-0.0689789442	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0353915	0.1086739999999999	0.0012525582722499	0.0118100382759999	-0.0361282	-0.03205596	0.00130524683524	0.0010275845715216	-0.107396	-0.1374005	0.011533900816	0.01887889740025	0.000478879	0.002256419	5.091426703561e-06	2.29325096641e-07	-0.00148555	-0.00491224	2.2068588025e-06	2.41301018176e-05	-0.000434927	0.0003602469999999	1.89161495329e-07	1.2977790100892796e-07	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47315.790111662696	-349.67177716501465	122270.35174573964	2238783993.8909173	72237.88888936272	-719.5498217453569	5218312591.191914	517751.9459737749	46323.32515330981	-309.2208501344139	2145850453.2592647	95617.53415784967	52356.18760993264	37156.25526074001	1.698118	35.380806	0.25719255	0.13341	-0.0173527553	-0.039925623	0.1026793058	-0.1142403849	0.0156400825	-0.0349768217	0.0374169815	-0.0243270188	0.0204680703	-0.0485428544	-0.0081545048	-0.0151278235	0.0440037589	0.0440653404	0.1309882162	-0.0620765512	-0.0508107952	-0.1250556072	-0.196834925	0.0026934251	-0.1177237386	-0.0654544501	-0.0759774202	0.0257556568	0.0842179782	0.087038918	0.0883613451	-0.0942554968	-0.1097666678	-0.0129732056	0.082633516	0.0023922981	0.0067257061	0.0987278927	0.0508116255	0.0969316929	-0.0241627982	-0.0086221691	0.0625332458	-0.0036411857	-0.002595873	-0.2444033667	-0.0140031163	0.0565565272	-0.022278568	-0.0266262576	0.1000765879	0.0164131875	0.0359667666	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0468528	0.0114613	0.00219518486784	0.00013136139769	0.0597417	0.0958699	0.00356907071889	0.00919103772601	-0.143049	-0.035653	0.020463016401	0.001271136409	-0.00126353	-0.0017424089999999	3.035989123281e-06	1.5965080608999995e-06	-0.00105272	0.0004328299999999	1.1082193984000002e-06	1.8734180889999998e-07	-0.000543855	-0.000108928	2.95778261025e-07	1.1865309184e-08	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47116.623788647	-199.1663230156992	39667.22422359382	2219976237.240896	72085.06255543805	-152.82633392466232	5196256243.621417	23355.888340852394	46166.7586000504	-156.56655325940665	2131369599.635328	24513.08559953062	52221.25482905994	36346.79821320943	1.368829	28.51996	0.30880403	0.144517	-0.0118764083	0.0034955415	0.00457154	-0.0317821738	-0.05547372	0.108773473	0.0615753429	-0.0269584418	-0.0835744251	-0.0453931931	0.0715088733	0.0209178647	-0.07769824	-0.0059407625	-0.0202227345	0.0493644639	-0.0161937637	-0.0601314874	-0.0354376252	-0.0696630009	-0.0126765431	0.0349820777	0.056177872	0.011925747	-0.1433750683	0.1272585292	0.1024908399	0.0346164978	-0.0265849143	-0.0611096752	-0.012570508	-0.1744237799	-0.0163270902	0.0117154146	0.0342315789	0.0516597814	0.0734938018	-0.0017399741	-0.1602656085	0.0441980773	0.0202642765	0.0288933066	-0.0715299243	-0.0391743481	-0.0246813625	0.0516148798	-0.0708598259	-0.0007934098	0.0319868286	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0260733	-0.0207795	0.00067981697289	0.0004317876202499	-0.00938998	-0.06913168	8.817172440039998e-05	0.0047791891796224	-0.0256508	0.1173982	0.00065796354064	0.01378233736324	-0.000103719	0.001159811	1.345161555721e-06	1.0757630961e-08	-0.000448018	0.000604702	2.00720128324e-07	3.65664508804e-07	-0.000278475	0.00026538	7.754832562499999e-08	7.04265444e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46995.72359965506	-120.9001889919382	14616.855698286374	2208598036.655176	71391.16475760781	-693.8977978302428	5096698405.447904	481494.1538336605	46046.73817099295	-120.02042905745476	2120302096.187979	14404.903391135527	51764.717605937614	35954.55759191513	1.148188	23.922857	0.12407783	0.061205	-0.025846997	-0.0056819911	0.0852563868	0.0893144607	-0.0466403338	-0.011422251	0.0123049065	0.0130436648	-0.1538295561	0.0510556683	-0.0878010791	-0.029885438	-0.0289738776	-0.0068367496	0.0963184095	-0.1024030125	0.0523790411	0.0475292885	-0.0828933264	0.0035258562	-0.0017306651	-0.0042344	0.002922122	-0.0027630607	0.0958589904	0.0255369641	-0.0205441173	-0.1140720798	-0.0407927199	-0.0774327013	-0.0577208979	-0.0411490836	-0.0139677685	-0.0762114029	0.1379832337	0.0161519887	-0.0654454419	-0.0415140592	-0.0169738178	-0.0423216853	0.0604056381	-0.0115685532	0.0548103995	0.0126352773	-0.1246073004	0.0233201946	0.0351836735	-0.0168996528	0.0714090825	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.038076	0.0120026999999999	0.001449781776	0.0001440648072899	0.019524	0.02891398	0.0003811865759999	0.0008360182394403	-0.0367572	-0.0111063999999999	0.0013510917518399	0.0001233521209599	-0.00110865	-0.001004931	1.0098863147610002e-06	1.2291048225e-06	-0.000658505	-0.0002104869999999	4.33628835025e-07	4.430477716899999e-08	-0.000504152	-0.000225677	2.541692391040001e-07	5.093010832900001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
