global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	cosine00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
73693.29909927673	n/a	n/a	5430702332.135461	126573.67355931512	n/a	n/a	16020894838.300068	75664.94363638914	n/a	5725183695.497946	n/a	86166.38088083791	66315.44670806435	n/a	n/a	n/a	n/a	-0.0124776774	0.0716955915	-0.1418955955	0.1545277422	-0.1224642526	-0.1154155845	-0.0796641733	0.0430546959	-0.122061796	0.0428632139	-0.1140700544	-0.1882399531	-0.1342782359	0.0365885257	-0.0721712585	0.0900963984	-0.0884468116	0.0786729218	-0.0965603322	0.0044999252	-0.1998087328	0.0333994465	-0.0385956306	0.0600684226	-0.0548709828	0.0258013015	-0.0144438309	0.0559750011	-0.1450751835	0.1364613524	0.0787696394	-0.0159067846	0.0701578154	-0.0375167213	0.0099352491	-0.25057416	0.159289223	-0.1480796935	0.0726705937	-0.0035751873	0.0225430979	-0.023288352	0.1490484942	-0.118578	n/a	n/a	0.014060742084	-0.0534648	n/a	0.00285848483904	n/a	0.152451	n/a	n/a	0.023241307401	-0.000303521	n/a	9.2124997441e-08	n/a	0.00625223	n/a	3.90903799729e-05	n/a	-0.00506739	n/a	n/a	2.56784414121e-05	0.0	0.0	0.0	0.0
74020.2347455924	326.9356463156728	106886.91683184668	5478995151.792604	126404.78288327526	-168.89067603986769	28524.060453203536	15978169135.767958	75938.3163220938	273.3726857046568	5766627885.834377	74732.62528937704	86401.86987751831	67094.12063955421	1.067699	18.795284	0.0740869	0.0385307	-0.1080665399	0.063072859	-0.0897667107	0.0534868534	-0.1282852027	0.0482476538	-0.0787077013	0.1302434545	-0.2159591463	-0.0523047317	-0.0200392017	0.0107558641	-0.1862258521	0.1676919969	-0.1302359064	0.1561048	-0.0108452283	0.1548410848	-0.075929931	0.1082790211	-0.0537721786	0.1353959618	0.2846042046	-0.1129097219	0.0158992274	-0.0474559965	0.0323244446	0.0510816643	-0.1235627745	0.0646803378	-0.114707463	0.0168375535	0.2082118558	-0.1250957017	-0.0879322242	-0.1398332011	0.1116159372	0.0305423969	0.0533844262	-0.180944028	-0.2410510186	-0.0260475131	0.1488669016	-0.110638	0.00794	6.304360000000004e-05	0.012240767044	-0.0541478	-0.000683	0.00293198424484	4.664890000000042e-07	0.124099	-0.028352	0.000803835904	0.015400561801	-0.000406809	-0.0001032879999999	1.65493562481e-07	1.0668410944e-08	0.00584182	-0.0004104099999999	3.41268609124e-05	1.6843636809999997e-07	-0.00483885	0.00022854	5.223053160000008e-08	2.3414469322499995e-05	0.0	0.0	0.0	0.0
74157.07280359005	136.83805799765105	18724.654116568512	5499271446.796956	126012.80282284408	-391.9800604311749	153648.36777562756	15879226475.268982	76101.66820017953	163.35187808572664	5791463902.850216	26683.8360741341	86456.50506882441	67916.75167517603	0.985701	17.351831	0.09584525	0.0478228	-0.1680944364	0.095431202	-0.0831697582	-0.0433753764	-0.2121320555	0.1299932127	-0.129270099	-0.0001204088	-0.057038238	-0.1837397986	0.0661866128	0.0749203489	0.0003162779	0.061407258	-0.2367672533	0.0744246003	-0.1042765318	-0.0066236818	-0.2714632212	-0.1065910178	0.0974082784	0.0015127863	-0.0012445919	-0.1152375254	0.0967537833	-0.0366343998	0.0296957087	0.1206154218	-0.1231243998	-0.06110218	-0.1332036087	-0.0383492608	0.0850051814	-0.0760823923	-0.3068086219	0.0202042017	-0.0398227199	-0.1137136332	-0.0135384786	-0.0356300991	-0.0275259588	-0.0431924668	0.1485039376	-0.128638	-0.018	0.000324	0.016547735044	-0.0364233	0.0177245	0.0013266567828899	0.00031415790025	0.134185	0.0100859999999999	0.0001017273959999	0.018005614225	-0.000296164	0.0001106449999999	8.771311489600003e-08	1.2242316024999997e-08	0.00656914	0.00072732	4.31536003396e-05	5.289943824000001e-07	-0.00467612	0.0001627299999999	2.6481052899999943e-08	2.18660982544e-05	0.0	0.0	0.0	0.0
74321.14108837	164.0682847799471	26918.402070633834	5523632012.6774	126604.82244256316	592.0196197190817	350487.2301323261	16028781065.712946	76199.77009229129	98.10189211176476	5806404962.118051	9623.981235908332	86457.22351476649	69145.3646022697	0.948468	16.696388	0.1300852899999999	0.0632506	-0.2326416414	0.0604532737	-0.0413996421	0.004304318	-0.0984777518	0.1081463144	-0.2468045865	-0.0795281632	-0.0986508538	-0.1674073774	0.1355359182	0.0750338238	0.0493774542	0.0640331696	-0.1239281706	0.0587658492	-0.1410151361	0.1312084545	-0.1367818404	-0.1681207263	0.033731208	0.0592565007	-0.0921705455	-0.0920643313	-0.074390942	-0.0167936686	0.0311724749	-0.1307405818	-0.1491613085	-0.1340346541	-0.1322554257	0.0109899686	0.0296951374	-0.0001692242	-0.2227404619	-0.1291444429	-0.0597199054	-0.1779418152	0.0335731212	0.0695172933	-0.1211803212	-0.019371808	0.1479600444	-0.108163	0.020475	0.000419225625	0.011699234569	-0.0308392	0.0055840999999999	0.00095105625664	3.118217280999998e-05	0.0950524	-0.0391326	0.00153136038276	0.00903495874576	8.306779999999998e-05	0.0003792318	6.900259396839998e-09	1.4381675813124e-07	0.00595234	-0.0006167999999999	3.5430351475600006e-05	3.804422399999998e-07	-0.00437428	0.0003018399999999	9.110738559999964e-08	1.91343255184e-05	0.0	0.0	0.0	0.0
74234.58823951283	-86.55284885717265	7491.395645292572	5510774091.090016	126985.08729856272	380.26485599955777	144601.3607083644	16125212396.223597	76164.36618463868	-35.40390765260963	5801010676.307733	1253.436677074511	86660.0026685554	69307.07293888227	0.924906	16.28163	0.07482694	0.0421188	-0.2212757981	0.039074753	0.0583526668	-0.0325217948	0.0445675274	0.0261578267	-0.2055069197	-0.1259224135	-0.1008425199	-0.0499622169	0.139764696	0.088481488	0.0543354629	-0.0164215135	-0.1574303183	0.0542776024	-0.170626891	0.0768327982	-0.117926742	0.1532843804	0.1246132589	-0.0505700448	0.018005013	0.2318804866	-0.0585518199	0.040946754	-0.1466758363	-0.0969883496	-0.0519434563	-0.1441675736	-0.090461358	0.1269129516	0.0305571474	0.0101437582	-0.1792622836	-0.1243482723	-0.0561517243	-0.0394465201	-0.0072055641	0.1456918908	-0.1321366585	0.0415788988	0.1472358847	-0.116115	-0.007952	6.323430400000002e-05	0.0134826932249999	-0.0308388	4.000000000010939e-07	0.0009510315854399	1.6000000000087514e-13	0.125373	0.0303206	0.00091933878436	0.015718389129	-0.000348631	-0.0004316988	1.21543574161e-07	1.8636385392144e-07	0.00614435	0.0001920099999999	3.77530369225e-05	3.6867840099999775e-08	-0.00426691	0.00010737	1.1528316900000156e-08	1.82065209481e-05	0.0	0.0	0.0	0.0
73932.042843362	-302.54539615083195	91533.71673206384	5465946958.992714	127610.98033604638	625.8930374836636	391742.0943705268	16284562302.326817	76108.80704387343	-55.55914076525369	5792550509.641558	3086.818122573274	86871.49747095353	67928.51282791328	1.014206	17.853613	0.0677478999999999	0.0373905	-0.0984141041	0.0718650592	0.1614112092	-0.0154299007	0.1454318723	0.0054528194	-0.1128699538	-0.0743862544	-0.0443707494	-0.1295144937	0.1365409304	0.0265532711	0.0586448391	-0.0100663467	-0.0876534971	0.0916383633	-0.2264134006	-0.0294530553	-0.0613074605	-0.1902422022	0.0092157495	-0.1571359552	-0.0475042429	0.0146421569	-0.0337152612	0.0116987645	0.1719571491	-0.0285880584	0.0207132012	-0.1605343259	0.03548008	0.0928343654	-0.0244611643	0.0545679354	-0.1216277248	-0.1187930197	-0.0392349969	-0.0057519991	0.0839202149	0.0487427996	0.1147796137	0.049272524	0.1463323407	-0.113534	0.002581	6.661561e-06	0.0128899691559999	-0.0308118	2.6999999999999247e-05	0.00094936701924	7.289999999999592e-10	0.151339	0.0259659999999999	0.0006742331559999	0.022903492921	-0.000406809	-5.8177999999999984e-05	1.65493562481e-07	3.3846796839999983e-09	0.00646492	0.00032057	4.17951906064e-05	1.0276512490000004e-07	-0.00386218	0.0004047299999999	1.6380637289999956e-07	1.4916434352400002e-05	0.0	0.0	0.0	0.0
73746.76875107967	-185.27409228232864	34326.48927104083	5438585901.225221	126334.91806742705	-1276.0622686193385	1628334.9133939322	15960511523.103504	75955.01368239452	-153.79336147890717	5769164103.492739	23652.39803498181	86693.99495800423	66390.83985885291	0.911487	16.045395	0.0736524	0.04269	-0.0182232346	0.1061531726	0.0984394047	-0.0914651899	0.0485881631	-0.0053913521	0.0350744035	-0.1583398574	-0.0774207498	-0.1261040513	0.056475402	-0.0389352876	0.0695301165	-0.0185731857	-0.1105162684	0.0800062418	-0.1416961319	0.1371277395	0.0221756135	0.0783733408	0.1277641942	0.0435036895	-0.0451035896	0.2195478767	-0.0076016955	0.1288430611	-0.1244257313	-0.0262992353	0.0274597762	-0.0812687527	0.071335555	0.0256770508	0.0112543761	0.0178865542	-0.1638364469	-0.1192217943	0.0095098995	0.1211991335	0.0693487862	-0.0024916429	-0.0613749274	0.0090037792	0.1452505133	-0.104882	0.0086519999999999	7.485710399999987e-05	0.011000233924	-0.0307699	4.190000000000096e-05	0.00094678674601	1.7556100000000805e-09	0.139619	-0.01172	0.0001373584	0.019493465161	-0.000406809	0.0	1.65493562481e-07	0.0	0.00586494	-0.00059998	3.43975212036e-05	3.599760004e-07	-0.00339739	0.00046479	2.160297441000001e-07	1.15422588121e-05	0.0	0.0	0.0	0.0
73712.69191875847	-34.07683232119598	1161.230501046907	5433560949.909801	126295.4534958896	-39.46457153744996	1557.4524066345052	15950541573.732412	75872.70830060593	-82.3053817885957	5756667864.868835	6774.1758713665	86662.10408618074	66569.11124997782	0.846734	14.905516	0.05578889	0.0271453	-0.0079824047	0.1041825566	0.1113106147	0.0119114601	0.0293378257	-0.0104555101	0.0517745524	-0.1756827182	-0.0154891093	-0.0903393653	-0.0105027362	-0.0726669159	0.0184465682	0.0449123911	0.0112252226	0.098584432	-0.2009830833	0.009536352	0.1035648269	0.0957350942	0.0911705034	0.1502962894	0.0683246579	-0.0161272678	-0.0464933118	-0.072474382	0.0224861813	-0.1082467056	0.0428607357	-0.0123799262	0.0971437824	-0.0290544946	-0.0234075363	-0.0149538323	-0.1202270231	-0.1514995473	0.0135051422	0.1623836285	-0.0402323199	-0.0951641445	0.048673325	-0.0462653793	0.1439917206	-0.0997182	0.0051637999999999	2.666483043999996e-05	0.00994371941124	-0.0437072	-0.0129373	0.00191031933184	0.00016737373129	0.134672	-0.004947	2.447280900000007e-05	0.0181365475839999	-9.26732e-05	0.0003141358	8.58832199824e-09	9.868130084164e-08	0.00620152	0.00033658	3.84588503104e-05	1.1328609640000028e-07	-0.00340149	-4.099999999999937e-06	1.6809999999999484e-11	1.15701342201e-05	0.0	0.0	0.0	0.0
73578.43528119456	-134.2566375639144	18024.844729968278	5413786138.428936	126634.94038545297	339.4868895633699	115251.34818541173	16036408126.427229	75752.6181412702	-120.09015933572664	5738459155.257099	14421.646369280212	86447.64314689217	65726.80718432978	0.92018	16.198431	0.07388199	0.0373404	0.0297353063	0.1050293322	0.0836608067	-0.1127394628	0.0555285872	-0.0521018711	0.0076953353	-0.1838800885	-0.0243094952	-0.0335469838	-0.056959994	-0.0337142369	0.1098568813	0.0174713982	-0.020826852	0.1313068152	-0.0037714208	0.0101119465	0.1168691991	0.1027976435	-0.1332300789	0.1691797668	0.0688855913	0.1119474583	0.0720422407	0.0966558209	-0.0235993146	-0.1592479886	0.0354648954	0.0233631549	0.1068178615	0.038864885	-0.0352657667	0.0638139376	-0.1416481611	-0.132698945	-0.0053486077	0.1294091573	-0.0289486999	-0.1086735665	0.0715438673	-0.1158817866	0.1425574961	-0.110006	-0.0102878	0.00010583882884	0.012101320036	-0.0468777	-0.0031704999999999	0.00219751875729	1.0052070249999998e-05	0.140039	0.005367	2.8804689000000117e-05	0.019610921521	-0.000452767	-0.0003600938	2.04997956289e-07	1.2966754479844002e-07	0.00646119	0.00025967	4.1746976216100005e-05	6.742850890000002e-08	-0.00388286	-0.00048137	2.317170769000001e-07	1.50766017796e-05	0.0	0.0	0.0	0.0
73500.11504044727	-78.32024074728542	6134.060110712749	5402266910.958983	126854.30557559342	219.3651901404519	48121.08664535661	16092014843.06603	75768.88973434694	16.271593076744466	5740924651.575625	264.7647412551584	86433.41637870592	65116.45932509111	0.8868249999999999	15.611265	0.05847805	0.0268134	0.0611490319	0.1280318728	0.0257908648	-0.0474194437	0.0433114848	-0.0933312335	-0.0290209083	-0.1146507368	-0.0362072397	-0.0472165272	-0.0557214276	-0.0620499244	0.0666927387	0.0344614687	-0.1507072812	-0.0153442499	-0.0710572253	0.0388360785	0.122589915	-0.1841500222	-0.0811363756	0.0608595241	-0.0292385416	-0.015683037	-0.170424019	-0.0712999862	-0.1200831751	-0.0050135227	-0.0141305932	0.0433804696	0.1236320509	0.0725681837	-0.1098039916	0.160750758	-0.0936152908	-0.1424744367	0.081166189	-0.0458481135	0.0900618862	0.0495275614	-0.061815815	-0.0140497455	0.1409495873	-0.119307	-0.0093009999999999	8.650860099999981e-05	0.0142341602489999	-0.0560899	-0.0092121999999999	0.0031460768820099	8.486462883999993e-05	0.144843	0.004804	2.3078416000000027e-05	0.020979494649	-0.00027151	0.000181257	7.371768009999998e-08	3.2854100049000025e-08	0.00603517	-0.00042602	3.6423276928900005e-05	1.8149304040000004e-07	-0.0039788	-9.594000000000007e-05	9.204483600000016e-09	1.583084944e-05	0.0	0.0	0.0	0.0
