onset	duration	trial_type	identifier	correct_response
26.01	26	social	["fischer_videos/social.nobarriers.c.1.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & false
52.05	26	physics	["fischer_videos/physics.barriers.c.10.mp4"] & ["fischer_videos/physics.barriers.c.4.mp4"]	false & false
78.09	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.barriers.c.6.mp4"]	false & true
104.14	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	true & true
130.18	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.nobarriers.i.10.mp4"]	true & false
156.22	26	physics	["fischer_videos/physics.barriers.c.2.mp4"] & ["fischer_videos/physics.nobarriers.i.6.mp4"]	true & false
182.26	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	true & false
208.31	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	true & true
260.36	26	physics	["fischer_videos/physics.nobarriers.i.2.mp4"] & ["fischer_videos/physics.barriers.i.7.mp4"]	false & true
286.41	26	social	["fischer_videos/social.nobarriers.c.5.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	true & false
312.44	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	true & true
338.5	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.barriers.c.6.mp4"]	false & true
364.54	26	social	["fischer_videos/social.barriers.i.9.mp4"] & ["fischer_videos/social.barriers.i.7.mp4"]	true & true
390.56	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.nobarriers.i.2.mp4"]	false & true
416.61	26	physics	["fischer_videos/physics.nobarriers.c.1.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	true & false
442.64	26	social	["fischer_videos/social.nobarriers.c.9.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	false & true
