onset	duration	trial_type	identifier	response
4.000004	9.971025	experimental_trial	46.mov	n/a
16.00027	9.968022	attention_check	f2.mov	Friendly
32.0232	9.980526	experimental_trial	22.mov	n/a
46.02349	9.974682	experimental_trial	32.mov	n/a
58.02374	9.965867	experimental_trial	50.mov	n/a
70.02403	9.966943	experimental_trial	23.mov	n/a
82.02433	9.968152	experimental_trial	45.mov	n/a
94.02454	9.967686	experimental_trial	40.mov	n/a
106.0248	9.967909	experimental_trial	9.mov	n/a
120.0252	9.9677	experimental_trial	37.mov	n/a
132.0254	9.968253	experimental_trial	13.mov	n/a
144.0257	9.968665	experimental_trial	29.mov	n/a
156.026	9.971062	experimental_trial	41.mov	n/a
168.0264	9.966928	experimental_trial	35.mov	n/a
180.0266	9.969467	experimental_trial	47.mov	n/a
192.0269	9.967553	experimental_trial	48.mov	n/a
204.0271	9.969114	attention_check	f3.mov	Neutral
220.057	9.976073	experimental_trial	20.mov	n/a
232.0573	9.966062	experimental_trial	6.mov	n/a
246.0576	9.967618	experimental_trial	21.mov	n/a
258.0579	9.969052	experimental_trial	36.mov	n/a
270.0582	9.966422	experimental_trial	43.mov	n/a
282.0585	9.967582	experimental_trial	28.mov	n/a
294.0588	9.968178	attention_check	n2.mov	Neutral
310.0919	9.971144	experimental_trial	8.mov	n/a
324.0922	9.969028	experimental_trial	4.mov	n/a
336.0925	9.968889	experimental_trial	18.mov	n/a
350.0928	9.971661	experimental_trial	38.mov	n/a
