onset	duration	trial_type	identifier	response
4.000004	9.972774	experimental_trial	44.mov	n/a
16.00034	9.970694	attention_check	n2.mov	Neutral
32.01798	9.977661	experimental_trial	13.mov	n/a
44.01825	9.966273	experimental_trial	35.mov	n/a
56.01851	9.971274	experimental_trial	11.mov	n/a
68.0188	9.972261	experimental_trial	5.mov	n/a
80.01909	9.971735	experimental_trial	14.mov	n/a
92.01939	9.972925	experimental_trial	17.mov	n/a
104.0197	9.965872	experimental_trial	4.mov	n/a
116.02	9.97201	experimental_trial	8.mov	n/a
128.0202	9.970318	experimental_trial	18.mov	n/a
142.0205	9.967245	experimental_trial	43.mov	n/a
154.0208	9.975598	experimental_trial	37.mov	n/a
166.0211	9.971087	attention_check	n3.mov	Neutral
182.0431	9.977477	experimental_trial	33.mov	n/a
194.0434	9.968189	experimental_trial	23.mov	n/a
208.0435	9.967341	experimental_trial	2.mov	n/a
220.0438	9.969947	experimental_trial	26.mov	n/a
234.044	9.965916	experimental_trial	10.mov	n/a
246.0443	9.973788	experimental_trial	3.mov	n/a
260.0446	9.971228	attention_check	a3.mov	Adversarial
276.0772	9.970444	experimental_trial	7.mov	n/a
288.0775	9.965707	experimental_trial	21.mov	n/a
300.0778	9.969942	experimental_trial	40.mov	n/a
312.0781	9.968249	experimental_trial	50.mov	n/a
324.0784	9.96533	experimental_trial	6.mov	n/a
336.0786	9.972289	experimental_trial	9.mov	n/a
350.0789	9.972398	experimental_trial	32.mov	n/a
