global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16
67870.76553492114	n/a	n/a	4606440814.29624	87607.64710094976	n/a	7675099830.564551	n/a	65508.48467585404	n/a	4291361564.526603	n/a	70230.56246624952	71366.2076948117	n/a	n/a	n/a	n/a	-0.0017641349	-0.0889128002	0.0894046015	-0.0428877514	0.0135470969	-0.0704644391	-0.0794599281	0.082036946	-0.1520280552	0.0888177749	-0.0930712351	-0.1130193227	0.0832085952	-0.1782786975	0.0571039083	-0.1270235052	0.0105209881	-0.0318289523	0.0135652307	-0.0655801167	0.0474032356	-0.0460018869	0.0261989906	-0.003085143	0.085817944	-0.1270142504	0.131485573	-0.0009329239	0.1189735071	-0.0691624024	0.1367708091	-0.0099802235	0.0017046925	-0.096485047	0.1207576105	-0.0725092294	0.0195950672	-0.0560178169	0.0028346403	-0.1132882873	0.0097626741	0.1167241038	0.1136763372	-0.0766592883	0.133005575	-0.0535810442	0.1559771371	-0.0682982773	0.0177137698	-0.0946311252	0.0468254488	-0.1100820699	0.0725615167	-0.0101728365	0.0693266399	-0.063621743	0.0242665111	-0.1211763956	0.0496920217	-0.1609673967	0.1016589004	-0.108228609	0.0184410677	-0.1431713944	0.0340742628	0.1203780544	0.1203546593	0.1203156708	-0.00762409	n/a	n/a	5.81267483281e-05	0.00785186	n/a	6.165170545960001e-05	n/a	0.137721	n/a	0.018967073841	n/a	0.000817675	n/a	n/a	6.68592405625e-07	-0.000900644	n/a	8.11159614736e-07	n/a	-0.00166842	n/a	n/a	2.7836252964000005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67836.85238942177	-33.9131454993767	1150.101437661894	4601838542.1041975	89835.32259497549	2227.6754940257238	8070385185.743313	4962538.10668275	65546.11745438665	37.63277853261389	4296293513.344251	1416.2260200847643	70463.06564906555	71633.21721675977	1.437299	23.128244	0.1221640999999999	0.0662463	0.1792347413	-0.0096621333	0.0713614276	-0.0132999967	0.0618722346	0.1559122337	-0.117904794	0.0904080111	-0.0735535734	0.0877714938	0.0404670909	-0.0617013351	0.0289521103	-0.1862763365	-0.1214964803	0.1630090994	-0.0662355019	0.1147695814	-0.0972260838	-0.0063217876	-0.0221621653	-0.1954969784	0.1472849236	0.0111478712	-0.0351785505	-0.0050711649	0.0387843336	0.0258122248	0.0680853729	0.1006747923	-0.0649469517	-0.0125935971	-0.0326102745	0.248406022	0.1175043892	0.065147746	-0.0360199757	-0.1051383263	0.0244710285	0.013577441	-0.0790022191	0.0051167949	0.2332138162	-0.0277709064	-0.0103382183	-0.1437426587	-0.0459542483	0.0285794966	0.1107268745	0.0416161877	0.2068235172	-0.1629963568	-0.0828018568	-0.0428229823	-0.1491452615	0.1187410961	-0.150671379	0.0282668611	0.0086300912	0.0940858748	0.1706605553	0.057960461	0.0863532143	-0.0400333526	0.0104410666	0.1203156708	0.1201052059	0.1197547036	-0.0208352	-0.01321111	0.0001745334274321	0.00043410555904	0.00772942	-0.00012244	5.97439335364e-05	1.4991553600000142e-08	0.169214	0.0314929999999999	0.028633377796	0.0009918090489999	0.00193272	0.0011150449999999	1.2433253520249996e-06	3.7354065984e-06	-0.000882658	1.7986e-05	7.79085144964e-07	3.23496196e-10	-0.0012547	0.00041372	1.711642384e-07	1.5742720900000003e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67906.9390151632	70.08662574143091	4912.135107819406	4611352366.409094	88465.44646139706	-1369.876133578422	7826135217.61431	1876560.6213477664	65603.12619856367	57.008744177015615	4303770167.024671	3249.996912640412	70492.48451880635	71865.0101966387	1.541137	24.799139	0.153715599	0.085589	0.015143672	0.1069691476	0.0834820437	-0.0230875353	-0.0198512205	0.0256730677	0.0978058222	0.1340525009	-0.032738206	-0.0269750879	-0.0604887794	-0.0559869055	-0.0254089837	-0.0351180906	-0.1501560771	-0.0194184788	-0.0757242375	0.0360320258	-0.004494069	0.0906745336	-0.001669099	-0.0113801218	-0.0353952859	-0.0579350933	0.0981339364	0.1334524494	0.0140489664	-0.0555159972	0.1183516617	0.1155360626	-0.1649151633	0.0028978152	0.094931138	-0.1314177356	-0.0384041719	-0.017441813	0.0428535857	-0.11136263	-0.0809376275	0.0427915321	0.0606187928	-0.0315764398	0.1415441768	0.0751987292	0.0136532165	0.0261525808	-0.0590530548	-0.1580891433	-0.0543954883	0.1083550825	0.0682504976	0.0341182595	0.0503944769	-0.072404717	-0.0311446744	0.034798202	-0.1207102304	0.0150438844	-0.2461982497	-0.0259709559	0.0051310761	0.0122120716	-0.0229708245	-0.0693271055	0.0039106814	0.120190936	0.1196068161	0.1186353847	-0.020947	-0.0001117999999999	1.2499239999999713e-08	0.000438776809	0.000143771	-0.007585649	2.0670100441e-08	5.7542070751201e-05	0.133624	-0.03559	0.017855373376	0.0012666481	0.000451664	-0.001481056	2.193526875136e-06	2.04000368896e-07	-0.000406821	0.000475837	1.6550332604099998e-07	2.2642085056900007e-07	-0.00150637	-0.0002516699999999	6.333778889999992e-08	2.2691505769e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67971.16244907482	64.22343391162576	4124.649463400962	4620078924.678519	87894.36387867646	-571.082582720599	7725419201.637186	326135.3162868298	65592.22708656832	-10.899111995342537	4302340254.175947	118.79064228701958	70402.9508842623	72317.01081846695	1.214778	19.547554	0.099158331	0.0584445	-0.0691392106	-0.0251934137	0.0886779731	-0.0058314535	-0.1077986183	-0.0824310456	-0.0090928383	0.0902316813	-0.0118362966	-0.0390075113	0.0111713293	-0.0620859892	0.0548807195	-0.0688974235	-0.0345911441	-0.1344788539	0.0533357735	-0.0442024046	-0.0508753678	-0.0020631173	-0.0113920259	-0.1287900357	-0.0490077225	0.0238440335	-0.0346194624	-0.0828947776	-0.0035075835	0.2302808411	-0.1392130444	-0.0253887689	-0.0958855712	-0.1297565083	-0.077200359	-0.0831302045	-0.0537133634	-0.0298542743	0.0256033928	-0.0900686052	-0.0961350188	0.0847418066	0.0371696936	0.0562980336	0.0231977946	-0.017833105	0.0601920885	0.0367901043	0.1566242924	-0.1356231596	-0.0323898546	-0.0033916565	0.0519068073	-0.0758127617	0.0471040437	-0.0152303626	-0.024729929	-0.0370664726	0.0034900966	-0.0060052181	-0.0029181617	0.0582696285	-0.1412179151	-0.1105313318	0.0820139574	-0.0106914072	-0.0871791427	0.1200039147	0.1188605229	0.1169629329	-0.0209813	-3.4300000000001e-05	1.1764900000000684e-09	0.00044021494969	-0.00369631	-0.003840081	1.36627076161e-05	1.4746222086561e-05	0.0953601	-0.0382638999999999	0.00909354867201	0.0014641260432099	0.000956529	0.000504865	2.54888668225e-07	9.14947727841e-07	-0.000406821	0.0	1.6550332604099998e-07	0.0	-0.000870834	0.0006355359999999	4.039060072959999e-07	7.58351855556e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67957.50125556577	-13.661193509047736	186.628208091648	4618221976.900224	88477.3611060049	582.9972273284366	7828243428.282389	339885.7670726447	65647.61036490684	55.38327833851508	4309608746.622623	3067.307519521434	70271.63606575178	71026.55334878399	1.626115	26.166559	0.07486991	0.036189	0.0318317957	-0.1700304372	0.0031671702	0.0056436988	0.0577752885	0.0065999378	-0.138510894	-0.0150376004	0.0161048359	-0.0174688501	-0.0117571439	-0.0479636521	0.1693849621	-0.0586500092	0.0412214524	-0.1045147916	-0.0661594302	-0.0197924712	0.0317717529	0.0371801463	0.0080399541	0.082657556	-0.0504839293	-0.018456955	0.0001539723	0.0087116947	-0.1014651302	0.0721326153	-0.1160170132	0.1145841399	-0.083801921	-0.0093756631	-0.0138965965	0.0146029468	-0.1136836093	0.0829508103	-0.0507228297	0.0557214334	-0.0882924312	0.0125295206	-0.0969749825	0.1001873748	0.0250321623	-0.0214251028	0.0448842447	0.0008658715	0.0981260615	-0.1296433372	0.0002428407	0.0677114092	-0.0017724705	0.1565381153	-0.0203957983	0.079477812	-0.0361317246	-0.0342398301	0.021682465	0.0371336601	-0.1148275643	0.1081106919	0.066121458	-0.0870246273	0.0484579474	0.1319997541	-0.1052504509	0.1197547036	0.1178678731	0.1147451459	-0.0209484	3.290000000000237e-05	1.082410000000156e-09	0.0004388354625599	0.0193707	0.02306701	0.00037522401849	0.0005320869503401	0.0827100999999999	-0.0126500000000001	0.0068409606420099	0.0001600225	0.000581505	-0.000375024	1.4064300057600008e-07	3.38148065025e-07	-0.000406821	0.0	1.6550332604099998e-07	0.0	-0.000463458	0.000407376	1.6595520537600002e-07	2.1479331776400002e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67926.1532887475	-31.347966818269924	982.695023639352	4613962300.606423	89726.86928998162	1249.5081839767226	8050911072.581448	1561270.701824807	65863.86990489131	216.2595399844722	4338049358.848448	46768.18863429553	70727.71996648432	72160.4580219555	1.459912	23.492115	0.0582622	0.0284833	0.1823514235	-0.0351907989	-0.0467540236	0.1696142617	-0.040098959	0.1622411721	-0.0979600629	-0.1122771713	-0.0107421836	-0.0123361456	-0.0956570982	0.1233381152	0.1545392141	-0.0823960272	0.0793070029	-0.0965713337	-0.0422444463	0.103050444	-0.0216845047	0.0473485996	-0.0651975346	0.0373799181	-0.0047656724	-0.0816044142	-0.0383033023	0.0712459698	-0.0492021206	-0.0875934701	0.0290124633	0.0927104349	-0.1071197468	0.0445848134	-0.0602656768	-0.0525057364	0.0571027753	0.0035768729	0.1055580435	0.0711040704	0.1035735575	-0.1176407093	-0.1198379156	-0.0921371979	0.0147120077	-0.1763779437	0.0267634245	0.056007463	0.0943705774	-0.1079647074	0.1066693412	0.1414270068	0.0296512185	0.0703541537	-0.0650859335	-0.0787627076	-0.0614342122	0.0624649284	0.0762096273	-0.1496255333	-0.0407986029	-0.0215189919	0.1368691306	0.0519925153	0.0738240967	0.0114819997	0.0251358516	0.1194434321	0.1166309242	0.111992364	-0.0117408	0.0092076	8.477989776e-05	0.0001378463846399	0.0277648	0.0083940999999999	0.00077088411904	7.046091480999997e-05	0.0953927	0.0126826000000001	0.00909976721329	0.00016084834276	0.000455652	-0.0001258529999999	1.5838977608999983e-08	2.0761874510400006e-07	-0.000406821	0.0	1.6550332604099998e-07	0.0	-0.0008971629999999	-0.0004337049999999	1.881000270249133e-07	8.049014485688206e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67816.45097527336	-109.70231347414664	12034.597581579936	4599071022.881655	89252.02545955882	-474.8438304228039	7965924048.633736	225476.66329060053	65695.08201669254	-168.78788819877082	4315843801.179959	28489.35120260076	70723.69452596732	71255.15000319957	1.295534	20.847033	0.07850983	0.0343997	0.095613805	0.0679981631	-0.078226618	0.1026145861	0.213034768	0.1223194248	0.1317229803	-0.1160175279	-0.0215689222	0.1098773817	-0.1609620653	0.1214555957	-0.1089829832	-0.301786087	0.0551158338	-0.0621112701	0.1444823099	-0.0129150805	-0.0409920239	-0.105790059	-0.0412923416	0.0087303038	-0.1253416312	-0.0144383797	-0.1478563678	-0.0287598866	0.0352891571	-0.0658921263	-0.1345417296	0.0575463806	0.011251806	-0.0665181453	-0.0576355856	-0.0421891321	0.0542396049	0.0011099537	0.0176524283	-0.0709754975	0.0132149528	0.0179728847	0.0338853954	-0.2028253025	0.0525283871	-0.1110019413	0.0523123754	-0.0921007081	0.2921762618	0.0547252812	0.0158375846	-0.0923610755	-0.0190855307	0.0769307018	0.085845306	0.0231256853	0.0184968069	0.0560778193	0.0754526852	-0.0216983721	0.0407916385	0.0231373576	-0.0836614145	0.070896015	0.040688682	0.0744661478	-0.0079171492	0.1190702613	0.1151522399	0.1087174221	-0.0209411	-0.0092003	8.464552009000002e-05	0.00043852966921	0.0389752	0.0112104	0.00151906621504	0.00012567306816	0.0781878	-0.0172048999999999	0.00611333206884	0.0002960085840099	3.79304e-05	-0.0004177216	1.7449133510656e-07	1.43871524416e-09	-0.000406821	0.0	1.6550332604099998e-07	0.0	-0.000497	0.0004001629999998	1.6013042656891998e-07	2.470090000000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67903.54496706981	87.09399179645698	7585.363407041315	4610891419.094872	88194.75997242647	-1057.2654871323466	7778315686.593919	1117810.3102811982	65618.80005822981	-76.28195846272865	4305826921.081941	5818.937186909459	70622.88759039257	72742.96331491497	1.49551	24.064939	0.10982173	0.0750741999999999	-0.0057243041	0.0971526073	-0.0752969864	0.1041367648	-0.0411108763	-0.021248062	0.1048081266	-0.0822331126	-0.0088811015	0.06947213	-0.1104956791	-0.0426602889	-0.0315545335	-0.0731755453	0.0402123041	-0.1225303943	-0.0574533573	0.0810517934	0.1275330657	0.012681079	-0.070232616	0.1267836744	-0.0010256916	-0.1505270431	0.1238607495	0.0661596269	-0.0263396247	-0.0827189514	-0.2149891264	-0.0765856372	0.0982273359	0.0009522454	0.1361856528	-0.0611567336	0.0557159229	0.0417988889	-0.025397484	0.110047848	0.0297111216	0.1079883897	0.1591486503	-0.0451294373	0.0355758116	-0.1036870144	0.0329885936	0.0586647367	0.0124207719	-0.1837837862	0.0291231722	0.022473831	-0.1691444984	0.217193913	-0.0101109478	0.0065697979	0.0531875798	0.1103826931	0.1048976987	-0.0996270811	0.0330226115	-0.034990161	-0.1150855218	-0.0736387299	-0.0827431611	0.0485896948	0.110305937	0.1186353847	0.1134348849	0.1049355893	-0.0143352	0.0066059	4.363791481000002e-05	0.00020549795904	0.0446678	0.0056925999999999	0.00199521235684	3.240569475999999e-05	0.0109904	-0.0671974	0.00012078889216	0.00451549056676	0.000502318	0.0004643875999999	2.1565584303375998e-07	2.52323373124e-07	-0.000406821	0.0	1.6550332604099998e-07	0.0	-0.000354871	0.000142129	2.0200652641000016e-08	1.25933426641e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67952.3526011877	48.80763411788212	2382.1851481850504	4617522224.03614	87606.0472388174	-588.712733609078	7674819512.809905	346582.6827134732	65495.331429541926	-123.46862868788594	4289638439.065542	15244.50227006705	70282.41924393078	72225.66137741684	1.186532	19.093039	0.07159085	0.0390984	-0.0790351466	0.0230816606	-0.0725828134	0.0202881773	-0.0592993227	-0.0846477252	0.0331291588	0.0452641625	-0.0132047892	0.1541148568	0.0978492423	-0.1176883271	0.0209613876	-0.05738851	0.0460781522	-0.1890662407	-0.0589460391	0.0399812309	-0.0097979858	0.0599050013	-0.0545499695	-0.1020329756	0.015453305	0.0596790303	-0.0850857036	-0.0693122069	-0.1582761619	-0.0334942651	0.0306692017	-0.1074589795	0.0045856041	-0.0442276663	0.1077994665	-0.1328968533	0.0669409604	-0.0817009432	-0.0604773044	0.0036866186	-0.0375515863	-0.1201593745	0.0779748213	0.0865598485	0.0278261331	0.0193966488	0.0672261263	0.0649946634	0.0975023759	-0.1138655365	0.1500193258	0.0283938936	-0.0379856479	-0.0167743464	-0.0025524585	-0.1106098748	-0.0254885232	0.0138183528	0.0866882095	-0.0090869441	0.085635396	0.0322727861	-0.0821910094	-0.0010095294	0.0239995916	-0.1088680652	-0.2139672319	0.1181390277	0.1114824189	0.1006644984	-0.0209453	-0.0066101	4.369342201000001e-05	0.00043870559209	0.0277093	-0.0169585	0.0007678053064899	0.00028759072225	0.0384024	0.027412	0.00147474432576	0.000751417744	0.00019805	-0.000304268	9.2579015824e-08	3.922380249999999e-08	-0.000406821	0.0	1.6550332604099998e-07	0.0	-0.000462808	-0.000107937	1.1650395969000001e-08	2.14191244864e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67986.83005869333	34.477457505636266	1188.6950760529546	4622209061.429647	88222.12022058823	616.0729817708343	7783142496.215922	379545.91886800673	65557.27762034161	61.94619079968834	4297756648.990543	3837.330554591392	70274.69249360208	71591.3074779601	1.194405	19.219721	0.07389629	0.0380107	-0.053686355	-0.0655442378	-0.0729287948	-0.0139872409	-0.0008837422	-0.0619178694	-0.0524241982	0.0028869253	0.0514995389	0.0176483492	-0.0083878004	-0.0719368494	0.0530124905	-0.0389958517	0.0643062731	-0.1094374787	0.0740072466	0.0151033569	-0.0475284411	-0.0150838477	-0.0821444525	-0.0750690584	0.0125340266	0.0628422031	-0.082792298	-0.1429870431	-0.0065070417	0.0595995817	-0.1274751057	-0.0658905515	0.1056570644	-0.0850677835	-0.0328853803	0.0183240723	-0.1037954419	-0.0381692765	-0.0457249152	0.1091276148	0.0131461581	-0.0066096154	-0.0059061742	0.1077167446	-0.0373817616	0.0120962172	0.0240608598	0.0171050078	0.1354987562	-0.0287892235	0.0375718379	-0.0746615357	-0.0154006616	0.0024270375	0.0041935142	-0.0786534874	-0.0157478742	0.0606165222	0.0566901556	-0.0754082953	0.1555693413	0.0703557661	-0.0912721732	-0.077860632	0.0960956794	0.0472079266	-0.1491462503	0.1175814474	0.1092988885	0.0959240631	-0.00398521	0.01696009	0.0002876446528081	1.58818987441e-05	0.0547826	0.0270733	0.00300113326276	0.00073296357289	0.047129	0.0087265999999999	0.0022211426409999	7.615354755999989e-05	0.000213809	1.575900000000001e-05	2.483460810000003e-10	4.5714288481e-08	-0.000709638	-0.000302817	5.03586091044e-07	9.169813548900001e-08	-0.000358658	0.00010415	1.0847222500000004e-08	1.28635560964e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
