global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24
67873.37614086227	n/a	n/a	4606795188.758971	89588.38967206402	n/a	8026079564.033586	n/a	65622.96381891635	n/a	4306373380.378804	n/a	70410.4980093726	72557.75937156532	n/a	n/a	n/a	n/a	-0.0239394096	-0.0935666781	0.0301701504	0.0410633754	0.0116947407	-0.0805732734	-0.0068723134	-0.0217372467	-0.0391777206	-0.0798149516	-0.0061299114	0.0087310231	-0.0496958957	0.0384671753	0.0369135589	-0.0281890682	0.0070360501	-0.1123900706	0.0334345431	-0.1494053318	0.0371917745	-0.1111660081	0.0089733826	-0.048432417	0.0726382515	-0.0022547306	-0.0654894101	0.14080311	-0.0619095084	0.0448327127	-0.0766722456	0.067847598	-0.0790842222	0.0113911372	-0.0341991749	0.0158291209	-0.0118711779	0.0461916523	-0.1097876703	0.1091765671	-0.015620986	-0.0723200017	-0.0359820831	-0.0005247493	-0.035096158	0.0031412552	-0.0604782288	0.0245971375	-0.0402168323	0.0884704476	-0.1640737155	0.0565124177	-0.003547901	0.0689307187	-0.0762930971	0.0068684863	-0.1062208009	0.0874108397	-0.0285238693	0.0205833222	-0.0231753369	-0.0987805682	0.0970951507	-0.0197011409	0.0821952337	-0.1405948093	0.0785020603	-0.0512016141	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0574132	n/a	n/a	0.00329627553424	-0.0203062	n/a	0.00041234175844	n/a	-0.0281446	n/a	0.0007921185091599	n/a	0.0013462	n/a	n/a	1.8122544400000003e-06	0.000912323	n/a	8.323332563290001e-07	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67743.42302853467	-129.9531123275956	16887.81140362868	4589171363.623002	90602.41374354209	1014.0240714780666	8208797376.155984	1028244.8175369552	65652.65697282953	29.693153913176506	4310271367.592022	881.683389311589	70553.62001968126	72723.14990721727	1.388699	24.656231	0.05147175	0.0264983	-0.0839812367	0.1091083815	0.0684342182	0.0290945827	0.1404158714	0.0461721702	0.0596232561	-0.0851599926	0.0466094745	0.0294500073	-0.1505897246	-0.0004435287	0.058262632	-0.0259637374	0.1275398256	0.0811938039	0.0518395427	-0.0820409902	-0.0348317906	-0.0425800279	-0.0762024217	0.0117634662	-0.0235419816	0.1160721509	0.1901583833	-0.0620601786	-0.1052674147	0.0193281372	-0.1432929523	0.145350877	-0.1473182944	0.1232683863	0.118531473	-0.05059288	-0.0438998762	-0.0715946455	0.1102663862	0.073753381	-0.0003928347	0.1453612932	0.0525983892	0.0787214961	-0.064175209	-0.1371213693	0.0185321755	0.0864637718	-0.0280900372	-0.0490102227	-0.065687079	0.1436499753	-0.1204205445	0.1025094269	-0.0987815759	0.0759802475	-0.1080812796	-0.037409895	0.0837275709	-0.0734997734	0.0573059303	-0.0059342076	0.1033949483	-0.198507914	0.0683167112	0.0488581565	0.010804155	0.071900077	0.0275152629	-0.0348123019	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0439629	0.0134502999999999	0.0001809105700899	0.00193273657641	-0.0304017	-0.0100955	0.00092426336289	0.00010191912025	-0.0280788	6.57999999999978e-05	0.00078841900944	4.329639999999711e-09	0.00163096	0.00028476	8.108825760000002e-08	2.6600305216000005e-06	0.00063988	-0.000272443	4.094464144e-07	7.422518824900002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67681.8176291681	-61.605399366570055	3795.22523111459	4580828437.58797	88020.62712638608	-2581.7866171560017	7747630799.722294	6665622.136525831	65573.68775744614	-78.96921538338938	4299908526.111042	6236.136978268142	70500.70397705454	71905.22407816027	1.367977	24.288326	0.0763482	0.0525054	0.0903019525	0.0224732655	0.073543297	0.0904177573	-0.0648778091	0.1017438736	0.0005376298	-0.0388312882	-0.0525640931	0.0433953988	-0.0082588817	0.0394846155	0.039475529	-0.0249869674	-0.0316158436	-0.1132459108	0.0468383227	0.0555333836	-0.0548726087	0.0629808416	-0.0987271465	0.1411629985	0.0442157588	-0.0599418251	-0.0816501306	-0.0230818986	-0.0076422535	0.1207559871	-0.051570636	-0.0310950348	-0.1366528697	-0.0998338302	-0.1054362178	0.0032902954	0.0675906666	-0.0110195208	-0.0645604369	0.0811995003	0.1648306825	0.032894069	0.0636288268	0.0284943973	0.1146452505	-0.0619912405	-0.0218902314	-0.0437170698	-0.0625804812	-0.0237749409	0.043894391	-0.227154666	-0.032239773	0.093073635	0.0115962136	-0.0518588801	-0.0104047887	-0.0445059931	-0.1178178079	-0.1360820359	0.0725494229	-0.0258098844	-0.0422455316	-0.116123728	-0.0352006735	-0.0598314951	-0.1243856512	-0.138562774	-0.0161700403	-0.0431035627	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0401503	0.0038125999999999	1.4535918759999995e-05	0.00161204659009	-0.0196026	0.0107990999999999	0.00038426192676	0.0001166205608099	-0.0781749	-0.0500961	0.00611131499001	0.00250961923521	0.00171706	8.609999999999998e-05	7.413209999999996e-09	2.9482950436e-06	0.0007865879999999	0.0001467079999999	6.187206817438427e-07	2.152323726397065e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67875.07457995479	193.2569507866865	37348.24902736777	4607025749.234425	88652.58173985635	631.9546134702687	7859280249.141911	399366.6334863567	65631.84412131654	58.15636387039558	4307538962.764792	3382.1626586258526	70318.85661632345	72059.21673015406	1.292564	22.949358	0.21615885	0.115631	0.0154438193	-0.1290837388	0.0089223606	0.1166925416	-0.0596512396	-0.1026344493	0.0904290521	0.0297986484	-0.0676167562	-0.0734516622	0.0771684764	0.04358465	-0.0267727855	-0.030198399	-0.0028999835	-0.1338500385	0.0703223844	-0.080279756	-0.048587507	-0.0861662919	-0.1345811681	0.1616550973	0.0031905533	-0.1141887306	0.0438848292	-0.0902500898	0.0041368466	-0.0047468715	0.0135063434	-0.0196480635	-0.1176447351	0.0455152032	0.0164238083	0.0732000065	0.0642639885	-0.1327736705	0.0282373438	-0.1228776153	-0.0100455982	0.0005778322	-0.0282292525	-0.1016362607	-0.0044333722	0.0355830323	0.0179909175	-0.0247978229	-0.0490552154	-0.0210361004	-0.0811915102	-0.0798299381	-0.1669292293	0.1675275342	-0.0296911094	-0.0979905999	0.0165007095	0.0921127361	0.0110465162	-0.1144668202	0.0494093721	-0.0634300542	-0.0008300317	0.0961013372	-0.0263872574	-0.0995631637	-0.0167493386	-0.0988033206	-0.0556700002	-0.0749658019	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0573556	-0.0172053	0.0002960223480899	0.00328966485136	-0.0570153	-0.0374126999999999	0.00325074443409	0.0013997101212899	-0.0149111	0.0632638	0.00022234090321	0.00400230839044	0.000312264	-0.001404796	1.9734518016160003e-06	9.750880569599998e-08	0.000722827	-6.37609999999e-05	5.22478871929e-07	4.065465120987248e-09	-0.000496984	-0.000496984	2.46993096256e-07	2.46993096256e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68038.96888650577	163.89430655098113	26861.34371982697	4629301287.1389	89865.95777548513	1213.376035628782	8075890366.905277	1472281.4038382196	65866.87444054974	235.03031923320668	4338445148.567144	55239.25095886304	70505.4900123608	72543.00341773668	1.425577	25.311005	0.14692018	0.0768737	-0.1353766015	-0.0141266144	-0.0330678306	-0.029208768	0.0545930247	-0.1017925767	-0.0229278492	0.105443957	0.0640962243	-0.1306027278	0.0156971325	-0.0257230912	0.0501598957	-0.0130894238	-0.0269013699	0.035441664	0.0058125481	0.0101236375	-0.0759663547	-0.059706338	-0.0088775626	0.1232771482	-0.1235677748	-0.1071495921	-0.0272740858	0.0152632304	-0.170499808	-0.0317382914	0.0507571745	-0.0989624181	0.1071968873	-0.1256819327	0.0329964148	-0.0400720458	-0.0013494641	0.1391065212	-0.0510075577	-0.076014216	0.0140156387	0.148550958	0.0171308085	-0.0186050415	-0.1399349282	0.0690068483	0.0144520118	-0.0412523728	0.0557457104	-0.0036927805	0.0235318486	-0.0712324766	0.0152383463	0.0289363928	0.0177027512	0.0703830187	0.069780355	-0.0111516599	-0.0366905186	-0.0807136235	0.1502185893	-0.0407952652	-0.1684087943	0.0270986877	-0.0362810303	-0.105480494	-0.0425554922	0.1566032181	0.1092612874	0.0490376834	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0516476	0.0057079999999999	3.2581263999999974e-05	0.00266747458576	-0.00941637	0.04759893	8.86680239769e-05	0.0022656581371449	-0.0585381	-0.043627	0.00342670915161	0.001903315129	0.000807897	0.000495633	2.456520706890001e-07	6.52697562609e-07	0.000641586	-8.124100000000002e-05	4.1163259539600006e-07	6.600100081000003e-09	-7.4133e-05	0.000422851	1.7880296820100002e-07	5.495701689e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67843.04098798786	-195.92789851791167	38387.74141764509	4602678210.497801	89139.9477499685	-726.0100255166326	7945930284.867115	527090.5571506615	65861.41482988752	-5.459610662219347	4337725963.394528	29.80734858301918	70640.93639442924	72548.03685014964	1.595973	28.336363	0.11119877	0.0522964	0.0618733659	0.098014673	0.0032936584	-0.0517137458	0.0040064671	0.1210929532	-0.0755303532	0.0608857074	0.1576727424	0.098159139	0.063381315	-0.0179583268	-0.0185743403	-0.0154247045	-0.0070897096	0.0013038526	0.0534538704	-0.2113927207	0.0991621766	-0.1019414633	-0.0015787462	0.0099602349	0.0371310599	0.0643083857	-0.0117149414	-0.0119062532	-0.0419734276	-0.0390975898	-0.0505868402	-0.0012955438	-0.0430007609	-0.0554460712	-0.0166721131	-0.0025227181	0.0042171059	0.0452063127	-0.0281559291	-0.0628994013	-0.0283487487	0.0136946657	-0.1380640498	0.1511644095	0.0302752552	0.0872182253	-0.0078490216	-0.0327938369	0.0881265659	0.0153755727	-0.0991256671	0.0431474111	-0.1298749451	0.0623348212	-0.1152654507	0.0369253998	-0.0400734167	0.0463833373	0.0528794336	0.1326847769	0.0690633635	0.0442334324	0.0211988313	-0.0272252102	-0.0682189288	-0.012410009	-0.0465734544	0.0009647141	0.0405103842	-0.1040024045	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0573697	-0.0057221	3.2742428410000006e-05	0.00329128247809	0.0216867	0.03110307	0.00047031295689	0.0009674009634249	-0.0392429	0.0192952	0.0015400052004099	0.00037230474304	0.00061264	-0.000195257	3.8125296049e-08	3.7532776960000004e-07	0.00123176	0.000590174	1.5172326975999998e-06	3.48305350276e-07	-0.00039027	-0.000316137	9.994260276900003e-08	1.523106729e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67666.34331072417	-176.69767726368443	31222.06915038119	4578734017.044786	87715.24768853957	-1424.7000614289282	7693964677.061847	2029770.265035592	65611.06392090462	-250.35090898290215	4304811708.833032	62675.57762856537	70282.54423033074	71849.54802538505	1.256113	22.302187	0.0687396	0.0498597	0.0497183044	-0.0767632741	0.041501373	-0.0287886788	-0.1190630243	-0.0340103819	-0.0337407371	-0.0486078134	-0.0474702332	-0.0115384641	0.1131275079	-0.0476213586	-0.0660013009	0.1238843692	0.0047598227	0.1272906648	0.0546155901	-0.0989704247	0.010247362	-0.1316094272	-0.0673402481	-0.0273954633	-0.0082052686	0.0061424424	-0.018778371	0.0785610594	0.0231686611	-0.0097778774	0.1280293251	-0.0579680523	0.0679926711	0.0325353301	-0.0874500482	0.1134483481	-0.0211125837	-0.0642199778	0.0649596951	0.0529767391	-0.0687535532	-0.087490042	0.1366335504	-0.0645740411	0.0599148937	0.0884077497	-0.040564194	-0.0310071267	0.0006673729	-0.0108580486	-0.0029480211	0.0915615505	-0.0557098391	-0.0570135004	-0.1646510084	0.0537229759	-0.0269697521	-0.0902596258	0.0073940277	-0.0903104551	-0.0276350267	0.0165722468	-0.0842740702	-0.0246307472	0.0019220111	-0.0972250825	-0.0070561088	0.0826061049	-0.018026338	-0.0312558815	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0573006	6.910000000000249e-05	4.7748100000003445e-09	0.00328335876036	0.0171125	-0.0045742	0.00029283765625	2.092330564000001e-05	-0.0842331999999999	-0.0449902999999999	0.0070952319822399	0.0020241270940899	0.000940707	0.000328067	1.0762795648900002e-07	8.849296598490001e-07	0.00127499	4.323000000000001e-05	1.6255995001e-06	1.8688329000000006e-09	-0.000401093	-1.0822999999999974e-05	1.1713732899999943e-10	1.60875594649e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67914.63391218073	248.2906014565524	61648.22277165654	4612397499.425529	88233.77351231729	518.5258237777161	7785198788.222904	268869.0299243591	65903.70953639892	292.6456154943007	4343298930.658038	85641.4562680381	70431.22713553667	71844.56485855624	1.195984	21.234606	0.0477589	0.0263769	-0.0308269119	-0.0822396998	-0.0178408113	-0.053456478	-0.0429252237	-0.0983400551	0.0117506016	-0.0438641965	0.0588355124	-0.1617268608	0.0306067814	0.1130970201	-0.030799224	-9.42184e-05	-0.030203689	0.0391749168	0.0330723999	-0.0564347539	-0.0411625327	-0.0054105573	0.0827066278	0.011144517	0.0144937388	-0.0365593589	-0.0090861713	-0.0129767174	0.0309183574	0.1612907525	0.0153445837	0.0489394267	0.080744924	-0.0102111957	0.0714850015	-0.0574185237	0.1282743832	-0.0224178288	-0.1599608434	-0.142887579	0.2013792939	0.0158928601	0.0786836461	-0.042377992	-0.111028466	0.1059595062	0.0252915329	-0.0912605175	-0.0316402897	0.0519263816	-0.0722033887	-0.0722480618	-0.0206784785	0.0409632255	-0.043900534	0.1458909894	-0.0156143441	-0.0113789885	-0.0733029659	-0.0090227869	0.0167208257	0.0379581519	-0.0887901361	-0.0746141951	0.1196541763	-0.0168671243	-0.0430648614	0.043706973	-0.0790319546	-0.0207625997	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.0534419	0.0038586999999999	1.4889565689999998e-05	0.00285603667561	0.0157881	-0.0013243999999999	0.00024926410161	1.7540353599999998e-06	-0.108449	-0.0242158000000001	0.011761185601	0.00058640496964	0.0007353849999999	-0.0002053220000001	4.2157123684041085e-08	5.407910982248529e-07	0.00121867	-5.631999999999989e-05	1.4851565689e-06	3.171942399999988e-09	-0.000506651	-0.000105558	1.1142491364000002e-08	2.56695235801e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68149.98383842073	235.3499262400001	55389.58778117347	4644420297.177006	89061.81773721018	828.0442248928885	7932007378.656046	685657.2383784645	65780.54094878802	-123.1685876108968	4327079567.515178	15170.50097406316	70546.09553961453	73035.36338196961	1.513481	26.871735	0.0698005499999999	0.0314647	0.0509315826	0.0078609426	-0.036684054	-0.0852373947	-0.057900722	0.0217067253	-0.1758715305	0.0869803339	0.0598398232	0.0457428991	0.1004113942	-0.0520945156	-0.0764287252	0.0447783867	-0.1169293005	-0.0427330868	-0.05690255	0.0461496768	-0.0089598689	0.0150759242	0.0029366088	0.0956249482	-0.110671822	0.0395372043	0.017011523	-0.0736049923	0.1120109538	-0.0143014465	-0.0143880732	0.0836773885	0.0576916047	-0.0306652295	-0.1081742983	0.0143487585	0.0669951387	-0.1232947983	-0.0037635258	0.094227789	0.1156327809	-0.0735938815	0.0747664667	0.0457065365	0.0522595385	0.1102421878	-0.0831011325	-0.0873472458	0.0696630189	0.0864350715	0.0242785595	0.0351252149	-0.0104883579	0.1044825854	-0.0179464122	0.0501106473	-0.0162085812	0.0367008174	-0.1499865494	-0.0687800369	0.0746263533	-0.1062622589	0.2183758357	0.0701478771	0.0504741489	-0.0210434028	-0.0806200926	-0.0139176808	-0.0193265482	0.0127850488	0.1015862008	0.0985712473	0.0936124309	0.0868075413	-0.0475539	0.0058879999999999	3.466854399999997e-05	0.00226137340521	0.0351757	0.0193875999999999	0.0012373298704899	0.0003758790337599	-0.100653	0.0077959999999999	0.010131026409	6.077761599999996e-05	0.000949127	0.0002137420000001	4.568564256404276e-08	9.00842062129e-07	0.00141249	0.0001938199999999	1.9951280001e-06	3.7566192399999976e-08	-0.0008336679999999	-0.0003270169999999	1.069401182889346e-07	6.950023342238332e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68072.83220843814	-77.15162998258893	5952.374008970315	4633910484.878173	91118.93717710434	2057.119439894159	8302660712.285087	4231740.389990458	65652.92956372783	-127.6113850601978	4310307160.299808	16284.665596982071	70649.90372983871	75673.80194254247	1.756109	31.179573	0.21549416	0.13369	-0.0834030763	0.0673503495	-0.1187397006	-0.0102279664	0.1468578939	0.0203655901	-0.0328964116	0.0324597115	-0.002797532	-0.0169241371	-0.1040807951	-0.0855761458	0.1075304814	0.0264882383	-0.0738546959	-0.0518998827	0.0132923998	-0.0305085196	0.0847373862	0.0663576627	0.0046546072	-0.0418339706	-0.092767345	0.0402475567	-0.1161046264	0.0624536352	0.159953886	0.0277229511	-0.0282255677	0.1106556104	-0.0236218813	0.0185326499	-0.0185403307	0.0151254933	-0.0942644034	-0.0402856055	-0.0314534025	-0.0754566527	0.0562055072	-0.0097241232	-0.0791487859	0.0303044382	-0.0438960989	-0.1334107128	-0.0687456223	-0.0960591287	0.0436541521	-0.041393576	0.0479530851	0.0643374582	0.0242005661	-0.1081172001	-0.0185894246	-0.1655403817	-0.067333669	0.0657691629	0.0459818598	0.0998593079	0.026017289	-0.0946654012	0.0413192819	0.0253424917	0.0882172904	0.1154474382	0.1580200518	-0.0726261081	0.0021851015	0.0256033887	0.1013346856	0.0975763397	0.0914153405	0.0830033923	-0.0276827	0.0198712	0.00039486458944	0.00076633187929	-0.00526166	-0.04043736	2.76850659556e-05	0.0016351800837696	-0.114543	-0.01389	0.013120098849	0.0001929321	-0.0013418	-0.002290927	5.248346519329e-06	1.80042724e-06	0.000877505	-0.000534985	7.70015025025e-07	2.86208950225e-07	-0.0008336679999999	0.0	0.0	6.950023342238332e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
