global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
68476.39600678933	n/a	n/a	4689016810.078634	88941.00345931515	n/a	7910502096.34991	n/a	65733.2534820865	n/a	4320860613.340237	n/a	71256.34513202705	74948.13111787684	n/a	n/a	n/a	n/a	-0.0729155549	-0.0359620096	-0.042631624	0.0154552485	-0.0835038681	-0.054073759	0.1777025284	0.0082797458	-0.1535453155	-0.0383555387	0.0275787108	-0.0068772484	0.148081967	-0.0498568149	0.0120287091	-0.055400383	0.0109407361	-0.0396787058	0.0603461181	-0.1091944068	0.1029838341	-0.1334173208	0.0252374212	-0.06484815	0.0419108243	-0.1454591468	0.0014610201	0.0001649256	-0.0113672621	0.0233355435	-0.0262164786	0.0378832596	-0.0625873706	0.0533151161	-0.023820769	0.0671833648	-0.0903446101	0.0011834802	-0.0516262235	0.1222764687	-0.0396107888	0.0840752563	-0.0452855379	0.0560079363	-0.0478268086	-0.0175428445	0.002566604	0.1169698141	-0.1213221998	-0.0292005594	0.0584246463	-0.0545609225	0.0804871224	0.0908206385	-0.0043093099	0.0345829583	-0.1397376679	0.0773016092	-0.019218216	0.0689646414	-0.1402972012	0.0123587056	-0.0299944653	0.0306198085	-0.0611123672	0.1293436769	-0.0252094498	0.1004860275	-0.0455683213	0.0252216193	-0.0070224141	0.0346178031	-0.0411368453	0.0428762466	-0.008542214	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0279501	n/a	n/a	0.0007812080900099	0.0276146	n/a	0.00076256613316	n/a	-0.157592	n/a	0.024835238464	n/a	-0.00105163	n/a	n/a	1.1059256569e-06	-0.0	n/a	0.0	n/a	0.000166532	n/a	n/a	2.7732907024e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68533.40467053541	57.00866374607722	3249.9877421132987	4696827555.735365	88141.51687818958	-799.4865811255731	7768926997.588178	639178.7933998576	65731.27721058238	-1.9762715041142656	4320600803.7344265	3.9056490579740615	71286.27624652245	75723.49835262986	1.27982	23.671949	0.13120861	0.062324	0.0213482693	-0.1026964143	0.0776417619	0.0845922418	-0.0274798917	-0.1268485036	0.0141040986	0.0343240044	-0.071426568	-0.0310433798	-0.0547210345	0.1060182134	0.0993844419	0.0197576335	-0.0784755668	-0.0066014012	-0.0630820993	-0.0372660266	0.2075956908	-0.0783040246	0.1223512326	0.0765007843	0.0515384824	-0.0171157539	-0.1252929453	0.0256294546	-0.0153035065	-0.0749692681	0.0395077539	-0.0799941335	-0.0355042673	0.110609554	-0.0826985883	-0.0591083124	0.0540427112	0.0629289691	-0.0933330383	-0.0022633106	-6.11123e-05	-0.0025550454	-0.0299491473	-0.0438805051	-0.1257232719	0.0475253661	0.0722317765	-0.0895438464	-0.0115085303	0.1369548535	0.0376954154	-0.1181111233	0.1024851656	-0.0195111939	0.1760341958	0.0042280111	-0.1151577698	0.0562360903	-0.0920873903	-0.1800775299	-0.0076228448	0.0491238222	-0.06297797	-0.0425215986	0.023938703	-0.0340974675	-0.0449457618	-0.0143807375	-0.0463786418	-0.0771420643	0.0401577688	-0.0185332879	0.04414635	0.1196742627	0.0493894649	0.0163642848	0.0043118842	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0358169	-0.0078668	6.188654224000001e-05	0.00128285032561	0.00379514	-0.02381946	1.44030876196e-05	0.0005673666746916	-0.117849	0.039743	0.0138883868009999	0.001579506049	-0.00148912	-0.00043749	1.913975001e-07	2.2174783744e-06	0.000344145	0.000344145	1.1843578102500001e-07	1.1843578102500001e-07	-0.00024742	-0.000413952	1.71356258304e-07	6.12166564e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68458.76048982209	-74.6441807133233	5571.753714363265	4686601887.802826	87033.10499621976	-1108.4118819698197	7574761365.283012	1228576.9000918774	65717.40848425662	-13.86872632575978	4318777777.886644	192.3415698988224	71070.5547579504	75111.6678367195	1.051487	19.448626	0.0754645642	0.0437948	0.0947379892	0.0142158289	0.0423091237	0.1166870528	0.0804831051	-0.0120607372	-0.0306003585	0.0692454183	-0.1129692203	-0.070195753	-0.0082017736	-0.0782969909	0.0242141887	0.0405431936	0.0216686644	0.0682531681	0.0487907684	0.1671897431	0.1336949379	0.0281815161	-0.1065486808	-0.0518910776	0.0215905384	0.0833895925	-0.0800376362	-0.1180450716	0.0113833079	-0.1919567436	0.0565133994	-0.0818239127	-0.0284266376	0.0568219348	0.0417923973	-0.0059036596	-0.1135038859	-0.0049953889	-0.0029445857	-0.0360942263	0.1223207324	-0.0931818103	0.0054654453	-0.1125954179	0.0960832685	0.0598604787	-0.0308561815	-0.016028356	0.0743887825	0.0059886915	-0.0121967083	-0.0812952598	0.0255102967	0.1010477821	-0.0369001013	0.1548649518	0.041531512	-0.0960982082	-0.0939309147	-0.2093766279	0.1105675173	-0.0753010296	-0.0145597181	0.0665028305	-0.0640116062	-0.0112224452	-0.0327294976	0.0911794438	-0.1174228723	-0.0028837762	0.0749419301	0.0450176184	-0.025187146	0.1209516778	-0.0015421265	0.0233435102	-0.0192227717	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0328463	0.0029705999999999	8.824464359999982e-06	0.00107887942369	5.53258e-05	-0.0037398142	3.0609441456399997e-09	1.3986210250521638e-05	-0.0991316	0.0187173999999999	0.00982707411856	0.0003503410627599	-0.000682351	0.000806769	6.508762193610001e-07	4.65602887201e-07	0.000248376	-9.5769e-05	6.169063737600003e-08	9.171701361e-09	-0.000345617	-9.8197e-05	9.642650809000002e-09	1.19451110689e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68473.0487291703	14.28823934821412	204.15378367185423	4688558402.267331	87678.90273161857	645.7977353988099	7687589984.22063	417054.7150462313	65875.76942767519	158.3609434185637	4339616997.688225	25078.18840041753	71015.36125167881	73830.29073303338	1.267795	23.449526	0.0466193854	0.0240658	0.0143563501	0.1032697316	-0.0676879701	0.0755976233	0.030943162	0.0765618565	0.0356016348	-0.0434478985	-0.048996426	0.0318624634	0.0682762578	-0.0699119601	-0.0038190511	0.0774205614	0.0111889864	-0.1552043125	0.0458735531	0.0075581819	-0.0282873487	-0.0220856113	0.0558535504	0.0159587744	-0.0260074248	-0.0587958303	0.0627287904	-0.0330689912	-0.0437776023	-0.1517899847	-0.0829222715	0.0432017109	-0.018074872	-0.0477286332	0.059814063	-0.0186453384	-0.027893486	-0.1776990902	0.0585663063	0.0500987723	0.0731964683	0.0512315314	-0.140810477	-0.0547624014	0.0544894295	0.1859665684	0.0621468358	0.0669757681	0.0109104243	-0.10724416	-0.026036866	-0.0822609498	-0.0477504708	-0.0158328778	0.0716181132	0.0372449453	0.1429160197	0.0572276063	-0.0360743028	-0.0262117555	0.0661954715	0.0221930176	-0.126878412	-0.0377730335	0.050006635	0.0058735804	-0.091107909	0.1225050942	0.0293238884	0.0737412347	-0.0207245714	-0.0643347691	-0.0050805689	0.0440139615	0.105015777	-0.0491729476	0.1418255088	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0397145	-0.0068681999999999	4.717217123999997e-05	0.00157724151025	4.88554e-05	-6.470399999999998e-06	2.38685010916e-09	4.186607615999998e-11	-0.0806119	0.0185197	0.00649827842161	0.00034297928809	-0.000831954	-0.000149603	2.2381057609e-08	6.92147458116e-07	5.14077e-05	-0.0001969683	2.64275161929e-09	3.879651120489001e-08	-0.000423546	-7.792900000000002e-05	6.072929041000003e-09	1.79391214116e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68440.05185204753	-32.996877122772275	1088.7938998553325	4684040697.510955	88501.61826447518	822.715532856615	7832536435.430887	676860.848003544	65774.02199731692	-101.74743035827125	4326221969.703529	10352.539584511254	71254.92042402149	74611.73976995189	1.293638	23.92753	0.1064561596	0.0477188	-0.0866220344	0.0049519846	-0.0722318193	-0.0314659603	-0.061396268	0.0020168228	0.1827642986	-0.0316406963	-0.0359838695	-0.0226523468	0.006007409	-0.0352840594	0.0890404009	-0.1343625773	0.0125581176	-0.0070068147	-0.0162781329	0.0979932768	0.0226579215	-0.028604407	0.0447545561	0.0385487285	-0.0969646626	-0.0489059405	0.1233343654	0.0341417826	-0.0056394447	-0.1653357036	-0.1339490253	0.0172136423	-0.0218679606	0.1255046694	0.0207189858	0.0735987465	0.0514348824	0.0275781048	-0.083243235	-0.0280577199	0.0188867388	-0.0995295732	-0.1179972364	-0.0973643236	0.0216725563	-0.1550671711	0.0077754914	-0.0173712512	0.0113682941	0.0592709436	-0.1307087252	0.0482236774	0.0611761953	-0.0750933621	0.0228577628	0.0738011317	-0.0279021072	-0.0062310508	-0.1138630769	-0.0114407835	-0.0150355808	0.0019864399	-0.005108639	0.0158460954	0.1241614224	-0.0206223515	-0.0111471873	0.1089179337	0.1300265593	-0.043678369	0.079557137	-0.0565441177	0.0424207348	0.1226364883	0.0096932559	-0.1043574247	-0.032892348	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0254399	0.0142745999999999	0.0002037642051599	0.00064718851201	0.0298751	0.0298262446	0.00089252160001	0.000889604866939	-0.0970548	-0.0164428999999999	0.00941963420304	0.0002703689604099	-0.000541602	0.000290352	8.430428390400002e-08	2.93332726404e-07	0.000504538	0.0004531303	2.54558593444e-07	2.0532706877809006e-07	-0.00024878	0.000174766	3.0543154756000014e-08	6.18914884e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68563.88858280059	123.83673075305704	15335.535883605147	4701006817.594693	88229.25565264301	-272.36261183216993	7784401553.019439	74181.39232404127	65805.61736505682	31.5953677399084	4330379276.796268	998.2672626200442	71254.83707519906	75255.42039498432	1.425256	26.361984	0.05072915	0.0231155	0.0201127221	-0.0967485905	0.1292628634	0.007050735	-0.0346590863	-0.0667252339	-0.0220218117	0.029872896	-0.0677589769	-0.0193427635	-0.0545620222	0.0029184742	0.1786271358	0.0071152018	-0.024202236	0.0305362695	-0.0780074251	-0.0352478103	0.1172619552	0.079986491	-0.0835344145	0.0833473328	0.0639183577	-0.1453326101	-0.0693628322	0.0461706002	-0.0839910711	0.026523175	0.1351265835	-0.0048846233	-0.1276301601	-0.1040208246	0.016714974	0.0529914698	-0.0183055539	-0.1903801589	0.1405699965	0.0225905318	-0.0534552537	-0.0487281762	-0.0451114624	0.1555510893	-0.1096090344	0.038703344	-0.0019774674	-0.0386976127	-0.0089658791	0.1150873961	0.0029436359	-0.1528759513	0.0524858972	-0.1570894117	-0.0352808611	-0.0427571112	-0.0258530318	-0.0109872008	-0.1021552891	-0.0476035817	0.1383074716	-0.1149097535	-0.1387308015	-0.0435647567	-0.1067764353	0.0829544506	0.0207417957	-0.0228631781	0.1010459378	-0.0749723495	0.0265165537	0.0229478625	-0.0021084136	-0.0947160264	0.0953378848	0.0006734044	0.192971484	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0328513	-0.0074113999999999	5.492884995999998e-05	0.00107920791169	0.0124035	-0.0174716	0.00015384681225	0.00030525680656	-0.103862	-0.0068071999999999	0.0107873150439999	4.633797183999999e-05	-0.000443931	9.767099999999997e-05	9.539624240999994e-09	1.97074732761e-07	0.000407514	-9.702400000000004e-05	1.66067660196e-07	9.413656576000004e-09	-0.000434864	-0.000186084	3.4627255056e-08	1.89106698496e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68511.00162140728	-52.88696139330568	2797.0306854170058	4693757343.168471	87387.10079660724	-842.1548560357769	7636505385.636393	709224.8015446401	65804.77429569128	-0.8430693655391224	4330268320.106873	0.7107659551105383	70987.48952837203	74933.0849538727	1.202827	22.247866	0.12532687	0.0767979	0.0644728691	0.03821136	0.0765643068	0.1038040399	0.0657076093	0.0701083643	-0.0717018706	-0.0785847606	-0.0547034376	-0.0499754585	0.0715082234	-0.0604841055	-0.027913728	-0.0023423468	0.013566523	0.050419574	-0.1545934903	-0.0495743967	0.0417006017	-0.0812971335	-0.1145759937	0.1038383957	0.0847687063	0.0121586316	-0.0999831921	-0.0359757073	-0.0049271738	0.007083518	0.0783802753	0.0746751612	0.0637201577	-0.0658961579	-0.1069990461	-0.0193265061	0.0435555	0.0313495786	-0.0399704847	0.0313461563	0.0384762593	-0.028933847	-0.0712263809	-0.0281299502	-0.1256852661	-0.0410084628	0.0637182139	0.0560907221	0.0438019971	-0.0557245204	0.0405343928	-0.0658481774	0.0612066371	-0.0259304429	-0.0618570807	0.0780544402	-0.0625564422	-0.0420408449	0.0345305861	-0.1427089458	0.0048109708	0.0854572598	0.0510050571	-0.1468851155	-0.0802743353	0.0137373068	-0.119774671	-0.0361976105	-0.0073736909	-0.0931370374	-0.0031904025	0.0362045062	-0.0692193803	0.002676512	0.0861494987	0.1027203269	-0.0933275391	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0450908	-0.0122395	0.00014980536025	0.00203318024464	0.0082033799999999	-0.00420012	6.729544342439837e-05	1.764100801440083e-05	-0.0331527	0.0707093	0.00109910151729	0.00499980510649	-0.0007593949999999	-0.0003154639999999	9.95175352959369e-08	5.766807660248481e-07	0.000235176	-0.000172338	5.5307750976e-08	2.9700386243999995e-08	-0.000159107	0.0002757569999999	7.604192304899998e-08	2.5315037449e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68380.76029639768	-130.24132500959968	16962.802740256175	4675928378.713398	87982.72576510522	595.6249684979848	7740960033.05771	354769.1030982254	65873.75116398359	68.97686829230224	4339351092.414429	4757.808359413611	71069.27462466423	73523.87378531932	1.356809	25.095966	0.1231239199999999	0.0751185	-0.0573423844	0.0881337413	-0.0525257715	0.0394912601	-0.0156696568	0.0722411553	0.0573617032	-0.0672640299	0.0576118725	0.0101020606	0.1039344437	0.0336507523	0.0049025472	-0.0127097935	-0.0269367222	-0.0582732649	0.0053972437	-0.0114667401	-0.016017975	-0.020483536	-0.0961704899	0.0124277231	-0.0668834965	-0.1767069777	0.0538081678	0.0393118633	-0.0528195459	-0.0024337826	0.12392546	0.1691357501	0.1255940599	0.033910352	-0.0277125654	-0.0089914472	-0.0091196281	-0.1354500057	0.0421122738	0.0508598228	-0.0539396388	0.1900018486	-0.0644062399	0.0889133977	0.08025284	-0.0684321789	0.072182511	0.0971821065	-0.0170183232	-0.0447404575	-0.0305322954	-0.014691589	0.0285203251	-0.0677699499	0.0452159072	0.0435720822	0.0189966998	-0.0467097917	-0.0020244177	0.1032017339	0.1146036549	0.0245800828	-0.0776074674	0.0167675107	0.0464418092	0.0374239268	-0.0878188539	-0.1266316607	0.1113888556	0.137398307	0.142255405	0.1186491891	0.0162979529	-0.1381711632	0.0563703557	0.0260010261	0.1265605735	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.0367286	0.0083622	6.992638884e-05	0.00134899005796	0.0398807	0.0316773200000001	0.0015904702324899	0.0010034526023824	-0.0603233	-0.0271706	0.00363890052289	0.00073824150436	0.000321119	0.0010805139999999	1.167510504195784e-06	1.0311741216100003e-07	0.00023584	6.639999999999923e-07	5.56205056e-08	4.4089599999998973e-13	-0.000122009	3.709799999999999e-05	1.376261603999999e-09	1.4886196081e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68287.96463155994	-92.79566483774396	8611.035412678913	4663246113.521181	89130.5885639806	1147.8627988753724	7944261817.761588	1317589.0050420037	65942.60106435449	68.84990037090029	4348426635.132606	4740.308781082896	71312.18616144234	73652.38035823815	1.187279	21.960289	0.1012888	0.0503095	-0.0721367566	-0.0933775482	-0.06608719	-0.0137734064	-0.1266019828	-0.0972731864	0.0533878042	-0.0864708918	0.0323139916	0.1197645073	0.0512384065	0.0461224674	0.0006796398	-0.0161417526	-0.0095367977	0.0346322372	0.0566268292	0.1547579854	0.0158343385	0.0170892051	-0.1093560085	-0.1277850524	-0.1366294457	-0.0678214705	0.0317978665	0.0087810066	0.0333055125	0.0415228729	0.0244521954	0.0800846936	-0.0313674074	0.0997559444	-0.1351548413	-0.1216855639	0.076836301	-0.0835892567	0.0327964899	-0.0548916984	-0.1615354277	-0.0971938225	0.0643993493	-0.0185996042	-0.0193373148	0.057028972	0.1375955333	-0.0158134367	-0.127044868	0.0028056295	-0.0488680156	0.0326932762	0.0084545943	-0.0050420009	-0.0292535965	0.1361718204	0.0108354332	-0.1218696771	-0.0461755458	0.2034638936	-0.0140873235	-0.0593206845	-0.047648953	0.1672865137	-0.055836149	0.0554202959	-0.0268741524	-0.1483037392	0.0510435595	0.0598226469	-0.0418128141	0.0204896855	0.0052063998	0.0261389324	0.0782702976	-0.0880664534	0.1226282581	0.1015862008	0.0985712473	0.0936124309	0.0868075413	-0.0373716	-0.0006429999999999	4.134489999999971e-07	0.00139663648656	0.0251686	-0.0147120999999999	0.00063345842596	0.0002164458864099	-0.0347485	0.0255748	0.00120745825225	0.00065407039504	-0.000219502	-0.000540621	2.92271065641e-07	4.8181128004e-08	0.000646226	0.000410386	4.17608043076e-07	1.68416668996e-07	-0.00037818	-0.0002561709999999	6.562358124099998e-08	1.4302011239999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68422.54455491366	134.57992335372546	18111.75576989462	4681644603.369145	87078.17980957031	-2052.4087544102804	7582609398.947859	4212381.695179959	65781.13673847854	-161.4643258759461	4327157950.606411	26070.728530573717	71221.65442278636	73779.96431053206	1.213426	22.443905	0.1720979	0.0908853	0.0526521241	-0.0692928294	0.0442929078	-0.0273789137	0.0396382321	-0.0822504137	-0.0265223815	-0.0415785999	0.062942042	0.0251417489	-0.0732994137	0.0412087572	0.0477115243	-0.0724917037	-0.0680763997	-0.0366389881	0.0488170753	0.035741983	0.1293630815	0.005003753	-0.0223927384	0.1030544613	0.0376713706	0.1355023762	0.0066151139	0.0083624884	0.0412933133	0.0217767456	-0.1051645564	0.0398805065	0.0443889628	0.0568595892	-0.0028112424	-0.0565940862	-0.1471842611	0.0061188654	-0.0747117745	0.0222176656	-0.0844102721	-0.0045917112	0.0558339704	-0.031561265	0.115397743	-0.1350675857	-0.1219407638	-0.0866240705	-0.0217380053	0.0124328478	0.0463719045	-0.0231813381	0.1152414603	-0.1070947252	0.0902851764	-0.0336941376	-0.0321312363	0.0822590964	-0.0262735726	-0.0159739855	-0.0084334319	-0.1521964812	0.1229126285	0.0378879339	-0.0177399245	-0.0577389359	-0.0684241526	-0.0366307655	-0.0680971582	0.0840639841	-0.1203352121	-0.0680602406	0.077485156	0.0797502872	-0.103655772	0.0473186034	-0.0933027277	0.1013346856	0.0975763397	0.0914153405	0.0830033923	-0.0115412	0.0258303999999999	0.0006672095641599	0.0001331992974399	0.0256363	0.0004677	0.00065721987769	2.1874329000000138e-07	-0.0781851999999999	-0.0434366999999999	0.0061129254990399	0.0018867469068899	-0.00164796	-0.001428458	2.0404922577640004e-06	2.7157721616e-06	0.000604029	-4.2197e-05	3.6485103284099993e-07	1.7805868090000003e-09	0.000198427	0.000576607	3.3247563244900005e-07	3.9373274329e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
