onset	duration	trial_type	identifier	response
4.000126	9.972112	experimental_trial	5.mov	n/a
16.00065	9.969727	experimental_trial	19.mov	n/a
28.00091	9.974214	experimental_trial	1.mov	n/a
42.00124	9.973672	experimental_trial	20.mov	n/a
54.00154	9.969397	experimental_trial	23.mov	n/a
66.00188	9.974241	experimental_trial	2.mov	n/a
78.00217	9.97153	experimental_trial	18.mov	n/a
90.00245	9.974122	experimental_trial	44.mov	n/a
102.0027	9.964765	experimental_trial	35.mov	n/a
114.003	9.969716	experimental_trial	29.mov	n/a
126.0033	9.968496	experimental_trial	25.mov	n/a
138.0036	9.968586	experimental_trial	8.mov	n/a
150.0039	9.966416	attention_check	n2.mov	Neutral
166.0312	9.97738	experimental_trial	42.mov	n/a
178.0315	9.968287	experimental_trial	21.mov	n/a
190.0318	9.969977	experimental_trial	48.mov	n/a
204.0321	9.968286	experimental_trial	7.mov	n/a
216.0324	9.970902	experimental_trial	31.mov	n/a
228.0327	9.968737	experimental_trial	38.mov	n/a
240.0331	9.965968	attention_check	f1.mov	NoResponse
258.0496	9.973006	attention_check	a1.mov	Neutral
276.0672	9.978577	experimental_trial	24.mov	n/a
288.0675	9.968838	experimental_trial	15.mov	n/a
300.0678	9.970692	experimental_trial	9.mov	n/a
312.0681	9.971658	experimental_trial	49.mov	n/a
324.0684	9.967124	experimental_trial	17.mov	n/a
336.0686	9.970469	experimental_trial	50.mov	n/a
350.0689	9.968315	experimental_trial	45.mov	n/a
