onset	duration	trial_type	identifier	correct_response
26.02	26	social	["fischer_videos/social.nobarriers.c.9.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & true
52.06	26	physics	["fischer_videos/physics.barriers.i.9.mp4"] & ["fischer_videos/physics.barriers.c.10.mp4"]	true & false
78.1	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.nobarriers.i.2.mp4"]	true & true
104.13	26	social	["fischer_videos/social.nobarriers.i.8.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	true & false
130.17	26	physics	["fischer_videos/physics.nobarriers.i.2.mp4"] & ["fischer_videos/physics.nobarriers.i.10.mp4"]	true & true
156.21	26	physics	["fischer_videos/physics.nobarriers.i.6.mp4"] & ["fischer_videos/physics.barriers.c.4.mp4"]	true & false
182.23	26	social	["fischer_videos/social.nobarriers.c.1.mp4"] & ["fischer_videos/social.barriers.c.6.mp4"]	false & false
208.29	26	physics	["fischer_videos/physics.barriers.c.2.mp4"] & ["fischer_videos/physics.barriers.i.1.mp4"]	false & false
260.34	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	false & false
286.37	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	false & true
312.42	26	physics	["fischer_videos/physics.barriers.c.6.mp4"] & ["fischer_videos/physics.nobarriers.c.1.mp4"]	true & true
338.46	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.barriers.i.3.mp4"]	false & true
364.52	26	social	["fischer_videos/social.nobarriers.c.5.mp4"] & ["fischer_videos/social.nobarriers.i.10.mp4"]	false & true
390.55	26	social	["fischer_videos/social.barriers.i.9.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	true & true
416.61	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	false & true
442.65	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.barriers.c.10.mp4"]	true & false
