onset	duration	trial_type	identifier	response
4.000003	9.968008	experimental_trial	45.mov	n/a
16.00031	9.966746	attention_check	a3.mov	Adversarial
32.02555	9.976892	experimental_trial	23.mov	n/a
44.02586	9.97729	experimental_trial	41.mov	n/a
56.02614	9.973527	experimental_trial	31.mov	n/a
68.02631	9.9724	experimental_trial	28.mov	n/a
82.0266	9.968619	experimental_trial	39.mov	n/a
94.02691	9.969611	experimental_trial	2.mov	n/a
106.0272	9.965628	experimental_trial	17.mov	n/a
120.0275	9.97195	experimental_trial	19.mov	n/a
132.0278	9.972932	experimental_trial	47.mov	n/a
146.0281	9.972718	attention_check	f1.mov	Friendly
162.0543	9.977427	experimental_trial	12.mov	n/a
176.0546	9.980968	experimental_trial	7.mov	n/a
188.0549	9.96687	experimental_trial	16.mov	n/a
200.0552	9.9688	experimental_trial	4.mov	n/a
212.0555	9.96804	experimental_trial	9.mov	n/a
224.0558	9.96771	attention_check	a2.mov	Neutral
240.0747	10.02335	experimental_trial	3.mov	n/a
252.075	9.969758	experimental_trial	22.mov	n/a
264.0753	9.971713	experimental_trial	42.mov	n/a
276.0756	9.974401	experimental_trial	11.mov	n/a
288.0759	9.972127	experimental_trial	26.mov	n/a
302.0762	9.965509	experimental_trial	36.mov	n/a
314.0765	9.972139	experimental_trial	48.mov	n/a
326.0768	9.973008	experimental_trial	34.mov	n/a
338.0771	9.966166	experimental_trial	6.mov	n/a
350.0774	9.967714	experimental_trial	20.mov	n/a
