onset	duration	trial_type	identifier	response
4.000089	9.970136	experimental_trial	48.mov	n/a
16.00057	9.967935	experimental_trial	8.mov	n/a
30.00084	9.97191	experimental_trial	40.mov	n/a
42.00114	9.969412	experimental_trial	36.mov	n/a
54.00145	9.970772	experimental_trial	29.mov	n/a
66.00175	9.973453	experimental_trial	32.mov	n/a
78.00204	9.9728	attention_check	f2.mov	Adversarial
94.03323	9.979437	experimental_trial	45.mov	n/a
106.0336	9.966575	experimental_trial	2.mov	n/a
118.0339	9.966383	experimental_trial	46.mov	n/a
130.0342	9.967632	experimental_trial	25.mov	n/a
144.0346	9.971087	experimental_trial	3.mov	n/a
156.0349	9.97011	experimental_trial	47.mov	n/a
170.0352	9.972615	experimental_trial	16.mov	n/a
182.0353	9.970167	experimental_trial	39.mov	n/a
194.0357	9.965343	experimental_trial	30.mov	n/a
208.036	9.969302	attention_check	f1.mov	Adversarial
224.0611	9.977217	experimental_trial	37.mov	n/a
236.0614	9.97087	experimental_trial	28.mov	n/a
248.0618	9.96766	experimental_trial	38.mov	n/a
260.062	9.96827	experimental_trial	33.mov	n/a
272.0623	9.967605	experimental_trial	26.mov	n/a
284.0627	9.968446	experimental_trial	1.mov	n/a
296.063	9.972045	experimental_trial	34.mov	n/a
308.0633	9.966249	attention_check	f3.mov	Friendly
326.0955	9.974616	experimental_trial	42.mov	n/a
338.0958	9.969191	experimental_trial	43.mov	n/a
350.0961	9.967665	experimental_trial	12.mov	n/a
