global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
55221.083797770654	n/a	3049368095.800409	n/a	83393.29971045778	n/a	6954442436.598238	n/a	52464.97640120063	n/a	2752573748.7785387	n/a	58981.08985506153	51591.0730433951	n/a	n/a	n/a	n/a	-0.0272563174	-0.0357444672	0.0156620582	0.1344943576	-0.0386397529	-0.0636168072	-0.0002552347	-0.0235285007	-0.0799027989	0.051650665	-0.0024517459	0.1838699206	-0.0046037806	-0.0111882244	0.0506292225	-0.0519000319	0.1345831467	-0.0379285654	-0.0759848312	0.0665213135	-0.126333148	0.0842210237	-0.0680479323	0.0273407394	-0.1314734829	0.0397146157	-0.1164176318	0.1745804822	-0.0298705052	0.0795766748	-0.1019833527	0.0876091993	0.1439056712	-0.0538387687	-0.0691017856	0.0497525804	-0.0551287499	0.0002036592	-0.0886432836	0.0023496934	-0.0264088276	0.0938634011	-0.0213390222	-0.0201707464	0.1363392403	0.0177848327	-0.1630802059	0.0024271768	-0.0832332678	0.0443776216	-0.0681514545	-0.1081396861	0.0731322871	-0.1526269117	0.0144989024	-0.161507314	0.1582774938	-0.0267949145	0.0250595662	-0.0974428325	0.0379161378	-0.1031730046	0.08315682	-0.0141830922	-0.1431319905	0.1373479329	0.0664753485	-0.0520762645	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0391808	n/a	n/a	0.00153513508864	-0.159396	n/a	0.025407084816	n/a	-0.238365	n/a	0.0568178732249999	n/a	-0.00152363	n/a	2.3214483769e-06	n/a	4.00368e-23	n/a	1.6029453542400003e-45	n/a	-0.00176849	n/a	3.1275568801e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55502.09162987195	281.00783210129885	3080482175.2907023	78965.40170227176	83713.52772066886	320.2280102110817	7007954723.439194	102545.97852374864	52604.16564744165	139.1892462410251	2767198243.4634805	19373.64626914472	59103.72293149735	53544.484817248	1.637671	30.968027	0.08482125	0.0429793	0.1422062677	-0.0836145962	0.1065204263	0.1431064791	-0.0309814961	0.0478506777	-0.1447566485	-0.1420093477	-0.0731751014	0.0253514641	0.0358315975	0.0683949133	0.0689014807	0.0259290516	-0.0837045258	-0.1062562577	0.0977290037	-0.0102197532	-0.1934788751	0.0077433577	-0.0335548468	-0.0313860318	0.022431715	-0.1187126937	-0.0362072123	-0.0449954334	-0.1593991945	0.1018603107	-0.0464491812	-0.0170929807	-0.0523163111	-0.1394618801	0.0411455315	-0.0396367509	0.0664257642	0.0551227175	0.0729556779	-0.0518908008	-0.0183905963	-0.1199518713	0.0508395885	0.0094608671	0.0463331661	0.0468578547	0.0915904228	-0.1474315403	-0.034888607	-0.0848748979	-0.0791464019	-0.1075783355	-0.0555419446	-0.1015335039	0.0663304271	-0.0383376045	-0.0791527446	-0.1138882746	0.1106955936	0.0536764342	0.0778873565	-0.090194775	-0.209815653	-0.0628903398	0.0062714154	0.1027381529	0.115344506	0.0797157323	-0.0771874761	-0.0177900699	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0277331	-0.0114477	0.00013104983529	0.00076912483561	-0.159535	-0.000139	0.025451416225	1.9321000000000064e-08	-0.255255	-0.01689	0.065155115025	0.0002852721	-0.000920315	0.000603315	8.46979699225e-07	3.63988989225e-07	0.000151686	0.000151686	2.3008642596e-08	2.3008642596e-08	-0.0013966	0.0003718899999999	1.95049156e-06	1.3830217209999997e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55144.310022910606	-357.7816069613473	3040894927.902879	128007.67827984398	83250.94718852796	-462.58053214089887	6930720207.787072	213980.7487157572	52528.609641494615	-75.55600594703719	2759254830.868521	5708.710034668719	59136.7466480152	53518.01356946472	1.563848	29.572048	0.07306205	0.0440384	0.0706955576	-0.2062142828	0.0367852434	-0.004441638	-0.0976487577	0.0670137196	0.0462190947	-0.1481358376	-0.025060137	0.209499786	-0.0321511272	0.043717011	0.0399209639	-0.0301834593	0.0973660992	-0.1119834323	0.0910444613	0.0807202878	-0.0004289725	-0.0509796926	0.0411943833	-0.0221288754	-0.0407189794	-0.0615322781	-0.1016797677	0.0897950385	-0.0723041135	-0.0662274916	0.040265631	0.0356570468	-0.053504713	-0.1373472328	0.0016547732	0.0787194265	-0.0890962223	0.0742852081	-0.0263045941	0.0055792287	-0.0859280726	-0.1685876256	0.0061945474	-0.0292827104	0.1063420492	-0.0357795227	0.1804408156	0.0143662311	0.0062530152	-0.1012303095	-0.0056189247	0.0712674145	-0.094536735	-0.0745310903	-0.0560528565	0.0151155922	-0.0911566144	-0.0697080313	0.135801347	-0.0933213529	-0.0526355442	-0.0582275257	0.0256832726	0.0865495866	-0.0290355022	0.1121479557	-0.0199690034	0.0141680654	-0.1307055471	-0.1292981241	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0391597	0.0114265999999999	0.0001305671875599	0.00153348210409	-0.159412	0.000123	0.025412185744	1.512900000000295e-08	-0.250471	0.004784	0.062735721841	2.28866560000001e-05	-0.0016615	-0.000741185	2.76058225e-06	5.49355204225e-07	-0.000210128	-0.000361814	4.4153776384e-08	1.30909370596e-07	-0.00142817	-3.157000000000008e-05	2.0396695489e-06	9.96664900000005e-10	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55113.99981132101	-30.31021158959629	3037552975.2022924	918.7089266060974	83029.62422046327	-221.3229680646909	6893918498.191341	48983.85619296421	52580.51186602334	51.90222452872695	2764710228.0930214	2693.840911030385	59119.62478508084	51763.22240491668	1.266369	23.946766	0.13172564	0.0665453	-0.0346085658	-0.1240457581	0.0093440849	0.0860474294	-0.005344713	0.0252641993	0.021195891	-0.1032016832	0.0138208317	0.0015503338	-0.0444234713	0.1373859635	0.0625255893	0.0365324453	-0.0406565492	-0.0935833491	0.074335126	0.1279039631	-0.0213516643	-0.0328810692	0.1180807804	-0.0342313628	-0.0341929118	-0.0190706552	-0.1204142182	0.0461684912	0.0255019284	-0.0001105503	0.037546003	0.0452282882	0.0411523469	0.110112883	0.0182176496	0.1040693373	-0.0410180191	0.0229260441	-0.0194865622	0.0439432199	0.1164932101	-0.0251371685	-0.0514521828	-0.0669947013	0.0703654815	0.0335030455	0.0857358438	-0.0913062535	0.0028279677	0.0122364598	-0.0048337304	0.0619260424	-0.1285068866	-0.1119093613	0.0756292799	-0.0425164839	-0.0418906669	-0.0154537982	0.0137478448	-0.0279503835	-0.1926474197	-0.0284305956	0.0697943188	-0.0209030351	-0.0320217207	0.0269678373	-0.0273594411	-0.1075845329	-0.0105148815	-0.0101661788	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0576254	0.0184657	0.00034098207649	0.00332068672516	-0.15958	-0.000168	0.0254657764	2.8224000000000498e-08	-0.204159	0.0463119999999999	0.041680897281	0.0021448013439999	-0.000766802	0.000894698	5.87985307204e-07	8.00484511204e-07	-6.09472e-05	0.0001491808	3.7145611878399996e-09	2.225491108864e-08	-0.00113645	0.00029172	1.2915186025e-06	8.510055840000006e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55140.79118935143	26.791378030422493	3040506852.9876566	717.777936769005	83043.03278337445	13.408562911179615	6896145293.860604	179.78955934306157	52376.91247755835	-203.59938846499423	2743340960.6818075	41452.71098331964	58916.51027652932	51446.03757491364	1.168484	22.095785	0.0594436599999999	0.0275688	-0.0040401638	-0.0659577068	-0.0226042998	0.1229661433	-0.083079567	0.0284040168	-0.011122107	-0.0416606243	-0.1127442023	0.0337890798	0.0408813893	0.0382941171	-0.0635137627	0.0145206808	0.0534941131	-0.101421617	0.1244322765	0.0163265893	0.101876138	-0.0301851982	0.0796557491	-0.1755770884	-0.052548284	-0.2088396355	-0.0002844263	-0.053219243	-0.0189210588	-0.0509628024	-0.0803380676	0.0267601621	0.0167750228	0.0391540886	0.05059905	-0.0293847154	-0.0930090245	-0.0141112999	0.091379382	-0.0056478867	-0.0645970757	0.0200280806	-0.0552995424	0.0608773317	0.024307302	-0.0714184966	0.0772737947	-0.0333528073	-0.0299679486	-0.0888620107	-0.0728793136	0.1291693754	0.0757257561	-0.0575877534	0.0260158077	0.1256419415	-0.0088506074	-0.1339419596	-0.0294362389	0.0234445878	-0.1945304405	-0.0297528309	-0.0308126928	-0.0096981046	0.0759139834	0.0347038365	-0.0058580611	0.0008276737	-0.1363581348	-0.0409419545	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0481148	-0.0095106	9.045151236e-05	0.00231503397904	-0.155129	0.004451	0.0240650066409999	1.981140100000009e-05	-0.223041	-0.0188819999999999	0.0497472876809999	0.0003565299239999	-0.0008287719999999	-6.196999999989999e-05	6.868630279838342e-07	3.840280899987604e-09	0.000187264	0.0002482112	3.5067805696e-08	6.160879980544e-08	-0.00135827	-0.0002218199999999	1.8448973929e-06	4.920411239999999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55097.05534467061	-43.73584468082117	3035685507.6536965	1912.8241099449135	82773.22386410362	-269.8089192708285	6851406588.857014	72796.85291809244	52445.14971386894	68.23723631058965	2750493728.510127	4656.320419307255	59091.80950244329	52801.73917083226	1.277077	24.14926	0.041298995	0.0193214	0.0381026653	-0.1567162851	-0.025983403	0.0391369873	-0.0111757589	0.125270699	-0.0155307877	-0.0047662565	-0.0831278069	0.0837367146	-0.0748825585	-0.0304516348	-0.0183336426	-0.0743262499	-0.059277044	-0.0980858691	0.1906142736	0.1418273356	-0.0466692927	0.0220230351	0.0489213919	0.0751360639	0.0177394063	0.0451250834	-0.042679537	-0.0885888581	-0.0453350597	-0.0481038324	0.0443130734	-0.0202844987	-0.0753219407	-0.115672192	-0.0201184492	-0.0103185609	-0.010210798	0.0570457127	0.0580823111	-0.0518951357	0.0390774056	0.0234614466	-0.0219630379	0.1655335574	0.1419330312	-0.0755199909	0.0231882358	-0.0862892448	-0.0657050322	-0.0610142229	-0.0128166999	-0.0381676754	0.0159987621	-0.1059603609	0.1057009507	-0.0228608283	-0.0852607414	0.0067287199	-0.0390126336	-0.0008015664	0.0556635627	-0.1069255975	0.0402237562	0.0378714945	0.0033369289	-0.0882649874	-0.0197111355	0.0231410699	-0.0812325039	-0.0405789091	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0576931	0.0095782999999999	9.174383088999996e-05	0.00332849378761	-0.159613	-0.004484	0.025476309769	2.0106256000000143e-05	-0.227233	-0.004192	0.0516348362889999	1.757286400000001e-05	-0.000584622	0.0002441499999999	3.41782882884e-07	5.960922249995116e-08	9.02301e-05	-9.70339e-05	8.14147094601e-09	9.41557774921e-09	-0.00123856	0.0001197099999999	1.5340308736000002e-06	1.4330484099999969e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54947.367402638425	-149.68794203218567	3019213184.480532	22406.47998983098	82690.44355640077	-82.78030770285113	6837709455.554302	6852.579343378715	52299.52739284111	-145.62232102782582	2735240565.514538	21205.86038153116	58838.23003137066	51025.699681000544	1.202236	22.734024	0.0694296449999999	0.0424606	-0.063809561	-0.1005294182	0.0530128835	0.0273026237	-0.121587067	0.029316695	0.1161348932	-0.0817840316	0.0086159332	0.0434839006	-0.032460449	0.0444755909	-0.1020925316	0.0385379875	0.0095115218	-0.0406487783	0.0445030645	0.0149738895	-0.0118926814	-0.0420458039	0.0758890791	0.0450507765	-0.1039331718	0.1485218962	0.0134034432	0.0241516343	-0.1385606041	-0.0153008514	0.0834978007	-0.0741119938	-0.1070476346	-0.0466818675	-0.0974124046	0.0202083191	-0.0273973601	0.184617972	0.1115371391	0.1197846037	-0.0431023361	0.0098609015	0.0843511427	0.0414787179	0.0020699037	-0.125144584	0.070030603	-0.0407084596	0.0446156756	-0.0280911389	-0.0140632664	0.081913268	-0.1626607577	-0.1201421586	0.0775857307	0.0507090031	0.0491343646	0.016221232	0.005156259	0.068257032	0.0481728171	0.045036922	0.079833563	0.0678143876	0.0130141303	-0.0190538202	-0.0146674757	0.2348775446	-0.0693670434	0.0079900874	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0576212	-7.189999999999974e-05	5.1696099999999635e-09	0.00332020268944	-0.15963	-1.6999999999989246e-05	0.0254817369	2.8899999999963437e-10	-0.193077	0.0341559999999999	0.037278727929	0.0011666323359999	-0.000574645	9.97699999999999e-06	3.302168760250001e-07	9.954052899999978e-11	0.000388852	0.0002986219	1.5120587790400006e-07	8.917503915961003e-08	-0.000843464	0.000395096	7.114315192960001e-07	1.5610084921600006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55260.75991159001	313.3925089515833	3053751586.0063934	98214.86466696822	83438.3791118421	747.9355554413341	6961963108.811489	559407.595093337	52482.39889334605	182.871500504938	2754402193.600291	33441.98569692754	58941.2984699264	51424.43839573031	1.230461	23.267765	0.06213895	0.0297576	-0.0204405957	-0.0287047176	0.0177134709	0.1898826931	0.0071877394	-0.0441884811	-0.0607882557	0.04723056	-0.0564783223	-0.0234796572	-0.0695721764	0.1464640998	-0.0107750161	0.0135566887	-0.1213271414	-0.0566094512	0.1249040303	-0.0433356355	0.0026758794	-0.0038290498	-0.0420218165	-0.0094660766	-0.0690084907	0.1077607517	0.0544643165	0.00741534	-0.1073799314	0.0306957414	0.1920835805	-0.1395063995	-0.1075309338	0.0051690881	0.0599151731	0.043360759	0.0541886917	0.045127947	-0.033436606	-0.012244375	0.0140193143	0.063193038	0.1174227778	0.1186818892	-0.0277067981	0.0031746788	0.0016295245	-0.116557273	-0.1309491277	0.0417930481	-0.0688502835	0.0598091064	-0.0613118355	-0.1407647043	0.0685860174	0.0779573923	-0.0309775613	-0.0379483792	0.0045021047	0.0372624058	0.1754934224	0.0577287364	0.0442139436	0.0993130889	-0.0047161914	0.0159898473	-0.0564281882	0.1792748587	0.0749883622	0.0951137148	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0576008	-2.039999999999681e-05	4.1615999999986976e-10	0.00331785216064	-0.164773	-0.005143	0.027150141529	2.645044900000009e-05	-0.210727	-0.01765	0.044405868529	0.0003115224999999	-0.000725457	-0.0001508119999999	5.26287858849e-07	2.274425934399999e-08	0.000721032	0.00033218	5.198871450240001e-07	1.1034355240000001e-07	-0.000539945	0.000303519	2.91540603025e-07	9.212378336100003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55493.47625376235	232.71634217233805	3079525906.7268853	54156.89591407272	83780.83478104441	342.4556692023034	7019228276.608661	117275.88536879743	52803.954450460056	321.55555711400666	2788257605.6062603	103397.9763108992	59228.89156574264	52233.16584121927	1.494787	28.266108	0.2650864999999999	0.1804	0.0514342401	0.0986951556	-0.0754404995	0.0320140087	-0.0840691712	-0.0398870445	-0.0228989112	0.1138232132	0.0307976721	0.0092600987	0.0808537806	-0.0520469638	0.1602231193	-0.024113835	-0.0534880833	0.0994853267	-0.0057760167	-0.179085396	0.0341106756	-0.0667668486	-0.0695028081	0.0299176733	0.0094291914	0.0981000204	-0.0316574051	0.0248950907	-0.0340044288	0.0481698024	-0.027372495	0.0055085867	0.0910913943	0.0381443542	-0.1110444051	-0.0738076038	0.1335770873	-0.0288386656	-0.0300658139	-0.0642687756	0.0776195144	-0.1088899866	-0.0900718511	-0.0873734303	-0.0217028474	0.1826735363	-0.0727410317	0.0899949197	-0.1003341002	0.0801648426	-0.0150853524	0.0861668054	-0.0907589987	0.0420409163	0.04494258	0.0959115073	0.0209624241	0.0231655503	-0.0631202987	0.0500899619	0.1045105486	0.0583556111	-0.0390407457	-0.0709987201	-0.0341742366	0.0601229461	-0.0086796037	0.0640304852	0.0463549542	-0.1359037119	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0720575	0.0144566999999999	0.0002089961748899	0.0051922833062499	-0.111479	0.053294	0.012427567441	0.002840250436	-0.0385565	0.1721705	0.00148660369225	0.02964268107025	-0.000576397	0.00014906	3.32233501609e-07	2.2218883600000005e-08	0.000896629	0.000175597	8.03943563641e-07	3.0834306409e-08	-0.000718594	-0.000178649	5.16377336836e-07	3.1915465201e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55334.224199669145	-159.25205409320188	3061876367.7792506	25361.216732904097	83099.37201034813	-681.4627706962783	6905505628.514231	464391.5078450484	52614.95167330566	-189.0027771543973	2768333139.58429	35722.04977207478	59145.164249140325	51720.66354339291	1.232344	23.303368	0.14398185	0.0733033	0.0294039851	0.1125642334	-0.017300876	-0.0723832735	-0.0192329328	-0.0126534515	-0.0303317669	0.0752448686	0.0174377086	-0.0417687422	0.0688841622	-0.1064757285	0.0889149672	-0.0513540067	0.0556086914	0.0766862008	-0.0486538702	-0.1295101525	-0.0180117121	0.0399257402	-0.0132105427	-0.0416164138	-0.1058786889	-0.0529982658	-0.0716865016	0.0019818925	-0.0054909934	-0.0497477212	-0.0685740854	0.0327384058	0.0356940903	-0.1835079667	0.0165855329	-0.0126028865	0.0583273698	-0.1248737106	-0.0275411034	0.0341337572	-0.1143526636	-0.0380956479	0.0918596444	-0.0531321697	0.0292601919	0.0797111937	-0.0125856851	0.1232383072	-0.0137670043	-0.0350362986	-0.0104017518	-0.0930461657	0.0616600607	0.0318328986	0.0230262203	0.0897248262	0.0485731964	-0.0957245068	0.0141413077	-0.0230679715	0.1043808949	0.083777771	0.0355602986	0.0352983396	0.0231913258	0.0870461409	0.0475559663	-0.0439506247	-0.0559138801	-0.129232881	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.0467627	-0.0252948	0.00063982690704	0.0021867501112899	-0.0932705	0.0182084999999999	0.00869938617025	0.0003315494722499	-0.009658	0.0288985	9.3276964e-05	0.00083512330225	0.000675223	0.00125162	4.55926099729e-07	1.5665526244e-06	0.00107661	0.0001799809999999	1.1590890921e-06	3.2393160360999985e-08	-0.000718594	0.0	5.16377336836e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
