global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
55108.41097096677	n/a	3036936959.7449703	n/a	83416.56168842751	n/a	6958322763.919231	n/a	52553.50744243421	n/a	2761871144.501988	n/a	59202.5183318662	52661.14376783477	n/a	n/a	n/a	n/a	-0.0496410267	-0.0916839162	0.0427866267	0.0528769538	-0.0317298574	0.0461899791	0.0862045474	-0.0812035813	-0.0495774636	-0.0471830245	0.1086050968	-0.0959425867	-0.0088748642	0.0366157103	-0.0130248624	0.1327520492	-0.0016083571	0.0281242497	-0.1915138537	0.0086446315	-0.1345407878	0.1729450009	-0.0072406407	0.0574636336	-0.0391041264	0.0471248978	-0.0620979149	0.1141698347	-0.0117451041	0.0751438613	0.0075924631	-0.0798753254	0.112822214	0.0120479554	-0.0415971552	0.002236141	-0.0557192166	0.0325161945	-0.1223384463	0.1420458587	-0.0460531542	0.0003391588	-0.0340413123	0.0161713349	-0.0547856541	-0.0224026617	0.1163392313	-0.0420774208	0.1464396579	-0.0588365656	0.0284929208	-0.0908403511	0.0453519634	-0.02271584	0.0076939679	-0.1312857882	0.071635184	-0.0577434434	0.0414942164	-0.0815940837	0.0451393273	-0.095972622	0.0698700774	-0.0203108658	0.0674403801	-0.0388227646	-0.0683880531	0.0154370658	-0.0239363285	0.0232026199	-0.127598036	0.0245777128	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0	n/a	n/a	0.0	-0.0221442	n/a	0.00049036559364	n/a	-3.65388e-06	n/a	1.33508390544e-11	n/a	0.000369585	n/a	1.3659307222500004e-07	n/a	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55003.000052977535	-105.41091798923298	3025330014.8278465	11111.461631332802	82359.86894442067	-1056.6927440068391	6783148012.542148	1116599.5552367037	52456.746230811405	-96.7612116228047	2751710225.1237464	9362.732074713194	58949.11805127641	51574.83103396579	1.066451	20.332499	0.10538855032	0.0491654	0.0170697858	-0.0236488094	0.087638104	-0.0299278653	0.0448640212	0.0163610859	0.0256055011	0.0580867334	-0.0588115683	0.0450547055	-0.0251397272	0.0419506745	-0.0611197273	0.0129498814	-0.063050126	0.1927037679	-0.1023683833	0.0170310149	-0.0828941045	0.0303690199	-0.0952948323	0.013347873	0.006137794	-0.0388750998	-0.0419218911	0.108838654	-0.1927979496	-0.0095330962	0.0344858813	-0.024727202	-0.0043616789	0.0574173786	-0.1143176348	0.0073836044	0.0400580655	-0.0509116477	0.0257162209	0.0135111444	0.0387616585	0.0678001215	-0.1344925502	-0.1520345734	-0.0094247563	-0.0339187757	0.0431213943	-0.0201917331	0.0617953333	-0.0977361765	0.0292748439	0.0747540457	0.0339159117	-0.0655626242	0.0909067243	-0.0363338184	0.0506585455	-0.1698284478	0.1099955446	0.020887149	-0.2102707916	0.0109551678	0.0312728214	-0.0518748492	0.042522182	0.0458819007	0.0271643383	-0.0997486114	0.0905518715	0.0271921861	-0.0266398713	-0.0985374934	-0.0710572138	-0.1315194588	0.1025662807	0.1024716367	0.1023139614	0.1020933517	1.74042e-05	1.74042e-05	3.0290617763999993e-10	3.0290617763999993e-10	-0.0106419	0.0115023	0.0001132500356099	0.00013230290529	-0.0297095	-0.02970584612	0.00088265439025	0.0008824372937051	6.2211e-05	-0.000307374	3.870208521e-09	9.4478775876e-08	-0.000499511	-0.000499511	2.49511239121e-07	2.49511239121e-07	-0.000476375	-0.000476375	2.26933140625e-07	2.26933140625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55009.2227447936	6.222691816066799	3026014586.9863176	38.72189343774472	82841.85059931508	481.98165489440726	6862772210.719239	232306.3156547515	52614.67576754386	157.9295367324521	2768304106.123767	24941.738572526938	59161.80239326585	51942.98031609415	1.079349	20.578403	0.0850152107999999	0.0376027	-0.0070466989	-0.0915739486	0.0479241762	-0.0105715936	-0.0564475465	0.0672456635	0.1113273806	-0.0636841573	-0.0943247904	0.0612810395	0.1306987994	-0.0150971087	0.0311052217	-0.0145899155	0.096654103	0.2776394976	-0.0388891304	-0.0475860045	-0.0924238029	-0.0090792958	0.1375285938	-0.0022669766	0.025659624	0.0764311295	0.0528598805	0.0293581986	-0.0067177521	-0.1038972451	-0.0773467051	-0.023728231	0.0421024075	-0.0484135366	0.0722064862	-0.0322412084	0.0280084955	0.0810853984	-0.0271390567	-0.0531512846	-0.0419819512	0.0368218821	-0.0795851229	-0.0332639188	-0.0389014791	0.0377198867	-0.0748973543	-0.013987585	0.1885672962	-0.0006256817	-0.0008674117	-0.0710610268	-0.0531563626	-0.1533805383	0.2120691204	0.0396660876	-0.0243394962	-0.0562645819	-0.087971126	-0.0158443186	-0.1051658342	0.0091369372	0.0140752627	0.0654640094	0.0942702284	0.065856157	0.004748477	-0.0475545643	0.0060917221	-0.0993307015	-0.010118826	0.1098448186	0.0008874229	0.0707582034	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.00904096	0.0090235558	8.142455927571366e-05	8.17389577216e-05	-0.029028	-0.0183861	0.000842624784	0.00033804867321	-0.0228922	0.0068172999999999	0.00052405282084	4.647557928999998e-05	0.000425702	0.000363491	1.81222192804e-07	1.32125707081e-07	-6.86919e-05	0.0004308191	4.7185771256100014e-09	1.8560509692481e-07	-0.00069783	-0.0002214549999999	4.869667088999999e-07	4.904231702499999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54875.782220120585	-133.44052467301665	3011351474.2701025	17806.373625009957	82403.3640482306	-438.4865510844829	6790314406.465222	192270.4554819649	52405.551432291664	-209.1243352521924	2746341820.922567	43732.98759467136	58879.42656433392	50026.26578452061	1.376406	26.241961	0.0817341974999999	0.0486871	0.1128499677	0.0508712342	0.0134937749	-0.0768087831	0.0713117607	-0.0885724031	-0.065592088	0.1303707498	0.0173112723	0.0053094057	-0.0481888632	0.0064753514	-0.0874805874	-0.0069383379	0.0257409543	0.0149586922	-0.068278762	-0.0532168984	-0.0011175527	-0.1277839012	0.009557461	0.0331311776	0.0791782374	-0.0180650789	0.0780354568	-0.0272924638	0.0375847921	-0.1055298976	-0.075273528	0.0853486711	-0.0074847574	0.133732915	-0.0947172311	-0.0241592817	0.0729440075	0.0950534246	0.1244382561	-0.1113213423	0.0298649218	-0.0380508263	-0.0447147467	0.0605516723	-0.0057731383	-0.1183249884	0.1026628119	-0.0288206292	-0.0748676508	-0.0270525362	-0.0779098298	-0.0170557489	-0.0871331372	-0.0860700701	0.0452574904	-0.0700241414	0.0165558542	-0.1050367231	0.0063620118	0.0665078002	-0.0761212561	-0.0152855383	0.0873710639	0.0641727246	-0.1261103901	0.0179592273	0.0575752228	-0.0144372962	0.0336971189	0.147927889	0.0481979299	0.0663795311	0.0414850583	-0.0123318027	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0140761	0.0050351399999999	2.5352634819599988e-05	0.0001981365912099	-0.00847322	0.02055478	7.17954571684e-05	0.0004224989808484	-0.0125025	0.0103897	0.00015631250625	0.00010794586609	-0.00036254	-0.000788242	1.3143525160000002e-07	6.213254505639999e-07	5.87865e-06	7.457055000000001e-05	3.45585258225e-11	5.560766927302502e-09	-0.000750109	-5.227900000000002e-05	5.62663511881e-07	2.733093841000002e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55113.93991457154	238.15769445095796	3037546372.9070024	56719.08742619584	83480.01643657249	1076.6523883418995	6968913144.250414	1159180.3653223163	52589.49846491228	183.94703262061373	2765655348.791011	33836.51080992914	58916.22256822184	51624.5946573712	1.218317	23.2279	0.0664637475	0.036044	0.0301784005	0.0494376559	-0.0119186641	0.0008133448	-0.1513474201	0.003160976	-0.087352407	0.0172499841	0.1062605585	-0.0379523346	0.1455174091	-0.0261350234	-0.0252715752	0.1336901868	0.1044866097	-0.0503408338	0.031742687	0.0810095299	0.0342126435	-0.0313828337	-0.0493112044	-0.0367096498	-0.0013469584	0.1129728254	0.2321530498	-0.138498032	-0.0107628013	-0.0612802971	0.0635989959	0.0044158399	-0.0117912324	0.1392311667	-0.1002703529	-0.0376873651	0.0248911905	-0.0324991866	-0.0778672154	-0.05324746	0.0751527415	0.0103576361	0.0822114022	-0.2288617455	0.0609963711	0.063900408	0.0667437387	0.0987092947	-0.0112132919	0.1280814058	0.0217474401	-0.0801959716	0.0181359928	-0.0230491869	-0.0518754297	-0.1278919026	-0.0170923709	0.013370357	-0.0259769068	0.1189347811	0.0561511281	0.1231188424	0.0123702857	-0.1584709891	0.0542414824	0.1346096491	0.1048024057	0.0600192692	0.0688375876	0.0456451327	-0.0257310901	0.0524913399	0.0417627347	-0.0319755821	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.00592049	-0.00815561	6.651397447210001e-05	3.5052201840099995e-05	-0.00581391	0.00265931	3.3801549488100004e-05	7.071929676099999e-06	-0.0206114	-0.0081088999999999	0.0004248298099599	6.575425920999998e-05	5.95799e-05	0.0004221199	3.54976448401e-09	1.7818520997601e-07	-0.000494076	-0.0004999546499999	2.44111093776e-07	2.499546520566225e-07	-0.0007213849999999	2.872400000010001e-05	5.203963182248557e-07	8.250681760057452e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55156.88110471602	42.94119014447642	3042281533.199779	1843.9458110240791	83196.78451412672	-283.2319224457751	6921704953.490035	80220.32189232958	52627.77926260965	38.28079769737087	2769683150.113966	1465.419472347035	58994.61616784037	51588.703620893655	1.229357	23.438379	0.0685690981999999	0.0331894	-0.0276447945	0.098146836	0.0897173506	-0.0442283747	0.0629536107	-0.039419235	-0.0564277013	-0.0700842838	0.0021980205	0.0381855008	-0.1221889692	0.0436118718	0.0528627575	-0.0428725811	0.0120841256	0.0101408282	-0.040100091	0.0387067068	0.0485744255	-0.0800603866	-0.0053499407	-0.0126078819	0.0092959057	0.0066678591	0.2404183407	0.0029920463	-0.07649838	0.0987255875	0.0204155769	-0.0253390208	0.0222753826	0.139287204	0.0140481907	0.0351504723	0.0151168684	0.0159108889	-0.0328728395	-0.075034188	-0.0272695701	0.038714073	0.1149421946	0.0897635578	-0.0281347848	-0.0443624136	-0.0399059792	0.0591016811	-0.0188278001	-0.0113690626	-0.1016654767	0.1304849493	-0.0047894858	-0.003714207	-0.0174015842	0.0354092357	-0.0381919095	-0.0632057444	-0.0266014992	0.0968859	-0.0547132988	-0.0300979385	0.1264052035	-0.1310311694	0.0670368745	-0.0065227858	0.0879191591	0.0561196112	-0.0360603073	0.020240524	0.1166051012	-0.0020203674	-0.0550329076	0.0329842083	0.1021738733	0.1009054916	0.0988031726	0.0958842909	2.61768e-05	-0.0058943131999999	3.474292809969423e-05	6.8522485824e-10	0.00613323	0.01194714	3.76165102329e-05	0.0001427341541796	-0.0154099	0.0052014999999999	0.00023746501801	2.7055602249999976e-05	-0.000430338	-0.0004899179	1.85190794244e-07	2.4001954874041e-07	-0.000318481	0.0001755949999999	1.0143014736100001e-07	3.0833604024999995e-08	-0.000476375	0.0002450099999998	2.26933140625e-07	6.002990009995098e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55057.99675424669	-98.88435046932864	3031383006.590639	9778.114767741015	82875.84779002568	-320.9367241010332	6868406146.915505	103000.3808767027	52595.1294133772	-32.649849232446286	2766247638.009896	1066.0126549014733	58979.93508839495	52288.65493692853	1.28404	24.480946	0.0628790244	0.0361889	-0.0343090346	-0.0109154219	-0.1195805929	0.0503520746	-0.0589471694	-0.0851975401	-0.0451656578	0.0100231085	0.0766832609	-0.1279855597	0.0222621391	0.0181866865	0.0008273547	0.0845347178	0.0228949955	-0.0566320485	-0.0433531493	-0.0808004365	-0.00227589	0.0014522113	-0.0529786675	-0.013318499	-0.0166967525	0.0485413146	-0.0825056252	0.0697905301	0.0915789454	-0.0876053011	-0.0308444918	-0.0417503446	-0.0885203387	-0.0675804049	-0.061025862	-0.0205295792	0.0186990574	-0.0278701794	-0.0644250676	0.0733970555	0.0806956188	-0.0580072776	-0.0145270774	-0.1748448797	0.0170071844	-0.0510786161	0.0322847436	0.0579050289	-0.0947113667	0.0352566962	0.0564821666	-0.0515615133	-0.0964663855	0.0415903327	-0.0632734772	-0.1241046747	-0.0313888411	-0.0043215453	0.1079095681	0.0352611419	-0.0867311238	0.0519307912	-0.1450565323	0.1222919643	0.0676573708	0.0467429453	-0.0342835533	-0.0480744409	-0.1106775728	-0.0815834557	-0.0443877949	0.0615228986	0.0671706279	-0.1038678328	0.102005852	0.1002367339	0.0973108962	0.0932621027	1.90024e-05	-7.1744e-06	5.1472015360000006e-11	3.6109120576e-10	0.0285135	0.02238027	0.00081301968225	0.0005008764852729	-0.0366677	-0.0212577999999999	0.0013445202232899	0.0004518940608399	-8.482239999999998e-05	0.0003455156	7.1948395417599975e-09	1.1938102984336e-07	-0.000357641	-3.916e-05	1.2790708488100002e-07	1.5335055999999999e-09	-0.000476375	0.0	2.26933140625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55119.03974920838	61.04299496168824	3038108542.8748136	3726.247233892696	82524.95076162956	-350.8970283961244	6810367498.209383	123128.72453723052	52626.28923382676	31.15982044956036	2769526318.522391	970.9344104488398	59146.27459837148	51397.64360219705	1.346745	25.676464	0.1036632043	0.0561699	-0.0107516577	0.0742428503	0.1413801132	-0.016581603	0.0599721569	0.0706373679	0.0365477457	-0.0344768292	-0.0337502586	0.0871715429	-0.1673432081	0.03042258	0.050211323	-0.1146474666	-0.0353280589	0.0474644418	0.1379294055	0.0559446031	0.0512985395	0.0221038626	0.0389698238	0.0438174139	0.0206986686	0.0074292844	-0.1956739706	-0.0487104632	0.0439035138	-0.0087200535	0.0101816618	-0.0300422617	0.0809323248	-0.0563897814	-0.0717267041	-0.1204210922	-0.0163523041	0.0286567631	-0.0554079349	-0.0034195311	-0.1758148554	-0.0267079803	-0.0926429732	0.0989371024	-0.0156747287	0.0251699279	-0.0797051923	-0.0365265643	0.0039694003	0.010160319	-0.0535144881	0.0761503698	0.1570269907	0.0925133765	-0.0268289376	0.0134768093	-0.0021019359	-0.043252028	-0.0875754549	-0.0464005071	0.0084575844	-0.0833840909	-0.1403740098	0.1073038593	-0.1260647955	-0.0257029938	-0.1277563801	0.0170399252	-0.0045195044	-0.0773289983	-0.0769068418	0.0096728712	0.0165605702	0.0964065888	0.1018099433	0.0994583687	0.0955792289	0.090232103	-2.21519e-05	-4.11543e-05	1.69367640849e-09	4.9070667361e-10	-0.00106933	-0.02958283	1.1434666489e-06	0.0008751438308089	-0.0119465	0.0247212	0.00014271886225	0.0006111377294399	0.000731365	0.0008161873999999	5.34894763225e-07	6.661618719187598e-07	-0.000293068	6.4573e-05	8.5888852624e-08	4.169672329000001e-09	-0.000581975	-0.0001055999999999	3.38694900625e-07	1.1151359999999992e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55128.78598467901	9.746235470629472	3039183044.144541	94.98910584895609	82837.85218678653	312.9014251569752	6862109754.919894	97907.30186526613	52561.19773163377	-65.09150219299045	2762679506.9839034	4236.90365774008	58897.3943863703	52079.49479678692	1.406191	26.809832	0.0869641820999999	0.0430628	-0.0250788214	0.0587585834	-0.1094536171	0.0287850199	0.0584903765	-0.0652756238	-0.0850171998	0.0622652997	0.0015736644	-0.0342312209	-0.0663302454	0.0338978101	0.0065821234	-0.0115672771	-0.1087167837	-0.0763222291	-0.0091636778	-0.0655902107	0.0221713242	0.034852186	0.0161865426	0.0152317179	-0.0612654451	-0.0172433175	-0.0882467102	0.0022495753	0.0096593425	0.0405551693	0.0255489499	-0.1000114268	0.0528602428	-0.0540088256	-0.0617911046	0.1009298332	0.0017254855	0.0066346076	-0.0994596298	-0.0213545317	-0.1003351037	-0.0834111038	0.0362453828	0.1166839401	0.0256816811	-0.0217209263	0.0467793673	0.0446731221	-0.08766251	-0.0505083649	-0.0119518255	0.0723764731	-0.0054505893	0.0549018593	-0.0178967984	0.0137085938	0.0670284356	-0.0216534492	-0.0111493579	-0.0920728792	0.0549600218	-0.077060948	-0.0091420456	0.0933355942	0.1138846096	-0.0842956782	-0.0516176352	0.0046249214	0.0248138388	-0.0401817208	-0.0825494914	-0.1023468411	0.068722577	0.0258714798	0.1015862008	0.0985712473	0.0936124309	0.0868075413	-3.7804e-05	-1.56521e-05	2.4498823441e-10	1.429142416e-09	0.0302374	0.03130673	0.00091430035876	0.0009801113432928	-0.0265773	-0.0146308	0.00070635287529	0.00021406030864	0.000939679	0.000208314	8.82996623041e-07	4.339472259600001e-08	-0.000495219	-0.0002021509999999	2.45241857961e-07	4.086502680099999e-08	-0.00099173	-0.0004097549999999	9.835283929e-07	1.6789916002499998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55165.73942559359	36.953440914578096	3043258806.372491	1365.5567954272144	82734.22964825913	-103.62253852740103	6844952755.490881	10737.630490862715	52641.50787417763	80.31014254385809	2771128351.2671056	6449.718995414805	59001.38475095364	52361.61835654754	1.233737	23.521898	0.0698957359999999	0.0346723	-0.0630388539	0.009973052	0.0704713426	0.049069943	-0.0788309154	0.044577971	0.0365005292	-0.0345690246	0.0515038273	-0.0489809087	0.0698236372	0.1018286702	0.0330958471	0.0399559134	0.0444098277	-0.031262247	0.0265973365	0.0382397718	0.0477637929	0.0171489794	0.0387831531	-0.0509823731	-0.0324976069	0.0112167554	-0.0814424328	-0.0124142278	0.0532609517	0.0315020608	0.1242342134	0.1069887143	-0.0113349164	0.0720289584	0.0249874114	-0.1461325483	-0.0341467304	-0.0690195868	-0.019873246	-0.0377172996	-0.0355296536	-0.0730893311	0.0425443463	0.0269097212	-0.0536646404	0.0047406939	-0.0117188023	0.0443692721	0.0305815686	0.0680128745	0.0323194366	-0.0425852034	0.0321284766	0.0156554707	-0.0629882834	-0.1171751968	0.0422996877	0.0931487208	-0.0577433689	0.0503124935	0.0020572974	0.0118393286	-0.0393352181	-0.0011296378	-0.0265417957	-0.0444851956	0.0168651268	-0.0187782019	0.0736483972	0.0462805949	-0.0852036898	-0.062239407	-0.0806718939	-0.015937968	0.1013346856	0.0975763397	0.0914153405	0.0830033923	-0.00945281	-0.009415006	8.8642337980036e-05	8.935561689610001e-05	0.00780967	-0.02242773	6.0990945508900006e-05	0.0005030030729529	-0.0086835999999999	0.0178937000000001	7.540490895999828e-05	0.00032018449969	0.0008833769999999	-5.630200000010001e-05	7.803549241288234e-07	3.169915204011261e-09	-0.000495219	0.0	2.45241857961e-07	0.0	-0.000644846	0.0003468839999999	4.158263637160001e-07	1.2032850945599993e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
