global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
90149.55598875096	n/a	8126942444.968944	n/a	145219.46344426673	n/a	n/a	21088692563.04072	83763.56609409367	n/a	7016335004.799598	n/a	92988.74840763262	85262.89968119808	n/a	n/a	n/a	n/a	-0.0421102948	0.0071320653	-0.0555082698	-0.0709769504	-0.1533649541	-0.0687362659	-0.0946385567	-0.0356662737	0.0282630305	-0.0015540719	0.0596117041	-0.1412376732	-0.0457418678	-0.0276708231	0.0665554685	-0.035973215	0.0591294709	-0.0964073833	0.0206264686	-0.0718740514	0.0564429882	-0.033639294	0.0532346461	-0.1455130112	0.0126664598	-0.071302042	0.0983823405	-0.0242374501	0.0943224452	-0.1298899141	0.0709833978	0.0317165461	-0.0408848835	-0.0535462006	0.0330668477	-0.1349996343	0.0635450406	-0.0434453844	0.1036301378	-0.0159822552	0.0087304877	-0.0299398076	0.0668007185	-0.0601882318	0.0169525066	-0.0402318201	-0.071488892	-0.0146602952	-0.027242718	0.0318224812	-0.0840546279	0.0455742905	-0.0430397446	0.0847551258	-0.0127936704	0.0265738923	0.0953338333	-0.102105225	0.0747147133	-0.0495683907	0.0432621971	-0.0946007286	0.021649612	-0.1429495463	0.0540088633	-0.0603872987	0.0554213088	-0.1507653934	-0.0454656599	0.1303347876	0.1905338006	-1.2613e-05	0.0115130412	-0.0824610616	0.0318656572	-0.0164035817	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.117915	n/a	0.013903947225	n/a	-0.180339	n/a	n/a	0.032522154921	0.143549	n/a	0.020606315401	n/a	0.00144972	n/a	2.1016880784e-06	n/a	-0.000869291	n/a	n/a	7.55666842681e-07	0.00201737	n/a	n/a	4.0697817169e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90445.65684635084	296.1008575998858	8180416842.367851	87675.71787138784	146058.07571050688	838.6122662401467	703270.5330884347	21332961480.25616	84061.79242462426	298.2263305305969	7066384945.640617	88938.94422174484	92884.29942211664	84545.89128567764	1.554637	33.763382	0.35579945	0.232178	0.1023340663	-0.141988426	-0.0824133113	0.0948258045	-0.1311545681	0.0507749031	0.0185848322	-0.2956885628	0.0921794452	-0.2042708473	0.1187396839	0.0433009365	0.0883890587	-0.1280793884	0.1196008089	0.0059447766	0.1390056685	-0.1736003728	0.0259482011	-0.0082916851	-0.0705135887	-0.0493210208	0.1004798711	0.0575723385	-0.0552243354	-0.0070236484	0.0446129263	-0.0194937355	0.0136240624	0.1240604327	0.0912167437	-0.218407372	0.0051502404	-0.0673048896	-0.0472617645	0.0812378809	0.1826693968	0.0322925501	-0.0303663977	0.0017806854	0.0351612147	-0.0308400312	0.0739926096	-0.1549967151	-0.023390429	0.0369592753	0.0117921639	0.2315185576	-0.148814112	-0.0719427888	-0.0536666525	0.0472166693	-0.0166069458	0.0865453241	-0.1640421499	-0.1005372707	0.1668213745	-0.0527529093	0.1064291192	-0.0368731769	0.0599442574	0.1464661018	0.0553522191	0.0650278091	0.0472406352	-0.0281901986	-0.1672975374	0.0097589829	-0.0637755099	-0.1676530259	0.0026019496	0.0199193754	0.058785657	0.0054648149	-0.1004700073	-0.1549559116	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.114616	-0.003299	0.0131368274559999	1.0883401000000069e-05	-0.27124	-0.0909009999999999	0.0082629918009999	0.0735711375999999	0.350372	0.206823	0.122760538384	0.042775753329	0.00105429	-0.00039543	1.1115274041e-06	1.563648849e-07	-0.00129859	-0.000429299	1.8429763140100005e-07	1.6863359881000002e-06	0.00174657	-0.0002708	7.333264000000004e-08	3.0505067649000003e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90485.74742884492	40.090582494070986	8187670487.756714	1607.254804713911	144461.72699311023	-1596.3487173966423	2548329.227533905	20869190565.831917	84143.71301090543	81.92058628116501	7080164439.261615	6710.982456649802	93055.14305466066	83720.3001458011	1.200771	26.07818	0.2172711	0.112693	0.137679916	-0.1979209828	-0.1295277218	-0.0183225288	0.0330600633	0.0657504555	-0.0475487111	-0.090879888	-0.0319796515	-0.1553984042	-0.0516988039	-0.1021642861	0.1095538827	-0.0632326364	0.0424766106	-0.1378044813	0.1252642058	-0.0458249762	0.0696318384	-0.1520906576	0.0354213822	0.0209472097	0.0321557674	-0.0684157403	-0.0635920833	-0.1477071115	-0.1063789478	-0.086215007	-0.0448080401	0.0746024028	0.1210760084	-0.0640818457	-0.0554650496	-0.0074230581	0.1573647419	0.1281382915	-0.0830063546	0.0902998218	-0.0628032645	0.1767624071	0.0084956244	-0.0221188837	-0.0068751256	-0.0163888066	0.0470171308	0.0477593454	0.0581339145	0.1691897478	-0.1576940284	-0.0154213856	-0.0396365597	0.0604869978	-0.119589702	0.142436212	0.0090240521	0.0834877808	0.0219730472	-0.0656057436	0.1102818918	-0.0313662015	-0.1272792195	-0.0515002986	0.0134804174	-0.0227522204	0.0005013347	0.0238108601	-0.0633235605	0.079764262	0.0277504969	-0.1695211236	0.0550670516	-0.0907502679	0.0798329887	0.0346553732	-0.0012739398	0.0018946723	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.105996	-0.0086199999999999	0.011235152016	7.430439999999981e-05	-0.179587	0.0916529999999999	0.0084002724089999	0.032251490569	0.2981	-0.052272	0.0888636099999999	0.002732361984	0.000614388	-0.000439902	3.77472614544e-07	1.9351376960400006e-07	-0.00143638	-0.0001377899999999	1.8986084099999958e-08	2.0631875044e-06	0.0024634	0.00071683	5.138452489000001e-07	6.06833956e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90478.25952652124	-7.487902323671733	8186315446.948532	56.06868120884854	145430.29224593996	968.5652528297214	938118.6489891022	21149969902.739506	84106.85704671462	-36.85596419080685	7073963402.276488	1358.3620964340364	93227.8618029827	85684.42028191015	0.992435	21.55356	0.06030675	0.0288834	0.0516157757	-0.2227718691	-0.0958535964	-0.072573429	0.006681722	0.018587547	-0.0424796632	-0.0729810076	-0.0144628024	-0.2009158928	-0.0780773084	-0.0460649132	0.1184242305	-0.0474732897	0.1208711523	-0.0114192724	0.0642315384	-0.2113761797	0.0767896211	0.0282978439	-0.2109847454	0.0507654981	0.030642709	-0.0944809311	0.0821555893	-0.0135980251	0.0990695665	-0.1191612269	0.0434849883	0.0434904579	-0.1082854584	-0.0172081205	0.0636535916	-0.01335983	-0.0403637682	-0.0067150813	-0.0826068605	0.0176726388	0.0311877499	-0.0124497255	-0.0216229386	0.0338995028	0.0874020183	-0.0212569604	-0.0113818013	0.0321780376	0.078113521	0.0967546434	-0.1843821366	0.0570275711	-0.0693673141	0.0603221565	-0.031922612	0.080241647	-0.2227700946	-0.055566021	-0.0579775639	-0.0638409153	0.0083985456	0.1047808525	-0.0159761002	0.0780166991	-0.0486779431	-0.0495251433	-0.0909332925	-0.0200210644	0.1449689042	-0.0891787956	-0.05056373	0.0423123097	-0.0704025953	0.1503913599	0.0014062561	-0.0355207839	-0.0904103462	-0.0905326326	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.104113	-0.001883	0.010839516769	3.5456890000000365e-06	-0.164381	0.0152059999999999	0.0002312224359999	0.027021113161	0.305142	0.007042	0.093111640164	4.958976400000068e-05	0.000390753	-0.000223635	1.52687907009e-07	5.0012613225000014e-08	-0.0012744	0.0001619799999999	2.6237520399999983e-08	1.62409536e-06	0.0028013	0.0003378999999999	1.1417640999999995e-07	7.84728169e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90319.93729780371	-158.32222871753038	8157691073.479195	25065.928106086	146235.25605930117	804.963813361217	647966.7408210322	21384750114.72938	83921.32280115927	-185.5342455553473	7042788420.696375	34422.95627379191	93240.70609328018	86186.60864967371	1.218012	26.452618	0.15827095	0.0839276	-0.0207053778	-0.0911750583	-0.248320383	-0.0749326868	0.0837329217	-0.1187822177	-0.045904221	-0.075918183	-0.0378349984	-0.1425073345	0.0767847716	-0.1130118061	0.0020247929	-0.0419350693	0.129034064	-0.0695341827	0.1186481477	-0.0451829744	0.0048966786	-0.0957616473	0.007095569	-0.0267341789	0.1192052834	-0.1023112355	0.0249589066	-0.0687948044	0.1251103196	-0.0133231259	0.1078465653	-0.0172304159	0.0297877977	-0.0228204728	-0.055549934	0.0199436374	0.0207315526	-0.0137795616	-0.0488704578	0.0098221597	-0.0802452106	-0.072928244	0.1086241871	-0.0871029608	-0.0831490366	-0.1451735864	0.0423473589	0.0159475427	-0.0251989049	0.0463008298	-0.0577676821	0.1000312333	-0.1198100521	0.115822978	-0.1021437205	-0.0161216289	-0.0165246238	-0.0541661641	0.0197752336	-0.1458139282	0.1019611753	0.1106178882	-0.0433430955	-0.0655785609	0.0467740491	-0.0339413232	-0.0613782086	-0.0332854419	-0.0490506603	-0.0968444549	-0.0204172903	-0.0278404509	0.0773689143	-0.0657032447	0.0163724674	-0.0581794993	0.0620500169	0.0922929753	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0987321	-0.0053808999999999	0.00974802757041	2.8954084809999936e-05	-0.113393	0.050988	0.002599776144	0.012857972449	0.239765	-0.065377	0.057487255225	0.004274152129	-0.000138408	-0.000529161	1.9156774464e-08	2.80011363921e-07	-0.00121046	6.393999999999996e-05	4.088323599999995e-09	1.4652134116e-06	0.0029387	0.0001373999999999	1.8878759999999933e-08	8.635957689999999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90257.00958761683	-62.92771018687927	8146327779.699157	3959.896709363869	145395.5954109252	-839.6606483759824	705030.0044311752	21139879164.89745	83621.02522738728	-300.2975737719971	6992475860.079339	90178.63281334806	92907.5625318809	86734.77914944454	1.227848	26.666239	0.103717905	0.0611421	-0.0148887916	-0.1377234329	-0.0925765118	0.1180253539	0.0525237823	-0.0141359017	0.1006254297	-0.0683488227	0.0083798696	-0.012875041	-0.1010481347	-0.0298088732	-0.0591695691	-0.017454707	0.0189686332	-0.0665404089	-0.0002808835	-0.0903703256	-0.0027038761	-0.010821002	0.0047666675	0.001752478	0.0871965782	-0.0647709962	-0.073452761	0.0264150516	-0.1918537422	-0.133997628	-0.0063744531	0.0313649661	-0.0081925916	0.0466598899	-0.0304756106	0.0941195657	-0.102696046	0.0132639445	-0.1237097336	0.129036662	0.1445206643	0.0223823975	-0.0621952801	-0.0449031769	0.0617361588	-0.0211754303	-0.0520028256	-0.1092372841	-0.0681442104	0.0565413586	0.0317725348	-0.0392288166	-0.0063063582	0.1169705031	0.0578929744	0.1022950587	-0.0010679462	-0.0710176117	0.0521029336	0.0578201558	0.0724337946	0.023884448	-0.0795595097	-0.1504460127	0.0185948779	0.0386038855	-0.0378680487	-0.0732660729	0.0745124872	0.1690276667	-0.1186736436	0.0948325873	0.0414806487	0.0915980561	0.0094881009	0.0617964817	0.0829237554	-0.0813014267	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0932428	-0.0054893	0.00869421975184	3.0132414490000027e-05	-0.0937459	0.0196471	0.00038600853841	0.0087882937668099	0.186404	-0.053361	0.0347464512159999	0.002847396321	-6.36879e-05	7.47201e-05	4.05614860641e-09	5.583093344009999e-09	-0.00130075	-9.029000000000005e-05	8.152284100000005e-09	1.6919505625e-06	0.0025993	-0.0003393999999999	1.1519235999999981e-07	6.756360490000001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90186.79947741372	-70.21011020311562	8133658799.979232	4929.45957473364	145082.33189283955	-313.26351808564505	98134.03176339528	21048883027.464046	83942.5299813279	321.5047539406223	7046348339.666133	103365.3068064201	93132.672195487	84789.4892588637	1.141045	24.78105	0.0723424449999999	0.0471549	0.0087612083	-0.1049521091	-0.0414712072	-0.0358710639	0.0212025863	0.0208107868	-0.003093753	0.0069120424	-0.0764861074	-0.1267127108	-0.0457125737	-0.0321812345	0.0603583806	-0.0380683217	-0.0374503927	-0.100649683	0.0911054831	-0.0870236167	0.0180330298	-0.1213520799	0.0613219258	0.0447200623	-0.0236853486	-0.0484489362	0.0030551412	-0.0085686239	-0.0380170127	0.0164142289	0.0202010303	-0.1334444089	0.0813974554	0.0783785731	-0.066270217	0.0391916291	-0.069719633	-0.0302956452	-0.0937141567	-0.0011977732	-0.086081163	-0.0143290713	-0.0438881791	0.0711537826	0.143214509	0.1020828998	-0.1231904758	-0.0720232408	0.0546286197	0.0916241448	-0.0555698266	-0.0066876011	0.0105214044	0.0545756136	-0.1370382384	0.0724335847	0.033690478	0.0413081655	-0.009800857	-0.0419328341	0.0076254256	-0.0059848911	-0.0221102964	-0.1093633248	-0.0679236818	-0.0404860444	-0.0199257119	0.0493401421	0.0935693196	0.0136293265	0.0798807471	0.0987802711	0.0247434263	-0.0005425486	-0.0154973864	-0.0531081474	0.062809519	0.0198600858	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0804483	-0.0127945	0.00647192897289	0.00016369923025	-0.093698	4.789999999998962e-05	2.294409999999005e-09	0.008779315204	0.147339	-0.0390649999999999	0.021708780921	0.0015260742249999	0.000236013	0.0002997009	5.5702136169e-08	8.982062946081e-08	-0.00119175	0.0001089999999999	1.1880999999999987e-08	1.4202680625000003e-06	0.0025993	0.0	0.0	6.756360490000001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90035.89404900116	-150.90542841255956	8106462217.202962	22772.448324378136	144950.41350885827	-131.91838398127584	17402.460032231334	21010622376.389004	83680.6690455462	-261.86093578170403	7002454371.910233	68571.14968846973	92680.8423740872	85674.29820003448	1.020622	22.165728	0.0568933	0.0396328	-0.020861499	-0.093899151	-0.0360671365	-0.0459156392	0.0343887157	-0.031957784	-0.0855749278	-0.0230799857	-0.0194781458	-0.0377382643	0.0273395436	-0.1301857317	-0.0568309915	-0.005075883	0.0286022454	-0.0217527562	0.0514995488	0.0650145155	-0.0886035762	-0.0473177715	0.0471097779	0.027052485	-0.008936793	-0.0546751111	-0.0445481422	-0.034788256	0.0557656251	0.153742962	-0.0644758057	-0.0097032507	-0.0451210324	0.0398603632	0.0565332971	-0.0615652279	0.1209584821	-0.1356111003	-0.0023948355	0.1241521289	-0.1266186817	0.112052687	-0.093218084	-0.0416611983	0.2324858671	0.0211009964	0.0822543151	0.11496189	-0.0761284699	0.0002545204	-0.0519564237	-0.0140667635	-0.0685784294	-0.0115687699	-0.0426225239	0.076865085	0.0960285834	-0.0443891171	-0.0190068909	0.015184885	0.0340699894	-0.0295109634	0.0584231967	0.0365035382	0.1181435176	-0.0748586615	-0.0877025733	-0.0422883904	-0.0107868643	0.0128615089	0.1059516042	0.0014805616	-0.0209924743	0.1032669688	0.2009817491	-0.055299333	0.1148198545	0.0501207557	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0680186	-0.0124297	0.0046265299459599	0.00015449744209	-0.09362	7.800000000000862e-05	6.084000000001344e-09	0.0087647043999999	0.157668	0.010329	0.024859198224	0.000106688241	0.000263165	2.7151999999999987e-05	6.9255817225e-08	7.372311039999991e-10	-0.00119787	-6.119999999999867e-06	3.745439999999837e-11	1.4348925369e-06	0.00195144	-0.00064786	4.197225796000001e-07	3.8081180736e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89759.13812771153	-276.75592128963035	8056702877.429598	76593.83996887207	144860.31056225393	-90.1029466043401	8118.540986784564	20984509576.192657	83905.68816440617	225.01911885997103	7040164506.342568	50633.60385251779	93175.8186446252	84942.85560987327	1.163617	25.271271	0.0733622	0.0366673	0.0311240088	0.00393501	-0.0250306339	0.0606827866	0.094636268	0.0375119926	0.0795620418	0.0507796892	-0.017415154	-0.1170614383	0.1004406927	-0.0408189181	0.0655141808	0.0672288596	0.0317818361	0.0045984724	-0.0356474658	-0.0788426612	-0.1021269945	-0.029903307	-0.0728212014	-0.0397843149	0.1192997689	0.1062917979	0.1449992772	0.1166837119	-0.0808476303	0.0899233495	-0.0909557984	-0.1762491021	0.0471338434	0.2009402383	0.0496480673	0.113475526	-0.0155516692	0.0170396107	0.016672244	-0.0145724568	0.0233745959	0.0266958179	0.1212665311	0.067927239	0.0471047632	-0.0834859525	-0.0415838655	0.0117294752	0.0916604939	-0.0069203916	0.0007217927	0.052885758	0.0895014037	0.0742947225	0.0576431274	-0.0199713644	-0.0152874977	-0.1205242679	0.007513676	0.0522696504	0.0796091086	0.1060551249	0.1373934184	0.0573734976	-0.0189259487	0.0836118988	-0.0784469577	0.1191674904	0.0767856288	0.0088570766	0.1729513262	0.1822407289	0.0832404245	-0.1573293709	0.0198367863	-0.0147379404	0.0553253863	0.0164005982	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0593127	-0.0087058999999999	0.00351799638129	7.579269480999992e-05	-0.0936921	-7.210000000000549e-05	5.198410000000792e-09	0.00877820960241	0.127442	-0.030226	0.016241463364	0.000913611076	-0.000138408	-0.000401573	1.9156774464e-08	1.61260874329e-07	-0.000912279	0.0002855909999999	8.156221928099999e-08	8.32252973841e-07	0.00195144	0.0	0.0	3.8081180736e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89949.59728238091	190.4591546693846	8090930051.262507	36274.68959737656	145121.61675688977	261.3061946358357	68280.92735506126	21060283650.133587	83948.21403042522	42.52586601905932	7047302638.898083	1808.4492806709843	92838.07460467676	83062.35463409916	1.257122	27.302006	0.17216058	0.0722673	0.0285996559	0.0564790201	-0.0480319098	-0.0360808732	-0.0229523736	-0.0500848058	-0.033997844	-0.0925947913	0.0121341003	-0.0564975771	0.1049380297	0.1677518355	0.0673956734	-0.1249036819	0.1324151272	-0.0936472499	-0.0206226624	-0.0364343876	-0.102347636	0.2436673548	0.0619098169	0.1013384653	0.0143080536	0.0471172825	0.0396454564	0.0022401124	-0.0448552596	-0.0330764991	-0.1057279371	-0.0760674227	-0.0449632639	-0.0861791861	0.1852778268	0.0642803524	0.1415912742	-0.0005792046	0.1259381398	-0.0820579681	-0.0474442578	0.1144592829	0.0351470522	0.0077413023	-0.0636999183	0.1164733636	-0.1542925359	0.0582343723	-0.0092689045	0.1277719279	-0.078823333	0.067428681	-0.0421666722	0.0470560178	-0.0735706095	0.0204331034	0.0206112501	-0.1278894643	-0.0139276155	0.0127772422	-0.2519660779	0.0885710192	0.0629380407	0.1477770591	0.0368027108	-0.074734342	0.128529846	0.0454868344	0.1444305206	0.1128769221	-0.0656103156	-0.1351286831	-0.1244874299	-0.1291075513	-0.1072274823	0.1032338896	-0.0602811269	-0.0870414406	0.1013346856	0.0975763397	0.0914153405	0.0830033923	0.00729222	-0.05202048	5.31764725284e-05	0.0027061303394304	-0.110794	-0.0171019	0.00029247498361	0.012275310436	0.151694	0.0242519999999999	0.0230110696359999	0.0005881595039999	0.00012126	0.000259668	1.47039876e-08	6.7427470224e-08	-0.000109703	0.0008025759999999	6.441282357759999e-07	1.2034748209e-08	0.00246492	0.0005134799999999	2.6366171039999974e-07	6.075830606399999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
